,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,康泰生物,300601,38.59,38.07,39.05,38.07,95159,138199484.36,2.55,-0.99,-0.38,1.08
239,2025-01-24,康泰生物,300601,38.42,38.45,38.88,38.23,110460,160977774.0,1.69,0.0,0.0,1.25
238,2025-01-23,康泰生物,300601,39.05,38.45,39.72,38.42,134968,199540665.0,3.35,-0.98,-0.38,1.53
237,2025-01-22,康泰生物,300601,39.29,38.83,39.36,38.5,88156,129177852.0,2.18,-1.52,-0.6,1.0
236,2025-01-21,康泰生物,300601,39.72,39.43,39.86,39.02,94311,140302399.0,2.12,-0.48,-0.19,1.07
235,2025-01-20,康泰生物,300601,40.01,39.62,40.29,39.53,105721,159711632.0,1.91,-0.43,-0.17,1.2
234,2025-01-17,康泰生物,300601,39.79,39.79,40.1,39.45,85372,128830577.0,1.63,0.0,0.0,0.97
233,2025-01-16,康泰生物,300601,39.79,39.79,40.48,39.48,92599,140433698.0,2.5,-0.35,-0.14,1.05
232,2025-01-15,康泰生物,300601,40.37,39.93,40.44,39.62,84145,127350638.0,2.03,-1.26,-0.51,0.95
231,2025-01-14,康泰生物,300601,39.45,40.44,40.48,39.29,162163,245722564.0,3.02,2.61,1.03,1.84
230,2025-01-13,康泰生物,300601,38.54,39.41,39.43,38.33,110070,162453600.0,2.85,1.94,0.75,1.25
229,2025-01-10,康泰生物,300601,39.45,38.66,39.81,38.57,117469,173951429.0,3.14,-2.13,-0.84,1.33
228,2025-01-09,康泰生物,300601,39.84,39.5,40.32,39.26,154398,232785223.0,2.65,-1.2,-0.48,1.75
227,2025-01-08,康泰生物,300601,41.49,39.98,41.61,39.43,248587,379310426.0,5.23,-4.08,-1.7,2.82
226,2025-01-07,康泰生物,300601,42.45,41.68,42.55,41.3,115822,184385458.0,2.94,-1.81,-0.77,1.31
225,2025-01-06,康泰生物,300601,42.02,42.45,43.12,41.99,111859,181215446.0,2.68,0.69,0.29,1.27
224,2025-01-03,康泰生物,300601,42.9,42.16,43.62,41.97,112170,183470189.0,3.85,-1.72,-0.74,1.27
223,2025-01-02,康泰生物,300601,44.7,42.9,44.85,42.59,138687,231383538.0,5.05,-4.09,-1.83,1.57
222,2024-12-31,康泰生物,300601,46.12,44.73,46.26,44.58,81276,141048029.0,3.64,-3.01,-1.39,0.92
221,2024-12-30,康泰生物,300601,46.16,46.12,46.38,45.71,57236,101120750.0,1.45,-0.09,-0.04,0.65
220,2024-12-27,康泰生物,300601,45.88,46.16,46.67,45.64,62514,111175356.0,2.25,0.68,0.31,0.71
219,2024-12-26,康泰生物,300601,45.73,45.85,46.31,45.73,50090,88697535.0,1.27,0.04,0.02,0.57
218,2024-12-25,康泰生物,300601,46.71,45.83,46.81,45.4,71561,126115544.0,3.04,-1.12,-0.52,0.81
217,2024-12-24,康泰生物,300601,46.09,46.35,46.67,46.09,53652,95714848.0,1.26,0.41,0.19,0.61
216,2024-12-23,康泰生物,300601,47.15,46.16,47.27,46.04,74794,133859431.0,2.61,-2.04,-0.96,0.85
215,2024-12-20,康泰生物,300601,46.79,47.12,47.51,46.67,60293,109561223.0,1.8,0.71,0.33,0.68
214,2024-12-19,康泰生物,300601,46.59,46.79,46.95,45.92,97782,174670462.0,2.19,-0.7,-0.33,1.11
213,2024-12-18,康泰生物,300601,47.51,47.12,47.58,47.0,70600,128415425.0,1.23,-0.32,-0.15,0.8
212,2024-12-17,康泰生物,300601,47.74,47.27,47.82,47.0,85437,155734036.0,1.72,-0.98,-0.47,0.97
211,2024-12-16,康泰生物,300601,48.2,47.74,48.54,47.36,115590,212769430.0,2.44,-1.45,-0.7,1.31
210,2024-12-13,康泰生物,300601,49.16,48.44,49.16,48.08,190831,356805233.0,2.18,-2.12,-1.05,2.17
209,2024-12-12,康泰生物,300601,49.78,49.49,49.83,48.54,171407,325057729.0,2.59,-0.54,-0.27,1.94
208,2024-12-11,康泰生物,300601,49.64,49.76,50.55,49.47,132426,256097111.0,2.17,-0.14,-0.07,1.5
207,2024-12-10,康泰生物,300601,50.81,49.83,52.34,49.71,188100,370940030.0,5.34,1.12,0.55,2.13
206,2024-12-09,康泰生物,300601,50.55,49.28,50.79,48.85,136905,262588204.0,3.89,-1.14,-0.57,1.55
205,2024-12-06,康泰生物,300601,48.25,49.85,50.38,48.25,168559,322221327.0,4.42,3.38,1.63,1.91
204,2024-12-05,康泰生物,300601,48.01,48.22,48.46,47.96,62069,115488350.0,1.04,0.0,0.0,0.7
203,2024-12-04,康泰生物,300601,48.22,48.22,48.89,47.89,96562,180396276.0,2.04,-1.85,-0.91,1.1
202,2024-12-03,康泰生物,300601,48.92,49.13,49.45,48.22,113937,215061736.0,2.51,0.43,0.21,1.29
201,2024-12-02,康泰生物,300601,48.06,48.92,49.35,47.72,104513,196939842.0,3.39,1.79,0.86,1.19
200,2024-11-29,康泰生物,300601,47.72,48.06,48.8,47.15,108307,200348837.0,3.48,1.26,0.6,1.23
199,2024-11-28,康泰生物,300601,47.98,47.46,48.25,47.46,76449,140822262.0,1.65,-1.04,-0.5,0.87
