,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,思特奇,300608,50.43,46.67,51.31,45.32,527047,664514316.24,13.26,3.32,1.5,19.16
239,2025-01-24,思特奇,300608,38.71,45.17,45.17,38.35,325401,368319064.0,17.98,19.06,7.23,11.83
238,2025-01-23,思特奇,300608,38.2,37.94,40.03,37.94,114271,116568414.0,5.56,0.85,0.32,4.15
237,2025-01-22,思特奇,300608,38.46,37.62,38.46,37.54,63302,62689860.0,2.37,-2.92,-1.13,2.3
236,2025-01-21,思特奇,300608,39.0,38.75,39.11,37.69,70991,71136552.0,3.67,0.1,0.04,2.58
235,2025-01-20,思特奇,300608,38.78,38.71,39.22,38.16,56388,57125461.0,2.76,0.75,0.29,2.05
234,2025-01-17,思特奇,300608,39.0,38.42,39.11,38.27,69675,70302792.0,2.15,-1.86,-0.73,2.53
233,2025-01-16,思特奇,300608,38.89,39.15,40.35,38.71,91153,93828884.0,4.25,1.42,0.55,3.31
232,2025-01-15,思特奇,300608,39.04,38.6,39.84,38.35,88509,89797552.0,3.82,-0.95,-0.37,3.22
231,2025-01-14,思特奇,300608,37.29,38.97,39.0,37.11,102192,102370439.0,5.11,5.44,2.01,3.71
230,2025-01-13,思特奇,300608,36.12,36.96,37.25,34.88,80185,76088502.0,6.52,1.71,0.62,2.91
229,2025-01-10,思特奇,300608,38.24,36.34,39.22,36.3,103898,102670860.0,7.65,-4.77,-1.82,3.78
228,2025-01-09,思特奇,300608,38.2,38.16,39.0,37.91,86076,86784227.0,2.85,-0.1,-0.04,3.13
227,2025-01-08,思特奇,300608,38.82,38.2,39.3,37.03,102343,102060362.0,5.81,-2.15,-0.84,3.72
226,2025-01-07,思特奇,300608,37.98,39.04,40.1,37.98,105503,107654298.0,5.56,2.39,0.91,3.84
225,2025-01-06,思特奇,300608,37.94,38.13,38.82,36.67,67025,66566244.0,5.67,0.5,0.19,2.44
224,2025-01-03,思特奇,300608,41.01,37.94,41.3,37.87,85366,87342401.0,8.42,-6.83,-2.78,3.1
223,2025-01-02,思特奇,300608,41.49,40.72,42.29,40.21,82601,89448655.0,5.01,-1.86,-0.77,3.0
222,2024-12-31,思特奇,300608,43.68,41.49,45.1,41.38,109316,124178452.0,8.55,-4.6,-2.0,3.97
221,2024-12-30,思特奇,300608,42.36,43.49,43.71,41.19,100501,113351385.0,5.93,2.31,0.98,3.65
220,2024-12-27,思特奇,300608,42.95,42.51,43.71,42.4,76466,86560726.0,3.05,-1.02,-0.44,2.78
219,2024-12-26,思特奇,300608,42.07,42.95,43.68,42.0,88323,99802496.0,3.98,1.73,0.73,3.21
218,2024-12-25,思特奇,300608,42.91,42.22,43.27,40.68,142718,156401097.0,5.99,-2.43,-1.05,5.19
217,2024-12-24,思特奇,300608,44.95,43.27,45.57,42.47,199334,228004166.0,6.72,-6.18,-2.85,7.25
216,2024-12-23,思特奇,300608,49.95,46.12,50.06,46.09,135037,168995830.0,7.95,-7.67,-3.83,4.91
215,2024-12-20,思特奇,300608,49.22,49.95,50.39,48.97,103312,136272249.0,2.86,0.58,0.29,3.76
