,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,博士眼镜,300622,101.38,98.31,102.38,97.96,135125,654811779.0,4.42,-1.7,-1.7,11.61
239,2025-01-24,博士眼镜,300622,95.39,100.01,100.64,94.96,176635,834222536.0,5.79,2.02,1.98,15.17
238,2025-01-23,博士眼镜,300622,102.77,98.03,103.73,97.7,197561,964627687.0,5.96,-3.16,-3.2,16.97
237,2025-01-22,博士眼镜,300622,101.19,101.23,102.99,98.29,169021,822649298.0,4.55,-2.1,-2.17,14.52
236,2025-01-21,博士眼镜,300622,99.03,103.4,105.93,99.03,271298,1346678172.0,7.08,6.05,5.9,23.31
235,2025-01-20,博士眼镜,300622,99.27,97.5,99.91,96.33,128639,608560750.0,3.71,0.91,0.88,11.05
234,2025-01-17,博士眼镜,300622,94.96,96.62,97.9,93.61,149822,693915848.0,4.48,0.88,0.84,12.87
233,2025-01-16,博士眼镜,300622,98.68,95.78,100.44,94.37,176349,827359015.0,6.16,-2.72,-2.68,15.15
232,2025-01-15,博士眼镜,300622,99.46,98.46,102.69,97.49,189785,918483621.0,5.2,-1.57,-1.57,16.3
231,2025-01-14,博士眼镜,300622,92.12,100.03,101.01,90.53,235565,1096747761.0,11.59,10.65,9.63,20.24
230,2025-01-13,博士眼镜,300622,89.07,90.4,93.28,88.67,124493,544569114.0,4.97,-2.6,-2.41,10.7
229,2025-01-10,博士眼镜,300622,98.07,92.81,99.4,92.77,194532,899287026.0,6.67,-6.61,-6.57,16.71
228,2025-01-09,博士眼镜,300622,98.27,99.38,103.91,96.9,225544,1099495412.0,7.1,0.59,0.58,19.38
227,2025-01-08,博士眼镜,300622,95.33,98.8,101.01,92.55,251444,1180987517.0,8.7,1.57,1.53,21.6
226,2025-01-07,博士眼镜,300622,90.24,97.27,98.07,90.24,223894,1018023867.0,8.59,6.73,6.13,19.23
225,2025-01-06,博士眼镜,300622,101.01,91.14,101.01,89.05,247454,1120368545.0,11.3,-13.88,-14.69,21.26
224,2025-01-03,博士眼镜,300622,106.96,105.83,110.72,103.56,245890,1283003079.0,6.91,2.19,2.27,21.12
223,2025-01-02,博士眼镜,300622,102.5,103.56,107.45,102.5,188283,957483442.0,4.83,0.96,0.98,16.18
222,2024-12-31,博士眼镜,300622,110.82,102.58,111.02,101.77,212021,1091816144.0,8.31,-7.79,-8.67,18.21
221,2024-12-30,博士眼镜,300622,110.41,111.25,115.87,107.2,212830,1160652620.0,7.76,-0.47,-0.53,18.28
220,2024-12-27,博士眼镜,300622,117.85,111.78,126.17,111.6,357264,2056378797.0,12.09,-7.24,-8.73,30.69
219,2024-12-26,博士眼镜,300622,115.7,120.51,124.51,115.7,306293,1808396926.0,7.42,1.55,1.84,26.31
218,2024-12-25,博士眼镜,300622,112.64,118.67,121.77,109.23,336291,1914936839.0,10.93,3.44,3.95,28.89
217,2024-12-24,博士眼镜,300622,112.56,114.72,116.71,106.88,297970,1629219131.0,8.82,2.99,3.33,25.6
216,2024-12-23,博士眼镜,300622,119.55,111.39,121.14,110.29,322426,1813204485.0,9.29,-4.64,-5.42,27.7
215,2024-12-20,博士眼镜,300622,113.58,116.81,125.0,110.35,450572,2578910508.0,13.47,7.41,8.06,38.71
214,2024-12-19,博士眼镜,300622,110.94,108.75,119.99,108.24,475405,2629438306.0,10.61,-1.83,-2.03,40.84
213,2024-12-18,博士眼镜,300622,93.18,110.78,110.78,86.97,367233,1758537972.0,25.56,18.91,17.62,31.55
212,2024-12-17,博士眼镜,300622,101.01,93.16,101.32,90.83,268147,1242940774.0,10.05,-10.75,-11.22,23.04
211,2024-12-16,博士眼镜,300622,104.93,104.38,118.67,101.99,329931,1751943437.0,15.95,-0.18,-0.19,28.34
210,2024-12-13,博士眼镜,300622,99.44,104.57,109.88,98.9,365718,1835545195.0,10.79,2.8,2.85,31.42
209,2024-12-12,博士眼镜,300622,96.88,101.72,101.72,92.79,319619,1505075611.0,9.12,3.86,3.78,27.46
208,2024-12-11,博士眼镜,300622,90.93,97.94,102.36,90.4,298374,1391967086.0,13.01,6.55,6.02,25.63
207,2024-12-10,博士眼镜,300622,93.24,91.92,97.0,91.41,166143,756928050.0,6.06,-0.35,-0.32,14.27
206,2024-12-09,博士眼镜,300622,89.75,92.24,94.59,88.81,149886,665553782.0,6.28,0.28,0.26,12.88
205,2024-12-06,博士眼镜,300622,100.78,91.98,101.75,90.04,259389,1198221942.0,11.44,-10.16,-10.4,22.28
204,2024-12-05,博士眼镜,300622,100.19,102.38,105.61,96.51,193131,935836496.0,9.17,3.22,3.19,16.59
203,2024-12-04,博士眼镜,300622,101.25,99.19,105.32,97.68,159712,786158832.0,7.44,-3.41,-3.5,13.72
202,2024-12-03,博士眼镜,300622,102.97,102.69,106.85,101.6,156283,785210707.0,4.91,-3.92,-4.19,13.43
201,2024-12-02,博士眼镜,300622,98.72,106.88,107.71,98.72,230525,1149954413.0,9.12,8.44,8.32,19.81
200,2024-11-29,博士眼镜,300622,97.07,98.56,101.56,95.72,189701,903091820.0,5.9,-0.43,-0.43,16.3
199,2024-11-28,博士眼镜,300622,95.29,98.99,106.45,95.14,267166,1301944601.0,11.45,0.25,0.25,22.96
198,2024-11-27,博士眼镜,300622,85.76,98.74,100.5,82.37,332674,1462118483.0,20.95,14.07,12.18,28.58
197,2024-11-26,博士眼镜,300622,83.92,86.56,89.99,82.8,252362,1058020170.0,8.57,3.15,2.64,21.68
196,2024-11-25,博士眼镜,300622,82.74,83.92,84.46,80.06,189211,748737813.0,5.4,3.06,2.49,16.26
195,2024-11-22,博士眼镜,300622,85.15,81.43,87.6,81.43,224996,913757234.0,7.21,-4.83,-4.13,19.33
194,2024-11-21,博士眼镜,300622,89.26,85.56,89.73,83.78,257900,1064987423.0,6.64,-4.48,-4.01,22.16
193,2024-11-20,博士眼镜,300622,86.75,89.57,92.73,86.21,326664,1402473824.0,7.59,4.28,3.68,28.07
192,2024-11-19,博士眼镜,300622,93.8,85.89,96.11,85.89,311453,1314830319.0,9.63,-19.05,-20.21,26.76
191,2024-11-18,博士眼镜,300622,107.57,106.1,115.89,100.19,283932,1495349275.0,14.52,-1.9,-2.06,24.4
190,2024-11-15,博士眼镜,300622,98.86,108.16,120.12,96.7,359119,1923085225.0,23.2,7.14,7.21,30.86
189,2024-11-14,博士眼镜,300622,95.53,100.95,104.26,92.94,257081,1237779731.0,11.73,4.58,4.42,22.09
188,2024-11-13,博士眼镜,300622,96.04,96.53,105.63,92.2,304893,1447895752.0,13.99,0.55,0.53,26.2
187,2024-11-12,博士眼镜,300622,80.1,96.0,96.0,78.1,316009,1356684925.0,22.14,18.75,15.16,27.16
186,2024-11-11,博士眼镜,300622,80.84,80.84,88.83,79.51,225475,892185587.0,11.21,-2.73,-2.27,19.38
185,2024-11-08,博士眼镜,300622,76.85,83.11,85.32,76.55,257530,1010189715.0,11.18,5.94,4.66,22.13
184,2024-11-07,博士眼镜,300622,77.06,78.45,82.92,72.73,287559,1070656977.0,13.2,1.65,1.27,24.71
183,2024-11-06,博士眼镜,300622,79.08,77.18,88.87,76.92,453653,1764237233.0,15.79,2.0,1.51,38.99
182,2024-11-05,博士眼镜,300622,64.57,75.67,75.67,63.96,283962,943195476.0,18.33,18.42,11.77,24.4
181,2024-11-04,博士眼镜,300622,58.15,63.9,67.33,58.15,213515,631785675.0,15.65,8.91,5.23,18.35
180,2024-11-01,博士眼镜,300622,64.27,58.67,64.27,58.28,187929,535520946.0,9.17,-10.22,-6.68,16.15
179,2024-10-31,博士眼镜,300622,65.51,65.35,66.55,63.61,220902,674748324.0,4.42,-1.74,-1.16,18.98
178,2024-10-30,博士眼镜,300622,62.84,66.51,67.43,60.89,286459,877033827.0,10.42,5.99,3.76,24.62
177,2024-10-29,博士眼镜,300622,61.98,62.75,67.52,59.26,270877,795880113.0,13.31,1.11,0.69,23.28
176,2024-10-28,博士眼镜,300622,60.08,62.06,63.61,58.81,234716,674927139.0,8.0,3.4,2.04,20.17
175,2024-10-25,博士眼镜,300622,56.64,60.02,60.67,56.25,238310,651692752.0,7.81,6.04,3.42,20.48
174,2024-10-24,博士眼镜,300622,56.95,56.6,57.83,55.8,96761,256174277.0,3.58,-0.07,-0.04,8.32
173,2024-10-23,博士眼镜,300622,57.58,56.64,58.36,56.15,143596,382784136.0,3.81,-2.33,-1.35,12.34
172,2024-10-22,博士眼镜,300622,58.56,57.99,59.61,57.54,181191,494100124.0,3.5,-1.86,-1.1,15.57
171,2024-10-21,博士眼镜,300622,56.95,59.09,59.3,55.66,233954,628267000.0,6.33,2.69,1.55,20.11
