,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,必创科技,300667,40.57,38.5,40.84,38.5,74774,126127338.75,5.7,-6.14,-2.52,4.33
239,2025-01-24,必创科技,300667,40.32,41.02,41.52,40.19,55268,96631191.0,3.3,1.79,0.72,3.2
238,2025-01-23,必创科技,300667,41.11,40.3,42.17,40.26,81526,144220380.0,4.7,-0.79,-0.32,4.72
237,2025-01-22,必创科技,300667,41.72,40.62,41.72,40.19,61630,107394565.0,3.68,-2.31,-0.96,3.57
236,2025-01-21,必创科技,300667,41.29,41.58,42.48,40.01,111141,196455760.0,6.0,0.92,0.38,6.44
235,2025-01-20,必创科技,300667,42.06,41.2,42.96,40.73,87531,154990745.0,5.31,-1.97,-0.83,5.07
234,2025-01-17,必创科技,300667,43.83,42.03,44.19,40.95,140786,256293701.0,7.39,-4.17,-1.83,8.15
233,2025-01-16,必创科技,300667,44.89,43.86,47.59,42.78,161414,311539556.0,11.03,0.62,0.27,9.35
232,2025-01-15,必创科技,300667,45.09,43.59,45.18,42.62,144144,269508839.0,5.67,-3.48,-1.57,8.35
231,2025-01-14,必创科技,300667,41.99,45.16,46.35,41.52,283571,541103180.0,11.3,5.64,2.41,16.42
230,2025-01-13,必创科技,300667,38.12,42.75,43.36,38.12,281183,492801206.0,13.21,7.76,3.08,16.29
229,2025-01-10,必创科技,300667,37.51,39.67,43.72,36.99,262768,457772236.0,18.3,7.89,2.9,15.22
228,2025-01-09,必创科技,300667,35.22,36.77,37.24,34.9,88574,137809217.0,6.64,4.4,1.55,5.13
227,2025-01-08,必创科技,300667,35.55,35.22,35.76,33.8,61947,92287347.0,5.57,0.0,0.0,3.59
226,2025-01-07,必创科技,300667,34.23,35.22,35.22,34.02,60055,88405242.0,3.53,3.53,1.2,3.48
225,2025-01-06,必创科技,300667,34.65,34.02,35.22,33.44,98844,144012142.0,4.9,-6.44,-2.34,5.73
224,2025-01-03,必创科技,300667,36.79,36.36,39.49,35.85,99452,159239663.0,9.91,-0.98,-0.36,5.76
223,2025-01-02,必创科技,300667,37.87,36.72,38.3,36.27,51207,81461512.0,5.36,-2.99,-1.13,2.97
222,2024-12-31,必创科技,300667,39.58,37.85,40.14,37.8,56200,92659917.0,5.91,-4.37,-1.73,3.26
221,2024-12-30,必创科技,300667,39.76,39.58,40.5,38.61,49328,83545883.0,4.71,-1.3,-0.52,2.86
220,2024-12-27,必创科技,300667,40.26,40.1,41.2,39.92,65125,112924836.0,3.18,-0.4,-0.16,3.77
219,2024-12-26,必创科技,300667,39.72,40.26,40.77,39.31,69986,120367833.0,3.72,2.47,0.97,4.05
218,2024-12-25,必创科技,300667,41.02,39.29,41.49,38.59,90834,153326945.0,7.06,-4.38,-1.8,5.26
