,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,凯伦股份,300715,35.41,34.82,37.1,34.65,167696,149612176.68,6.78,-3.63,-1.31,5.02
240,2025-01-23,凯伦股份,300715,37.77,36.13,39.33,36.09,210494,198036278.0,8.95,-0.22,-0.08,6.3
239,2025-01-22,凯伦股份,300715,34.99,36.21,38.19,34.57,224621,204757964.0,10.25,2.49,0.88,6.72
238,2025-01-21,凯伦股份,300715,33.31,35.33,35.58,32.88,177310,151421297.0,8.11,6.06,2.02,5.31
237,2025-01-20,凯伦股份,300715,33.43,33.31,33.73,32.5,91241,75512534.0,3.72,0.66,0.22,2.73
236,2025-01-17,凯伦股份,300715,33.85,33.09,34.19,32.46,138284,114308594.0,5.02,-4.03,-1.39,4.14
235,2025-01-16,凯伦股份,300715,33.77,34.48,35.12,33.39,172572,147934262.0,5.1,1.74,0.59,5.16
234,2025-01-15,凯伦股份,300715,34.82,33.89,36.42,33.14,189115,163866740.0,9.14,-5.52,-1.98,5.66
233,2025-01-14,凯伦股份,300715,34.23,35.87,36.09,33.98,249695,218773908.0,6.16,4.79,1.64,7.47
232,2025-01-13,凯伦股份,300715,36.8,34.23,37.26,33.77,284653,248813427.0,9.14,-10.37,-3.96,8.52
231,2025-01-10,凯伦股份,300715,42.61,38.19,43.62,37.56,414113,417039475.0,12.78,-19.46,-9.23,12.39
230,2025-01-09,凯伦股份,300715,44.47,47.42,47.42,43.54,531840,601352297.0,9.9,20.97,8.22,15.92
229,2025-01-08,凯伦股份,300715,39.2,39.2,39.2,39.2,75094,73141283.0,0.0,21.06,6.82,2.25
228,2025-01-07,凯伦股份,300715,30.99,32.38,33.09,29.98,165004,131940230.0,10.09,5.06,1.56,4.94
227,2025-01-06,凯伦股份,300715,29.81,30.82,33.89,28.8,201067,157240374.0,17.15,3.84,1.14,6.02
226,2025-01-03,凯伦股份,300715,28.12,29.68,29.68,26.48,136516,98143129.0,11.43,6.0,1.68,4.09
225,2025-01-02,凯伦股份,300715,29.77,28.0,30.31,27.79,131836,96194771.0,8.56,-4.86,-1.43,3.95
224,2024-12-31,凯伦股份,300715,28.12,29.43,29.89,27.91,159386,116600565.0,7.03,4.47,1.26,4.77
223,2024-12-30,凯伦股份,300715,26.82,28.17,29.05,25.85,107745,74548732.0,11.8,3.91,1.06,3.16
222,2024-12-27,凯伦股份,300715,28.42,27.11,28.42,26.73,110791,76754105.0,6.1,-2.13,-0.59,3.25
221,2024-12-26,凯伦股份,300715,25.56,27.7,28.34,25.18,183222,124861740.0,12.39,8.58,2.19,5.37
220,2024-12-25,凯伦股份,300715,26.48,25.51,26.48,25.13,34095,22163694.0,5.11,-3.37,-0.89,1.0
219,2024-12-24,凯伦股份,300715,26.82,26.4,26.99,25.93,31563,21135265.0,4.0,-0.3,-0.08,0.93
218,2024-12-23,凯伦股份,300715,28.67,26.48,28.67,26.27,47756,32686523.0,8.51,-6.13,-1.73,1.4
217,2024-12-20,凯伦股份,300715,28.29,28.21,28.76,27.91,35929,25744493.0,3.0,-0.6,-0.17,1.05
216,2024-12-19,凯伦股份,300715,28.5,28.38,28.8,27.83,37682,26933424.0,3.35,-1.87,-0.54,1.11
215,2024-12-18,凯伦股份,300715,29.39,28.92,29.73,28.5,33514,24550915.0,4.2,-1.16,-0.34,0.98
214,2024-12-17,凯伦股份,300715,31.11,29.26,31.16,29.01,49805,37171553.0,6.93,-5.7,-1.77,1.46
213,2024-12-16,凯伦股份,300715,30.86,31.03,31.37,30.69,26894,20969042.0,2.2,0.42,0.13,0.79
212,2024-12-13,凯伦股份,300715,31.66,30.9,31.83,30.69,32057,25020442.0,3.59,-2.68,-0.85,0.94
211,2024-12-12,凯伦股份,300715,31.2,31.75,31.96,30.61,33063,26145614.0,4.35,2.19,0.68,0.97
210,2024-12-11,凯伦股份,300715,30.53,31.07,31.11,30.53,25615,19912601.0,1.9,1.77,0.54,0.75
209,2024-12-10,凯伦股份,300715,32.13,30.53,32.21,30.4,39270,30738416.0,5.88,-0.81,-0.25,1.15
208,2024-12-09,凯伦股份,300715,30.74,30.78,31.2,30.19,29254,22593207.0,3.29,0.13,0.04,0.86
207,2024-12-06,凯伦股份,300715,30.15,30.74,30.86,29.89,38384,29479123.0,3.24,2.54,0.76,1.13
206,2024-12-05,凯伦股份,300715,29.56,29.98,30.23,29.35,21201,15966413.0,2.97,1.15,0.34,0.62
205,2024-12-04,凯伦股份,300715,30.57,29.64,30.57,29.43,30308,22764387.0,3.75,-2.63,-0.8,0.89
204,2024-12-03,凯伦股份,300715,30.36,30.44,30.61,30.02,25448,19447002.0,1.94,0.26,0.08,0.75
203,2024-12-02,凯伦股份,300715,29.85,30.36,30.57,29.85,32676,24809651.0,2.42,2.12,0.63,0.96
202,2024-11-29,凯伦股份,300715,29.73,29.73,30.06,29.22,24905,18632201.0,2.84,0.44,0.13,0.73
201,2024-11-28,凯伦股份,300715,29.22,29.6,29.98,29.05,22448,16787336.0,3.18,1.3,0.38,0.66
200,2024-11-27,凯伦股份,300715,28.92,29.22,29.35,27.83,29352,21120260.0,5.26,1.04,0.3,0.86
199,2024-11-26,凯伦股份,300715,29.26,28.92,29.51,28.84,17667,13025657.0,2.29,-1.03,-0.3,0.52
198,2024-11-25,凯伦股份,300715,28.63,29.22,29.3,28.5,25261,18437372.0,2.8,2.35,0.67,0.74
197,2024-11-22,凯伦股份,300715,29.77,28.55,30.1,28.5,32012,23632866.0,5.34,-4.64,-1.39,0.94
196,2024-11-21,凯伦股份,300715,29.81,29.94,30.23,29.39,22970,17290233.0,2.81,0.17,0.05,0.67
195,2024-11-20,凯伦股份,300715,29.18,29.89,30.23,28.71,28502,21306948.0,5.18,1.84,0.54,0.84
194,2024-11-19,凯伦股份,300715,28.63,29.35,29.35,28.38,25541,18574790.0,3.41,3.13,0.89,0.75
193,2024-11-18,凯伦股份,300715,30.06,28.46,30.44,28.29,42419,31281165.0,7.38,-2.33,-0.68,1.24
192,2024-11-15,凯伦股份,300715,30.23,29.14,30.69,29.14,38877,29295038.0,5.12,-3.73,-1.13,1.14
191,2024-11-14,凯伦股份,300715,31.49,30.27,31.66,30.27,27973,21713930.0,4.43,-3.51,-1.1,0.82
190,2024-11-13,凯伦股份,300715,31.24,31.37,31.79,30.61,28410,22227501.0,3.76,-0.13,-0.04,0.83
189,2024-11-12,凯伦股份,300715,31.83,31.41,32.42,30.99,49230,39388712.0,4.52,-0.66,-0.21,1.44
188,2024-11-11,凯伦股份,300715,31.33,31.62,31.66,30.86,32544,25550725.0,2.56,1.35,0.42,0.95
187,2024-11-08,凯伦股份,300715,32.21,31.2,32.67,31.03,42155,33262628.0,5.17,-1.58,-0.5,1.24
186,2024-11-07,凯伦股份,300715,30.4,31.7,31.87,30.4,35188,27887679.0,4.76,2.72,0.84,1.03
185,2024-11-06,凯伦股份,300715,30.53,30.86,31.24,30.02,39820,30817738.0,4.04,2.22,0.67,1.17
184,2024-11-05,凯伦股份,300715,29.68,30.19,30.82,29.68,37370,28534462.0,3.84,1.72,0.51,1.1
183,2024-11-04,凯伦股份,300715,29.09,29.68,29.73,28.8,24100,17826718.0,3.19,1.71,0.5,0.71
182,2024-11-01,凯伦股份,300715,31.03,29.18,31.03,29.14,43247,32395635.0,6.13,-5.32,-1.64,1.27
181,2024-10-31,凯伦股份,300715,30.53,30.82,31.54,30.4,39542,30803093.0,3.75,1.52,0.46,1.16
180,2024-10-30,凯伦股份,300715,30.23,30.36,31.28,30.06,30637,23600948.0,4.04,0.43,0.13,0.9
179,2024-10-29,凯伦股份,300715,31.54,30.23,31.66,30.06,32178,24835908.0,5.07,-4.15,-1.31,0.94
178,2024-10-28,凯伦股份,300715,31.03,31.54,31.58,30.9,39930,31328671.0,2.2,1.91,0.59,1.17
177,2024-10-25,凯伦股份,300715,29.77,30.95,31.16,29.73,57917,44696931.0,4.81,4.1,1.22,1.7
176,2024-10-24,凯伦股份,300715,29.77,29.73,30.19,29.3,36143,27015142.0,2.92,-2.33,-0.71,1.06
175,2024-10-23,凯伦股份,300715,30.36,30.44,31.03,30.15,48267,37109756.0,2.88,-0.29,-0.09,1.42
174,2024-10-22,凯伦股份,300715,30.31,30.53,30.57,29.94,47030,35878854.0,2.07,0.43,0.13,1.38
173,2024-10-21,凯伦股份,300715,30.99,30.4,31.03,29.85,77654,59260592.0,3.8,-2.03,-0.63,2.28
