,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,华致酒行,300755,35.81,35.07,36.3,35.07,30878,54123293.0,3.43,-2.07,-0.74,0.74
239,2025-01-24,华致酒行,300755,36.28,35.81,36.57,35.67,56711,100334318.0,2.47,-1.92,-0.7,1.36
238,2025-01-23,华致酒行,300755,37.36,36.51,37.56,36.42,44666,81412995.0,3.09,-0.92,-0.34,1.07
237,2025-01-22,华致酒行,300755,37.63,36.85,37.63,36.67,41491,75832167.0,2.55,-2.15,-0.81,1.0
236,2025-01-21,华致酒行,300755,37.21,37.66,38.35,36.94,66032,122859713.0,3.79,1.29,0.48,1.59
235,2025-01-20,华致酒行,300755,36.69,37.18,38.6,36.03,122257,226571819.0,6.82,-1.27,-0.48,2.94
234,2025-01-17,华致酒行,300755,35.52,37.66,38.08,35.41,133017,244582377.0,7.49,5.58,1.99,3.19
233,2025-01-16,华致酒行,300755,35.49,35.67,36.39,35.2,47456,83457892.0,3.36,0.76,0.27,1.14
232,2025-01-15,华致酒行,300755,35.07,35.4,35.92,35.07,41556,72530623.0,2.41,0.25,0.09,1.0
231,2025-01-14,华致酒行,300755,33.85,35.31,35.38,33.85,56194,96050251.0,4.53,4.5,1.52,1.35
230,2025-01-13,华致酒行,300755,32.3,33.79,34.15,31.9,64229,104356421.0,6.89,3.46,1.13,1.54
229,2025-01-10,华致酒行,300755,33.88,32.66,34.17,32.62,45811,74388491.0,4.6,-3.14,-1.06,1.1
228,2025-01-09,华致酒行,300755,33.2,33.72,34.87,32.79,53619,89084420.0,6.27,1.57,0.52,1.29
227,2025-01-08,华致酒行,300755,32.77,33.2,33.47,32.21,40398,64504242.0,3.81,0.48,0.16,0.97
226,2025-01-07,华致酒行,300755,31.85,33.04,33.07,31.29,53445,83345782.0,5.6,3.9,1.24,1.28
225,2025-01-06,华致酒行,300755,32.37,31.8,32.86,31.44,57837,89650861.0,4.28,-4.16,-1.38,1.39
224,2025-01-03,华致酒行,300755,35.79,33.18,36.19,33.13,99169,166342012.0,8.43,-8.54,-3.1,2.38
