,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,海能实业,300787,45.86,44.53,45.95,44.5,29599,37190982.36,3.17,-2.75,-1.26,1.83
239,2025-01-24,海能实业,300787,44.69,45.79,45.92,44.43,34135,42922085.0,3.33,2.32,1.04,2.11
238,2025-01-23,海能实业,300787,46.12,44.75,46.44,44.72,54358,68880224.0,3.78,-1.58,-0.72,3.37
237,2025-01-22,海能实业,300787,46.47,45.47,46.6,45.31,36067,46092116.0,2.78,-2.15,-1.0,2.23
236,2025-01-21,海能实业,300787,46.86,46.47,46.96,45.79,29132,37565205.0,2.51,-0.28,-0.13,1.8
235,2025-01-20,海能实业,300787,45.89,46.6,46.83,45.24,37347,48082873.0,3.49,2.19,1.0,2.31
234,2025-01-17,海能实业,300787,45.27,45.6,45.89,44.82,32049,40542996.0,2.36,0.73,0.33,1.98
233,2025-01-16,海能实业,300787,46.08,45.27,46.44,44.98,29287,37126835.0,3.2,-0.72,-0.33,1.81
232,2025-01-15,海能实业,300787,46.18,45.6,46.24,45.31,29917,38056226.0,2.02,-1.04,-0.48,1.85
231,2025-01-14,海能实业,300787,43.81,46.08,46.12,43.81,40548,51040172.0,5.28,5.25,2.3,2.51
230,2025-01-13,海能实业,300787,43.17,43.78,43.98,41.9,32071,38226407.0,4.77,0.37,0.16,1.99
229,2025-01-10,海能实业,300787,45.47,43.62,46.12,43.62,37229,46386206.0,5.49,-4.26,-1.94,2.31
228,2025-01-09,海能实业,300787,44.98,45.56,46.73,44.53,39580,50690529.0,4.89,1.22,0.55,2.45
227,2025-01-08,海能实业,300787,45.14,45.01,45.69,43.46,43703,54356771.0,4.9,-1.08,-0.49,2.71
226,2025-01-07,海能实业,300787,44.14,45.5,45.5,43.81,36831,45668294.0,3.86,3.93,1.72,2.28
225,2025-01-06,海能实业,300787,44.43,43.78,44.59,42.39,41005,49616698.0,4.91,-2.25,-1.01,2.54
224,2025-01-03,海能实业,300787,46.93,44.79,47.57,44.37,61968,78632167.0,6.87,-3.88,-1.81,3.84
223,2025-01-02,海能实业,300787,47.99,46.6,48.64,45.56,64063,84523130.0,6.42,-2.84,-1.36,3.97
222,2024-12-31,海能实业,300787,51.79,47.96,51.79,47.86,88101,122306623.0,7.63,-6.86,-3.53,5.46
221,2024-12-30,海能实业,300787,51.46,51.49,52.79,49.94,77392,112864346.0,5.51,-0.44,-0.23,4.79
220,2024-12-27,海能实业,300787,52.92,51.72,53.05,51.3,87023,127778299.0,3.31,-2.27,-1.2,5.39
219,2024-12-26,海能实业,300787,49.61,52.92,53.57,49.29,133691,196789346.0,8.62,6.59,3.27,8.28
218,2024-12-25,海能实业,300787,50.29,49.65,50.75,48.35,45936,63819538.0,4.74,-2.03,-1.03,2.84
217,2024-12-24,海能实业,300787,49.36,50.68,51.33,48.9,59878,84518469.0,4.98,3.77,1.84,3.71
216,2024-12-23,海能实业,300787,51.46,48.84,52.14,48.64,50353,70781771.0,6.78,-5.46,-2.82,3.12
215,2024-12-20,海能实业,300787,50.36,51.66,52.01,50.07,61317,89079135.0,3.86,2.79,1.4,3.8
214,2024-12-19,海能实业,300787,48.8,50.26,50.26,48.16,55724,77777660.0,4.3,2.84,1.39,3.45
213,2024-12-18,海能实业,300787,49.06,48.87,49.39,47.05,47865,64871544.0,4.85,1.28,0.62,2.96
212,2024-12-17,海能实业,300787,50.29,48.25,50.42,48.16,47883,65859487.0,4.49,-4.13,-2.08,2.96
211,2024-12-16,海能实业,300787,50.81,50.33,51.27,49.87,38788,55155997.0,2.75,-1.02,-0.52,2.4
210,2024-12-13,海能实业,300787,51.53,50.85,52.04,50.85,48752,70573153.0,2.29,-2.12,-1.1,3.02
209,2024-12-12,海能实业,300787,51.79,51.95,52.56,51.01,70081,101970094.0,3.0,0.39,0.2,4.34
208,2024-12-11,海能实业,300787,50.42,51.75,51.95,49.84,103901,148919011.0,4.08,0.12,0.06,6.43
207,2024-12-10,海能实业,300787,53.63,51.69,53.89,51.46,125808,186478337.0,4.67,-0.56,-0.29,7.79
206,2024-12-09,海能实业,300787,49.68,51.98,52.98,49.1,137300,199852481.0,7.88,5.52,2.72,8.5
205,2024-12-06,海能实业,300787,49.32,49.26,49.78,48.29,46715,64197486.0,3.02,-0.12,-0.06,2.89
204,2024-12-05,海能实业,300787,48.93,49.32,50.17,48.8,52312,72853160.0,2.77,-0.14,-0.07,3.24
203,2024-12-04,海能实业,300787,49.91,49.39,50.07,48.25,54910,75896953.0,3.62,-1.67,-0.84,3.4
202,2024-12-03,海能实业,300787,49.19,50.23,50.33,48.93,63296,88070735.0,2.85,2.18,1.07,3.92
201,2024-12-02,海能实业,300787,48.51,49.16,49.78,48.51,66890,92488346.0,2.62,1.26,0.61,4.14
200,2024-11-29,海能实业,300787,48.16,48.55,48.93,47.31,59020,79644978.0,3.36,0.81,0.39,3.65
199,2024-11-28,海能实业,300787,48.74,48.16,49.16,47.99,61874,84244080.0,2.39,-1.45,-0.71,3.83
198,2024-11-27,海能实业,300787,47.93,48.87,49.1,46.6,71827,96308786.0,5.18,1.35,0.65,4.45
197,2024-11-26,海能实业,300787,49.23,48.22,50.13,47.99,74742,102007380.0,4.3,-3.06,-1.52,4.63
196,2024-11-25,海能实业,300787,49.84,49.74,50.46,47.99,108393,148765499.0,4.92,-0.92,-0.46,6.71
195,2024-11-22,海能实业,300787,52.6,50.2,54.8,49.84,159453,236771985.0,9.27,-6.17,-3.3,9.87
194,2024-11-21,海能实业,300787,54.05,53.5,54.25,52.04,185566,278900005.0,3.99,-3.29,-1.82,11.49
193,2024-11-20,海能实业,300787,50.91,55.32,58.46,50.75,284590,432903466.0,14.91,6.96,3.6,17.62
192,2024-11-19,海能实业,300787,50.07,51.72,51.72,48.61,202699,287063228.0,6.16,2.5,1.26,12.55
191,2024-11-18,海能实业,300787,48.35,50.46,52.66,45.66,164018,225545418.0,14.52,4.65,2.24,10.16
190,2024-11-15,海能实业,300787,47.86,48.22,51.01,47.8,63972,88188030.0,6.67,0.12,0.06,3.96
189,2024-11-14,海能实业,300787,49.78,48.16,50.46,48.06,46418,63948729.0,4.79,-3.93,-1.97,2.87
188,2024-11-13,海能实业,300787,49.84,50.13,50.65,48.87,55608,77698296.0,3.57,0.64,0.32,3.44
187,2024-11-12,海能实业,300787,49.52,49.81,51.79,49.29,81674,115090467.0,5.05,0.59,0.29,5.06
186,2024-11-11,海能实业,300787,48.61,49.52,49.87,48.29,63211,87343222.0,3.26,2.21,1.07,3.91
185,2024-11-08,海能实业,300787,49.06,48.45,49.87,48.32,54271,74454273.0,3.2,-0.12,-0.06,3.36
184,2024-11-07,海能实业,300787,48.25,48.51,48.64,47.18,43557,58481996.0,3.04,1.0,0.48,2.7
183,2024-11-06,海能实业,300787,47.41,48.03,49.26,47.41,67472,91228507.0,3.9,1.31,0.62,4.18
182,2024-11-05,海能实业,300787,46.44,47.41,47.54,46.15,47241,61897640.0,3.0,2.24,1.04,2.93
181,2024-11-04,海能实业,300787,44.69,46.37,46.41,44.62,42271,54149600.0,4.01,3.76,1.68,2.62
180,2024-11-01,海能实业,300787,47.57,44.69,47.7,44.59,63915,81350308.0,6.49,-6.7,-3.21,3.96
179,2024-10-31,海能实业,300787,47.44,47.9,48.19,47.25,48686,65101606.0,1.96,0.0,0.0,3.01
178,2024-10-30,海能实业,300787,48.06,47.9,48.8,46.89,47562,63649841.0,3.95,-0.87,-0.42,2.94
