,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,佳禾智能,300793,29.77,29.18,30.03,29.02,258857,460719973.99,3.38,-2.31,-0.69,6.96
239,2025-01-24,佳禾智能,300793,28.44,29.87,29.87,28.43,302388,535557250.0,5.03,4.44,1.27,8.13
238,2025-01-23,佳禾智能,300793,29.37,28.6,30.03,28.6,262929,466951205.0,4.93,-1.38,-0.4,7.07
237,2025-01-22,佳禾智能,300793,29.34,29.0,29.5,28.83,233588,412019821.0,2.25,-2.82,-0.84,6.28
236,2025-01-21,佳禾智能,300793,29.23,29.84,30.25,29.08,379618,678658940.0,4.08,4.08,1.17,10.2
235,2025-01-20,佳禾智能,300793,28.6,28.67,28.97,28.3,205883,356739248.0,2.36,1.09,0.31,5.53
234,2025-01-17,佳禾智能,300793,28.08,28.36,29.48,27.84,240350,413594347.0,5.79,0.14,0.04,6.46
233,2025-01-16,佳禾智能,300793,28.94,28.32,29.45,28.11,259533,450282170.0,4.66,-1.6,-0.46,6.98
232,2025-01-15,佳禾智能,300793,28.88,28.78,29.16,28.56,228177,397632493.0,2.08,-0.17,-0.05,6.13
231,2025-01-14,佳禾智能,300793,26.78,28.83,28.84,26.62,333798,563795247.0,8.33,8.22,2.19,8.97
230,2025-01-13,佳禾智能,300793,26.38,26.64,27.18,25.9,211735,339182798.0,4.78,-0.45,-0.12,5.69
229,2025-01-10,佳禾智能,300793,28.36,26.76,28.94,26.59,301312,507049651.0,8.17,-7.02,-2.02,8.1
228,2025-01-09,佳禾智能,300793,28.25,28.78,29.64,28.24,329543,576669816.0,4.9,0.63,0.18,8.86
227,2025-01-08,佳禾智能,300793,28.14,28.6,29.1,27.15,343977,589170099.0,6.88,0.88,0.25,9.25
226,2025-01-07,佳禾智能,300793,27.26,28.35,28.41,27.15,317127,534090755.0,4.62,3.88,1.06,8.52
225,2025-01-06,佳禾智能,300793,29.58,27.29,29.9,27.15,415889,714000121.0,9.15,-9.21,-2.77,11.18
224,2025-01-03,佳禾智能,300793,32.78,30.06,33.31,29.88,376284,718175428.0,10.95,-3.99,-1.25,10.11
223,2025-01-02,佳禾智能,300793,31.69,31.31,32.89,30.56,365499,701986717.0,7.17,-3.6,-1.17,9.82
222,2024-12-31,佳禾智能,300793,34.59,32.48,35.12,32.25,476622,966787155.0,8.07,-8.71,-3.1,12.81
221,2024-12-30,佳禾智能,300793,35.5,35.58,36.22,34.08,491506,1056017523.0,6.06,0.74,0.26,13.36
220,2024-12-27,佳禾智能,300793,36.14,35.32,38.86,35.13,772839,1726108531.0,10.16,-3.81,-1.4,21.01
219,2024-12-26,佳禾智能,300793,34.52,36.72,37.55,34.14,821053,1790448488.0,9.74,4.85,1.7,22.32
218,2024-12-25,佳禾智能,300793,32.78,35.02,38.44,32.49,836285,1784879935.0,18.18,7.0,2.29,22.74
217,2024-12-24,佳禾智能,300793,32.14,32.73,33.1,30.88,391098,762531288.0,6.94,2.35,0.75,10.63
216,2024-12-23,佳禾智能,300793,33.47,31.98,34.46,31.84,431788,862689146.0,7.83,-4.37,-1.46,11.74
215,2024-12-20,佳禾智能,300793,32.08,33.44,35.29,32.08,633521,1305945466.0,9.77,1.83,0.6,17.22
