,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中科海讯,300810,28.67,28.42,29.32,28.31,17992,34232515.5,3.54,-0.42,-0.12,1.58
239,2025-01-24,中科海讯,300810,27.88,28.54,28.58,27.59,23988,44633704.0,3.54,2.11,0.59,2.1
238,2025-01-23,中科海讯,300810,27.23,27.95,29.75,27.23,41446,77938116.0,9.47,5.0,1.33,3.64
237,2025-01-22,中科海讯,300810,26.77,26.62,26.78,26.29,9141,16043508.0,1.82,-1.11,-0.3,0.8
236,2025-01-21,中科海讯,300810,27.61,26.92,27.61,26.48,15377,27253931.0,4.11,-2.07,-0.57,1.35
235,2025-01-20,中科海讯,300810,27.11,27.49,27.53,26.45,15305,27512825.0,4.0,1.78,0.48,1.34
234,2025-01-17,中科海讯,300810,27.46,27.01,27.46,26.84,11921,21346863.0,2.28,-0.7,-0.19,1.05
233,2025-01-16,中科海讯,300810,27.65,27.2,27.82,26.95,14227,25748113.0,3.17,-0.77,-0.21,1.25
232,2025-01-15,中科海讯,300810,27.92,27.41,28.13,27.23,13564,24794267.0,3.21,-2.14,-0.6,1.19
231,2025-01-14,中科海讯,300810,26.71,28.01,28.01,26.71,26210,47680082.0,4.8,3.43,0.93,2.3
230,2025-01-13,中科海讯,300810,26.36,27.08,27.46,25.79,14651,25876432.0,6.19,0.37,0.1,1.29
229,2025-01-10,中科海讯,300810,28.13,26.98,28.48,26.92,18639,34146859.0,5.49,-5.0,-1.42,1.64
228,2025-01-09,中科海讯,300810,27.32,28.4,29.26,27.02,26381,49221637.0,8.2,3.95,1.08,2.31
227,2025-01-08,中科海讯,300810,27.41,27.32,27.8,26.35,12466,22440321.0,5.3,-0.18,-0.05,1.09
226,2025-01-07,中科海讯,300810,26.93,27.37,27.37,26.47,9894,17632727.0,3.4,3.52,0.93,0.87
225,2025-01-06,中科海讯,300810,26.78,26.44,26.93,25.88,12065,21062363.0,3.9,-1.67,-0.45,1.06
224,2025-01-03,中科海讯,300810,28.01,26.89,28.39,26.84,16666,30174915.0,5.51,-4.48,-1.26,1.46
223,2025-01-02,中科海讯,300810,28.81,28.15,29.36,27.77,14977,28386909.0,5.47,-3.2,-0.93,1.31
222,2024-12-31,中科海讯,300810,29.95,29.08,30.22,28.96,12680,24722675.0,4.22,-2.71,-0.81,1.11
221,2024-12-30,中科海讯,300810,30.53,29.89,30.53,29.23,15124,29896419.0,4.31,-0.93,-0.28,1.33
220,2024-12-27,中科海讯,300810,30.1,30.17,30.92,29.72,16250,32678336.0,4.06,2.03,0.6,1.43
219,2024-12-26,中科海讯,300810,28.93,29.57,29.96,28.93,12404,24356587.0,3.54,1.69,0.49,1.09
218,2024-12-25,中科海讯,300810,30.07,29.08,30.07,28.72,17317,33310426.0,4.52,-2.74,-0.82,1.52
217,2024-12-24,中科海讯,300810,30.07,29.9,30.62,29.06,22566,44250041.0,5.19,-0.57,-0.17,1.98
216,2024-12-23,中科海讯,300810,32.15,30.07,32.39,29.93,29786,60524039.0,7.65,-6.47,-2.08,2.61
215,2024-12-20,中科海讯,300810,31.58,32.15,32.51,31.33,18369,39006621.0,3.75,2.1,0.66,1.61
214,2024-12-19,中科海讯,300810,31.28,31.49,32.0,30.74,17869,37155537.0,4.01,0.1,0.03,1.57
213,2024-12-18,中科海讯,300810,32.23,31.46,32.63,31.3,37493,78916806.0,4.14,-2.05,-0.66,3.29
212,2024-12-17,中科海讯,300810,34.16,32.12,34.54,31.88,40243,87885289.0,7.8,-5.86,-2.0,3.53
211,2024-12-16,中科海讯,300810,33.11,34.12,35.02,32.87,39380,89323061.0,6.49,2.96,0.98,3.45
210,2024-12-13,中科海讯,300810,33.83,33.14,33.92,33.08,21767,48167608.0,2.47,-2.64,-0.9,1.91
209,2024-12-12,中科海讯,300810,34.13,34.04,34.78,33.79,20233,45826729.0,2.9,-0.41,-0.14,1.78
208,2024-12-11,中科海讯,300810,34.18,34.18,34.4,33.62,21588,48494301.0,2.28,0.09,0.03,1.89
207,2024-12-10,中科海讯,300810,33.71,34.15,35.18,33.05,41383,93478337.0,6.44,3.33,1.1,3.63
206,2024-12-09,中科海讯,300810,33.38,33.05,33.47,32.56,14203,31031528.0,2.72,-1.05,-0.35,1.25
205,2024-12-06,中科海讯,300810,33.65,33.4,34.06,32.93,21824,48297974.0,3.38,-0.03,-0.01,1.91
204,2024-12-05,中科海讯,300810,32.56,33.41,33.68,32.41,23234,51072147.0,3.9,2.61,0.85,2.04
203,2024-12-04,中科海讯,300810,33.61,32.56,33.68,32.24,18922,41219041.0,4.3,-2.81,-0.94,1.66
202,2024-12-03,中科海讯,300810,32.83,33.5,33.95,32.51,29308,64375472.0,4.38,1.95,0.64,2.57
201,2024-12-02,中科海讯,300810,32.3,32.86,32.98,32.23,23798,51423037.0,2.32,1.58,0.51,2.09
200,2024-11-29,中科海讯,300810,31.87,32.35,32.53,31.33,23174,49120627.0,3.76,1.32,0.42,2.03
199,2024-11-28,中科海讯,300810,31.96,31.93,32.47,31.7,19207,40838623.0,2.42,0.35,0.11,1.69
198,2024-11-27,中科海讯,300810,31.07,31.82,31.85,30.1,19008,39049538.0,5.64,2.61,0.81,1.67
197,2024-11-26,中科海讯,300810,31.28,31.01,31.78,30.91,13041,27052585.0,2.75,-1.87,-0.59,1.14
196,2024-11-25,中科海讯,300810,31.04,31.6,31.67,30.58,19412,39914240.0,3.51,1.8,0.56,1.7
195,2024-11-22,中科海讯,300810,32.57,31.04,32.71,30.98,22550,47845875.0,5.33,-4.43,-1.44,1.98
194,2024-11-21,中科海讯,300810,32.26,32.48,32.95,31.88,17146,36849938.0,3.3,0.22,0.07,1.5
193,2024-11-20,中科海讯,300810,31.69,32.41,32.62,31.55,20333,43303282.0,3.38,2.34,0.74,1.78
192,2024-11-19,中科海讯,300810,31.0,31.67,31.7,30.55,20732,42694332.0,3.71,2.26,0.7,1.82
191,2024-11-18,中科海讯,300810,32.09,30.97,32.6,30.53,26157,53953665.0,6.45,-3.49,-1.12,2.29
190,2024-11-15,中科海讯,300810,33.4,32.09,33.91,32.09,29091,63363451.0,5.43,-4.29,-1.44,2.55
189,2024-11-14,中科海讯,300810,34.64,33.53,34.64,33.47,24166,54347562.0,3.37,-3.29,-1.14,2.12
188,2024-11-13,中科海讯,300810,34.36,34.67,34.72,33.55,30019,68149283.0,3.4,0.7,0.24,2.63
187,2024-11-12,中科海讯,300810,35.66,34.43,35.68,33.89,50685,117112519.0,4.99,-3.99,-1.43,4.45
186,2024-11-11,中科海讯,300810,34.94,35.86,36.19,34.73,55836,131712249.0,4.17,2.37,0.83,4.9
185,2024-11-08,中科海讯,300810,34.3,35.03,35.9,34.3,61013,142506220.0,4.67,2.19,0.75,5.35
184,2024-11-07,中科海讯,300810,33.68,34.28,34.4,33.53,39957,90075012.0,2.54,0.09,0.03,3.51
183,2024-11-06,中科海讯,300810,34.73,34.25,35.56,33.86,52100,119591786.0,4.91,-1.01,-0.35,4.57
182,2024-11-05,中科海讯,300810,32.78,34.6,34.81,32.78,53723,120842636.0,6.23,6.17,2.01,4.71
181,2024-11-04,中科海讯,300810,32.2,32.59,32.75,31.67,28985,61899377.0,3.36,1.37,0.44,2.54
180,2024-11-01,中科海讯,300810,34.31,32.15,35.27,31.76,60167,131423096.0,10.14,-7.11,-2.46,5.28
179,2024-10-31,中科海讯,300810,34.13,34.61,35.15,34.03,42704,97806047.0,3.24,0.17,0.06,3.75
178,2024-10-30,中科海讯,300810,35.2,34.55,35.69,33.91,57629,131956125.0,5.01,-2.84,-1.01,5.06
177,2024-10-29,中科海讯,300810,37.15,35.56,38.3,35.44,72921,176384644.0,7.68,-4.54,-1.69,6.4
176,2024-10-28,中科海讯,300810,36.23,37.25,38.26,36.23,97741,242156470.0,5.57,2.17,0.79,8.57
175,2024-10-25,中科海讯,300810,34.88,36.46,38.23,34.4,113352,273850694.0,11.13,5.99,2.06,9.94
174,2024-10-24,中科海讯,300810,35.86,34.4,35.86,34.24,64556,148647094.0,4.42,-6.14,-2.25,5.66
173,2024-10-23,中科海讯,300810,33.11,36.65,37.49,33.11,140761,334397708.0,12.56,5.1,1.78,12.35
172,2024-10-22,中科海讯,300810,36.98,34.87,36.98,34.57,113864,269165729.0,6.39,-7.56,-2.85,9.99
171,2024-10-21,中科海讯,300810,34.58,37.72,37.73,34.37,168345,404269568.0,9.61,7.89,2.76,14.77
170,2024-10-18,中科海讯,300810,33.98,34.96,36.2,32.75,152842,346411317.0,9.85,-0.2,-0.07,13.41
169,2024-10-17,中科海讯,300810,34.45,35.03,36.04,33.86,132811,306038676.0,6.21,-0.14,-0.05,11.65
168,2024-10-16,中科海讯,300810,34.73,35.08,36.23,34.03,167198,389050553.0,5.82,-7.17,-2.71,14.67
167,2024-10-15,中科海讯,300810,31.75,37.79,40.13,31.15,266422,632469576.0,26.51,11.54,3.91,23.37
166,2024-10-14,中科海讯,300810,28.73,33.88,33.88,28.73,198292,434058534.0,18.22,19.84,5.61,17.4
165,2024-10-11,中科海讯,300810,29.84,28.27,30.22,27.53,61181,116220631.0,8.74,-8.18,-2.52,5.37
164,2024-10-10,中科海讯,300810,29.12,30.79,33.2,28.63,86206,177199291.0,16.01,7.85,2.24,7.56
163,2024-10-09,中科海讯,300810,31.6,28.55,31.6,28.55,63429,126777703.0,9.18,-14.06,-4.67,5.56
162,2024-10-08,中科海讯,300810,34.1,33.22,34.27,29.48,89035,188813352.0,16.5,14.43,4.19,7.81
161,2024-09-30,中科海讯,300810,26.66,29.03,29.6,26.06,66322,121748764.0,13.81,13.27,3.4,5.82
160,2024-09-27,中科海讯,300810,24.67,25.63,25.9,24.44,42772,71148655.0,5.97,4.87,1.19,3.75
159,2024-09-26,中科海讯,300810,24.14,24.44,24.44,23.84,21051,33565529.0,2.49,1.24,0.3,1.85
158,2024-09-25,中科海讯,300810,24.43,24.14,24.58,23.98,27522,44124759.0,2.49,0.29,0.07,2.41
157,2024-09-24,中科海讯,300810,23.65,24.07,24.11,23.33,18641,29337988.0,3.29,1.48,0.35,1.64
156,2024-09-23,中科海讯,300810,23.21,23.72,23.99,22.82,17354,26836180.0,5.0,1.41,0.33,1.52
155,2024-09-20,中科海讯,300810,23.63,23.39,23.86,23.3,13173,20449945.0,2.37,-0.97,-0.23,1.16
154,2024-09-19,中科海讯,300810,24.19,23.62,24.19,23.0,15571,24076507.0,5.12,1.68,0.39,1.37
153,2024-09-18,中科海讯,300810,23.68,23.23,23.78,22.88,13454,20663914.0,3.8,-1.9,-0.45,1.18
152,2024-09-13,中科海讯,300810,23.98,23.68,24.04,23.63,9853,15480857.0,1.72,-0.75,-0.18,0.86
151,2024-09-12,中科海讯,300810,23.81,23.86,24.26,23.81,9384,14912095.0,1.88,-0.38,-0.09,0.82
150,2024-09-11,中科海讯,300810,24.4,23.95,24.5,23.83,13362,21227980.0,2.73,-2.24,-0.55,1.17
149,2024-09-10,中科海讯,300810,24.16,24.5,24.58,23.92,16236,26001262.0,2.73,1.41,0.34,1.42
148,2024-09-09,中科海讯,300810,23.84,24.16,24.26,23.57,12433,19718169.0,2.87,0.58,0.14,1.09
147,2024-09-06,中科海讯,300810,24.37,24.02,24.97,23.92,24898,39843647.0,4.31,-1.44,-0.35,2.18
146,2024-09-05,中科海讯,300810,24.44,24.37,24.74,24.1,15920,25711563.0,2.64,0.58,0.14,1.4
145,2024-09-04,中科海讯,300810,24.49,24.23,24.73,24.07,22981,36895997.0,2.66,-2.18,-0.54,2.02
144,2024-09-03,中科海讯,300810,25.33,24.77,26.17,23.86,46429,75649039.0,9.55,2.36,0.57,4.07
143,2024-09-02,中科海讯,300810,25.1,24.2,25.27,24.13,27388,44673522.0,4.61,-2.06,-0.51,2.4
142,2024-08-30,中科海讯,300810,23.11,24.71,25.34,23.11,40040,64697025.0,9.63,6.74,1.56,3.51
141,2024-08-29,中科海讯,300810,22.97,23.15,23.35,22.52,20574,31226729.0,3.6,0.52,0.12,1.8
140,2024-08-28,中科海讯,300810,22.78,23.03,23.24,22.25,17010,25791126.0,4.34,0.96,0.22,1.49
139,2024-08-27,中科海讯,300810,23.56,22.81,23.56,22.69,19967,30300553.0,3.69,-3.18,-0.75,1.75
138,2024-08-26,中科海讯,300810,23.66,23.56,23.78,23.08,16110,25021002.0,2.99,0.64,0.15,1.41
