,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中富电路,300814,37.53,37.55,38.11,36.93,102402,379273267.66,3.15,0.16,0.06,5.82
240,2025-01-23,中富电路,300814,39.43,37.49,40.13,37.31,137309,524602903.0,7.27,-3.38,-1.31,7.81
239,2025-01-22,中富电路,300814,38.93,38.8,40.43,38.53,116503,454797820.0,4.78,-2.39,-0.95,6.63
238,2025-01-21,中富电路,300814,40.48,39.75,41.06,39.0,152389,599015616.0,4.96,-4.22,-1.75,8.67
237,2025-01-20,中富电路,300814,40.65,41.5,43.31,38.43,224790,901568100.0,12.71,8.07,3.1,12.79
236,2025-01-17,中富电路,300814,34.59,38.4,40.26,34.23,223938,816731121.0,17.44,11.05,3.82,12.74
235,2025-01-16,中富电路,300814,34.74,34.58,35.04,33.5,118640,402259204.0,4.39,-1.4,-0.49,6.75
234,2025-01-15,中富电路,300814,32.12,35.07,37.06,31.93,181265,634291126.0,16.12,10.21,3.25,10.31
233,2025-01-14,中富电路,300814,30.21,31.82,31.9,29.69,53908,165937563.0,7.39,6.39,1.91,3.07
232,2025-01-13,中富电路,300814,30.74,29.91,30.95,29.69,43057,127864075.0,4.1,-2.73,-0.84,2.45
231,2025-01-10,中富电路,300814,32.43,30.75,33.07,30.72,78339,246887949.0,7.09,-7.18,-2.38,4.46
230,2025-01-09,中富电路,300814,31.31,33.13,33.8,30.68,116981,380382663.0,10.07,6.97,2.16,6.65
229,2025-01-08,中富电路,300814,29.43,30.97,31.7,28.35,65232,193423323.0,11.21,3.61,1.08,3.71
228,2025-01-07,中富电路,300814,28.6,29.89,30.01,28.11,48862,141528445.0,6.7,5.43,1.54,2.78
227,2025-01-06,中富电路,300814,28.67,28.35,29.14,27.43,33235,93040945.0,5.97,-1.08,-0.31,1.89
226,2025-01-03,中富电路,300814,31.43,28.66,31.73,28.53,65610,192195772.0,10.25,-8.2,-2.56,3.73
225,2025-01-02,中富电路,300814,32.29,31.22,33.31,30.78,61548,193515745.0,7.7,-4.96,-1.63,3.5
224,2024-12-31,中富电路,300814,35.43,32.85,35.52,32.8,84426,282150476.0,7.64,-7.7,-2.74,4.8
223,2024-12-30,中富电路,300814,34.77,35.59,36.4,33.99,107760,377533299.0,6.98,3.07,1.06,6.13
222,2024-12-27,中富电路,300814,35.49,34.53,35.5,34.26,87495,301781845.0,3.46,-3.63,-1.3,4.98
221,2024-12-26,中富电路,300814,33.08,35.83,35.93,32.52,133435,463039648.0,10.23,7.5,2.5,7.59
220,2024-12-25,中富电路,300814,34.62,33.33,35.33,33.04,72345,244296030.0,6.65,-3.22,-1.11,4.12
219,2024-12-24,中富电路,300814,33.26,34.44,34.93,32.51,80947,271095559.0,7.3,3.86,1.28,4.6
