,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,双飞集团,300817,39.52,38.54,39.83,38.54,52815,75978462.0,3.24,-3.24,-1.29,4.25
239,2025-01-24,双飞集团,300817,38.8,39.83,40.22,38.28,75543,108860927.0,5.0,2.6,1.01,6.08
238,2025-01-23,双飞集团,300817,39.19,38.82,39.83,38.69,62808,90724783.0,2.92,-0.67,-0.26,5.06
237,2025-01-22,双飞集团,300817,39.39,39.08,39.65,38.77,60458,87120540.0,2.22,-1.24,-0.49,4.87
236,2025-01-21,双飞集团,300817,37.79,39.57,40.17,37.47,104198,149878963.0,7.16,4.88,1.84,8.39
235,2025-01-20,双飞集团,300817,36.59,37.73,37.73,36.54,48388,66144524.0,3.24,2.81,1.03,3.9
234,2025-01-17,双飞集团,300817,36.72,36.7,37.47,36.46,30602,41360714.0,2.74,-0.41,-0.15,2.46
233,2025-01-16,双飞集团,300817,37.14,36.85,37.68,36.44,38222,51844440.0,3.34,-0.83,-0.31,3.08
232,2025-01-15,双飞集团,300817,37.5,37.16,37.66,36.88,43116,58832384.0,2.09,-0.64,-0.24,3.47
231,2025-01-14,双飞集团,300817,35.76,37.4,37.47,35.76,61974,83894742.0,4.78,4.5,1.61,4.99
230,2025-01-13,双飞集团,300817,35.27,35.79,36.31,34.29,53219,69358430.0,5.73,1.47,0.52,4.28
229,2025-01-10,双飞集团,300817,35.22,35.27,36.72,34.96,64290,84563713.0,5.0,0.23,0.08,5.18
228,2025-01-09,双飞集团,300817,34.44,35.19,35.45,34.44,40115,51485620.0,2.9,0.89,0.31,3.23
227,2025-01-08,双飞集团,300817,34.68,34.88,35.32,33.48,37316,46987491.0,5.28,0.06,0.02,3.0
226,2025-01-07,双飞集团,300817,34.47,34.86,34.96,34.08,26191,33067053.0,2.56,1.28,0.44,2.11
225,2025-01-06,双飞集团,300817,35.22,34.42,35.22,32.96,27265,34290563.0,6.5,-1.04,-0.36,2.2
224,2025-01-03,双飞集团,300817,37.42,34.78,37.42,34.73,48588,63671491.0,7.29,-5.75,-2.12,3.91
