,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,上能电气,300827,181.72,179.27,183.99,179.22,51458,199585704.86,2.61,-1.75,-3.19,1.98
239,2025-01-24,上能电气,300827,179.36,182.46,185.1,177.28,102816,401055191.0,4.32,0.82,1.48,3.95
238,2025-01-23,上能电气,300827,192.1,180.98,192.98,174.82,206615,806368547.0,9.4,-6.35,-12.27,7.94
237,2025-01-22,上能电气,300827,220.21,193.25,221.74,190.1,229161,986065222.0,14.31,-12.61,-27.88,8.81
236,2025-01-21,上能电气,300827,221.41,221.13,225.53,218.4,84075,399991020.0,3.22,-0.21,-0.47,3.23
235,2025-01-20,上能电气,300827,203.07,221.6,227.52,203.07,132169,621836900.0,12.16,10.23,20.57,5.08
234,2025-01-17,上能电气,300827,199.41,201.03,203.81,196.91,35001,150623424.0,3.43,-0.07,-0.14,1.35
233,2025-01-16,上能电气,300827,203.26,201.17,211.78,198.76,57300,250482095.0,6.41,-1.0,-2.04,2.2
232,2025-01-15,上能电气,300827,202.15,203.21,211.5,195.24,82729,362025312.0,8.01,0.07,0.14,3.18
231,2025-01-14,上能电气,300827,201.59,203.07,206.17,197.05,70073,305167184.0,4.53,0.89,1.8,2.69
230,2025-01-13,上能电气,300827,205.16,201.27,209.05,199.37,33678,147221419.0,4.67,-2.9,-6.02,1.29
229,2025-01-10,上能电气,300827,215.58,207.29,217.38,207.29,50375,229342452.0,4.68,-3.78,-8.15,1.94
228,2025-01-09,上能电气,300827,212.61,215.44,223.26,210.48,81199,378718178.0,6.01,1.33,2.83,3.12
227,2025-01-08,上能电气,300827,204.14,212.61,215.34,204.14,72302,324939875.0,5.43,3.05,6.3,2.78
226,2025-01-07,上能电气,300827,202.38,206.31,207.24,198.12,58883,256828912.0,4.48,1.34,2.73,2.26
225,2025-01-06,上能电气,300827,190.89,203.58,207.93,189.64,102199,442394955.0,9.63,7.16,13.61,3.93
224,2025-01-03,上能电气,300827,194.87,189.97,198.63,188.71,57902,240016681.0,5.1,-2.33,-4.53,2.23
223,2025-01-02,上能电气,300827,205.16,194.5,205.16,192.0,57671,243863815.0,6.44,-4.87,-9.96,2.22
222,2024-12-31,上能电气,300827,210.2,204.46,214.28,204.41,39221,174572159.0,4.73,-2.0,-4.17,1.51
221,2024-12-30,上能电气,300827,202.05,208.63,214.09,200.85,65791,294915500.0,6.56,3.37,6.81,2.53
220,2024-12-27,上能电气,300827,206.78,201.82,208.68,200.29,70472,307400314.0,4.06,-2.31,-4.77,2.71
219,2024-12-26,上能电气,300827,207.38,206.59,211.22,205.06,51441,229372673.0,2.96,-0.67,-1.39,1.98
218,2024-12-25,上能电气,300827,214.19,207.98,215.48,197.98,132755,584629153.0,7.97,-5.29,-11.62,5.1
217,2024-12-24,上能电气,300827,211.45,219.6,223.4,210.34,64462,303396508.0,6.17,3.79,8.01,2.48
216,2024-12-23,上能电气,300827,216.32,211.59,219.37,210.02,61266,281708116.0,4.32,-2.25,-4.87,2.36
215,2024-12-20,上能电气,300827,220.35,216.46,221.97,214.28,48002,223677938.0,3.5,-1.39,-3.05,1.85
