,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中船汉光,300847,25.84,25.41,25.96,25.41,31288,52486264.0,2.14,-1.21,-0.31,1.06
239,2025-01-24,中船汉光,300847,25.71,25.72,25.72,25.45,37027,62018980.0,1.06,0.63,0.16,1.25
238,2025-01-23,中船汉光,300847,25.72,25.56,26.01,25.54,44247,74581725.0,1.85,0.35,0.09,1.49
237,2025-01-22,中船汉光,300847,25.62,25.47,25.65,25.35,27545,45836206.0,1.17,-0.7,-0.18,0.93
236,2025-01-21,中船汉光,300847,25.62,25.65,25.86,25.27,30920,51408807.0,2.3,0.08,0.02,1.04
235,2025-01-20,中船汉光,300847,25.69,25.63,25.78,25.48,30847,51610115.0,1.18,0.87,0.22,1.04
234,2025-01-17,中船汉光,300847,25.24,25.41,25.57,25.18,32158,53285948.0,1.53,-0.04,-0.01,1.09
233,2025-01-16,中船汉光,300847,25.27,25.42,25.65,24.97,50393,83461154.0,2.7,0.83,0.21,1.7
232,2025-01-15,中船汉光,300847,25.27,25.21,25.56,25.11,36216,59922957.0,1.78,-0.55,-0.14,1.22
231,2025-01-14,中船汉光,300847,24.34,25.35,25.36,24.24,55813,91006612.0,4.61,4.41,1.07,1.89
230,2025-01-13,中船汉光,300847,23.89,24.28,24.48,23.5,35350,55576105.0,4.08,1.17,0.28,1.19
229,2025-01-10,中船汉光,300847,24.7,24.0,24.94,23.97,40592,65000949.0,3.9,-3.38,-0.84,1.37
228,2025-01-09,中船汉光,300847,24.7,24.84,25.15,24.7,42596,69278826.0,1.8,-0.6,-0.15,1.44
227,2025-01-08,中船汉光,300847,24.91,24.99,25.2,24.19,55414,89610594.0,4.05,0.24,0.06,1.87
226,2025-01-07,中船汉光,300847,24.54,24.93,24.94,24.39,40106,64721517.0,2.23,1.09,0.27,1.35
225,2025-01-06,中船汉光,300847,24.63,24.66,24.72,24.07,43049,68683910.0,2.67,1.19,0.29,1.45
224,2025-01-03,中船汉光,300847,25.44,24.37,25.54,24.3,57847,93812163.0,4.9,-3.75,-0.95,1.95
223,2025-01-02,中船汉光,300847,26.26,25.32,26.41,24.94,72409,121367693.0,5.6,-3.47,-0.91,2.45
222,2024-12-31,中船汉光,300847,27.51,26.23,27.51,26.2,82528,144741768.0,4.78,-4.37,-1.2,2.79
221,2024-12-30,中船汉光,300847,28.11,27.43,28.81,27.27,108663,197911845.0,5.43,-3.35,-0.95,3.67
220,2024-12-27,中船汉光,300847,28.72,28.38,29.4,28.27,122797,232069843.0,3.9,-2.0,-0.58,4.15
219,2024-12-26,中船汉光,300847,28.0,28.96,28.98,27.91,108612,203748763.0,3.78,2.26,0.64,3.67
218,2024-12-25,中船汉光,300847,28.87,28.32,29.37,27.84,128572,239742860.0,5.22,-3.41,-1.0,4.34
217,2024-12-24,中船汉光,300847,28.2,29.32,29.55,28.05,197994,377307819.0,5.24,2.45,0.7,6.69
216,2024-12-23,中船汉光,300847,27.54,28.62,30.51,27.36,197906,371861162.0,11.36,3.25,0.9,6.69
215,2024-12-20,中船汉光,300847,27.4,27.72,28.02,27.4,61106,110943416.0,2.26,0.87,0.24,2.06
214,2024-12-19,中船汉光,300847,26.92,27.48,27.94,26.77,91139,163227500.0,4.22,-0.79,-0.22,3.08
213,2024-12-18,中船汉光,300847,27.19,27.7,28.92,27.07,123160,227074360.0,6.91,3.47,0.93,4.16
212,2024-12-17,中船汉光,300847,27.34,26.77,27.81,26.77,55927,99747156.0,3.81,-2.05,-0.56,1.89
211,2024-12-16,中船汉光,300847,27.48,27.33,27.58,27.06,36022,64371735.0,1.89,-0.69,-0.19,1.22
210,2024-12-13,中船汉光,300847,28.2,27.52,28.2,27.49,59721,108237573.0,2.51,-2.62,-0.74,2.02
209,2024-12-12,中船汉光,300847,28.3,28.26,28.5,28.03,54316,100393538.0,1.66,-0.14,-0.04,1.83
208,2024-12-11,中船汉光,300847,28.0,28.3,28.35,27.94,45784,84336713.0,1.45,0.43,0.12,1.55
207,2024-12-10,中船汉光,300847,28.56,28.18,28.78,28.12,73179,136108759.0,2.36,0.68,0.19,2.47
206,2024-12-09,中船汉光,300847,28.42,27.99,28.48,27.73,86407,158651863.0,2.61,-2.71,-0.78,2.92
205,2024-12-06,中船汉光,300847,28.48,28.77,29.5,28.27,159147,301680084.0,4.45,3.98,1.1,5.38
204,2024-12-05,中船汉光,300847,27.37,27.67,27.81,27.3,41280,74605596.0,1.86,0.99,0.27,1.39
203,2024-12-04,中船汉光,300847,27.79,27.4,27.88,27.24,48243,86956665.0,2.3,-1.4,-0.39,1.63
202,2024-12-03,中船汉光,300847,27.79,27.79,28.02,27.57,47830,86984311.0,1.61,-0.5,-0.14,1.62
201,2024-12-02,中船汉光,300847,27.48,27.93,28.05,27.4,61842,112259188.0,2.37,1.93,0.53,2.09
200,2024-11-29,中船汉光,300847,27.16,27.4,27.63,26.77,55613,99271904.0,3.17,1.11,0.3,1.88
199,2024-11-28,中船汉光,300847,27.27,27.1,27.49,27.03,47107,84008729.0,1.68,-0.84,-0.23,1.59
198,2024-11-27,中船汉光,300847,26.77,27.33,27.34,26.01,61226,106791847.0,4.97,2.21,0.59,2.07
197,2024-11-26,中船汉光,300847,27.09,26.74,27.39,26.7,44020,77856889.0,2.54,-1.55,-0.42,1.49
196,2024-11-25,中船汉光,300847,27.12,27.16,27.37,26.61,52894,93060982.0,2.81,0.48,0.13,1.79
195,2024-11-22,中船汉光,300847,27.9,27.03,28.24,27.0,81853,148819916.0,4.42,-3.57,-1.0,2.77
194,2024-11-21,中船汉光,300847,28.35,28.03,28.35,27.58,59079,108379565.0,2.72,-0.92,-0.26,2.0
193,2024-11-20,中船汉光,300847,27.99,28.29,28.42,27.84,64936,119686615.0,2.07,0.82,0.23,2.19
192,2024-11-19,中船汉光,300847,27.7,28.06,28.06,27.18,65703,118935376.0,3.17,1.19,0.33,2.22
191,2024-11-18,中船汉光,300847,28.15,27.73,28.71,27.07,87545,159844755.0,5.84,-1.18,-0.33,2.96
190,2024-11-15,中船汉光,300847,29.2,28.06,29.53,28.0,88481,166566401.0,5.23,-4.1,-1.2,2.99
189,2024-11-14,中船汉光,300847,29.77,29.26,30.49,29.17,82214,160136928.0,4.37,-3.18,-0.96,2.78
188,2024-11-13,中船汉光,300847,29.62,30.22,30.6,29.34,120581,238516475.0,4.23,1.41,0.42,4.07
187,2024-11-12,中船汉光,300847,31.02,29.8,31.05,29.44,150519,297440487.0,5.22,-3.4,-1.05,5.08
186,2024-11-11,中船汉光,300847,30.72,30.85,31.09,30.22,146698,295338418.0,2.84,0.82,0.25,4.96
185,2024-11-08,中船汉光,300847,31.39,30.6,32.01,30.48,182952,374843682.0,4.91,-1.77,-0.55,6.18
184,2024-11-07,中船汉光,300847,30.75,31.15,31.15,30.33,190283,384641027.0,2.59,-1.67,-0.53,6.43
183,2024-11-06,中船汉光,300847,29.89,31.68,31.96,29.67,304671,614133367.0,7.62,5.39,1.62,10.29
182,2024-11-05,中船汉光,300847,28.72,30.06,30.22,28.71,200810,393161326.0,5.19,3.37,0.98,6.78
181,2024-11-04,中船汉光,300847,28.6,29.08,29.89,27.63,144902,272351306.0,7.9,1.61,0.46,4.9
180,2024-11-01,中船汉光,300847,28.42,28.62,30.52,27.28,226586,430123653.0,11.41,0.81,0.23,7.65
179,2024-10-31,中船汉光,300847,28.27,28.39,28.72,28.09,104572,194272857.0,2.21,-0.42,-0.12,3.53
178,2024-10-30,中船汉光,300847,28.44,28.51,28.98,27.94,121532,225959301.0,3.61,-1.14,-0.33,4.11
177,2024-10-29,中船汉光,300847,29.89,28.84,30.64,28.72,154825,300093212.0,6.41,-3.71,-1.11,5.23
176,2024-10-28,中船汉光,300847,29.25,29.95,30.21,29.13,142293,277215679.0,3.69,2.36,0.69,4.81
175,2024-10-25,中船汉光,300847,29.23,29.26,29.74,29.08,125747,241825729.0,2.27,0.62,0.18,4.25
174,2024-10-24,中船汉光,300847,29.56,29.08,29.74,28.95,136319,260476652.0,2.62,-3.48,-1.05,4.61
173,2024-10-23,中船汉光,300847,29.11,30.13,31.27,29.02,238897,471484135.0,7.65,2.48,0.73,8.07
172,2024-10-22,中船汉光,300847,29.52,29.4,29.8,28.42,193813,369885447.0,4.58,-2.49,-0.75,6.55
171,2024-10-21,中船汉光,300847,29.29,30.15,30.9,28.9,256804,503048736.0,6.92,4.25,1.23,8.68
170,2024-10-18,中船汉光,300847,28.3,28.92,30.0,27.31,234384,435924688.0,9.39,0.94,0.27,7.92
169,2024-10-17,中船汉光,300847,28.57,28.65,29.43,28.24,186399,351605456.0,4.17,0.39,0.11,6.3
168,2024-10-16,中船汉光,300847,28.96,28.54,29.41,28.02,231817,436140862.0,4.6,-5.56,-1.68,7.83
167,2024-10-15,中船汉光,300847,28.62,30.22,32.77,28.45,379980,748640604.0,14.57,1.92,0.57,12.84
166,2024-10-14,中船汉光,300847,27.4,29.65,30.51,27.4,318698,610327166.0,11.29,7.66,2.11,10.77
165,2024-10-11,中船汉光,300847,29.02,27.54,30.67,26.95,373702,705084434.0,11.95,-11.56,-3.6,12.62
164,2024-10-10,中船汉光,300847,26.73,31.14,31.14,26.05,468192,915892164.0,19.55,19.59,5.1,15.82
163,2024-10-09,中船汉光,300847,29.02,26.04,29.02,26.02,193195,348696197.0,9.88,-14.23,-4.32,6.53
162,2024-10-08,中船汉光,300847,32.13,30.36,32.13,28.05,290365,566933555.0,15.11,12.44,3.36,9.81
161,2024-09-30,中船汉光,300847,25.06,27.0,27.52,24.19,257255,433606140.0,13.91,12.78,3.06,8.69
160,2024-09-27,中船汉光,300847,23.23,23.94,24.24,22.93,161109,247355714.0,5.7,4.18,0.96,5.44
159,2024-09-26,中船汉光,300847,22.56,22.98,22.98,22.27,101160,149001496.0,3.13,1.46,0.33,3.42
158,2024-09-25,中船汉光,300847,22.27,22.65,22.98,22.26,128089,189581070.0,3.23,1.75,0.39,4.33
