,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,四会富仕,300852,78.74,79.87,80.7,76.72,86992,263842549.3,5.01,0.48,0.38,6.36
239,2025-01-24,四会富仕,300852,74.4,79.49,80.83,73.49,102161,306398108.0,9.87,6.91,5.14,7.46
238,2025-01-23,四会富仕,300852,76.22,74.35,77.12,74.35,58326,170292375.0,3.62,-2.77,-2.12,4.26
237,2025-01-22,四会富仕,300852,75.21,76.47,77.7,74.75,76658,226732715.0,3.91,1.34,1.01,5.6
236,2025-01-21,四会富仕,300852,75.71,75.46,75.91,74.0,41971,121375933.0,2.52,-0.57,-0.43,3.07
235,2025-01-20,四会富仕,300852,75.66,75.89,76.85,74.75,66404,193948475.0,2.78,0.33,0.25,4.85
234,2025-01-17,四会富仕,300852,71.13,75.64,77.68,70.72,93099,269991544.0,9.74,5.86,4.19,6.8
233,2025-01-16,四会富仕,300852,72.76,71.45,73.92,70.55,34289,94948267.0,4.65,-1.46,-1.06,2.5
232,2025-01-15,四会富仕,300852,73.27,72.51,74.43,72.11,29123,81929084.0,3.15,-1.68,-1.24,2.13
231,2025-01-14,四会富仕,300852,70.37,73.75,73.77,69.97,44862,125137019.0,5.43,5.3,3.71,3.28
230,2025-01-13,四会富仕,300852,70.65,70.04,71.43,68.15,35953,96680680.0,4.61,-1.6,-1.14,2.63
229,2025-01-10,四会富仕,300852,73.9,71.18,74.12,71.18,54404,151909386.0,3.99,-3.42,-2.52,3.97
228,2025-01-09,四会富仕,300852,67.93,73.7,74.91,67.93,91143,256790465.0,10.2,7.67,5.25,6.66
227,2025-01-08,四会富仕,300852,66.77,68.45,69.79,65.88,38688,100835551.0,5.81,1.75,1.18,2.83
226,2025-01-07,四会富仕,300852,63.89,67.27,67.4,63.82,26807,67494827.0,5.59,5.13,3.28,1.96
225,2025-01-06,四会富仕,300852,64.5,63.99,65.38,62.68,22000,54373063.0,4.19,-0.59,-0.38,1.61
224,2025-01-03,四会富仕,300852,67.72,64.37,68.73,64.04,33531,84915464.0,6.94,-4.78,-3.23,2.45
223,2025-01-02,四会富仕,300852,68.25,67.6,70.55,66.39,46393,122582633.0,6.1,-0.88,-0.6,3.39
222,2024-12-31,四会富仕,300852,73.85,68.2,73.9,68.18,56865,153751005.0,7.76,-7.46,-5.5,4.15
221,2024-12-30,四会富仕,300852,74.83,73.7,76.06,72.41,35160,100292662.0,4.86,-1.9,-1.43,2.57
220,2024-12-27,四会富仕,300852,76.34,75.13,76.44,74.33,44639,129642733.0,2.77,-1.22,-0.93,3.26
219,2024-12-26,四会富仕,300852,72.46,76.06,76.22,71.68,58831,170224406.0,6.22,4.13,3.02,4.3
218,2024-12-25,四会富仕,300852,74.7,73.04,75.18,71.98,36641,103766493.0,4.28,-2.39,-1.79,2.68
217,2024-12-24,四会富仕,300852,72.06,74.83,74.88,72.06,52122,148422213.0,3.92,4.13,2.97,3.81
216,2024-12-23,四会富仕,300852,75.74,71.86,76.24,71.3,51312,144963248.0,6.52,-5.09,-3.85,3.75
215,2024-12-20,四会富仕,300852,74.78,75.71,78.46,74.78,74671,220095045.0,4.92,1.28,0.96,5.46
214,2024-12-19,四会富仕,300852,74.7,74.75,75.38,72.76,64969,185617237.0,3.45,-1.7,-1.29,4.75
213,2024-12-18,四会富仕,300852,72.84,76.04,76.47,71.18,98964,284051940.0,7.17,3.11,2.29,7.23
