,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,安克创新,300866,142.73,146.66,148.71,140.27,40313,435245230.1,5.92,2.93,4.18,1.36
239,2025-01-24,安克创新,300866,140.01,142.48,143.16,139.93,31737,333113161.0,2.29,0.84,1.18,1.07
238,2025-01-23,安克创新,300866,146.75,141.3,146.82,140.39,47113,495749706.0,4.4,-3.3,-4.82,1.59
237,2025-01-22,安克创新,300866,144.65,146.12,146.43,142.08,31280,334578844.0,3.01,1.02,1.48,1.06
236,2025-01-21,安克创新,300866,144.46,144.64,145.94,141.05,37761,401292922.0,3.41,0.81,1.16,1.27
235,2025-01-20,安克创新,300866,148.54,143.48,151.18,142.34,57607,620139069.0,6.1,-0.96,-1.39,1.94
234,2025-01-17,安克创新,300866,140.14,144.87,147.07,139.26,42242,449265108.0,5.53,2.63,3.71,1.43
233,2025-01-16,安克创新,300866,142.6,141.16,143.38,138.96,41474,432724249.0,3.12,-0.46,-0.65,1.4
232,2025-01-15,安克创新,300866,141.21,141.81,143.38,140.14,40027,420068315.0,2.29,0.42,0.6,1.35
231,2025-01-14,安克创新,300866,139.02,141.21,142.72,137.18,43894,456828191.0,3.96,0.83,1.16,1.48
230,2025-01-13,安克创新,300866,136.88,140.05,140.23,136.27,32216,329727891.0,2.85,0.88,1.22,1.09
229,2025-01-10,安克创新,300866,139.48,138.83,143.38,138.83,29262,304022023.0,3.22,-1.66,-2.35,0.99
228,2025-01-09,安克创新,300866,140.29,141.18,144.87,138.21,42799,449055152.0,4.75,0.78,1.09,1.44
227,2025-01-08,安克创新,300866,135.96,140.09,141.64,134.93,65810,672192874.0,4.91,2.51,3.43,2.22
226,2025-01-07,安克创新,300866,128.42,136.66,139.48,128.36,68512,687085445.0,8.66,6.47,8.3,2.31
225,2025-01-06,安克创新,300866,124.11,128.36,129.81,124.11,50596,475709468.0,4.59,3.42,4.25,1.71
224,2025-01-03,安克创新,300866,125.96,124.11,128.65,123.72,34248,317184211.0,3.88,-2.3,-2.92,1.16
223,2025-01-02,安克创新,300866,132.71,127.03,132.89,125.41,54966,520931731.0,5.64,-4.14,-5.48,1.85
222,2024-12-31,安克创新,300866,134.28,132.51,135.23,131.97,32317,317887495.0,2.43,-1.23,-1.65,1.09
221,2024-12-30,安克创新,300866,130.65,134.16,135.93,130.65,34096,337236000.0,3.99,1.36,1.8,1.15
220,2024-12-27,安克创新,300866,131.47,132.36,134.02,130.25,40232,392962854.0,2.89,1.39,1.81,1.36
219,2024-12-26,安克创新,300866,128.43,130.55,132.72,128.43,26809,258481129.0,3.31,0.76,0.98,0.9
218,2024-12-25,安克创新,300866,130.28,129.57,130.7,128.01,28700,273375157.0,2.06,-0.81,-1.06,0.97
217,2024-12-24,安克创新,300866,130.48,130.63,131.42,127.82,37973,362566623.0,2.76,0.18,0.24,1.28
216,2024-12-23,安克创新,300866,127.82,130.39,132.49,127.0,63865,614465772.0,4.29,1.8,2.3,2.15
215,2024-12-20,安克创新,300866,126.56,128.09,131.38,124.57,70430,662101910.0,5.23,-1.65,-2.15,2.38
214,2024-12-19,安克创新,300866,125.91,130.24,130.24,124.28,44603,412387287.0,4.71,2.93,3.71,1.5
213,2024-12-18,安克创新,300866,121.29,126.53,127.47,121.03,51437,471908975.0,5.32,4.53,5.48,1.74
212,2024-12-17,安克创新,300866,121.68,121.05,124.09,120.63,28579,256706488.0,2.84,-0.72,-0.88,0.96
211,2024-12-16,安克创新,300866,122.97,121.93,123.23,119.94,33401,297433737.0,2.67,-0.95,-1.17,1.13
210,2024-12-13,安克创新,300866,121.03,123.1,125.31,119.33,44589,401533886.0,4.92,1.2,1.46,1.5
209,2024-12-12,安克创新,300866,121.51,121.64,123.67,120.37,31666,283332112.0,2.71,0.04,0.05,1.07
208,2024-12-11,安克创新,300866,120.69,121.59,122.92,118.85,36626,325896599.0,3.35,0.12,0.14,1.24
207,2024-12-10,安克创新,300866,124.27,121.45,124.35,119.38,59640,531204594.0,4.19,2.49,2.95,2.01
206,2024-12-09,安克创新,300866,118.5,118.5,119.65,116.47,38659,334739971.0,2.69,0.29,0.34,1.3
205,2024-12-06,安克创新,300866,114.44,118.16,119.02,113.09,50947,435134771.0,5.18,3.21,3.67,1.72
204,2024-12-05,安克创新,300866,113.93,114.49,115.39,113.48,22433,187705890.0,1.67,0.32,0.36,0.76
203,2024-12-04,安克创新,300866,116.31,114.13,116.95,113.1,32845,275468652.0,3.3,-2.13,-2.48,1.11
202,2024-12-03,安克创新,300866,115.73,116.61,117.38,113.58,42575,361692211.0,3.27,0.46,0.53,1.44
201,2024-12-02,安克创新,300866,114.01,116.08,119.82,113.87,76149,655047594.0,5.3,3.47,3.89,2.57
200,2024-11-29,安克创新,300866,111.11,112.19,114.92,110.88,40938,338220087.0,3.64,1.03,1.14,1.38
199,2024-11-28,安克创新,300866,112.49,111.05,114.75,110.74,36517,301298950.0,3.58,-0.86,-0.96,1.23
198,2024-11-27,安克创新,300866,109.59,112.01,112.28,107.99,31512,254608517.0,3.9,1.9,2.09,1.06
197,2024-11-26,安克创新,300866,109.33,109.92,111.76,109.33,25976,209332067.0,2.22,0.36,0.39,0.88
196,2024-11-25,安克创新,300866,110.24,109.53,111.49,108.44,40469,322955065.0,2.77,-0.67,-0.74,1.37
195,2024-11-22,安克创新,300866,115.82,110.27,118.22,110.07,51472,424732822.0,7.04,-4.79,-5.55,1.74
194,2024-11-21,安克创新,300866,113.87,115.82,116.83,113.48,36808,311947732.0,2.95,1.95,2.21,1.24
193,2024-11-20,安克创新,300866,114.34,113.61,114.84,111.59,39965,330661982.0,2.84,-0.64,-0.73,1.35
192,2024-11-19,安克创新,300866,113.88,114.34,115.33,112.19,34287,285203613.0,2.76,0.41,0.47,1.16
