,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,火星人,300894,16.29,16.46,16.66,16.0,133289,186754728.0,4.03,0.49,0.08,4.53
240,2025-01-23,火星人,300894,16.53,16.38,16.96,16.37,192646,273807048.0,3.61,0.24,0.04,6.55
239,2025-01-22,火星人,300894,16.57,16.34,16.69,16.2,134285,188007860.0,2.93,-2.39,-0.4,4.57
238,2025-01-21,火星人,300894,17.1,16.74,17.18,16.67,181091,261524900.0,3.0,-1.59,-0.27,6.16
237,2025-01-20,火星人,300894,17.33,17.01,17.49,16.9,267313,393579237.0,3.39,-2.35,-0.41,9.09
236,2025-01-17,火星人,300894,18.24,17.42,18.69,17.39,490900,762550674.0,7.37,-1.19,-0.21,16.69
235,2025-01-16,火星人,300894,15.5,17.63,17.63,15.5,219561,321142872.0,14.12,16.83,2.54,7.47
234,2025-01-15,火星人,300894,15.25,15.09,15.34,15.05,51431,65688431.0,1.9,-1.18,-0.18,1.75
233,2025-01-14,火星人,300894,14.88,15.27,15.3,14.88,73939,94048120.0,2.84,3.25,0.48,2.51
232,2025-01-13,火星人,300894,14.64,14.79,14.83,14.44,56062,68871489.0,2.64,0.14,0.02,1.91
231,2025-01-10,火星人,300894,15.54,14.77,15.62,14.77,78185,99805758.0,5.47,-4.95,-0.77,2.66
230,2025-01-09,火星人,300894,15.61,15.54,15.9,15.45,71356,94100162.0,2.87,-1.02,-0.16,2.43
229,2025-01-08,火星人,300894,15.49,15.7,15.91,15.14,92572,121659122.0,4.93,0.58,0.09,3.15
228,2025-01-07,火星人,300894,15.32,15.61,15.61,15.22,62390,81444717.0,2.55,2.09,0.32,2.12
227,2025-01-06,火星人,300894,15.3,15.29,15.56,14.98,64056,82436507.0,3.73,-1.55,-0.24,2.18
226,2025-01-03,火星人,300894,16.12,15.53,16.36,15.45,100273,134994839.0,5.69,-2.82,-0.45,3.41
225,2025-01-02,火星人,300894,16.1,15.98,16.64,15.81,93176,128908822.0,5.16,-0.75,-0.12,3.17
224,2024-12-31,火星人,300894,16.63,16.1,16.74,16.07,75404,105171457.0,4.03,-3.07,-0.51,2.56
223,2024-12-30,火星人,300894,16.89,16.61,16.89,16.52,70739,100823649.0,2.18,-2.18,-0.37,2.41
222,2024-12-27,火星人,300894,17.0,16.98,17.25,16.9,79320,116414246.0,2.05,-0.47,-0.08,2.7
221,2024-12-26,火星人,300894,16.84,17.06,17.32,16.8,85200,124831220.0,3.09,1.31,0.22,2.9
220,2024-12-25,火星人,300894,17.38,16.84,17.51,16.6,81618,118350713.0,5.29,-2.09,-0.36,2.78
219,2024-12-24,火星人,300894,16.79,17.2,17.28,16.7,100044,146483148.0,3.48,3.3,0.55,3.4
218,2024-12-23,火星人,300894,17.5,16.65,17.65,16.6,122401,178582283.0,5.97,-5.4,-0.95,4.16
217,2024-12-20,火星人,300894,17.09,17.6,18.01,17.09,149076,227511893.0,5.37,2.74,0.47,5.07
216,2024-12-19,火星人,300894,17.18,17.13,17.28,16.86,88945,130342667.0,2.43,-0.81,-0.14,3.02
215,2024-12-18,火星人,300894,17.47,17.27,17.6,17.18,86962,129907821.0,2.41,-0.92,-0.16,2.96
214,2024-12-17,火星人,300894,17.95,17.43,18.05,17.39,104756,159440029.0,3.67,-3.11,-0.56,3.56
213,2024-12-16,火星人,300894,18.57,17.99,18.69,17.88,170435,270060253.0,4.36,-3.12,-0.58,5.8
212,2024-12-13,火星人,300894,19.29,18.57,19.29,18.54,238677,393848314.0,3.82,-5.4,-1.06,8.12
211,2024-12-12,火星人,300894,18.87,19.63,19.75,18.87,304881,516674534.0,4.66,4.03,0.76,10.37
210,2024-12-11,火星人,300894,18.8,18.87,19.34,18.73,219472,363987195.0,3.2,-0.89,-0.17,7.46
209,2024-12-10,火星人,300894,18.77,19.04,19.99,18.31,393173,659466459.0,9.35,5.95,1.07,13.37
208,2024-12-09,火星人,300894,18.02,17.97,18.28,17.77,122551,191438670.0,2.81,-0.99,-0.18,4.17
207,2024-12-06,火星人,300894,18.3,18.15,18.37,17.81,213907,335522974.0,3.02,-2.0,-0.37,7.27
206,2024-12-05,火星人,300894,17.75,18.52,18.6,17.6,304339,479565259.0,5.62,4.16,0.74,10.35
205,2024-12-04,火星人,300894,17.44,17.78,18.75,17.28,243858,377233619.0,8.35,1.02,0.18,8.29
204,2024-12-03,火星人,300894,17.89,17.6,17.92,17.38,145346,221033948.0,3.02,-1.68,-0.3,4.94
203,2024-12-02,火星人,300894,17.81,17.9,18.07,17.58,221201,341007322.0,2.75,0.39,0.07,7.52
202,2024-11-29,火星人,300894,17.12,17.83,18.1,17.07,288252,442964612.0,6.04,4.51,0.77,9.8
