,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,爱美客,300896,451.98,452.26,454.78,450.02,19656,337320305.5,1.05,-0.29,-1.31,0.94
240,2025-01-23,爱美客,300896,456.59,453.57,461.56,453.27,18991,329031153.0,1.84,0.44,1.99,0.91
239,2025-01-22,爱美客,300896,452.01,451.58,453.77,447.02,15907,271249424.0,1.48,-0.94,-4.28,0.76
238,2025-01-21,爱美客,300896,459.42,455.86,459.87,449.19,17562,302649677.0,2.34,-0.01,-0.03,0.84
237,2025-01-20,爱美客,300896,463.1,455.89,463.35,454.02,19982,347729397.0,2.04,-0.15,-0.68,0.96
236,2025-01-17,爱美客,300896,455.36,456.57,459.37,453.52,14381,249217557.0,1.28,0.06,0.28,0.69
235,2025-01-16,爱美客,300896,459.06,456.29,465.59,452.56,19977,348028737.0,2.85,-0.29,-1.34,0.96
234,2025-01-15,爱美客,300896,460.85,457.63,462.09,456.64,17037,296551542.0,1.18,-1.21,-5.59,0.82
233,2025-01-14,爱美客,300896,446.61,463.22,463.3,446.61,32150,558683387.0,3.74,3.72,16.61,1.54
232,2025-01-13,爱美客,300896,436.31,446.61,449.06,435.63,19495,327829790.0,3.04,1.25,5.51,0.93
231,2025-01-10,爱美客,300896,449.51,441.1,452.23,441.05,19561,331205292.0,2.48,-2.18,-9.85,0.94
230,2025-01-09,爱美客,300896,451.0,450.95,458.08,449.87,16449,283339570.0,1.81,-0.82,-3.75,0.79
229,2025-01-08,爱美客,300896,456.97,454.7,459.06,445.08,24007,412785154.0,3.06,-0.5,-2.27,1.15
228,2025-01-07,爱美客,300896,455.79,456.97,457.7,449.69,18880,325556657.0,1.76,0.59,2.69,0.91
227,2025-01-06,爱美客,300896,453.27,454.28,457.25,449.26,22990,395323621.0,1.76,-0.06,-0.25,1.1
226,2025-01-03,爱美客,300896,464.48,454.53,468.21,453.52,30217,527653837.0,3.16,-2.09,-9.72,1.45
225,2025-01-02,爱美客,300896,479.7,464.25,479.7,459.77,43985,779852967.0,4.15,-3.23,-15.48,2.11
224,2024-12-31,爱美客,300896,489.81,479.73,494.09,479.73,36701,677857509.0,2.93,-2.18,-10.71,1.76
223,2024-12-30,爱美客,300896,526.45,490.44,527.56,489.73,71144,1360785968.0,7.16,-7.13,-37.67,3.41
222,2024-12-27,爱美客,300896,532.32,528.11,533.58,526.02,22563,456212416.0,1.42,-0.76,-4.03,1.08
221,2024-12-26,爱美客,300896,528.87,532.14,535.9,528.84,12841,261004246.0,1.33,0.44,2.31,0.62
220,2024-12-25,爱美客,300896,534.92,529.83,536.48,527.61,16156,327601732.0,1.65,-1.16,-6.22,0.77
219,2024-12-24,爱美客,300896,530.58,536.05,536.43,527.68,17863,363219138.0,1.65,1.38,7.31,0.86
218,2024-12-23,爱美客,300896,533.91,528.74,540.96,527.61,22754,463219708.0,2.49,-1.52,-8.14,1.09
217,2024-12-20,爱美客,300896,538.19,536.88,546.21,535.7,24150,498679999.0,1.96,0.1,0.55,1.16
216,2024-12-19,爱美客,300896,533.91,536.33,538.87,529.17,25165,513439239.0,1.8,-0.51,-2.77,1.21
215,2024-12-18,爱美客,300896,544.24,539.1,548.52,537.56,21273,440517622.0,2.01,-0.93,-5.06,1.02
214,2024-12-17,爱美客,300896,544.04,544.16,549.28,541.39,24379,508173587.0,1.44,-0.58,-3.2,1.17
213,2024-12-16,爱美客,300896,549.03,547.36,553.03,542.7,33361,696627286.0,1.87,-0.76,-4.19,1.6
212,2024-12-13,爱美客,300896,574.23,551.55,575.49,551.04,60443,1295743523.0,4.19,-5.48,-31.95,2.9
211,2024-12-12,爱美客,300896,566.69,583.5,588.16,562.59,53329,1184668675.0,4.47,1.97,11.29,2.56
210,2024-12-11,爱美客,300896,561.63,572.21,586.25,561.63,55044,1213775811.0,4.35,1.2,6.8,2.64
209,2024-12-10,爱美客,300896,600.18,565.41,617.17,562.61,96042,2169218954.0,10.0,3.68,20.06,4.61
208,2024-12-09,爱美客,300896,554.09,545.35,556.29,542.6,24895,522099770.0,2.46,-1.98,-10.99,1.19
207,2024-12-06,爱美客,300896,540.46,556.34,564.15,538.67,37293,788664086.0,4.72,3.1,16.74,1.79
206,2024-12-05,爱美客,300896,540.48,539.6,546.28,536.43,24153,498911067.0,1.82,-0.56,-3.03,1.16
205,2024-12-04,爱美客,300896,557.39,542.63,557.39,540.66,26129,547208218.0,3.0,-2.67,-14.89,1.25
204,2024-12-03,爱美客,300896,563.64,557.52,564.15,553.31,25266,539633306.0,1.91,-1.61,-9.12,1.21
203,2024-12-02,爱美客,300896,552.81,566.64,571.71,549.03,37090,800825374.0,4.1,2.31,12.82,1.78
202,2024-11-29,爱美客,300896,538.97,553.82,561.63,538.97,35701,753083100.0,4.21,2.92,15.7,1.71
201,2024-11-28,爱美客,300896,543.0,538.12,544.84,536.48,17527,362280089.0,1.53,-1.28,-7.0,0.84
200,2024-11-27,爱美客,300896,534.56,545.12,547.77,529.17,28528,587923826.0,3.48,1.98,10.58,1.37
199,2024-11-26,爱美客,300896,528.36,534.54,545.37,528.24,26975,553857813.0,3.24,0.98,5.17,1.29
198,2024-11-25,爱美客,300896,535.32,529.37,538.95,521.01,32081,648991104.0,3.35,-1.12,-5.97,1.54
197,2024-11-22,爱美客,300896,558.35,535.34,558.53,535.34,34657,722643862.0,4.15,-4.12,-23.01,1.66
196,2024-11-21,爱美客,300896,556.92,558.35,562.81,549.81,27506,586023852.0,2.3,-1.02,-5.77,1.32
195,2024-11-20,爱美客,300896,560.14,564.12,568.68,555.53,29623,637441576.0,2.34,0.23,1.31,1.42
194,2024-11-19,爱美客,300896,554.12,562.81,562.84,541.97,34009,720254018.0,3.79,2.14,11.77,1.63
193,2024-11-18,爱美客,300896,559.11,551.04,563.52,545.83,36113,765983077.0,3.16,-1.45,-8.09,1.73
192,2024-11-15,爱美客,300896,584.31,559.13,590.61,558.6,48959,1073464269.0,5.46,-4.56,-26.71,2.35
191,2024-11-14,爱美客,300896,604.47,585.84,612.03,583.5,40079,919835756.0,4.72,-3.08,-18.6,1.92
190,2024-11-13,爱美客,300896,597.54,604.44,610.99,591.57,44226,1020251488.0,3.21,-0.13,-0.76,2.12
189,2024-11-12,爱美客,300896,617.07,605.2,637.23,600.21,79488,1901134749.0,6.03,-1.46,-8.97,3.81
188,2024-11-11,爱美客,300896,601.97,614.17,614.98,592.14,62765,1453720297.0,3.7,-0.47,-2.9,3.01
187,2024-11-08,爱美客,300896,637.23,617.07,644.79,608.27,81706,1950275816.0,5.74,-2.97,-18.9,3.92
186,2024-11-07,爱美客,300896,581.79,635.97,637.23,579.27,110205,2629342568.0,9.77,7.22,42.84,5.29
185,2024-11-06,爱美客,300896,579.32,593.13,618.55,574.23,86239,1980338469.0,7.65,2.33,13.53,4.14
184,2024-11-05,爱美客,300896,555.88,579.6,584.31,551.6,60272,1324037745.0,5.86,3.75,20.95,2.89
183,2024-11-04,爱美客,300896,547.52,558.65,561.07,547.01,31324,663764012.0,2.55,1.28,7.05,1.5
182,2024-11-01,爱美客,300896,553.31,551.6,570.45,549.03,38434,822765712.0,3.85,-0.79,-4.38,1.84
