,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,江天化学,300927,33.42,34.01,34.84,32.79,73196,132642942.27,6.56,8.8,2.75,5.2
240,2025-01-23,江天化学,300927,32.29,31.26,32.38,31.21,24753,42340117.0,3.69,-1.36,-0.43,1.76
239,2025-01-22,江天化学,300927,32.32,31.69,32.34,31.33,29656,50612998.0,3.12,-2.13,-0.69,2.1
238,2025-01-21,江天化学,300927,33.73,32.38,33.8,32.18,48957,85752502.0,4.81,-3.83,-1.29,3.47
237,2025-01-20,江天化学,300927,31.71,33.67,35.2,31.6,83143,147419769.0,10.97,2.62,0.86,5.9
236,2025-01-17,江天化学,300927,32.5,32.81,35.2,31.06,83272,149433410.0,13.93,10.43,3.1,5.91
235,2025-01-16,江天化学,300927,29.68,29.71,30.25,29.39,12942,20758430.0,2.91,0.61,0.18,0.92
234,2025-01-15,江天化学,300927,29.98,29.53,30.52,29.46,11841,18922013.0,3.54,-1.5,-0.45,0.84
233,2025-01-14,江天化学,300927,29.08,29.98,30.0,28.72,16984,27001322.0,4.44,4.06,1.17,1.21
232,2025-01-13,江天化学,300927,28.04,28.81,29.06,27.82,14833,22724904.0,4.34,0.73,0.21,1.05
231,2025-01-10,江天化学,300927,29.44,28.6,29.82,28.56,13334,20796955.0,4.28,-2.79,-0.82,0.95
230,2025-01-09,江天化学,300927,29.28,29.42,29.78,28.94,10683,16920538.0,2.86,0.17,0.05,0.76
229,2025-01-08,江天化学,300927,29.62,29.37,29.73,28.4,13604,21301439.0,4.49,-0.84,-0.25,0.97
228,2025-01-07,江天化学,300927,28.96,29.62,29.69,28.61,15289,23945713.0,3.73,2.35,0.68,1.09
227,2025-01-06,江天化学,300927,28.65,28.94,29.15,27.48,17251,26417909.0,5.82,0.84,0.24,1.22
226,2025-01-03,江天化学,300927,29.91,28.7,30.56,28.6,19657,31029599.0,6.48,-5.06,-1.53,1.4
225,2025-01-02,江天化学,300927,30.68,30.23,31.35,29.95,18074,29818724.0,4.57,-1.37,-0.42,1.28
224,2024-12-31,江天化学,300927,31.6,30.65,31.85,30.63,15642,26212366.0,3.86,-3.07,-0.97,1.11
223,2024-12-30,江天化学,300927,31.93,31.62,32.2,31.28,14979,25505531.0,2.85,-2.01,-0.65,1.06
222,2024-12-27,江天化学,300927,32.09,32.27,32.59,31.75,17035,29637597.0,2.64,1.32,0.42,1.21
221,2024-12-26,江天化学,300927,31.84,31.85,32.38,31.55,17373,29905593.0,2.63,0.95,0.3,1.23
220,2024-12-25,江天化学,300927,32.05,31.55,32.2,30.97,19537,33093060.0,3.83,-1.84,-0.59,1.39
219,2024-12-24,江天化学,300927,31.64,32.14,32.36,31.42,14576,25091183.0,2.96,1.07,0.34,1.03
218,2024-12-23,江天化学,300927,33.55,31.8,33.91,31.6,24352,42464669.0,6.89,-5.22,-1.75,1.73
217,2024-12-20,江天化学,300927,33.01,33.55,34.05,33.01,17503,31733504.0,3.15,1.76,0.58,1.24
216,2024-12-19,江天化学,300927,33.65,32.97,33.65,32.59,22635,40320692.0,3.15,-2.02,-0.68,1.61
215,2024-12-18,江天化学,300927,34.54,33.65,34.54,33.11,16437,29892170.0,4.21,-0.85,-0.29,1.17
214,2024-12-17,江天化学,300927,35.54,33.94,36.01,33.58,29988,55857232.0,6.86,-4.18,-1.48,2.13
213,2024-12-16,江天化学,300927,35.51,35.42,36.46,35.2,25942,50229657.0,3.56,0.11,0.04,1.84
212,2024-12-13,江天化学,300927,36.1,35.38,36.37,35.35,27681,53356685.0,2.8,-3.02,-1.1,1.96
211,2024-12-12,江天化学,300927,36.19,36.48,36.48,35.67,26368,51472802.0,2.23,0.61,0.22,1.87
