,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,博硕科技,300951,67.71,66.37,68.26,66.22,12829,37273320.4,3.02,-1.89,-1.28,0.85
239,2025-01-24,博硕科技,300951,66.35,67.65,67.79,66.2,13236,38415393.0,2.39,1.49,0.99,0.88
238,2025-01-23,博硕科技,300951,67.86,66.66,68.45,66.66,16904,49592450.0,2.66,-0.94,-0.63,1.12
237,2025-01-22,博硕科技,300951,66.98,67.29,67.96,66.98,14274,41707998.0,1.45,-0.22,-0.15,0.94
236,2025-01-21,博硕科技,300951,67.33,67.44,67.56,66.28,13968,40450481.0,1.9,0.34,0.23,0.92
235,2025-01-20,博硕科技,300951,66.45,67.21,67.61,66.22,16759,48655308.0,2.1,1.56,1.03,1.11
234,2025-01-17,博硕科技,300951,64.75,66.18,66.47,64.75,20824,59170217.0,2.64,1.55,1.01,1.38
233,2025-01-16,博硕科技,300951,64.81,65.17,65.53,64.01,19288,53937857.0,2.36,1.04,0.67,1.28
232,2025-01-15,博硕科技,300951,65.02,64.5,65.38,64.27,14815,41359260.0,1.71,-0.8,-0.52,0.98
231,2025-01-14,博硕科技,300951,62.82,65.02,65.06,62.5,20868,57633766.0,4.09,3.92,2.45,1.38
230,2025-01-13,博硕科技,300951,62.5,62.57,63.09,61.37,14687,39267744.0,2.74,-0.29,-0.18,0.97
229,2025-01-10,博硕科技,300951,64.92,62.75,65.48,62.75,16158,44705891.0,4.2,-3.43,-2.23,1.07
228,2025-01-09,博硕科技,300951,64.18,64.98,65.97,64.16,19432,54805610.0,2.81,1.04,0.67,1.29
227,2025-01-08,博硕科技,300951,64.94,64.31,65.21,62.25,23861,65630228.0,4.52,-1.7,-1.11,1.58
226,2025-01-07,博硕科技,300951,63.07,65.42,65.63,62.8,21295,59271236.0,4.48,3.59,2.27,1.41
225,2025-01-06,博硕科技,300951,63.28,63.15,64.6,61.77,22098,60254192.0,4.44,-0.93,-0.59,1.46
224,2025-01-03,博硕科技,300951,66.41,63.74,67.02,63.03,29326,82459769.0,6.04,-3.5,-2.31,1.94
223,2025-01-02,博硕科技,300951,68.42,66.05,68.84,65.38,26314,76609787.0,5.03,-4.05,-2.79,1.74
222,2024-12-31,博硕科技,300951,72.56,68.84,72.69,68.74,31859,97158632.0,5.45,-5.1,-3.7,2.11
221,2024-12-30,博硕科技,300951,71.78,72.54,73.63,70.06,24443,77174867.0,4.96,0.72,0.52,1.62
220,2024-12-27,博硕科技,300951,71.85,72.02,73.13,71.3,21882,69097192.0,2.55,0.24,0.17,1.45
219,2024-12-26,博硕科技,300951,70.5,71.85,72.25,69.96,17615,55002781.0,3.25,1.89,1.33,1.17
218,2024-12-25,博硕科技,300951,72.31,70.52,72.62,69.96,23264,71771951.0,3.67,-2.78,-2.02,1.54
217,2024-12-24,博硕科技,300951,72.31,72.54,73.49,70.82,26422,83116962.0,3.72,0.96,0.69,1.75
216,2024-12-23,博硕科技,300951,74.62,71.85,75.25,71.2,35098,111779025.0,5.42,-3.93,-2.94,2.32
215,2024-12-20,博硕科技,300951,72.71,74.79,75.42,71.57,60039,194275863.0,5.22,1.45,1.07,3.97
214,2024-12-19,博硕科技,300951,70.92,73.72,73.95,70.4,31484,99910836.0,4.96,2.9,2.08,2.08
213,2024-12-18,博硕科技,300951,70.8,71.64,72.39,69.39,19922,61745311.0,4.27,1.95,1.37,1.32
212,2024-12-17,博硕科技,300951,72.46,70.27,73.61,70.06,22786,70932808.0,4.9,-3.08,-2.23,1.51
