,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中捷精工,301072,19.66,19.14,19.89,18.99,9322,17907487.0,4.61,-1.9,-0.37,1.39
239,2025-01-24,中捷精工,301072,19.09,19.51,19.59,19.01,11659,22425571.0,3.03,2.04,0.39,1.74
238,2025-01-23,中捷精工,301072,19.26,19.12,19.7,19.12,11072,21358690.0,3.03,0.0,0.0,1.65
237,2025-01-22,中捷精工,301072,19.31,19.12,19.45,18.92,8177,15592315.0,2.74,-1.24,-0.24,1.22
236,2025-01-21,中捷精工,301072,19.56,19.36,19.56,18.99,9750,18684593.0,2.91,-1.02,-0.2,1.45
235,2025-01-20,中捷精工,301072,19.21,19.56,19.56,19.05,11708,22550739.0,2.68,2.68,0.51,1.74
234,2025-01-17,中捷精工,301072,18.91,19.05,19.36,18.91,9093,17280273.0,2.34,-0.99,-0.19,1.35
233,2025-01-16,中捷精工,301072,19.65,19.24,19.77,18.96,12957,24957552.0,4.16,-1.13,-0.22,1.93
232,2025-01-15,中捷精工,301072,19.88,19.46,20.07,19.42,18081,35436961.0,3.25,-2.55,-0.51,2.69
231,2025-01-14,中捷精工,301072,19.4,19.97,19.97,18.95,26029,50619488.0,5.32,4.17,0.8,3.88
230,2025-01-13,中捷精工,301072,18.72,19.17,19.8,18.19,27974,52891250.0,8.34,-0.67,-0.13,4.17
229,2025-01-10,中捷精工,301072,18.33,19.3,21.51,18.18,35991,69630783.0,18.16,5.23,0.96,5.36
228,2025-01-09,中捷精工,301072,18.23,18.34,18.47,18.15,5931,10820325.0,1.76,0.6,0.11,0.88
227,2025-01-08,中捷精工,301072,18.27,18.23,18.41,17.59,8850,15893069.0,4.47,-0.71,-0.13,1.32
226,2025-01-07,中捷精工,301072,17.69,18.36,18.37,17.69,9707,17433915.0,3.86,4.2,0.74,1.45
225,2025-01-06,中捷精工,301072,17.79,17.62,18.01,16.71,9827,17160294.0,7.35,-0.34,-0.06,1.46
224,2025-01-03,中捷精工,301072,18.54,17.68,18.99,17.66,11809,21255718.0,7.17,-4.64,-0.86,1.76
223,2025-01-02,中捷精工,301072,18.9,18.54,19.45,18.36,11145,20932060.0,5.72,-2.68,-0.51,1.66
222,2024-12-31,中捷精工,301072,19.29,19.05,19.8,19.03,9193,17639762.0,3.93,-2.81,-0.55,1.37
221,2024-12-30,中捷精工,301072,20.21,19.6,20.21,19.19,8736,17008648.0,5.1,-2.0,-0.4,1.3
220,2024-12-27,中捷精工,301072,19.98,20.0,20.31,19.92,6457,12929581.0,1.95,0.1,0.02,0.96
219,2024-12-26,中捷精工,301072,19.61,19.98,20.23,19.55,8604,17141614.0,3.47,1.94,0.38,1.28
218,2024-12-25,中捷精工,301072,19.98,19.6,20.18,19.35,10015,19580986.0,4.12,-2.63,-0.53,1.49
217,2024-12-24,中捷精工,301072,20.29,20.13,20.59,19.8,10417,20885889.0,3.95,0.6,0.12,1.55
216,2024-12-23,中捷精工,301072,21.41,20.01,21.59,19.99,18225,37241569.0,7.5,-6.14,-1.31,2.71
215,2024-12-20,中捷精工,301072,20.94,21.32,21.56,20.81,13233,28040646.0,3.59,2.11,0.44,1.97
214,2024-12-19,中捷精工,301072,20.85,20.88,21.17,20.58,11212,23224152.0,2.79,-1.09,-0.23,1.67
213,2024-12-18,中捷精工,301072,22.85,21.11,22.95,20.62,21943,46569294.0,10.64,-3.61,-0.79,3.27
212,2024-12-17,中捷精工,301072,22.36,21.9,22.49,21.17,14330,30826770.0,5.9,-2.06,-0.46,2.13
211,2024-12-16,中捷精工,301072,22.61,22.36,22.79,22.24,12815,28691662.0,2.44,-0.89,-0.2,1.91
210,2024-12-13,中捷精工,301072,23.18,22.56,23.18,22.56,12343,27985469.0,2.67,-2.72,-0.63,1.84
209,2024-12-12,中捷精工,301072,23.08,23.19,23.48,22.79,13277,30541877.0,2.99,0.56,0.13,1.98
208,2024-12-11,中捷精工,301072,23.11,23.06,23.18,22.68,15832,36062569.0,2.16,-0.22,-0.05,2.36
207,2024-12-10,中捷精工,301072,23.73,23.11,24.11,23.09,23231,54267744.0,4.39,-0.64,-0.15,3.46
206,2024-12-09,中捷精工,301072,22.95,23.26,23.49,22.92,15509,35900974.0,2.47,0.82,0.19,2.31
205,2024-12-06,中捷精工,301072,23.48,23.07,23.48,22.82,19119,43868498.0,2.81,-1.87,-0.44,2.85
204,2024-12-05,中捷精工,301072,22.96,23.51,23.7,22.67,27552,64160570.0,4.45,1.56,0.36,4.08
203,2024-12-04,中捷精工,301072,22.83,23.15,23.59,22.49,25805,59371785.0,4.82,1.4,0.32,3.82
202,2024-12-03,中捷精工,301072,22.74,22.83,22.89,22.29,12074,27277556.0,2.65,0.84,0.19,1.79
201,2024-12-02,中捷精工,301072,22.44,22.64,22.75,22.33,13043,29305415.0,1.88,1.39,0.31,1.93
200,2024-11-29,中捷精工,301072,21.94,22.33,22.46,21.71,13604,30045984.0,3.42,1.82,0.4,2.01
199,2024-11-28,中捷精工,301072,22.25,21.93,22.5,21.86,12192,26828566.0,2.89,-0.99,-0.22,1.8
198,2024-11-27,中捷精工,301072,22.11,22.15,22.43,21.09,13617,29248459.0,6.16,1.75,0.38,2.02
197,2024-11-26,中捷精工,301072,22.36,21.77,22.54,21.62,13303,29183034.0,4.1,-2.94,-0.66,1.97
196,2024-11-25,中捷精工,301072,21.72,22.43,22.71,21.71,15770,34993205.0,4.61,3.36,0.73,2.33
195,2024-11-22,中捷精工,301072,23.1,21.7,23.11,21.67,19167,42785008.0,6.2,-6.59,-1.53,2.84
194,2024-11-21,中捷精工,301072,23.33,23.23,24.11,22.88,23304,54169852.0,5.21,-1.53,-0.36,3.45
193,2024-11-20,中捷精工,301072,22.51,23.59,23.76,22.34,30074,69355468.0,6.24,3.74,0.85,4.45
192,2024-11-19,中捷精工,301072,21.98,22.74,22.74,21.54,21439,47305552.0,5.62,6.56,1.4,3.17
191,2024-11-18,中捷精工,301072,22.28,21.34,22.75,21.11,20030,43055619.0,7.4,-3.66,-0.81,2.96
190,2024-11-15,中捷精工,301072,23.11,22.15,23.23,22.13,23636,53392808.0,4.74,-4.65,-1.08,3.5
189,2024-11-14,中捷精工,301072,24.31,23.23,24.71,23.23,23242,55118263.0,6.05,-5.03,-1.23,3.44
188,2024-11-13,中捷精工,301072,23.71,24.46,25.06,23.21,28678,68594214.0,7.69,1.7,0.41,4.25
187,2024-11-12,中捷精工,301072,23.97,24.05,24.4,23.61,28682,68528014.0,3.29,0.29,0.07,4.25
186,2024-11-11,中捷精工,301072,23.66,23.98,24.06,23.2,26631,63100570.0,3.64,1.57,0.37,3.94
185,2024-11-08,中捷精工,301072,23.81,23.61,24.16,23.48,31509,74843618.0,2.87,-0.51,-0.12,4.66
184,2024-11-07,中捷精工,301072,23.91,23.73,24.1,23.39,29536,69632795.0,2.97,-0.71,-0.17,4.37
183,2024-11-06,中捷精工,301072,23.31,23.9,25.61,22.63,49518,117118217.0,12.82,2.8,0.65,7.33
182,2024-11-05,中捷精工,301072,22.81,23.25,23.61,22.47,31278,72008824.0,5.0,1.93,0.44,4.63
181,2024-11-04,中捷精工,301072,21.99,22.81,23.06,21.77,22976,51797807.0,5.85,3.4,0.75,3.4
180,2024-11-01,中捷精工,301072,23.74,22.06,23.91,21.66,39166,88363970.0,9.45,-7.39,-1.76,5.8
179,2024-10-31,中捷精工,301072,24.28,23.82,24.71,23.46,53071,126610349.0,5.01,-4.49,-1.12,7.86
178,2024-10-30,中捷精工,301072,24.07,24.94,25.81,23.14,80402,195372500.0,10.83,1.14,0.28,11.9
177,2024-10-29,中捷精工,301072,21.93,24.66,26.1,21.53,72069,167670234.0,20.83,12.4,2.72,10.67
176,2024-10-28,中捷精工,301072,21.78,21.94,22.1,21.69,21239,46186985.0,1.87,-0.05,-0.01,3.14
175,2024-10-25,中捷精工,301072,21.65,21.95,22.23,21.65,16565,36248078.0,2.68,1.34,0.29,2.45
174,2024-10-24,中捷精工,301072,21.95,21.66,22.28,21.51,14772,32027368.0,3.51,-1.32,-0.29,2.19
173,2024-10-23,中捷精工,301072,22.09,21.95,22.49,21.86,24890,54949924.0,2.85,-0.63,-0.14,3.68
172,2024-10-22,中捷精工,301072,21.74,22.09,22.26,21.56,22920,50077736.0,3.22,1.75,0.38,3.39
171,2024-10-21,中捷精工,301072,21.21,21.71,22.11,21.13,27897,59976763.0,4.62,2.36,0.5,4.13
