,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,君亭酒店,301073,46.36,46.66,46.93,46.0,38824,78203753.0,2.01,0.69,0.32,3.46
240,2025-01-23,君亭酒店,301073,47.04,46.34,47.65,46.34,48043,97923669.0,2.84,0.43,0.2,4.28
239,2025-01-22,君亭酒店,301073,47.71,46.14,47.78,45.87,45530,91926468.0,4.0,-3.29,-1.57,4.06
238,2025-01-21,君亭酒店,301073,48.23,47.71,49.04,47.15,42644,88434880.0,3.91,-1.18,-0.57,3.8
237,2025-01-20,君亭酒店,301073,47.26,48.28,48.91,46.95,74906,156774526.0,4.2,3.38,1.58,6.68
236,2025-01-17,君亭酒店,301073,46.81,46.7,48.3,46.39,51033,104443681.0,4.06,-0.76,-0.36,4.55
235,2025-01-16,君亭酒店,301073,46.84,47.06,47.6,46.32,67428,137614608.0,2.76,1.6,0.74,6.01
234,2025-01-15,君亭酒店,301073,45.64,46.32,47.26,45.15,74270,149405490.0,4.63,1.53,0.7,6.62
233,2025-01-14,君亭酒店,301073,44.34,45.62,45.62,43.51,61832,119764407.0,4.91,6.17,2.65,5.51
232,2025-01-13,君亭酒店,301073,43.01,42.97,43.19,41.64,41545,76648305.0,3.6,-0.3,-0.13,3.7
231,2025-01-10,君亭酒店,301073,44.83,43.1,45.04,43.1,37775,71794807.0,4.3,-4.39,-1.98,3.37
230,2025-01-09,君亭酒店,301073,45.19,45.08,45.42,44.43,28243,55164631.0,2.2,0.29,0.13,2.52
229,2025-01-08,君亭酒店,301073,44.34,44.95,45.24,43.46,37184,71581196.0,3.98,0.51,0.23,3.31
228,2025-01-07,君亭酒店,301073,43.78,44.72,44.77,43.66,36960,70762024.0,2.55,2.78,1.21,3.29
227,2025-01-06,君亭酒店,301073,44.38,43.51,44.7,42.94,39030,74028830.0,3.94,-2.55,-1.14,3.48
226,2025-01-03,君亭酒店,301073,49.09,44.65,49.49,44.56,72238,144654976.0,10.11,-8.41,-4.1,6.44
225,2025-01-02,君亭酒店,301073,48.03,48.75,50.3,48.01,71524,153235677.0,4.76,1.35,0.65,6.37
224,2024-12-31,君亭酒店,301073,50.1,48.1,50.71,47.96,56961,122106410.0,5.54,-3.08,-1.53,5.08
223,2024-12-30,君亭酒店,301073,51.31,49.63,51.61,49.15,59194,128241783.0,4.77,-3.84,-1.98,5.28
222,2024-12-27,君亭酒店,301073,51.31,51.61,52.26,50.75,49300,110842674.0,2.94,0.58,0.3,4.39
221,2024-12-26,君亭酒店,301073,51.34,51.31,52.06,50.37,63200,140607625.0,3.31,0.53,0.27,5.63
220,2024-12-25,君亭酒店,301073,51.56,51.04,52.1,49.4,52387,115537098.0,5.24,-1.01,-0.52,4.67
219,2024-12-24,君亭酒店,301073,51.94,51.56,52.55,50.66,41114,91959082.0,3.66,-0.14,-0.07,3.66
218,2024-12-23,君亭酒店,301073,55.3,51.63,55.32,51.54,57446,132640648.0,6.86,-6.37,-3.51,5.12
217,2024-12-20,君亭酒店,301073,55.36,55.14,56.47,54.85,42150,102200162.0,2.94,-0.04,-0.02,3.76
216,2024-12-19,君亭酒店,301073,55.0,55.16,55.9,54.01,40818,97731522.0,3.38,-1.32,-0.74,3.64
215,2024-12-18,君亭酒店,301073,56.22,55.9,56.74,54.89,45747,110894256.0,3.31,-0.09,-0.05,4.08
214,2024-12-17,君亭酒店,301073,59.37,55.95,60.09,55.36,118418,293377940.0,7.9,-6.61,-3.96,10.55
213,2024-12-16,君亭酒店,301073,60.2,59.91,62.7,59.35,103484,275344602.0,5.47,-2.2,-1.35,9.22
212,2024-12-13,君亭酒店,301073,60.11,61.26,64.88,58.76,169712,453816621.0,9.95,-0.41,-0.25,15.13
211,2024-12-12,君亭酒店,301073,59.26,61.51,62.11,58.72,162611,430203156.0,5.66,2.7,1.62,14.49
210,2024-12-11,君亭酒店,301073,56.44,59.89,60.04,56.44,125088,320700337.0,6.32,5.14,2.93,11.15
209,2024-12-10,君亭酒店,301073,58.2,56.96,61.44,55.81,204188,524825595.0,10.44,5.58,3.01,18.2
208,2024-12-09,君亭酒店,301073,53.99,53.95,55.09,53.41,46332,109444177.0,3.08,-0.94,-0.51,4.13
207,2024-12-06,君亭酒店,301073,53.97,54.46,55.16,52.78,65756,154857180.0,4.45,1.72,0.92,5.86
206,2024-12-05,君亭酒店,301073,52.91,53.54,53.86,52.44,41383,96196395.0,2.66,0.3,0.16,3.69
205,2024-12-04,君亭酒店,301073,53.86,53.38,55.97,52.89,64020,151463670.0,5.68,-1.62,-0.88,5.71
204,2024-12-03,君亭酒店,301073,54.46,54.26,55.25,53.83,65274,154506556.0,2.57,-1.63,-0.9,5.82
203,2024-12-02,君亭酒店,301073,52.89,55.16,55.79,52.73,94023,223594093.0,5.76,3.86,2.05,8.38
