,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,百胜智能,301083,14.44,14.0,14.48,14.0,20266,28435880.0,3.35,-2.23,-0.32,2.37
239,2025-01-24,百胜智能,301083,13.99,14.32,14.33,13.8,21549,30000515.0,3.79,2.36,0.33,2.52
238,2025-01-23,百胜智能,301083,14.15,13.99,14.32,13.98,20292,28344574.0,2.44,0.36,0.05,2.37
237,2025-01-22,百胜智能,301083,14.03,13.94,14.16,13.8,13735,18881350.0,2.57,-0.64,-0.09,1.6
236,2025-01-21,百胜智能,301083,13.99,14.03,14.15,13.81,16645,22901305.0,2.43,0.29,0.04,1.94
235,2025-01-20,百胜智能,301083,13.76,13.99,14.04,13.57,21530,29476811.0,3.46,2.87,0.39,2.51
234,2025-01-17,百胜智能,301083,13.73,13.6,13.84,13.55,14227,19174409.0,2.12,-0.44,-0.06,1.66
233,2025-01-16,百胜智能,301083,13.79,13.66,14.02,13.44,21280,28797090.0,4.23,-0.44,-0.06,2.49
232,2025-01-15,百胜智能,301083,13.95,13.72,14.01,13.72,17449,23806996.0,2.08,-1.51,-0.21,2.04
231,2025-01-14,百胜智能,301083,13.25,13.93,13.93,13.14,29309,39350357.0,6.06,6.83,0.89,3.42
230,2025-01-13,百胜智能,301083,12.79,13.04,13.24,12.51,16589,21105109.0,5.62,0.31,0.04,1.94
229,2025-01-10,百胜智能,301083,13.34,13.0,13.55,12.99,20521,26904521.0,4.19,-2.69,-0.36,2.4
228,2025-01-09,百胜智能,301083,13.24,13.36,13.57,13.14,18964,25125412.0,3.23,0.3,0.04,2.22
227,2025-01-08,百胜智能,301083,13.36,13.32,13.55,12.86,21861,28577832.0,5.16,-0.45,-0.06,2.55
226,2025-01-07,百胜智能,301083,12.98,13.38,13.41,12.95,22020,28612488.0,3.57,3.72,0.48,2.57
225,2025-01-06,百胜智能,301083,12.99,12.9,13.11,12.39,21009,26531274.0,5.54,-0.77,-0.1,2.45
224,2025-01-03,百胜智能,301083,13.84,13.0,14.03,13.0,27110,35787995.0,7.44,-6.07,-0.84,3.17
223,2025-01-02,百胜智能,301083,14.15,13.84,14.46,13.69,25275,35028133.0,5.4,-2.95,-0.42,2.95
222,2024-12-31,百胜智能,301083,14.71,14.26,14.81,14.2,20724,29493137.0,4.16,-2.73,-0.4,2.42
221,2024-12-30,百胜智能,301083,14.81,14.66,14.88,14.28,20877,30190567.0,4.05,-0.95,-0.14,2.44
220,2024-12-27,百胜智能,301083,14.69,14.8,15.09,14.61,20478,30081882.0,3.27,0.75,0.11,2.39
219,2024-12-26,百胜智能,301083,14.57,14.69,14.94,14.46,20670,30151539.0,3.3,0.96,0.14,2.41
218,2024-12-25,百胜智能,301083,14.98,14.55,15.04,14.32,22739,32783424.0,4.8,-2.94,-0.44,2.66
217,2024-12-24,百胜智能,301083,14.8,14.99,15.23,14.61,26130,38549503.0,4.22,2.04,0.3,3.05
216,2024-12-23,百胜智能,301083,15.88,14.69,15.94,14.61,33482,49900129.0,8.42,-6.97,-1.1,3.91
215,2024-12-20,百胜智能,301083,15.34,15.79,16.05,15.32,32403,50545009.0,4.73,2.4,0.37,3.78
214,2024-12-19,百胜智能,301083,15.06,15.42,15.53,15.01,30987,46826432.0,3.41,1.25,0.19,3.62
213,2024-12-18,百胜智能,301083,15.34,15.23,15.46,14.85,22116,33232445.0,3.98,-0.59,-0.09,2.58
212,2024-12-17,百胜智能,301083,16.02,15.32,16.14,15.19,27544,42209779.0,5.91,-4.73,-0.76,3.22
211,2024-12-16,百胜智能,301083,16.28,16.08,16.45,15.69,22268,35585310.0,4.7,-0.5,-0.08,2.6
210,2024-12-13,百胜智能,301083,16.49,16.16,16.61,16.14,38291,61893432.0,2.82,-2.88,-0.48,4.47
209,2024-12-12,百胜智能,301083,16.86,16.64,17.07,16.45,39238,64706893.0,3.7,-0.6,-0.1,4.58
208,2024-12-11,百胜智能,301083,16.87,16.74,16.87,16.39,38958,64047814.0,2.85,-0.65,-0.11,4.55
207,2024-12-10,百胜智能,301083,16.98,16.85,17.33,16.75,57204,96496960.0,3.48,1.2,0.2,6.68
206,2024-12-09,百胜智能,301083,16.6,16.65,16.89,16.4,39718,65216856.0,2.95,0.18,0.03,4.64
205,2024-12-06,百胜智能,301083,17.04,16.62,17.07,16.31,54839,89802606.0,4.54,-0.78,-0.13,6.41
204,2024-12-05,百胜智能,301083,16.91,16.75,17.07,16.61,65558,109033507.0,2.72,-0.89,-0.15,7.66
203,2024-12-04,百胜智能,301083,17.22,16.9,17.44,16.77,85590,144356105.0,3.83,-3.37,-0.59,10.0
202,2024-12-03,百胜智能,301083,16.7,17.49,17.72,16.54,134532,230329236.0,7.04,4.42,0.74,15.71
201,2024-12-02,百胜智能,301083,16.69,16.75,16.97,16.44,112924,186432393.0,3.21,1.39,0.23,13.19
200,2024-11-29,百胜智能,301083,15.58,16.52,16.58,15.58,105433,168742165.0,6.37,5.29,0.83,12.32
199,2024-11-28,百胜智能,301083,16.0,15.69,16.29,15.66,72860,114954650.0,3.93,-2.18,-0.35,8.51
198,2024-11-27,百胜智能,301083,16.19,16.04,16.19,15.04,94993,146961723.0,7.09,-1.17,-0.19,11.1
197,2024-11-26,百胜智能,301083,15.46,16.23,16.24,15.46,121082,191671735.0,4.99,3.77,0.59,14.14
196,2024-11-25,百胜智能,301083,15.35,15.64,15.74,15.11,42422,64495116.0,4.1,1.89,0.29,4.96
195,2024-11-22,百胜智能,301083,15.89,15.35,16.23,15.27,80369,125623791.0,5.99,-4.3,-0.69,9.39
194,2024-11-21,百胜智能,301083,15.62,16.04,16.39,15.35,108473,171076362.0,6.62,2.1,0.33,12.67
193,2024-11-20,百胜智能,301083,15.33,15.71,15.8,15.21,77989,120264609.0,3.85,2.48,0.38,9.11
192,2024-11-19,百胜智能,301083,14.19,15.33,15.34,14.19,63261,92289167.0,8.08,7.65,1.09,7.39
191,2024-11-18,百胜智能,301083,14.95,14.24,15.07,14.11,40503,57650584.0,6.44,-4.49,-0.67,4.73
190,2024-11-15,百胜智能,301083,15.08,14.91,15.28,14.9,34560,51433984.0,2.52,-1.19,-0.18,4.04
189,2024-11-14,百胜智能,301083,15.52,15.09,15.54,14.9,27339,41074663.0,4.12,-2.9,-0.45,3.19
188,2024-11-13,百胜智能,301083,15.64,15.54,15.67,14.97,36047,54619520.0,4.56,1.17,0.18,4.21
187,2024-11-12,百胜智能,301083,15.74,15.36,15.83,15.22,48309,74226434.0,3.87,-2.66,-0.42,5.64
186,2024-11-11,百胜智能,301083,15.47,15.78,15.81,15.31,55367,85426893.0,3.29,3.88,0.59,6.47
185,2024-11-08,百胜智能,301083,15.39,15.19,15.56,15.11,60770,91984946.0,2.97,0.33,0.05,7.1
184,2024-11-07,百胜智能,301083,14.93,15.14,15.18,14.84,50676,75150761.0,2.27,1.0,0.15,5.92
183,2024-11-06,百胜智能,301083,14.85,14.99,15.22,14.77,60075,89177599.0,3.04,1.22,0.18,7.02
182,2024-11-05,百胜智能,301083,14.51,14.81,14.83,14.33,49537,71587104.0,3.47,2.63,0.38,5.79
181,2024-11-04,百胜智能,301083,13.63,14.43,14.52,13.59,44142,61936578.0,6.82,5.87,0.8,5.16
180,2024-11-01,百胜智能,301083,14.44,13.63,14.52,13.61,41220,56467880.0,6.26,-6.19,-0.9,4.81
179,2024-10-31,百胜智能,301083,14.37,14.53,14.58,14.23,32310,46068058.0,2.44,1.11,0.16,3.77
178,2024-10-30,百胜智能,301083,14.63,14.37,14.66,14.18,37226,52828506.0,3.3,-1.24,-0.18,4.35
177,2024-10-29,百胜智能,301083,14.94,14.55,15.07,14.48,41341,60120394.0,3.97,-2.09,-0.31,4.83
176,2024-10-28,百胜智能,301083,14.86,14.86,14.92,14.69,34064,49765299.0,1.55,0.41,0.06,3.98
175,2024-10-25,百胜智能,301083,14.8,14.8,14.99,14.71,34800,51036080.0,1.9,0.61,0.09,4.06
174,2024-10-24,百胜智能,301083,14.87,14.71,14.98,14.63,33791,49274837.0,2.35,-1.14,-0.17,3.95
173,2024-10-23,百胜智能,301083,15.31,14.88,15.37,14.8,56405,83754670.0,3.7,-3.38,-0.52,6.59
172,2024-10-22,百胜智能,301083,14.76,15.4,15.49,14.63,84423,126409266.0,5.83,4.34,0.64,9.86
171,2024-10-21,百胜智能,301083,14.61,14.76,15.07,14.43,55765,81325393.0,4.44,2.5,0.36,6.51
170,2024-10-18,百胜智能,301083,13.85,14.4,14.68,13.62,49849,70141465.0,7.65,3.97,0.55,9.09
169,2024-10-17,百胜智能,301083,14.02,13.85,14.26,13.85,28762,39924454.0,2.94,-0.72,-0.1,5.24
168,2024-10-16,百胜智能,301083,13.88,13.95,14.38,13.8,36808,51162351.0,4.09,-1.62,-0.23,6.71
167,2024-10-15,百胜智能,301083,14.16,14.18,14.75,13.94,47534,67651418.0,5.74,0.5,0.07,8.66
166,2024-10-14,百胜智能,301083,13.57,14.11,14.13,13.44,33135,45248316.0,5.1,4.29,0.58,6.04
165,2024-10-11,百胜智能,301083,14.39,13.53,14.41,13.3,41338,56386427.0,7.72,-5.85,-0.84,7.54
164,2024-10-10,百胜智能,301083,14.57,14.37,14.95,14.2,47623,68309781.0,5.26,0.7,0.1,8.68
163,2024-10-09,百胜智能,301083,15.78,14.27,15.78,14.27,81441,121785696.0,9.09,-14.09,-2.34,14.85
162,2024-10-08,百胜智能,301083,17.19,16.61,17.29,14.84,128667,204128228.0,16.67,12.99,1.91,23.45
161,2024-09-30,百胜智能,301083,13.45,14.7,14.94,13.11,95939,132399194.0,14.22,14.22,1.83,17.49
160,2024-09-27,百胜智能,301083,12.3,12.87,13.13,12.3,55105,68974714.0,6.79,5.32,0.65,10.04
159,2024-09-26,百胜智能,301083,11.89,12.22,12.26,11.89,31276,37293623.0,3.1,2.35,0.28,5.7
158,2024-09-25,百胜智能,301083,11.87,11.94,12.24,11.79,35326,41924123.0,3.82,1.36,0.16,6.44
157,2024-09-24,百胜智能,301083,11.44,11.78,11.79,11.3,27945,31881393.0,4.28,2.97,0.34,5.09
156,2024-09-23,百胜智能,301083,11.5,11.44,11.6,11.39,11661,13191136.0,1.83,-0.26,-0.03,2.13
155,2024-09-20,百胜智能,301083,11.66,11.47,11.7,11.43,11411,12950124.0,2.31,-1.71,-0.2,2.08
154,2024-09-19,百胜智能,301083,11.53,11.67,11.81,11.48,16210,18612822.0,2.87,1.66,0.19,2.95
153,2024-09-18,百胜智能,301083,11.61,11.48,11.71,11.26,17658,19891766.0,3.88,-1.12,-0.13,3.22
152,2024-09-13,百胜智能,301083,11.96,11.61,11.96,11.59,16987,19594408.0,3.11,-2.35,-0.28,3.1
151,2024-09-12,百胜智能,301083,12.12,11.89,12.23,11.88,18558,22024164.0,2.89,-1.82,-0.22,3.38
150,2024-09-11,百胜智能,301083,12.25,12.11,12.28,12.1,13369,16018114.0,1.47,-1.3,-0.16,2.44
149,2024-09-10,百胜智能,301083,12.04,12.27,12.29,11.92,20322,24206402.0,3.07,1.83,0.22,3.7
148,2024-09-09,百胜智能,301083,12.0,12.05,12.14,11.82,15570,18390144.0,2.67,0.42,0.05,2.84
147,2024-09-06,百胜智能,301083,12.45,12.0,12.48,12.0,23752,28484125.0,3.86,-3.38,-0.42,4.33
146,2024-09-05,百胜智能,301083,12.29,12.42,12.46,12.24,19484,23754529.0,1.79,1.06,0.13,3.55
145,2024-09-04,百胜智能,301083,12.43,12.29,12.48,12.25,29840,36244784.0,1.83,-1.99,-0.25,5.44
144,2024-09-03,百胜智能,301083,12.24,12.54,12.89,12.17,40746,50153425.0,5.92,3.04,0.37,7.43
143,2024-09-02,百胜智能,301083,12.72,12.17,12.73,12.16,28140,34314373.0,4.49,-4.1,-0.52,5.13
142,2024-08-30,百胜智能,301083,12.54,12.69,12.95,12.44,28602,35941674.0,4.08,1.52,0.19,5.21
141,2024-08-29,百胜智能,301083,12.55,12.5,12.57,12.11,18289,22342069.0,3.73,1.3,0.16,3.33
140,2024-08-28,百胜智能,301083,12.19,12.34,12.5,12.17,17857,21718289.0,2.7,0.82,0.1,3.26
139,2024-08-27,百胜智能,301083,12.58,12.24,12.68,12.21,18605,22656529.0,3.72,-3.09,-0.39,3.39
138,2024-08-26,百胜智能,301083,12.59,12.63,12.82,12.49,15102,18847915.0,2.62,0.32,0.04,2.75
137,2024-08-23,百胜智能,301083,12.62,12.59,12.7,12.31,20684,25566962.0,3.08,-0.63,-0.08,3.77
136,2024-08-22,百胜智能,301083,13.07,12.67,13.77,12.62,30327,38846563.0,8.78,-3.28,-0.43,5.53
135,2024-08-21,百胜智能,301083,12.88,13.1,13.25,12.74,27004,34740886.0,3.97,2.02,0.26,4.92
134,2024-08-20,百胜智能,301083,12.9,12.84,13.05,12.69,26983,34091598.0,2.79,-0.47,-0.06,4.92
133,2024-08-19,百胜智能,301083,13.47,12.9,13.69,12.9,51192,66420637.0,5.75,-6.18,-0.85,9.33
132,2024-08-16,百胜智能,301083,13.85,13.75,14.03,13.74,24854,34038414.0,2.1,-0.43,-0.06,4.53
131,2024-08-15,百胜智能,301083,13.78,13.81,13.94,13.61,24598,33429641.0,2.39,0.22,0.03,4.48
130,2024-08-14,百胜智能,301083,13.59,13.78,13.91,13.54,27176,36922686.0,2.72,1.25,0.17,4.95
129,2024-08-13,百胜智能,301083,13.39,13.61,13.61,13.29,22798,30286356.0,2.4,2.1,0.28,4.16
128,2024-08-12,百胜智能,301083,13.27,13.33,13.43,13.05,19786,25886854.0,2.86,0.45,0.06,3.61
127,2024-08-09,百胜智能,301083,13.84,13.27,13.84,13.27,19406,25714849.0,4.25,-1.04,-0.14,3.54
126,2024-08-08,百胜智能,301083,13.9,13.41,13.91,13.19,29699,39372560.0,5.18,-3.46,-0.48,5.41
125,2024-08-07,百胜智能,301083,13.65,13.89,14.03,13.65,24127,33048021.0,2.79,1.91,0.26,4.4
124,2024-08-06,百胜智能,301083,13.69,13.63,13.84,13.49,25076,33752100.0,2.59,0.74,0.1,4.57
123,2024-08-05,百胜智能,301083,14.09,13.53,14.23,13.49,46063,62820781.0,5.19,-5.12,-0.73,8.4
122,2024-08-02,百胜智能,301083,14.79,14.26,14.82,14.24,39727,57022039.0,3.9,-4.1,-0.61,7.24
121,2024-08-01,百胜智能,301083,14.87,14.87,15.13,14.82,53515,78891394.0,2.08,0.0,0.0,9.75
120,2024-07-31,百胜智能,301083,14.34,14.87,14.94,14.27,61558,89523109.0,4.66,3.48,0.5,11.22
119,2024-07-30,百胜智能,301083,14.62,14.37,14.74,14.32,52253,74858203.0,2.85,-2.58,-0.38,9.52
118,2024-07-29,百胜智能,301083,14.33,14.75,14.87,14.06,69992,100431483.0,5.65,2.93,0.42,12.76
117,2024-07-26,百胜智能,301083,14.56,14.33,14.56,14.11,58946,83183953.0,3.1,-1.31,-0.19,10.74
116,2024-07-25,百胜智能,301083,14.07,14.52,14.55,13.73,72039,101535431.0,5.83,3.2,0.45,13.13
115,2024-07-24,百胜智能,301083,13.99,14.07,14.29,13.71,46680,64712968.0,4.14,0.43,0.06,8.51
114,2024-07-23,百胜智能,301083,13.98,14.01,14.58,13.98,50256,70662528.0,4.27,-0.36,-0.05,9.16
113,2024-07-22,百胜智能,301083,13.68,14.06,14.09,13.64,34353,47266630.0,3.29,2.85,0.39,6.26
112,2024-07-19,百胜智能,301083,13.5,13.67,13.9,13.39,31008,41939450.0,3.77,1.18,0.16,5.65
111,2024-07-18,百胜智能,301083,13.5,13.51,13.61,13.01,42163,55214651.0,4.36,-1.82,-0.25,7.69
110,2024-07-17,百胜智能,301083,14.36,13.76,14.53,13.69,44975,61946074.0,5.79,-5.1,-0.74,8.2
109,2024-07-16,百胜智能,301083,14.29,14.5,14.59,14.17,34793,49437937.0,2.9,0.21,0.03,6.34
108,2024-07-15,百胜智能,301083,14.82,14.47,14.87,14.24,42215,60313939.0,4.23,-2.76,-0.41,7.7
107,2024-07-12,百胜智能,301083,15.2,14.88,15.26,14.69,56161,82871166.0,3.75,-2.04,-0.31,10.24
106,2024-07-11,百胜智能,301083,15.01,15.19,15.33,14.67,80254,119895028.0,4.5,3.54,0.52,14.63
105,2024-07-10,百胜智能,301083,14.56,14.67,15.34,14.49,77476,113560433.0,5.86,1.17,0.17,14.12
104,2024-07-09,百胜智能,301083,13.97,14.5,14.57,13.53,73611,102334586.0,7.53,5.0,0.69,13.42
