,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,满坤科技,301132,28.68,27.67,28.71,27.67,19610,53699035.0,3.65,-2.84,-0.81,4.26
239,2025-01-24,满坤科技,301132,27.99,28.48,28.63,27.99,22646,62674937.0,2.27,0.81,0.23,4.92
238,2025-01-23,满坤科技,301132,28.74,28.25,29.12,28.24,34899,97817101.0,3.08,-1.05,-0.3,7.58
237,2025-01-22,满坤科技,301132,28.34,28.55,29.17,28.25,34347,96161861.0,3.22,-0.14,-0.04,7.46
236,2025-01-21,满坤科技,301132,28.81,28.59,29.02,28.07,32332,89504555.0,3.32,-0.14,-0.04,7.03
235,2025-01-20,满坤科技,301132,28.14,28.63,28.76,27.9,48948,135758239.0,3.09,3.02,0.84,10.64
234,2025-01-17,满坤科技,301132,27.48,27.79,28.17,27.48,35124,95463642.0,2.51,1.24,0.34,7.63
233,2025-01-16,满坤科技,301132,27.82,27.45,28.23,27.17,31553,84907604.0,3.81,-1.26,-0.35,6.86
232,2025-01-15,满坤科技,301132,28.52,27.8,28.61,27.68,43267,117967361.0,3.23,-3.37,-0.97,9.4
231,2025-01-14,满坤科技,301132,27.45,28.77,28.83,27.22,70188,192605970.0,5.74,2.64,0.74,15.25
230,2025-01-13,满坤科技,301132,27.74,28.03,28.12,27.15,60396,162738662.0,3.56,2.94,0.8,13.13
229,2025-01-10,满坤科技,301132,27.29,27.23,27.68,26.66,37719,99915382.0,3.7,-1.3,-0.36,8.2
228,2025-01-09,满坤科技,301132,26.62,27.59,29.05,26.62,43805,118901008.0,9.14,3.76,1.0,9.52
227,2025-01-08,满坤科技,301132,26.8,26.59,27.07,25.64,22013,56534042.0,5.29,-1.55,-0.42,4.78
226,2025-01-07,满坤科技,301132,25.74,27.01,27.03,25.74,24079,61922688.0,5.01,4.81,1.24,5.23
225,2025-01-06,满坤科技,301132,25.56,25.77,26.2,24.5,20620,51242362.0,6.65,0.86,0.22,4.48
224,2025-01-03,满坤科技,301132,27.3,25.55,27.3,25.4,24026,61431999.0,7.0,-5.82,-1.58,5.22
223,2025-01-02,满坤科技,301132,28.23,27.13,28.52,26.64,27630,74067441.0,6.66,-3.93,-1.11,6.0
222,2024-12-31,满坤科技,301132,30.13,28.24,30.2,28.24,32904,93106579.0,6.53,-5.87,-1.76,7.15
221,2024-12-30,满坤科技,301132,30.05,30.0,30.61,29.24,27565,80811784.0,4.52,-0.96,-0.29,5.99
220,2024-12-27,满坤科技,301132,30.81,30.29,30.83,30.03,34715,103140453.0,2.61,-1.21,-0.37,7.54
219,2024-12-26,满坤科技,301132,29.12,30.66,30.73,28.87,51064,150266375.0,6.37,5.07,1.48,11.1
218,2024-12-25,满坤科技,301132,29.11,29.18,29.79,28.26,34557,97952701.0,5.24,-0.14,-0.04,7.51
217,2024-12-24,满坤科技,301132,29.24,29.22,29.72,28.54,31464,89254040.0,4.11,1.67,0.48,6.84
216,2024-12-23,满坤科技,301132,30.69,28.74,31.2,28.64,53173,154197767.0,8.36,-6.14,-1.88,11.56
215,2024-12-20,满坤科技,301132,29.54,30.62,30.94,29.3,69767,207545742.0,5.55,3.62,1.07,15.32
214,2024-12-19,满坤科技,301132,28.96,29.55,29.61,28.74,30519,86890311.0,2.96,0.58,0.17,6.7
213,2024-12-18,满坤科技,301132,28.95,29.38,29.75,27.76,41948,118742707.0,6.82,0.72,0.21,9.21
212,2024-12-17,满坤科技,301132,29.06,29.17,30.37,28.65,48032,138923420.0,5.91,0.21,0.06,10.55
211,2024-12-16,满坤科技,301132,29.58,29.11,29.77,28.87,21527,61589746.0,3.05,-1.29,-0.38,4.73
210,2024-12-13,满坤科技,301132,29.95,29.49,30.3,29.46,24252,70581039.0,2.78,-2.32,-0.7,5.32
209,2024-12-12,满坤科技,301132,30.24,30.19,30.5,29.86,21994,64682569.0,2.12,0.0,0.0,4.83
208,2024-12-11,满坤科技,301132,29.94,30.19,30.37,29.69,25418,74469578.0,2.27,0.97,0.29,5.59
207,2024-12-10,满坤科技,301132,30.25,29.9,30.59,29.85,30235,88945031.0,2.5,1.05,0.31,6.65
206,2024-12-09,满坤科技,301132,29.85,29.59,30.07,29.37,21308,61757266.0,2.34,-0.9,-0.27,4.68
205,2024-12-06,满坤科技,301132,29.7,29.86,30.03,29.34,30113,87244573.0,2.32,0.23,0.07,6.62
204,2024-12-05,满坤科技,301132,29.5,29.79,30.03,29.32,30956,89920806.0,2.41,1.15,0.34,6.8
203,2024-12-04,满坤科技,301132,30.65,29.45,30.65,29.34,36966,108326245.0,4.42,-0.67,-0.2,8.13
202,2024-12-03,满坤科技,301132,29.72,29.65,29.87,29.24,22627,65309748.0,2.12,-0.27,-0.08,4.97
201,2024-12-02,满坤科技,301132,29.59,29.73,30.0,29.47,26628,77105891.0,1.8,0.81,0.24,5.85
200,2024-11-29,满坤科技,301132,29.25,29.49,29.82,28.65,26163,74867863.0,4.02,1.2,0.35,5.75
199,2024-11-28,满坤科技,301132,29.34,29.14,29.63,29.01,26437,75541927.0,2.12,-0.14,-0.04,5.81
198,2024-11-27,满坤科技,301132,28.24,29.18,29.31,27.52,30521,84214714.0,6.29,2.46,0.7,6.71
197,2024-11-26,满坤科技,301132,28.72,28.48,29.41,28.46,23006,64923049.0,3.28,-1.52,-0.44,5.06
196,2024-11-25,满坤科技,301132,28.76,28.92,29.04,28.19,25756,71696163.0,2.96,0.63,0.18,5.66
195,2024-11-22,满坤科技,301132,30.21,28.74,30.58,28.74,47061,135780599.0,6.06,-5.37,-1.63,10.34
194,2024-11-21,满坤科技,301132,30.59,30.37,31.0,30.05,32418,96780628.0,3.09,-1.17,-0.36,7.13
193,2024-11-20,满坤科技,301132,31.23,30.73,31.23,30.44,37564,112685844.0,2.56,-0.26,-0.08,8.26
192,2024-11-19,满坤科技,301132,29.74,30.81,30.81,29.39,36549,107635979.0,4.83,4.9,1.44,8.03
191,2024-11-18,满坤科技,301132,31.2,29.37,31.6,29.13,48332,140792347.0,7.93,-5.68,-1.77,10.62
