,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,哈焊华通,301137,17.25,17.4,17.43,17.04,15709,26609739.0,2.27,1.1,0.19,1.54
240,2025-01-23,哈焊华通,301137,17.28,17.21,17.69,17.18,24023,41282877.0,2.97,0.17,0.03,2.36
239,2025-01-22,哈焊华通,301137,17.09,17.18,17.24,16.96,15870,26707085.0,1.63,0.17,0.03,1.56
238,2025-01-21,哈焊华通,301137,17.39,17.15,17.45,16.84,19030,31937932.0,3.53,-0.87,-0.15,1.87
237,2025-01-20,哈焊华通,301137,17.09,17.3,17.36,16.95,20788,35228745.0,2.42,2.06,0.35,2.04
236,2025-01-17,哈焊华通,301137,16.99,16.95,17.11,16.8,13913,23168093.0,1.81,-1.11,-0.19,1.37
235,2025-01-16,哈焊华通,301137,17.29,17.14,17.57,16.93,24233,40993297.0,3.7,-0.81,-0.14,2.38
234,2025-01-15,哈焊华通,301137,17.49,17.28,17.6,17.17,19355,33015405.0,2.45,-1.71,-0.3,1.9
233,2025-01-14,哈焊华通,301137,16.76,17.58,17.63,16.76,30856,52506228.0,5.21,5.27,0.88,3.03
232,2025-01-13,哈焊华通,301137,16.3,16.7,16.84,16.15,16333,26556436.0,4.15,0.42,0.07,1.61
231,2025-01-10,哈焊华通,301137,16.99,16.63,17.41,16.63,26527,44608624.0,4.57,-2.46,-0.42,2.61
230,2025-01-09,哈焊华通,301137,16.97,17.05,17.29,16.96,20273,34124236.0,1.92,-0.87,-0.15,1.99
229,2025-01-08,哈焊华通,301137,17.59,17.2,17.66,16.75,36064,61099179.0,5.16,-2.55,-0.45,3.55
228,2025-01-07,哈焊华通,301137,16.3,17.65,18.58,16.14,48400,81972441.0,15.0,8.48,1.38,4.76
227,2025-01-06,哈焊华通,301137,16.3,16.27,16.46,15.73,16604,26423087.0,4.49,0.0,0.0,1.63
226,2025-01-03,哈焊华通,301137,17.3,16.27,17.35,16.25,26489,43501726.0,6.44,-4.74,-0.81,2.6
225,2025-01-02,哈焊华通,301137,17.8,17.08,17.96,16.8,29446,50202730.0,6.53,-3.88,-0.69,2.9
224,2024-12-31,哈焊华通,301137,18.48,17.77,18.6,17.76,29110,51792222.0,4.58,-3.16,-0.58,2.86
223,2024-12-30,哈焊华通,301137,19.11,18.35,19.22,18.31,44837,81885409.0,4.7,-5.31,-1.03,4.41
222,2024-12-27,哈焊华通,301137,19.71,19.38,19.94,19.35,52377,101202104.0,2.95,-3.05,-0.61,5.15
221,2024-12-26,哈焊华通,301137,19.79,19.99,20.38,19.52,72526,143355518.0,4.44,3.2,0.62,7.13
220,2024-12-25,哈焊华通,301137,19.85,19.37,19.9,19.17,51796,99081188.0,3.62,-3.92,-0.79,5.09
219,2024-12-24,哈焊华通,301137,19.48,20.16,20.25,19.08,92476,180877828.0,5.96,2.75,0.54,9.09
218,2024-12-23,哈焊华通,301137,18.95,19.62,20.28,18.84,76408,148050891.0,7.58,3.26,0.62,7.51
217,2024-12-20,哈焊华通,301137,18.59,19.0,19.24,18.55,27449,51266834.0,3.69,1.55,0.29,2.7
216,2024-12-19,哈焊华通,301137,18.36,18.71,19.22,18.32,26833,49586850.0,4.81,-0.11,-0.02,2.64
215,2024-12-18,哈焊华通,301137,18.8,18.73,19.28,18.3,35160,65100139.0,5.41,3.37,0.61,3.46
214,2024-12-17,哈焊华通,301137,18.93,18.12,19.08,18.08,25035,45337844.0,5.25,-4.78,-0.91,2.46
213,2024-12-16,哈焊华通,301137,18.89,19.03,19.18,18.8,17122,32045410.0,2.01,0.42,0.08,1.68
212,2024-12-13,哈焊华通,301137,19.21,18.95,19.25,18.91,20944,39285179.0,1.76,-2.02,-0.39,2.06
211,2024-12-12,哈焊华通,301137,19.18,19.34,19.5,19.14,20045,38078225.0,1.86,-0.05,-0.01,1.97
210,2024-12-11,哈焊华通,301137,19.15,19.35,19.35,18.9,24561,46241598.0,2.33,0.36,0.07,2.42
209,2024-12-10,哈焊华通,301137,19.68,19.28,19.8,19.24,36307,69574126.0,2.92,0.52,0.1,3.57
208,2024-12-09,哈焊华通,301137,19.24,19.18,19.4,18.86,25723,48444119.0,2.79,-0.78,-0.15,2.53
207,2024-12-06,哈焊华通,301137,19.69,19.33,19.69,19.11,31821,60509734.0,2.97,-0.87,-0.17,3.13
206,2024-12-05,哈焊华通,301137,19.11,19.5,19.65,19.0,31935,61069950.0,3.38,1.51,0.29,3.14
205,2024-12-04,哈焊华通,301137,18.94,19.21,19.83,18.77,40869,77765135.0,5.56,0.84,0.16,4.02
204,2024-12-03,哈焊华通,301137,19.26,19.05,19.64,18.96,35487,67382890.0,3.6,0.79,0.15,3.49
203,2024-12-02,哈焊华通,301137,18.76,18.9,19.06,18.61,23776,44278253.0,2.42,1.61,0.3,2.34
202,2024-11-29,哈焊华通,301137,18.15,18.6,18.69,17.99,28688,52087059.0,3.85,2.37,0.43,2.82
201,2024-11-28,哈焊华通,301137,18.28,18.17,18.51,18.12,21763,39197072.0,2.13,-0.6,-0.11,2.14
200,2024-11-27,哈焊华通,301137,17.81,18.28,18.29,17.32,29797,51955158.0,5.38,1.44,0.26,2.93
199,2024-11-26,哈焊华通,301137,18.36,18.02,18.55,17.97,23467,42124671.0,3.14,-2.54,-0.47,2.31
198,2024-11-25,哈焊华通,301137,18.2,18.49,18.49,17.85,28244,50599673.0,3.53,1.99,0.36,2.78
197,2024-11-22,哈焊华通,301137,19.1,18.13,19.58,18.13,40658,75772622.0,7.58,-5.23,-1.0,4.0
196,2024-11-21,哈焊华通,301137,18.85,19.13,19.66,18.83,35536,67146428.0,4.37,0.63,0.12,3.49
195,2024-11-20,哈焊华通,301137,18.99,19.01,19.23,18.74,42394,79257036.0,2.55,-1.09,-0.21,4.17
194,2024-11-19,哈焊华通,301137,18.15,19.22,19.28,18.0,50482,93164516.0,7.06,6.07,1.1,4.96
193,2024-11-18,哈焊华通,301137,18.93,18.12,19.18,17.9,40803,73364291.0,6.74,-4.53,-0.86,4.01
192,2024-11-15,哈焊华通,301137,19.96,18.98,20.18,18.87,50985,98287246.0,6.52,-5.53,-1.11,5.01
191,2024-11-14,哈焊华通,301137,20.98,20.09,21.24,19.85,64973,131299589.0,6.5,-6.08,-1.3,6.39
190,2024-11-13,哈焊华通,301137,20.7,21.39,21.67,20.33,99100,206628577.0,6.45,2.89,0.6,9.74
189,2024-11-12,哈焊华通,301137,20.1,20.79,20.79,19.88,89099,178472986.0,4.53,3.48,0.7,8.76
188,2024-11-11,哈焊华通,301137,19.67,20.09,20.09,19.62,47901,93814935.0,2.37,1.36,0.27,4.71
187,2024-11-08,哈焊华通,301137,20.0,19.82,20.21,19.75,53715,105485090.0,2.32,0.0,0.0,5.28
186,2024-11-07,哈焊华通,301137,19.67,19.82,19.82,19.33,59031,113890677.0,2.45,-0.85,-0.17,5.8
185,2024-11-06,哈焊华通,301137,19.95,19.99,21.02,19.8,83467,166486604.0,6.07,-0.5,-0.1,8.21
184,2024-11-05,哈焊华通,301137,20.25,20.09,20.25,19.52,95394,187310949.0,3.65,0.35,0.07,9.38
183,2024-11-04,哈焊华通,301137,18.96,20.02,20.09,18.72,88054,169862919.0,7.23,5.59,1.06,8.66
182,2024-11-01,哈焊华通,301137,18.54,18.96,19.59,18.54,84461,159440670.0,5.66,2.27,0.42,8.3
181,2024-10-31,哈焊华通,301137,18.45,18.54,18.6,18.2,36175,65591852.0,2.17,0.49,0.09,3.56
180,2024-10-30,哈焊华通,301137,18.7,18.45,18.75,18.09,42277,76376564.0,3.53,-1.34,-0.25,4.16
179,2024-10-29,哈焊华通,301137,19.53,18.7,19.67,18.7,52513,98521824.0,4.96,-4.45,-0.87,5.16
178,2024-10-28,哈焊华通,301137,19.37,19.57,19.62,19.15,47609,91395609.0,2.41,0.26,0.05,4.68
177,2024-10-25,哈焊华通,301137,19.15,19.52,19.74,18.93,52951,100768404.0,4.19,0.93,0.18,5.21
176,2024-10-24,哈焊华通,301137,19.91,19.34,20.07,19.18,67201,128942335.0,4.38,-4.73,-0.96,6.61
175,2024-10-23,哈焊华通,301137,20.09,20.3,21.41,19.81,102283,207680788.0,7.81,-0.93,-0.19,10.06
174,2024-10-22,哈焊华通,301137,19.35,20.49,21.2,19.18,109956,221481159.0,10.36,5.08,0.99,10.81
173,2024-10-21,哈焊华通,301137,18.92,19.5,19.82,18.9,66726,127471061.0,4.85,2.85,0.54,6.56
172,2024-10-18,哈焊华通,301137,18.29,18.96,19.36,18.05,68888,126828906.0,7.1,2.82,0.52,6.77
171,2024-10-17,哈焊华通,301137,18.6,18.44,19.4,18.38,54747,101456311.0,5.59,0.99,0.18,5.38
170,2024-10-16,哈焊华通,301137,18.19,18.26,18.56,17.97,41097,73814452.0,3.19,-1.19,-0.22,4.04
169,2024-10-15,哈焊华通,301137,18.8,18.48,19.42,18.42,61569,114204344.0,5.23,-3.35,-0.64,6.05
168,2024-10-14,哈焊华通,301137,17.91,19.12,19.12,17.91,58000,106721045.0,6.67,5.46,0.99,5.7
167,2024-10-11,哈焊华通,301137,19.04,18.13,19.04,17.77,77201,139089725.0,6.46,-7.78,-1.53,7.59
166,2024-10-10,哈焊华通,301137,18.88,19.66,20.2,18.51,92154,176575047.0,9.22,7.26,1.33,9.06
165,2024-10-09,哈焊华通,301137,20.5,18.33,21.88,18.33,109141,216504704.0,15.68,-19.04,-4.31,10.73
164,2024-10-08,哈焊华通,301137,24.14,22.64,24.17,20.43,174708,385844435.0,17.99,8.9,1.85,17.18
163,2024-09-30,哈焊华通,301137,19.2,20.79,21.29,18.37,189082,368093706.0,15.72,11.89,2.21,18.59
162,2024-09-27,哈焊华通,301137,17.1,18.58,19.69,16.85,165446,288345359.0,16.63,8.78,1.5,16.27
