,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中科磁业,301141,54.37,51.75,54.93,51.75,28090,105146294.2,5.84,-5.01,-2.73,6.31
239,2025-01-24,中科磁业,301141,53.27,54.48,54.81,52.12,43195,163534406.0,4.99,1.13,0.61,9.7
238,2025-01-23,中科磁业,301141,52.48,53.87,58.7,52.48,58021,226330819.0,12.02,4.14,2.14,13.03
237,2025-01-22,中科磁业,301141,51.4,51.73,52.82,51.31,18430,68055827.0,2.91,-0.17,-0.09,4.14
236,2025-01-21,中科磁业,301141,53.17,51.82,53.41,51.21,25529,93502524.0,4.14,-2.47,-1.31,5.74
235,2025-01-20,中科磁业,301141,53.84,53.13,54.18,52.62,30319,114052827.0,2.87,-2.32,-1.26,6.81
234,2025-01-17,中科磁业,301141,54.22,54.39,55.94,53.42,32965,126908452.0,4.59,-1.04,-0.57,7.41
233,2025-01-16,中科磁业,301141,55.23,54.96,56.75,54.62,39236,154502053.0,3.79,-2.17,-1.22,8.81
232,2025-01-15,中科磁业,301141,54.69,56.18,56.71,53.85,56822,222784295.0,5.17,1.57,0.87,12.77
231,2025-01-14,中科磁业,301141,52.96,55.31,55.95,52.12,53332,204140306.0,7.19,3.81,2.03,11.98
230,2025-01-13,中科磁业,301141,51.84,53.28,53.59,51.49,43766,163413931.0,4.03,2.13,1.11,9.83
229,2025-01-10,中科磁业,301141,51.6,52.17,53.63,50.93,49066,182259081.0,5.19,0.23,0.12,11.02
228,2025-01-09,中科磁业,301141,50.63,52.05,52.79,50.63,35002,129070975.0,4.25,2.42,1.23,7.86
227,2025-01-08,中科磁业,301141,51.18,50.82,51.71,49.14,23583,84346692.0,4.95,-2.18,-1.13,5.3
226,2025-01-07,中科磁业,301141,50.62,51.95,52.19,49.92,26716,97149418.0,4.5,2.97,1.5,6.0
225,2025-01-06,中科磁业,301141,49.01,50.45,51.82,48.38,28928,103181324.0,6.93,1.61,0.8,6.5
224,2025-01-03,中科磁业,301141,51.03,49.65,53.67,49.5,36225,132261106.0,8.22,-2.11,-1.07,8.14
223,2025-01-02,中科磁业,301141,51.32,50.72,52.86,50.12,21635,78244763.0,5.34,-1.17,-0.6,4.86
222,2024-12-31,中科磁业,301141,53.9,51.32,54.09,51.28,16323,60365385.0,5.23,-4.43,-2.38,3.67
221,2024-12-30,中科磁业,301141,53.81,53.7,54.36,52.55,12062,45725958.0,3.35,-0.63,-0.34,2.71
220,2024-12-27,中科磁业,301141,54.27,54.04,55.09,53.87,16788,64567224.0,2.25,-0.42,-0.23,3.77
219,2024-12-26,中科磁业,301141,53.38,54.27,55.09,53.27,15583,59844560.0,3.43,2.18,1.16,3.5
218,2024-12-25,中科磁业,301141,54.74,53.11,54.95,52.82,15523,58741536.0,3.88,-3.31,-1.82,3.49
217,2024-12-24,中科磁业,301141,54.9,54.93,55.32,53.98,13176,51000901.0,2.44,0.2,0.11,2.96
216,2024-12-23,中科磁业,301141,56.98,54.82,58.11,54.62,21195,83718753.0,6.1,-4.11,-2.35,4.76
215,2024-12-20,中科磁业,301141,56.08,57.17,57.79,56.07,18299,73852693.0,3.08,2.27,1.27,4.11
214,2024-12-19,中科磁业,301141,55.1,55.9,56.16,54.61,12382,48790601.0,2.78,0.38,0.21,2.78
