,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,德石股份,301158,15.29,15.23,15.49,15.19,20605,30174033.99,1.97,0.13,0.02,1.41
239,2025-01-24,德石股份,301158,15.15,15.21,15.3,15.03,25241,36481801.0,1.78,0.2,0.03,1.72
238,2025-01-23,德石股份,301158,15.45,15.18,15.56,15.15,27332,40118797.0,2.67,-1.3,-0.2,1.87
237,2025-01-22,德石股份,301158,15.55,15.38,15.69,15.21,34382,50433283.0,3.1,-0.77,-0.12,2.35
236,2025-01-21,德石股份,301158,15.74,15.5,16.13,15.38,53121,79729423.0,4.84,0.13,0.02,3.63
235,2025-01-20,德石股份,301158,15.32,15.48,15.55,15.2,32696,47951145.0,2.31,2.25,0.34,2.23
234,2025-01-17,德石股份,301158,14.8,15.14,15.26,14.75,31017,44337320.0,3.43,1.75,0.26,2.12
233,2025-01-16,德石股份,301158,14.72,14.88,15.18,14.68,27275,38674394.0,3.42,1.71,0.25,3.4
232,2025-01-15,德石股份,301158,14.77,14.63,14.91,14.59,21520,30120211.0,2.16,-1.28,-0.19,2.69
231,2025-01-14,德石股份,301158,14.37,14.82,14.82,14.29,45377,63298550.0,3.66,2.21,0.32,5.66
230,2025-01-13,德石股份,301158,13.94,14.5,14.54,13.94,42224,57355533.0,4.31,4.24,0.59,5.27
229,2025-01-10,德石股份,301158,14.36,13.91,14.45,13.89,17155,23057866.0,3.9,-3.07,-0.44,2.14
228,2025-01-09,德石股份,301158,14.29,14.35,14.61,14.23,15518,21281931.0,2.63,-0.55,-0.08,1.94
227,2025-01-08,德石股份,301158,14.3,14.43,14.73,14.09,25487,35017565.0,4.44,0.21,0.03,3.18
226,2025-01-07,德石股份,301158,14.13,14.4,14.41,13.73,21775,29332184.0,4.9,3.75,0.52,2.72
225,2025-01-06,德石股份,301158,13.87,13.88,14.19,13.32,23708,31102286.0,6.25,-0.29,-0.04,2.96
224,2025-01-03,德石股份,301158,14.44,13.92,14.67,13.91,24720,33428971.0,5.26,-3.6,-0.52,3.08
223,2025-01-02,德石股份,301158,14.67,14.44,14.89,14.31,21916,30487706.0,3.93,-2.04,-0.3,2.73
222,2024-12-31,德石股份,301158,14.91,14.74,15.36,14.66,24821,35356456.0,4.69,-1.14,-0.17,3.1
221,2024-12-30,德石股份,301158,15.01,14.91,15.06,14.62,18393,26091995.0,2.92,-1.19,-0.18,2.3
