,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,鸥玛软件,301185,17.5,18.16,18.18,17.5,36171,62952202.73,3.88,3.65,0.64,2.59
240,2025-01-23,鸥玛软件,301185,17.55,17.52,18.04,17.5,31090,53823302.0,3.1,0.69,0.12,2.22
239,2025-01-22,鸥玛软件,301185,17.51,17.4,17.55,17.3,14519,24584276.0,1.42,-0.97,-0.17,1.04
238,2025-01-21,鸥玛软件,301185,17.53,17.57,17.67,17.19,18457,31222781.0,2.74,0.46,0.08,1.32
237,2025-01-20,鸥玛软件,301185,17.58,17.49,17.7,17.29,27040,45928189.0,2.37,1.16,0.2,1.93
236,2025-01-17,鸥玛软件,301185,17.11,17.29,17.38,16.99,18704,31261010.0,2.26,0.35,0.06,1.34
235,2025-01-16,鸥玛软件,301185,17.4,17.23,17.59,17.01,29243,49121787.0,3.35,-0.52,-0.09,2.09
234,2025-01-15,鸥玛软件,301185,17.08,17.32,17.56,16.9,47012,78873009.0,3.88,1.76,0.3,3.36
233,2025-01-14,鸥玛软件,301185,16.21,17.02,17.05,16.15,35832,58195025.0,5.59,5.78,0.93,2.56
232,2025-01-13,鸥玛软件,301185,15.83,16.09,16.27,15.52,23009,35569724.0,4.71,1.13,0.18,1.65
231,2025-01-10,鸥玛软件,301185,16.42,15.91,16.6,15.89,20992,33111619.0,4.32,-3.28,-0.54,1.5
230,2025-01-09,鸥玛软件,301185,16.29,16.45,16.64,16.23,25608,41020719.0,2.5,0.43,0.07,1.83
229,2025-01-08,鸥玛软件,301185,16.41,16.38,16.64,15.87,31555,49887132.0,4.65,-1.03,-0.17,2.26
228,2025-01-07,鸥玛软件,301185,16.3,16.55,16.57,16.09,30615,48607466.0,2.96,2.03,0.33,2.19
227,2025-01-06,鸥玛软件,301185,16.04,16.22,16.55,15.55,31109,48717941.0,6.2,0.56,0.09,2.23
226,2025-01-03,鸥玛软件,301185,17.18,16.13,17.31,16.1,35462,56901436.0,7.08,-5.56,-0.95,2.54
225,2025-01-02,鸥玛软件,301185,17.57,17.08,17.77,16.79,34512,58099027.0,5.57,-2.84,-0.5,2.47
224,2024-12-31,鸥玛软件,301185,18.4,17.58,18.53,17.57,34594,60355533.0,5.22,-4.35,-0.8,2.47
223,2024-12-30,鸥玛软件,301185,18.11,18.38,18.46,17.73,29012,51465992.0,4.0,0.82,0.15,2.08
222,2024-12-27,鸥玛软件,301185,18.21,18.23,18.57,18.1,27891,49835955.0,2.58,0.16,0.03,2.0
221,2024-12-26,鸥玛软件,301185,17.86,18.2,18.45,17.86,30425,53890533.0,3.31,2.08,0.37,2.18
