,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,善水科技,301190,15.9,15.9,16.0,15.76,7190,11100372.0,1.51,0.0,0.0,1.01
240,2025-01-23,善水科技,301190,15.94,15.9,16.19,15.88,8975,13972843.0,1.95,-0.06,-0.01,1.26
239,2025-01-22,善水科技,301190,15.91,15.91,16.14,15.8,8533,13209796.0,2.12,-0.87,-0.14,1.2
238,2025-01-21,善水科技,301190,15.77,16.05,16.08,15.71,11373,17532127.0,2.35,1.78,0.28,1.6
237,2025-01-20,善水科技,301190,15.49,15.77,15.9,15.4,9493,14497829.0,3.22,1.61,0.25,1.34
236,2025-01-17,善水科技,301190,15.13,15.52,15.58,15.13,5848,8750497.0,2.94,1.5,0.23,0.82
235,2025-01-16,善水科技,301190,15.65,15.29,15.65,15.11,6219,9246192.0,3.54,0.13,0.02,0.88
234,2025-01-15,善水科技,301190,15.46,15.27,15.46,15.23,6152,9170883.0,1.49,-1.1,-0.17,0.87
233,2025-01-14,善水科技,301190,15.05,15.44,15.47,15.05,8464,12590495.0,2.79,2.66,0.4,1.19
232,2025-01-13,善水科技,301190,14.79,15.04,15.09,14.55,6243,9008297.0,3.62,0.74,0.11,0.88
231,2025-01-10,善水科技,301190,15.2,14.93,15.38,14.93,7092,10431508.0,2.95,-2.29,-0.35,1.0
230,2025-01-09,善水科技,301190,15.32,15.28,15.45,15.25,4985,7417856.0,1.3,-0.71,-0.11,0.7
229,2025-01-08,善水科技,301190,15.53,15.39,15.72,15.07,10914,16317508.0,4.17,-1.22,-0.19,1.54
228,2025-01-07,善水科技,301190,15.33,15.58,15.6,15.19,7424,11081711.0,2.67,1.63,0.25,1.04
227,2025-01-06,善水科技,301190,15.13,15.33,15.4,14.85,8300,12230691.0,3.64,1.46,0.22,1.17
226,2025-01-03,善水科技,301190,15.77,15.11,15.95,15.03,12753,19137986.0,5.83,-4.25,-0.67,1.8
