,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,观想科技,301213,44.22,45.28,45.36,43.0,21673,95703235.0,5.29,1.55,0.69,4.19
240,2025-01-23,观想科技,301213,43.39,44.59,45.36,43.39,20988,92762882.0,4.55,3.0,1.3,4.06
239,2025-01-22,观想科技,301213,44.02,43.29,44.02,42.86,10243,43989557.0,2.63,-1.68,-0.74,1.98
238,2025-01-21,观想科技,301213,43.18,44.03,44.49,41.8,15199,64644529.0,6.23,1.97,0.85,2.94
237,2025-01-20,观想科技,301213,42.84,43.18,43.67,42.58,9975,42550957.0,2.56,1.6,0.68,1.93
236,2025-01-17,观想科技,301213,42.5,42.5,43.24,42.3,9687,40878907.0,2.2,-0.56,-0.24,1.87
235,2025-01-16,观想科技,301213,43.9,42.74,44.41,42.54,11266,48172551.0,4.3,-1.63,-0.71,2.18
234,2025-01-15,观想科技,301213,44.42,43.45,45.17,43.31,11687,51086980.0,4.17,-2.6,-1.16,2.26
233,2025-01-14,观想科技,301213,43.13,44.61,44.64,42.59,15242,66372495.0,4.77,3.89,1.67,2.95
232,2025-01-13,观想科技,301213,42.79,42.94,43.76,41.31,12851,54180661.0,5.61,-1.63,-0.71,2.49
231,2025-01-10,观想科技,301213,46.04,43.65,46.04,43.65,15501,68665025.0,5.27,-3.83,-1.74,3.0
230,2025-01-09,观想科技,301213,46.03,45.39,46.77,45.29,17187,77972155.0,3.2,-1.99,-0.92,3.32
229,2025-01-08,观想科技,301213,44.73,46.31,46.96,44.39,25211,113973076.0,5.65,1.87,0.85,4.88
228,2025-01-07,观想科技,301213,43.29,45.46,45.47,43.28,22302,98130916.0,5.04,4.58,1.99,4.31
227,2025-01-06,观想科技,301213,42.42,43.47,43.47,40.61,17143,70866967.0,6.69,1.61,0.69,3.32
226,2025-01-03,观想科技,301213,42.58,42.78,43.79,40.49,19765,83167571.0,7.74,0.33,0.14,3.82
225,2025-01-02,观想科技,301213,43.26,42.64,44.8,42.29,19500,84139222.0,5.75,-2.25,-0.98,3.77
224,2024-12-31,观想科技,301213,44.51,43.62,44.93,41.69,30849,131802530.0,7.22,-2.81,-1.26,5.97
223,2024-12-30,观想科技,301213,44.77,44.88,45.39,43.27,26413,115828509.0,4.74,0.25,0.11,5.11
222,2024-12-27,观想科技,301213,45.84,44.77,48.07,44.29,36559,168676042.0,8.32,-1.52,-0.69,7.07
221,2024-12-26,观想科技,301213,44.04,45.46,46.28,43.89,27319,121825422.0,5.44,3.48,1.53,5.28
220,2024-12-25,观想科技,301213,46.09,43.93,46.84,43.84,44699,200154215.0,6.16,-9.76,-4.75,8.64
219,2024-12-24,观想科技,301213,47.39,48.68,49.19,46.49,48575,229897590.0,5.64,1.67,0.8,9.39
218,2024-12-23,观想科技,301213,45.6,47.88,48.79,45.6,60771,283830914.0,6.89,3.35,1.55,11.75
217,2024-12-20,观想科技,301213,43.78,46.33,46.69,43.29,46936,211697935.0,7.63,3.95,1.76,9.08
216,2024-12-19,观想科技,301213,45.01,44.57,45.44,42.99,52439,228784836.0,5.33,-3.02,-1.39,10.14
215,2024-12-18,观想科技,301213,42.99,45.96,48.0,42.87,64892,292944706.0,12.0,7.53,3.22,12.55
214,2024-12-17,观想科技,301213,44.68,42.74,44.89,41.74,28390,120797638.0,7.1,-3.65,-1.62,5.49
213,2024-12-16,观想科技,301213,44.66,44.36,46.16,43.95,42602,190395449.0,4.9,-1.73,-0.78,8.24
212,2024-12-13,观想科技,301213,43.0,45.14,45.47,42.39,64212,283465759.0,7.1,4.03,1.75,12.42
211,2024-12-12,观想科技,301213,42.69,43.39,43.63,42.49,24493,104443522.0,2.65,1.05,0.45,4.74
