,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,泓博医药,301230,45.48,47.9,48.28,45.48,43002,108584230.98,6.1,4.36,2.0,5.59
240,2025-01-23,泓博医药,301230,45.53,45.9,47.85,45.41,39214,97818782.0,5.47,2.98,1.33,5.1
239,2025-01-22,泓博医药,301230,45.72,44.57,46.92,44.48,28351,69454304.0,5.39,-1.52,-0.69,3.69
238,2025-01-21,泓博医药,301230,45.37,45.26,45.99,43.91,24571,58888988.0,4.54,-1.22,-0.56,3.2
237,2025-01-20,泓博医药,301230,45.19,45.82,46.12,44.82,20326,49704768.0,2.9,2.19,0.98,2.64
236,2025-01-17,泓博医药,301230,44.79,44.84,45.48,44.5,16655,40084260.0,2.17,-0.82,-0.37,2.17
235,2025-01-16,泓博医药,301230,45.48,45.21,46.55,44.48,24401,59506724.0,4.51,-1.55,-0.71,3.17
234,2025-01-15,泓博医药,301230,46.28,45.92,46.9,45.22,30906,76553741.0,3.63,-0.78,-0.36,4.02
233,2025-01-14,泓博医药,301230,42.99,46.28,46.63,42.99,33948,81733413.0,8.5,8.13,3.48,4.42
232,2025-01-13,泓博医药,301230,43.33,42.8,43.66,41.69,14075,32123834.0,4.56,-0.9,-0.39,1.83
231,2025-01-10,泓博医药,301230,45.44,43.19,46.06,43.19,25739,61302672.0,6.26,-5.82,-2.67,3.35
230,2025-01-09,泓博医药,301230,44.61,45.86,47.57,44.61,31503,78094883.0,6.55,1.48,0.67,4.1
229,2025-01-08,泓博医药,301230,45.12,45.19,46.26,44.28,23574,57333887.0,4.33,-1.18,-0.54,3.07
228,2025-01-07,泓博医药,301230,46.63,45.73,46.86,43.37,45896,110896417.0,7.32,-4.05,-1.93,5.97
227,2025-01-06,泓博医药,301230,47.01,47.66,49.19,45.82,36421,92522688.0,7.23,2.19,1.02,4.74
226,2025-01-03,泓博医药,301230,47.66,46.64,47.92,45.57,32636,81185759.0,4.96,-1.58,-0.75,4.25
225,2025-01-02,泓博医药,301230,47.35,47.39,49.16,46.64,34935,89747824.0,5.3,-0.42,-0.2,4.55
224,2024-12-31,泓博医药,301230,51.01,47.59,51.08,47.01,48740,128060829.0,7.97,-6.83,-3.49,6.34
223,2024-12-30,泓博医药,301230,52.56,51.08,52.65,50.87,38719,107129173.0,3.36,-3.71,-1.97,5.04
222,2024-12-27,泓博医药,301230,51.85,53.05,53.14,51.21,48789,137124299.0,3.68,1.28,0.67,6.35
221,2024-12-26,泓博医药,301230,50.87,52.38,52.76,50.65,62186,172830488.0,3.97,-1.5,-0.8,8.09
220,2024-12-25,泓博医药,301230,55.74,53.18,56.8,53.18,102717,303717413.0,6.76,-0.75,-0.4,13.36
219,2024-12-24,泓博医药,301230,50.65,53.58,53.74,49.65,78862,222598857.0,8.18,7.1,3.55,10.26
218,2024-12-23,泓博医药,301230,53.74,50.03,55.56,50.03,53237,149010291.0,10.59,-4.21,-2.2,6.93
217,2024-12-20,泓博医药,301230,50.21,52.23,53.01,49.97,47585,132328379.0,6.0,3.02,1.53,6.19
216,2024-12-19,泓博医药,301230,50.45,50.7,50.88,49.76,27974,75614780.0,2.2,-0.43,-0.22,3.64
215,2024-12-18,泓博医药,301230,49.65,50.92,52.01,49.05,36082,98355642.0,5.89,1.27,0.64,4.69
214,2024-12-17,泓博医药,301230,51.14,50.28,51.14,48.85,44871,120105228.0,4.45,-2.2,-1.13,5.84
213,2024-12-16,泓博医药,301230,49.99,51.41,52.01,49.99,54060,149119041.0,4.02,2.31,1.16,7.03
212,2024-12-13,泓博医药,301230,50.65,50.25,51.54,50.19,40649,110971326.0,2.64,-1.7,-0.87,5.29
211,2024-12-12,泓博医药,301230,51.27,51.12,51.72,50.28,49006,134457169.0,2.81,-0.18,-0.09,6.38
