,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,和顺科技,301237,23.98,24.3,24.4,23.73,5320,11831822.0,2.79,1.33,0.32,1.4
240,2025-01-23,和顺科技,301237,24.29,23.98,24.54,23.89,7059,15890127.0,2.72,0.5,0.12,1.86
239,2025-01-22,和顺科技,301237,24.04,23.86,24.1,23.58,4441,9754634.0,2.16,-0.75,-0.18,1.17
238,2025-01-21,和顺科技,301237,24.6,24.04,24.76,23.6,6670,14824388.0,4.72,-2.28,-0.56,1.75
237,2025-01-20,和顺科技,301237,24.08,24.6,24.65,23.92,5064,11472179.0,3.03,2.24,0.54,1.33
236,2025-01-17,和顺科技,301237,24.08,24.06,24.23,23.79,3479,7727985.0,1.83,0.29,0.07,0.92
235,2025-01-16,和顺科技,301237,24.31,23.99,24.7,23.76,4963,11087121.0,3.89,-0.7,-0.17,1.31
234,2025-01-15,和顺科技,301237,24.6,24.16,24.6,24.13,6352,14330540.0,1.91,-1.75,-0.43,1.67
233,2025-01-14,和顺科技,301237,24.43,24.59,24.6,23.22,12228,27156290.0,5.88,4.82,1.13,3.22
232,2025-01-13,和顺科技,301237,22.69,23.46,23.46,22.16,5523,11536577.0,5.75,3.76,0.85,1.45
231,2025-01-10,和顺科技,301237,23.41,22.61,23.65,22.59,6309,13452912.0,4.53,-3.42,-0.8,1.66
230,2025-01-09,和顺科技,301237,23.1,23.41,23.6,23.02,5637,12164886.0,2.5,0.91,0.21,1.48
229,2025-01-08,和顺科技,301237,23.68,23.2,23.68,22.56,7300,15598316.0,4.75,-1.57,-0.37,1.92
228,2025-01-07,和顺科技,301237,23.09,23.57,23.65,22.73,6679,14285048.0,4.0,2.52,0.58,1.76
227,2025-01-06,和顺科技,301237,23.09,22.99,23.74,22.3,8210,17401329.0,6.18,-1.33,-0.31,2.16
226,2025-01-03,和顺科技,301237,24.91,23.3,25.25,23.3,13640,30174856.0,7.81,-6.65,-1.66,3.59
225,2025-01-02,和顺科技,301237,25.9,24.96,26.48,24.62,15515,36856052.0,7.21,-3.26,-0.84,4.08
224,2024-12-31,和顺科技,301237,25.57,25.8,26.03,25.4,12863,30779143.0,2.46,0.9,0.23,3.38
223,2024-12-30,和顺科技,301237,26.8,25.57,26.8,25.48,21364,51401041.0,4.87,-5.65,-1.53,5.62
222,2024-12-27,和顺科技,301237,28.61,27.1,28.93,26.3,20723,54505190.0,9.16,-5.57,-1.6,5.45
221,2024-12-26,和顺科技,301237,28.42,28.7,29.0,28.2,18691,50119648.0,2.8,0.56,0.16,4.92
220,2024-12-25,和顺科技,301237,29.52,28.54,29.52,28.1,20795,56308290.0,4.78,-3.84,-1.14,5.47
219,2024-12-24,和顺科技,301237,28.34,29.68,30.24,27.81,30719,84305626.0,8.46,3.27,0.94,8.08
218,2024-12-23,和顺科技,301237,29.09,28.74,30.67,27.61,31390,85586450.0,10.42,-2.15,-0.63,8.26
217,2024-12-20,和顺科技,301237,27.59,29.37,29.78,27.41,35757,95544581.0,8.54,5.84,1.62,9.41
216,2024-12-19,和顺科技,301237,28.3,27.75,29.03,27.48,32560,85511618.0,5.25,-6.06,-1.79,8.57
215,2024-12-18,和顺科技,301237,28.18,29.54,29.78,27.45,46808,125349754.0,7.81,-0.94,-0.28,12.31
214,2024-12-17,和顺科技,301237,28.3,29.82,33.12,28.15,58180,169509518.0,17.81,6.84,1.91,15.31
213,2024-12-16,和顺科技,301237,27.48,27.91,27.91,27.37,5998,15515340.0,1.97,1.64,0.45,1.58
212,2024-12-13,和顺科技,301237,27.96,27.46,28.02,27.4,5725,14781372.0,2.22,-1.82,-0.51,1.51
211,2024-12-12,和顺科技,301237,27.82,27.97,28.26,27.53,7654,19991049.0,2.64,1.23,0.34,2.01
210,2024-12-11,和顺科技,301237,27.64,27.63,27.95,27.37,5315,13674758.0,2.1,0.04,0.01,1.4
209,2024-12-10,和顺科技,301237,28.29,27.62,28.53,27.6,8463,22141939.0,3.37,0.22,0.06,2.23
208,2024-12-09,和顺科技,301237,27.07,27.56,27.72,27.07,8893,22824646.0,2.4,1.96,0.53,2.34
207,2024-12-06,和顺科技,301237,27.08,27.03,27.19,26.7,6222,15693206.0,1.81,-0.04,-0.01,1.64
206,2024-12-05,和顺科技,301237,26.31,27.04,27.07,26.3,5613,14073290.0,2.91,2.04,0.54,1.48
205,2024-12-04,和顺科技,301237,27.16,26.5,27.16,26.3,5732,14304951.0,3.17,-2.21,-0.6,1.51
204,2024-12-03,和顺科技,301237,27.27,27.1,27.27,26.87,5823,14703320.0,1.48,0.48,0.13,1.53
203,2024-12-02,和顺科技,301237,26.52,26.97,27.05,26.52,8114,20323521.0,2.0,1.7,0.45,2.13
202,2024-11-29,和顺科技,301237,26.07,26.52,26.8,26.07,5180,12772430.0,2.77,0.65,0.17,1.36
201,2024-11-28,和顺科技,301237,26.05,26.35,26.79,25.74,6935,17077050.0,4.03,1.19,0.31,1.82
