,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,威尔高,301251,35.13,32.74,35.15,32.74,50901,171160548.02,6.88,-6.54,-2.29,9.44
239,2025-01-24,威尔高,301251,34.94,35.03,35.73,34.86,52548,184342626.0,2.48,-0.34,-0.12,9.74
238,2025-01-23,威尔高,301251,35.93,35.15,36.91,35.15,82606,296787420.0,4.95,-1.15,-0.41,15.32
237,2025-01-22,威尔高,301251,34.95,35.56,36.33,34.95,84587,301422922.0,3.9,0.42,0.15,15.69
236,2025-01-21,威尔高,301251,35.73,35.41,35.77,34.49,64760,226330586.0,3.61,0.0,0.0,12.01
235,2025-01-20,威尔高,301251,34.78,35.41,35.73,34.13,91908,321770541.0,4.65,2.85,0.98,17.04
234,2025-01-17,威尔高,301251,33.93,34.43,34.91,33.6,77522,264697329.0,3.86,1.47,0.5,14.38
233,2025-01-16,威尔高,301251,34.43,33.93,34.68,33.42,58597,198352524.0,3.7,-0.44,-0.15,10.87
232,2025-01-15,威尔高,301251,35.08,34.08,35.43,33.89,50714,174148486.0,4.41,-2.43,-0.85,9.4
231,2025-01-14,威尔高,301251,32.98,34.93,34.98,32.67,70034,238415603.0,7.03,6.36,2.09,12.99
230,2025-01-13,威尔高,301251,33.22,32.84,33.62,31.7,58030,188112830.0,5.78,-1.2,-0.4,10.76
229,2025-01-10,威尔高,301251,35.08,33.24,35.82,33.24,96737,333055554.0,7.2,-7.28,-2.61,17.94
228,2025-01-09,威尔高,301251,34.67,35.85,38.13,34.67,143407,522605145.0,10.29,6.6,2.22,26.59
227,2025-01-08,威尔高,301251,33.68,33.63,34.16,31.93,67837,223699416.0,6.56,-1.12,-0.38,12.58
226,2025-01-07,威尔高,301251,31.46,34.01,34.03,31.46,88638,291599102.0,8.17,8.07,2.54,16.44
225,2025-01-06,威尔高,301251,31.32,31.47,32.23,30.23,41626,130098759.0,6.32,-0.51,-0.16,7.72
224,2025-01-03,威尔高,301251,34.46,31.63,34.98,31.54,71238,232929707.0,10.02,-7.89,-2.71,13.21
223,2025-01-02,威尔高,301251,35.13,34.34,36.3,33.68,74946,260747508.0,7.48,-1.94,-0.68,13.9
222,2024-12-31,威尔高,301251,38.21,35.02,38.63,34.93,122747,443964221.0,9.58,-9.35,-3.61,22.76
221,2024-12-30,威尔高,301251,39.32,38.63,40.43,38.09,131897,516889964.0,6.04,-0.21,-0.08,24.46
220,2024-12-27,威尔高,301251,40.13,38.71,41.54,38.13,187367,737846311.0,8.56,-2.81,-1.12,34.75
219,2024-12-26,威尔高,301251,37.23,39.83,40.1,36.23,190896,736385156.0,10.3,5.96,2.24,35.4
218,2024-12-25,威尔高,301251,36.9,37.59,40.22,36.48,166209,626933872.0,10.25,3.04,1.11,30.82
217,2024-12-24,威尔高,301251,35.4,36.48,36.71,34.65,82205,293407027.0,5.91,4.74,1.65,15.24
216,2024-12-23,威尔高,301251,36.86,34.83,37.41,34.59,79300,283404444.0,7.63,-5.74,-2.12,14.71
215,2024-12-20,威尔高,301251,35.32,36.95,37.79,34.82,121138,442786562.0,8.53,6.18,2.15,22.46
214,2024-12-19,威尔高,301251,33.64,34.8,35.05,33.44,42722,146730175.0,4.71,1.81,0.62,7.92
213,2024-12-18,威尔高,301251,33.71,34.18,34.72,32.93,32957,111722309.0,5.28,0.92,0.31,6.11
212,2024-12-17,威尔高,301251,34.53,33.87,35.53,33.78,40605,140181526.0,5.04,-2.48,-0.86,7.53
211,2024-12-16,威尔高,301251,35.41,34.73,35.93,34.3,41518,145253027.0,4.61,-1.84,-0.65,7.7
210,2024-12-13,威尔高,301251,36.08,35.38,36.48,35.34,45731,163519024.0,3.16,-2.08,-0.75,8.48
209,2024-12-12,威尔高,301251,36.0,36.13,36.23,35.38,38951,139126116.0,2.35,0.03,0.01,7.22
208,2024-12-11,威尔高,301251,35.59,36.12,36.13,34.98,43493,154434988.0,3.23,1.38,0.49,8.07
207,2024-12-10,威尔高,301251,36.18,35.63,36.42,35.43,44850,160559607.0,2.81,1.08,0.38,8.32
206,2024-12-09,威尔高,301251,36.21,35.25,36.25,35.11,48567,171683438.0,3.17,-1.89,-0.68,9.01
205,2024-12-06,威尔高,301251,36.78,35.93,36.93,35.77,52005,187430881.0,3.14,-2.73,-1.01,9.64
204,2024-12-05,威尔高,301251,36.63,36.94,37.47,36.14,46501,170963250.0,3.65,1.4,0.51,8.62
203,2024-12-04,威尔高,301251,36.49,36.43,37.51,36.08,58828,214053141.0,3.85,-1.89,-0.7,10.91
202,2024-12-03,威尔高,301251,37.5,37.13,38.13,36.54,90980,337327255.0,4.1,-4.33,-1.68,16.87
201,2024-12-02,威尔高,301251,37.45,38.81,40.03,37.13,172892,659723839.0,7.96,6.56,2.39,32.06
200,2024-11-29,威尔高,301251,35.74,36.42,37.93,35.74,114761,422363982.0,6.16,2.45,0.87,21.28
199,2024-11-28,威尔高,301251,34.13,35.55,36.93,33.73,93396,333545102.0,9.43,4.74,1.61,17.32
198,2024-11-27,威尔高,301251,32.67,33.94,33.94,31.64,30433,100185060.0,7.07,4.33,1.41,5.64
197,2024-11-26,威尔高,301251,32.96,32.53,33.46,32.53,17159,56329176.0,2.82,-1.3,-0.43,3.18
196,2024-11-25,威尔高,301251,32.94,32.96,33.08,31.81,22315,72090486.0,3.93,1.95,0.63,4.14
195,2024-11-22,威尔高,301251,34.07,32.33,34.38,32.3,32486,108193128.0,6.09,-5.41,-1.85,6.02
194,2024-11-21,威尔高,301251,34.03,34.18,34.55,33.59,25492,86753499.0,2.81,-0.09,-0.03,4.73
193,2024-11-20,威尔高,301251,33.73,34.21,34.47,33.73,28988,98567677.0,2.17,0.32,0.11,5.38
192,2024-11-19,威尔高,301251,32.32,34.1,34.13,32.16,35337,116638623.0,6.1,5.54,1.79,6.55
191,2024-11-18,威尔高,301251,33.85,32.31,35.1,32.01,36929,120161879.0,9.09,-4.91,-1.67,6.85
190,2024-11-15,威尔高,301251,35.09,33.98,35.69,33.93,31361,109153280.0,4.99,-3.68,-1.3,5.82
189,2024-11-14,威尔高,301251,36.52,35.28,36.52,35.2,32776,116985647.0,3.6,-3.66,-1.34,6.08
188,2024-11-13,威尔高,301251,35.95,36.62,36.68,35.22,49250,176617472.0,4.02,0.91,0.33,9.13
187,2024-11-12,威尔高,301251,37.59,36.29,37.61,35.97,68152,249284895.0,4.37,-3.33,-1.25,12.64
186,2024-11-11,威尔高,301251,36.12,37.54,37.56,35.83,78608,289544244.0,4.78,3.62,1.31,14.58
185,2024-11-08,威尔高,301251,35.76,36.23,37.1,35.76,80639,292385023.0,3.75,1.4,0.5,14.95
184,2024-11-07,威尔高,301251,34.9,35.73,35.75,34.58,57915,203244525.0,3.35,2.38,0.83,10.74
183,2024-11-06,威尔高,301251,35.13,34.9,35.62,34.71,54022,189328096.0,2.59,-0.77,-0.27,10.02
182,2024-11-05,威尔高,301251,33.98,35.17,35.33,33.84,55586,192677416.0,4.38,3.5,1.19,10.31
181,2024-11-04,威尔高,301251,32.66,33.98,34.13,32.66,35909,120294159.0,4.48,3.53,1.16,6.66
180,2024-11-01,威尔高,301251,34.94,32.82,35.32,32.71,59891,201087839.0,7.4,-6.97,-2.46,11.11
179,2024-10-31,威尔高,301251,34.73,35.28,35.58,34.33,59389,207839745.0,3.56,0.6,0.21,11.01
178,2024-10-30,威尔高,301251,35.09,35.07,35.35,34.22,54074,187433862.0,3.25,0.98,0.34,10.03
177,2024-10-29,威尔高,301251,36.35,34.73,36.52,34.64,79772,282194772.0,5.15,-4.93,-1.8,14.79
176,2024-10-28,威尔高,301251,35.81,36.53,36.6,35.33,72707,261747557.0,3.5,0.8,0.29,13.48
