,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,新天地,301277,30.14,30.23,30.86,30.14,25419,35556346.2,2.39,0.37,0.11,3.52
239,2025-01-24,新天地,301277,30.08,30.12,30.19,29.62,22842,31348401.0,1.9,0.2,0.06,3.17
238,2025-01-23,新天地,301277,30.06,30.06,30.63,30.04,24677,34311922.0,1.97,0.43,0.13,3.42
237,2025-01-22,新天地,301277,30.25,29.93,30.25,29.83,14042,19312926.0,1.39,-1.19,-0.36,1.95
236,2025-01-21,新天地,301277,30.29,30.29,30.42,29.66,19790,27266530.0,2.52,0.26,0.08,2.74
235,2025-01-20,新天地,301277,29.83,30.21,30.23,29.72,21869,30138521.0,1.72,1.79,0.53,3.03
234,2025-01-17,新天地,301277,29.56,29.68,29.87,29.43,13193,17936328.0,1.48,0.07,0.02,1.83
233,2025-01-16,新天地,301277,29.81,29.66,30.27,29.51,20092,27527940.0,2.55,-0.44,-0.13,2.78
232,2025-01-15,新天地,301277,30.12,29.79,30.12,29.6,18233,24896855.0,1.73,-0.96,-0.29,2.53
231,2025-01-14,新天地,301277,29.24,30.08,30.1,28.63,27367,37199708.0,5.07,3.76,1.09,3.79
230,2025-01-13,新天地,301277,28.55,28.99,29.22,28.17,20835,27463176.0,3.6,-0.51,-0.15,2.89
229,2025-01-10,新天地,301277,30.19,29.14,30.46,29.14,35720,48680522.0,4.34,-4.27,-1.3,4.95
228,2025-01-09,新天地,301277,30.52,30.44,31.0,30.08,41078,57485274.0,2.98,-1.42,-0.44,5.69
227,2025-01-08,新天地,301277,30.08,30.88,31.34,29.98,67281,95004550.0,4.49,2.02,0.61,9.32
226,2025-01-07,新天地,301277,30.73,30.27,30.79,29.51,50067,68951884.0,4.14,-2.04,-0.63,6.94
225,2025-01-06,新天地,301277,29.3,30.9,30.92,29.05,65281,90846125.0,6.41,5.97,1.74,9.05
224,2025-01-03,新天地,301277,29.74,29.16,30.12,29.09,27805,37765416.0,3.48,-1.62,-0.48,3.85
223,2025-01-02,新天地,301277,30.29,29.64,30.58,29.3,28498,39281260.0,4.25,-1.66,-0.5,3.95
222,2024-12-31,新天地,301277,30.94,30.14,31.26,30.1,25270,35399115.0,3.75,-2.59,-0.8,3.5
221,2024-12-30,新天地,301277,31.17,30.94,31.32,30.63,16764,23843169.0,2.21,-0.87,-0.27,2.32
220,2024-12-27,新天地,301277,31.09,31.21,31.47,30.84,19080,27406203.0,2.03,0.39,0.12,2.64
219,2024-12-26,新天地,301277,30.54,31.09,31.68,30.48,27499,39278159.0,3.92,1.44,0.44,3.81
218,2024-12-25,新天地,301277,31.51,30.65,31.7,30.31,35353,50055820.0,4.41,-2.67,-0.84,4.9
217,2024-12-24,新天地,301277,31.53,31.49,31.78,31.15,22742,32860374.0,2.01,0.35,0.11,3.15
216,2024-12-23,新天地,301277,32.56,31.38,32.79,31.34,35896,52446367.0,4.45,-3.62,-1.18,4.97
215,2024-12-20,新天地,301277,31.97,32.56,32.75,31.87,26938,40199353.0,2.75,1.91,0.61,3.73
214,2024-12-19,新天地,301277,31.68,31.95,32.1,31.51,24818,36286550.0,1.84,-0.41,-0.13,3.44
213,2024-12-18,新天地,301277,32.12,32.08,32.31,31.66,22751,33526084.0,2.02,-0.06,-0.02,3.15
212,2024-12-17,新天地,301277,33.19,32.1,33.19,31.97,31121,46431686.0,3.68,-3.17,-1.05,4.31
211,2024-12-16,新天地,301277,33.29,33.15,33.82,32.96,32416,49790134.0,2.6,0.39,0.13,4.49
210,2024-12-13,新天地,301277,33.78,33.02,33.78,32.96,36541,56097572.0,2.42,-2.65,-0.9,5.06
209,2024-12-12,新天地,301277,33.65,33.92,33.99,33.5,40384,62866805.0,1.45,0.68,0.23,5.6
208,2024-12-11,新天地,301277,33.76,33.69,33.88,33.38,33509,51909637.0,1.49,0.06,0.02,4.64
207,2024-12-10,新天地,301277,34.68,33.67,34.85,33.61,58270,91725027.0,3.66,-0.62,-0.21,8.08
206,2024-12-09,新天地,301277,34.07,33.88,34.6,33.48,54657,85477632.0,3.33,0.8,0.27,7.57
205,2024-12-06,新天地,301277,33.34,33.61,33.8,32.98,46679,71817819.0,2.45,0.57,0.19,6.47
