,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,江波龙,301308,85.23,83.84,86.23,83.68,49405,415447501.64,2.96,-2.58,-2.22,4.26
239,2025-01-24,江波龙,301308,82.89,86.06,86.14,82.23,74746,626247701.0,4.72,3.95,3.27,6.45
238,2025-01-23,江波龙,301308,84.24,82.79,85.61,82.79,51313,429061676.0,3.38,-0.68,-0.57,4.43
237,2025-01-22,江波龙,301308,83.23,83.36,84.17,82.73,43494,359607815.0,1.72,-0.68,-0.57,3.75
236,2025-01-21,江波龙,301308,82.63,83.93,84.25,82.25,55445,457941382.0,2.43,2.09,1.72,4.79
235,2025-01-20,江波龙,301308,82.61,82.21,82.96,81.73,36638,299111371.0,1.5,0.33,0.27,3.16
234,2025-01-17,江波龙,301308,81.05,81.94,83.09,80.53,51668,419796309.0,3.16,0.99,0.8,4.46
233,2025-01-16,江波龙,301308,82.18,81.14,83.35,80.56,41163,334162098.0,3.42,-0.61,-0.5,3.55
232,2025-01-15,江波龙,301308,82.74,81.64,83.48,81.52,46592,380732281.0,2.36,-1.84,-1.53,4.02
231,2025-01-14,江波龙,301308,80.73,83.17,83.72,79.93,55670,454435999.0,4.74,3.92,3.14,4.81
230,2025-01-13,江波龙,301308,79.03,80.03,80.64,78.13,31946,251800367.0,3.11,-0.77,-0.62,2.76
229,2025-01-10,江波龙,301308,82.38,80.65,84.72,80.65,55184,453136053.0,4.87,-3.54,-2.96,4.76
228,2025-01-09,江波龙,301308,80.73,83.61,86.54,80.15,73238,612534771.0,7.84,2.61,2.13,6.32
227,2025-01-08,江波龙,301308,80.71,81.48,82.23,77.91,46945,373467234.0,5.3,-0.09,-0.07,4.05
226,2025-01-07,江波龙,301308,79.73,81.55,81.9,79.53,38834,310545799.0,2.98,2.67,2.12,3.35
225,2025-01-06,江波龙,301308,80.7,79.43,81.58,78.81,33005,262204354.0,3.43,-1.59,-1.28,2.85
224,2025-01-03,江波龙,301308,82.99,80.71,84.1,80.7,48888,399715350.0,4.1,-2.75,-2.28,4.22
223,2025-01-02,江波龙,301308,86.73,82.99,86.74,81.75,56288,470726750.0,5.75,-4.31,-3.74,4.86
222,2024-12-31,江波龙,301308,92.03,86.73,92.52,86.73,75091,661529098.0,6.29,-5.84,-5.38,6.48
221,2024-12-30,江波龙,301308,93.23,92.11,94.6,92.09,54932,508224880.0,2.67,-2.15,-2.02,4.74
220,2024-12-27,江波龙,301308,96.73,94.13,97.93,93.92,87820,837137722.0,4.14,-2.85,-2.76,7.58
219,2024-12-26,江波龙,301308,93.73,96.89,97.31,91.88,92268,877253150.0,5.81,3.61,3.38,7.96
218,2024-12-25,江波龙,301308,96.19,93.51,98.03,93.41,78538,744628469.0,4.75,-3.83,-3.72,6.78
217,2024-12-24,江波龙,301308,94.89,97.23,97.27,90.83,104467,976548591.0,6.8,2.69,2.55,9.02
216,2024-12-23,江波龙,301308,95.99,94.68,99.61,94.24,109682,1048048633.0,5.59,-1.36,-1.31,9.47
215,2024-12-20,江波龙,301308,93.13,95.99,98.73,92.76,141734,1353072362.0,6.35,2.06,1.94,12.23
214,2024-12-19,江波龙,301308,90.74,94.05,94.73,90.23,121663,1127989015.0,4.85,1.42,1.32,10.5
213,2024-12-18,江波龙,301308,89.18,92.73,93.63,86.63,117590,1063926020.0,7.9,4.66,4.13,10.15
212,2024-12-17,江波龙,301308,88.81,88.6,90.83,87.23,56679,500385434.0,4.05,-0.21,-0.19,4.89
211,2024-12-16,江波龙,301308,91.23,88.79,93.03,88.28,82475,740347378.0,5.15,-3.68,-3.39,7.12
210,2024-12-13,江波龙,301308,88.04,92.18,93.73,87.88,152207,1375675901.0,6.56,3.35,2.99,13.14
209,2024-12-12,江波龙,301308,89.75,89.19,90.22,88.33,48830,430709260.0,2.11,-0.59,-0.53,4.21
208,2024-12-11,江波龙,301308,88.51,89.72,91.03,87.74,50683,452511374.0,3.69,0.71,0.63,4.37
207,2024-12-10,江波龙,301308,93.73,89.09,93.73,88.95,59576,537181952.0,5.34,-0.54,-0.48,5.14
206,2024-12-09,江波龙,301308,89.73,89.57,90.58,87.88,41115,364166774.0,2.99,-0.92,-0.83,3.55
205,2024-12-06,江波龙,301308,88.73,90.4,90.61,86.73,59999,531164611.0,4.39,2.2,1.95,5.18
204,2024-12-05,江波龙,301308,87.27,88.45,89.38,87.27,46063,404241805.0,2.37,-0.66,-0.59,3.98
203,2024-12-04,江波龙,301308,91.71,89.04,93.46,89.0,78830,714325921.0,4.99,-0.35,-0.31,6.8
202,2024-12-03,江波龙,301308,89.6,89.35,90.64,88.3,53353,475127557.0,2.61,-0.47,-0.42,4.61
201,2024-12-02,江波龙,301308,88.92,89.77,90.31,88.1,59981,532692197.0,2.48,0.88,0.78,5.18
200,2024-11-29,江波龙,301308,89.73,88.99,91.08,87.04,90262,797315683.0,4.51,-0.68,-0.61,7.79
199,2024-11-28,江波龙,301308,86.83,89.6,91.33,86.4,84398,744710662.0,5.67,3.0,2.61,7.28
198,2024-11-27,江波龙,301308,84.43,86.99,87.03,82.93,50692,427904405.0,4.84,2.67,2.26,4.38
197,2024-11-26,江波龙,301308,84.48,84.73,86.37,83.73,47321,400879628.0,3.13,0.3,0.25,4.08
196,2024-11-25,江波龙,301308,84.06,84.48,84.94,81.74,50174,414491319.0,3.82,0.9,0.75,4.33
195,2024-11-22,江波龙,301308,88.31,83.73,88.93,83.73,68212,583904729.0,5.89,-5.12,-4.52,5.89
194,2024-11-21,江波龙,301308,89.23,88.25,90.2,86.99,53911,474349963.0,3.59,-1.3,-1.16,4.65
193,2024-11-20,江波龙,301308,88.81,89.41,90.23,88.39,57958,513371906.0,2.05,-0.31,-0.28,5.0
192,2024-11-19,江波龙,301308,87.23,89.69,89.69,85.85,63484,552829397.0,4.43,3.57,3.09,5.48
191,2024-11-18,江波龙,301308,90.47,86.6,91.32,85.83,71004,618463576.0,6.07,-4.28,-3.87,6.13
190,2024-11-15,江波龙,301308,94.13,90.47,96.07,90.33,91880,850215952.0,6.0,-5.49,-5.26,7.93
189,2024-11-14,江波龙,301308,96.03,95.73,100.36,95.38,133313,1293431839.0,5.16,-0.8,-0.77,11.51
188,2024-11-13,江波龙,301308,93.64,96.5,96.83,92.38,100433,943013352.0,4.74,2.73,2.56,8.67
187,2024-11-12,江波龙,301308,97.93,93.94,98.53,93.13,115477,1092530232.0,5.54,-3.56,-3.47,9.97
186,2024-11-11,江波龙,301308,93.79,97.41,98.17,92.83,140954,1348854881.0,5.76,5.04,4.67,12.17
185,2024-11-08,江波龙,301308,92.65,92.74,94.83,91.36,123168,1137859501.0,3.84,2.54,2.3,10.63
184,2024-11-07,江波龙,301308,88.48,90.44,90.71,87.78,80751,717400741.0,3.31,2.2,1.95,6.97
183,2024-11-06,江波龙,301308,88.89,88.49,90.61,87.76,103076,910388934.0,3.21,-0.34,-0.3,8.9
182,2024-11-05,江波龙,301308,85.83,88.79,89.23,85.03,91484,798727159.0,4.89,3.45,2.96,7.9
181,2024-11-04,江波龙,301308,84.2,85.83,86.57,83.84,57142,483707132.0,3.24,1.92,1.62,4.93
180,2024-11-01,江波龙,301308,87.73,84.21,88.51,84.21,84193,714693955.0,4.84,-5.17,-4.59,7.27
179,2024-10-31,江波龙,301308,88.18,88.8,90.06,86.74,84470,742752238.0,3.75,0.38,0.34,7.29
178,2024-10-30,江波龙,301308,89.61,88.46,90.77,87.23,85807,755984947.0,3.94,-1.48,-1.33,7.41
177,2024-10-29,江波龙,301308,92.69,89.79,93.73,89.79,117859,1070562513.0,4.16,-5.3,-5.03,10.17
176,2024-10-28,江波龙,301308,95.73,94.82,96.48,94.03,85732,806471159.0,2.53,-1.96,-1.9,7.4
175,2024-10-25,江波龙,301308,94.75,96.72,96.73,92.73,119065,1121855507.0,4.27,3.33,3.12,10.28
174,2024-10-24,江波龙,301308,90.98,93.6,95.42,90.54,99538,926133453.0,5.32,2.08,1.91,8.59
173,2024-10-23,江波龙,301308,92.48,91.69,94.26,91.28,80110,739393110.0,3.2,-1.56,-1.45,6.91
172,2024-10-22,江波龙,301308,93.1,93.14,95.95,91.23,104171,966804991.0,5.04,-0.48,-0.45,8.99
171,2024-10-21,江波龙,301308,94.48,93.59,98.73,92.38,175159,1659383631.0,6.8,0.27,0.25,15.12
170,2024-10-18,江波龙,301308,85.18,93.34,97.85,84.44,155229,1396786340.0,15.89,10.63,8.97,13.4
