,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,华宝新能,301327,99.73,98.33,100.59,98.33,6995,52065783.3,2.27,-1.39,-1.39,2.02
239,2025-01-24,华宝新能,301327,98.64,99.72,100.73,97.75,9864,73661439.0,3.02,0.92,0.91,2.85
238,2025-01-23,华宝新能,301327,105.96,98.81,105.96,98.59,22585,170175857.0,7.0,-6.22,-6.55,6.52
237,2025-01-22,华宝新能,301327,104.73,105.36,105.63,103.8,6964,54857525.0,1.74,0.35,0.37,2.01
236,2025-01-21,华宝新能,301327,103.95,104.99,105.27,103.4,7282,57056593.0,1.8,1.01,1.05,2.1
235,2025-01-20,华宝新能,301327,104.51,103.94,105.79,103.02,9211,71982232.0,2.67,0.1,0.1,2.66
234,2025-01-17,华宝新能,301327,101.98,103.84,104.37,101.0,8258,63775400.0,3.3,1.77,1.81,2.38
233,2025-01-16,华宝新能,301327,102.56,102.03,103.84,101.52,7698,59147299.0,2.26,-0.52,-0.53,2.22
232,2025-01-15,华宝新能,301327,105.41,102.56,106.16,102.49,7081,55378313.0,3.49,-2.58,-2.72,2.04
231,2025-01-14,华宝新能,301327,103.69,105.28,105.77,102.59,6613,51969748.0,3.07,1.53,1.59,1.91
230,2025-01-13,华宝新能,301327,103.85,103.69,106.4,102.99,7735,60748149.0,3.23,-1.8,-1.9,2.23
229,2025-01-10,华宝新能,301327,103.9,105.59,107.65,103.9,6442,51457526.0,3.58,0.83,0.87,1.86
228,2025-01-09,华宝新能,301327,102.62,104.72,106.29,102.1,6565,51843171.0,4.06,1.4,1.45,1.9
227,2025-01-08,华宝新能,301327,102.16,103.27,104.97,100.6,7611,58729376.0,4.24,0.24,0.25,2.2
226,2025-01-07,华宝新能,301327,99.57,103.02,104.23,98.78,7394,57020100.0,5.47,3.46,3.45,2.13
225,2025-01-06,华宝新能,301327,98.79,99.57,101.2,97.81,5618,42107516.0,3.43,0.66,0.65,1.62
224,2025-01-03,华宝新能,301327,101.89,98.92,102.94,98.3,5221,39423218.0,4.59,-2.14,-2.16,1.51
