,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,荣旗科技,301360,48.04,49.58,49.66,47.88,13525,65682442.0,3.68,2.52,1.22,4.87
240,2025-01-23,荣旗科技,301360,49.28,48.36,49.98,48.36,13360,65503005.0,3.32,-0.82,-0.4,4.81
239,2025-01-22,荣旗科技,301360,49.1,48.76,49.6,48.34,9829,47752598.0,2.56,-1.08,-0.53,3.54
238,2025-01-21,荣旗科技,301360,49.26,49.29,49.8,48.09,13445,65459067.0,3.5,0.78,0.38,4.84
237,2025-01-20,荣旗科技,301360,48.8,48.91,49.5,48.48,10741,52336181.0,2.12,1.49,0.72,3.86
236,2025-01-17,荣旗科技,301360,48.2,48.19,49.05,47.83,7604,36559289.0,2.53,-0.15,-0.07,2.74
235,2025-01-16,荣旗科技,301360,48.61,48.26,49.36,47.8,10844,52300704.0,3.22,-0.37,-0.18,3.9
234,2025-01-15,荣旗科技,301360,49.14,48.44,49.9,48.31,9355,45378064.0,3.23,-1.48,-0.73,3.37
233,2025-01-14,荣旗科技,301360,47.2,49.17,49.19,46.92,13812,66521645.0,4.86,5.24,2.45,4.97
232,2025-01-13,荣旗科技,301360,46.29,46.72,47.09,45.22,8760,40304173.0,3.98,-0.55,-0.26,3.15
231,2025-01-10,荣旗科技,301360,48.7,46.98,49.8,46.98,11866,57241646.0,5.75,-4.28,-2.1,4.27
230,2025-01-09,荣旗科技,301360,48.31,49.08,49.76,48.31,10681,52173333.0,2.97,0.57,0.28,3.84
229,2025-01-08,荣旗科技,301360,49.26,48.8,49.7,46.88,14712,70655312.0,5.68,-1.77,-0.88,5.29
228,2025-01-07,荣旗科技,301360,49.05,49.68,49.78,47.84,13931,67696481.0,4.0,2.33,1.13,5.01
227,2025-01-06,荣旗科技,301360,51.2,48.55,51.53,48.3,17114,84417118.0,6.23,-6.35,-3.29,6.16
226,2025-01-03,荣旗科技,301360,52.1,51.84,55.85,51.59,19351,101973248.0,8.24,0.25,0.13,6.96
225,2025-01-02,荣旗科技,301360,53.71,51.71,55.14,51.06,18062,95195326.0,7.56,-4.17,-2.25,6.5
224,2024-12-31,荣旗科技,301360,57.8,53.96,57.8,53.82,20490,112265971.0,6.99,-5.17,-2.94,7.37
223,2024-12-30,荣旗科技,301360,57.2,56.9,58.4,55.6,16223,92133913.0,4.84,-1.56,-0.9,5.84
222,2024-12-27,荣旗科技,301360,58.76,57.8,59.24,57.22,22642,131224772.0,3.47,-0.84,-0.49,8.14
221,2024-12-26,荣旗科技,301360,55.88,58.29,58.8,55.7,26137,150684150.0,5.48,3.08,1.74,9.4
220,2024-12-25,荣旗科技,301360,54.85,56.55,58.35,54.4,24848,139984071.0,7.14,2.2,1.22,8.94
219,2024-12-24,荣旗科技,301360,54.89,55.33,56.26,53.31,16030,87350075.0,5.43,1.92,1.04,5.77
218,2024-12-23,荣旗科技,301360,57.63,54.29,58.6,53.98,22094,122488830.0,7.99,-6.11,-3.53,7.95
217,2024-12-20,荣旗科技,301360,55.84,57.82,58.79,55.84,23262,133984114.0,5.2,1.89,1.07,8.37
216,2024-12-19,荣旗科技,301360,55.2,56.75,57.5,53.76,24176,133011952.0,6.67,1.25,0.7,8.7
215,2024-12-18,荣旗科技,301360,55.11,56.05,57.53,53.4,19479,108164455.0,7.52,2.0,1.1,7.01
214,2024-12-17,荣旗科技,301360,58.63,54.95,58.88,54.68,25404,142435065.0,7.08,-7.41,-4.4,9.14
213,2024-12-16,荣旗科技,301360,59.75,59.35,63.3,58.96,44996,274565887.0,7.19,-1.66,-1.0,16.19
212,2024-12-13,荣旗科技,301360,57.79,60.35,60.79,57.02,44939,265771488.0,6.47,3.61,2.1,16.17
211,2024-12-12,荣旗科技,301360,59.02,58.25,59.04,57.66,21335,123493727.0,2.32,-1.94,-1.15,7.67
210,2024-12-11,荣旗科技,301360,57.3,59.4,59.77,56.1,36127,209533796.0,6.44,4.28,2.44,13.0
209,2024-12-10,荣旗科技,301360,57.95,56.96,58.79,56.88,23221,133641940.0,3.38,0.92,0.52,8.35
208,2024-12-09,荣旗科技,301360,56.7,56.44,57.1,55.68,10849,60969473.0,2.5,-0.65,-0.37,3.9
207,2024-12-06,荣旗科技,301360,57.37,56.81,57.39,55.69,16707,93628968.0,2.98,-0.51,-0.29,6.01
206,2024-12-05,荣旗科技,301360,55.4,57.1,57.5,55.35,17376,98186055.0,3.86,2.44,1.36,6.25
205,2024-12-04,荣旗科技,301360,56.31,55.74,57.86,55.46,18688,105346952.0,4.26,-1.01,-0.57,6.72
204,2024-12-03,荣旗科技,301360,55.4,56.31,56.64,55.11,16170,90347084.0,2.77,1.77,0.98,5.82
203,2024-12-02,荣旗科技,301360,54.66,55.33,55.65,54.57,12901,70723613.0,1.98,1.23,0.67,4.64
202,2024-11-29,荣旗科技,301360,54.3,54.66,55.66,53.35,14286,77443630.0,4.22,-0.11,-0.06,5.14
201,2024-11-28,荣旗科技,301360,55.85,54.72,56.97,54.47,13056,72497260.0,4.45,-2.55,-1.43,4.7
200,2024-11-27,荣旗科技,301360,55.3,56.15,56.17,52.9,15440,83787123.0,5.83,0.11,0.06,5.55
199,2024-11-26,荣旗科技,301360,55.15,56.09,57.06,55.01,15745,87697114.0,3.68,0.7,0.39,5.66
198,2024-11-25,荣旗科技,301360,54.32,55.7,56.24,52.98,13877,74736083.0,5.96,1.75,0.96,4.99
197,2024-11-22,荣旗科技,301360,56.85,54.74,58.69,54.69,21723,122574991.0,6.98,-4.47,-2.56,7.81
196,2024-11-21,荣旗科技,301360,55.35,57.3,57.5,54.55,21650,121890431.0,5.28,2.6,1.45,7.79
195,2024-11-20,荣旗科技,301360,56.3,55.85,56.3,54.64,14967,82848550.0,3.0,1.03,0.57,5.38
194,2024-11-19,荣旗科技,301360,53.61,55.28,55.3,53.07,14200,76448901.0,4.2,4.09,2.17,5.11
193,2024-11-18,荣旗科技,301360,57.22,53.11,57.27,52.8,20368,109240082.0,7.81,-7.15,-4.09,7.33
192,2024-11-15,荣旗科技,301360,56.02,57.2,59.14,56.02,22314,128040636.0,5.5,0.86,0.49,8.03
191,2024-11-14,荣旗科技,301360,59.28,56.71,59.32,56.5,19684,113426518.0,4.71,-5.26,-3.15,7.08
190,2024-11-13,荣旗科技,301360,57.55,59.86,59.9,56.41,29324,170435252.0,6.04,3.53,2.04,10.55
189,2024-11-12,荣旗科技,301360,58.04,57.82,60.1,57.2,31604,184897314.0,5.02,0.05,0.03,11.37
188,2024-11-11,荣旗科技,301360,55.3,57.79,57.79,55.01,23702,134479921.0,4.96,3.14,1.76,8.53
187,2024-11-08,荣旗科技,301360,56.04,56.03,57.06,55.95,18682,104844822.0,1.98,-0.02,-0.01,6.72
186,2024-11-07,荣旗科技,301360,55.1,56.04,56.07,54.21,14879,82038033.0,3.35,1.06,0.59,5.35
185,2024-11-06,荣旗科技,301360,56.35,55.45,56.6,54.6,25301,140123639.0,3.54,-1.93,-1.09,9.1
184,2024-11-05,荣旗科技,301360,54.3,56.54,58.3,53.8,27463,153416666.0,8.38,5.31,2.85,9.88
183,2024-11-04,荣旗科技,301360,51.26,53.69,53.7,51.1,14996,78867015.0,5.07,4.76,2.44,5.39
182,2024-11-01,荣旗科技,301360,52.85,51.25,53.51,50.8,16442,84848954.0,5.06,-4.38,-2.35,5.91
181,2024-10-31,荣旗科技,301360,54.55,53.6,54.57,52.8,20004,106699223.0,3.21,-2.72,-1.5,7.2
180,2024-10-30,荣旗科技,301360,54.34,55.1,55.86,54.13,15453,84385221.0,3.2,1.81,0.98,5.56
179,2024-10-29,荣旗科技,301360,56.2,54.12,56.59,54.12,17862,98608468.0,4.4,-3.68,-2.07,6.43
178,2024-10-28,荣旗科技,301360,56.98,56.19,57.0,55.38,16483,91659848.0,2.87,-0.39,-0.22,5.93
177,2024-10-25,荣旗科技,301360,55.3,56.41,56.85,55.3,18303,102432463.0,2.79,1.6,0.89,6.58
176,2024-10-24,荣旗科技,301360,57.01,55.52,57.1,55.3,17459,97128978.0,3.12,-3.79,-2.19,7.07
175,2024-10-23,荣旗科技,301360,58.2,57.71,58.76,56.6,30699,176416184.0,3.6,-3.69,-2.21,12.44
174,2024-10-22,荣旗科技,301360,55.3,59.92,60.29,54.18,47566,272058627.0,10.99,7.77,4.32,19.27
173,2024-10-21,荣旗科技,301360,53.66,55.6,56.1,53.5,29648,162280775.0,4.82,3.08,1.66,12.01
172,2024-10-18,荣旗科技,301360,51.3,53.94,55.3,51.3,26622,141700648.0,7.72,4.05,2.1,10.79
171,2024-10-17,荣旗科技,301360,51.3,51.84,53.1,51.3,19934,103578324.0,3.53,1.79,0.91,8.08
170,2024-10-16,荣旗科技,301360,50.53,50.93,51.78,49.88,15419,77985345.0,3.69,-1.13,-0.58,6.25
169,2024-10-15,荣旗科技,301360,52.15,51.51,53.68,51.1,19473,101767161.0,4.92,-1.68,-0.88,7.89
168,2024-10-14,荣旗科技,301360,50.07,52.39,52.6,49.25,19924,101201222.0,6.69,4.68,2.34,8.07
167,2024-10-11,荣旗科技,301360,53.41,50.05,54.8,49.46,24103,123081359.0,9.87,-7.49,-4.05,9.77
166,2024-10-10,荣旗科技,301360,56.24,54.1,57.0,53.3,24733,135882292.0,6.77,-1.08,-0.59,10.02
165,2024-10-09,荣旗科技,301360,60.3,54.69,61.86,54.66,40019,233030017.0,11.04,-16.11,-10.5,16.22
164,2024-10-08,荣旗科技,301360,67.62,65.19,67.62,58.88,52143,330303248.0,15.44,15.14,8.57,21.13
163,2024-09-30,荣旗科技,301360,50.63,56.62,57.08,49.63,49512,261334408.0,15.34,16.6,8.06,20.06
162,2024-09-27,荣旗科技,301360,46.29,48.56,49.43,45.85,40119,190203475.0,7.77,5.36,2.47,16.26
161,2024-09-26,荣旗科技,301360,45.19,46.09,46.1,44.09,26744,119745662.0,4.45,1.95,0.88,10.84
160,2024-09-25,荣旗科技,301360,46.13,45.21,46.79,44.86,32453,147101731.0,4.32,1.19,0.53,13.15
159,2024-09-24,荣旗科技,301360,42.78,44.68,44.68,42.38,23179,100402604.0,5.37,4.39,1.88,9.39
158,2024-09-23,荣旗科技,301360,44.57,42.8,44.57,42.78,19690,84682224.0,4.0,-4.38,-1.96,7.98
157,2024-09-20,荣旗科技,301360,44.35,44.76,45.48,43.61,19208,84877837.0,4.21,0.86,0.38,7.78
156,2024-09-19,荣旗科技,301360,43.19,44.38,44.54,42.95,16439,71691417.0,3.66,2.19,0.95,6.66
155,2024-09-18,荣旗科技,301360,42.51,43.43,43.8,41.99,14413,61339075.0,4.25,1.97,0.84,5.84
154,2024-09-13,荣旗科技,301360,43.4,42.59,44.1,42.52,13421,57494502.0,3.62,-2.36,-1.03,5.44
153,2024-09-12,荣旗科技,301360,45.3,43.62,45.9,43.52,22865,100925080.0,5.2,-4.63,-2.12,9.26
152,2024-09-11,荣旗科技,301360,44.7,45.74,46.88,44.47,23159,104635606.0,5.35,1.58,0.71,9.38
151,2024-09-10,荣旗科技,301360,43.7,45.03,45.12,42.8,18991,83478142.0,5.31,3.04,1.33,7.69
150,2024-09-09,荣旗科技,301360,42.6,43.7,44.04,42.25,16534,71283862.0,4.18,2.1,0.9,6.7
149,2024-09-06,荣旗科技,301360,44.45,42.8,44.47,42.72,18936,81633450.0,3.93,-3.97,-1.77,7.67
148,2024-09-05,荣旗科技,301360,44.34,44.57,44.68,43.46,14753,64867779.0,2.74,0.09,0.04,5.98
147,2024-09-04,荣旗科技,301360,44.3,44.53,45.05,43.6,17722,78071421.0,3.21,-1.5,-0.68,7.18
146,2024-09-03,荣旗科技,301360,45.17,45.21,45.6,44.55,18422,82619716.0,2.33,0.29,0.13,7.46
145,2024-09-02,荣旗科技,301360,46.3,45.08,46.53,44.91,30335,137424237.0,3.5,-2.72,-1.26,12.29
144,2024-08-30,荣旗科技,301360,46.8,46.34,48.35,46.3,47073,221943508.0,4.35,-1.78,-0.84,19.07
143,2024-08-29,荣旗科技,301360,46.11,47.18,47.79,45.66,38425,178937685.0,4.64,2.88,1.32,15.57
142,2024-08-28,荣旗科技,301360,44.28,45.86,47.07,43.83,33874,153951564.0,7.26,2.78,1.24,13.73
141,2024-08-27,荣旗科技,301360,44.3,44.62,46.08,43.8,36321,161786017.0,5.26,2.95,1.28,14.72
140,2024-08-26,荣旗科技,301360,41.6,43.34,43.36,41.0,22902,96468270.0,5.68,4.28,1.78,9.28
139,2024-08-23,荣旗科技,301360,41.13,41.56,42.17,40.01,18703,76535166.0,5.25,1.0,0.41,7.58
138,2024-08-22,荣旗科技,301360,43.22,41.15,43.22,41.1,22761,94733843.0,4.89,-5.12,-2.22,9.22
137,2024-08-21,荣旗科技,301360,42.3,43.37,43.51,41.72,21966,93597347.0,4.17,1.05,0.45,8.9
136,2024-08-20,荣旗科技,301360,44.26,42.92,46.95,42.72,32853,145063581.0,9.48,-3.77,-1.68,13.31
135,2024-08-19,荣旗科技,301360,46.6,44.6,47.13,44.07,47136,212502331.0,6.24,-9.04,-4.43,19.1
134,2024-08-16,荣旗科技,301360,49.79,49.03,57.3,48.93,74493,383896308.0,17.19,0.72,0.35,30.18
133,2024-08-15,荣旗科技,301360,45.3,48.68,49.28,45.3,58122,274025525.0,8.43,3.14,1.48,23.55
132,2024-08-14,荣旗科技,301360,45.87,47.2,48.29,44.18,55196,253140799.0,9.51,9.21,3.98,22.36
131,2024-08-13,荣旗科技,301360,40.97,43.22,46.64,40.7,30733,133112292.0,14.63,6.48,2.63,12.45
130,2024-08-12,荣旗科技,301360,40.76,40.59,41.15,39.8,6083,24391451.0,3.28,-1.26,-0.52,2.46
129,2024-08-09,荣旗科技,301360,41.61,41.11,42.07,41.05,7297,29979664.0,2.47,-0.51,-0.21,2.96
128,2024-08-08,荣旗科技,301360,42.72,41.32,42.8,41.12,10664,44161958.0,3.92,-3.64,-1.56,4.32
127,2024-08-07,荣旗科技,301360,41.99,42.88,42.92,41.52,10166,43008532.0,3.33,2.12,0.89,4.12
126,2024-08-06,荣旗科技,301360,41.52,41.99,42.22,41.2,9589,39690053.0,2.49,2.56,1.05,3.89
125,2024-08-05,荣旗科技,301360,43.48,40.94,43.6,40.92,18082,76288621.0,6.09,-6.93,-3.05,7.33
124,2024-08-02,荣旗科技,301360,45.15,43.99,45.68,43.91,16446,73050608.0,3.88,-3.45,-1.57,6.66
123,2024-08-01,荣旗科技,301360,45.62,45.56,46.58,45.48,20062,91238666.0,2.38,-1.39,-0.64,8.13
122,2024-07-31,荣旗科技,301360,44.08,46.2,48.3,43.73,30299,138451305.0,10.28,3.96,1.76,12.28
121,2024-07-30,荣旗科技,301360,43.5,44.44,45.18,43.31,19109,84551568.0,4.24,0.82,0.36,7.74
120,2024-07-29,荣旗科技,301360,42.85,44.08,44.96,42.5,15935,69411324.0,5.74,2.87,1.23,6.46
119,2024-07-26,荣旗科技,301360,42.15,42.85,43.11,41.91,11086,46914943.0,2.84,1.3,0.55,4.49
118,2024-07-25,荣旗科技,301360,41.62,42.3,42.56,39.8,13282,54407148.0,6.64,1.71,0.71,5.38
117,2024-07-24,荣旗科技,301360,42.22,41.59,42.93,41.41,10818,45146686.0,3.58,-2.1,-0.89,4.38
116,2024-07-23,荣旗科技,301360,43.39,42.48,44.09,42.33,12154,52236528.0,4.02,-3.01,-1.32,4.92
115,2024-07-22,荣旗科技,301360,43.99,43.8,44.78,43.55,12712,55430504.0,2.75,-1.9,-0.85,5.15
114,2024-07-19,荣旗科技,301360,44.17,44.65,45.8,43.8,19681,87620385.0,4.5,0.4,0.18,7.97
113,2024-07-18,荣旗科技,301360,42.0,44.47,44.74,41.55,21070,90453680.0,7.47,4.12,1.76,8.54
112,2024-07-17,荣旗科技,301360,44.31,42.71,44.44,42.63,22389,96550720.0,4.0,-5.7,-2.58,9.07
111,2024-07-16,荣旗科技,301360,44.41,45.29,48.3,43.8,33869,153860454.0,10.3,3.66,1.6,13.72
110,2024-07-15,荣旗科技,301360,42.83,43.69,44.0,42.5,13822,59430721.0,3.46,0.67,0.29,5.6
109,2024-07-12,荣旗科技,301360,44.32,43.4,44.64,43.39,19039,82827881.0,2.76,-4.0,-1.81,7.71
108,2024-07-11,荣旗科技,301360,44.63,45.21,45.34,43.4,29242,129381469.0,4.43,3.27,1.43,11.85
107,2024-07-10,荣旗科技,301360,43.2,43.78,44.19,42.59,24769,106889191.0,3.7,1.11,0.48,10.04
106,2024-07-09,荣旗科技,301360,40.49,43.3,43.9,39.9,27243,115285780.0,9.88,6.94,2.81,11.04
105,2024-07-08,荣旗科技,301360,40.3,40.49,41.29,39.58,7806,31323814.0,4.23,0.1,0.04,3.16
104,2024-07-05,荣旗科技,301360,39.5,40.45,40.97,38.42,7865,31168819.0,6.39,1.35,0.54,3.19
103,2024-07-04,荣旗科技,301360,41.59,39.91,42.1,39.73,11798,47740571.0,5.76,-3.08,-1.27,4.78
102,2024-07-03,荣旗科技,301360,42.16,41.18,42.4,40.86,14975,61592465.0,3.6,-3.83,-1.64,6.07
101,2024-07-02,荣旗科技,301360,42.34,42.82,43.24,41.58,18278,76822193.0,3.91,0.97,0.41,7.41
100,2024-07-01,荣旗科技,301360,44.8,42.41,45.7,41.83,25691,109023887.0,8.89,-2.62,-1.14,10.41
99,2024-06-28,荣旗科技,301360,40.16,43.55,44.98,40.13,30204,129213080.0,11.84,6.27,2.57,12.24
98,2024-06-27,荣旗科技,301360,40.3,40.98,42.8,39.71,20227,83334664.0,7.63,1.16,0.47,8.2
97,2024-06-26,荣旗科技,301360,38.21,40.51,42.09,37.55,18257,72339886.0,11.85,5.77,2.21,7.4
96,2024-06-25,荣旗科技,301360,37.98,38.3,39.87,37.61,10822,41411380.0,5.95,0.87,0.33,4.38
95,2024-06-24,荣旗科技,301360,40.5,37.97,40.55,37.85,9121,35165202.0,6.67,-6.25,-2.53,3.7
94,2024-06-21,荣旗科技,301360,41.12,40.5,41.12,39.45,8065,32248761.0,4.06,-1.48,-0.61,3.27
93,2024-06-20,荣旗科技,301360,42.27,41.11,43.04,41.1,12792,53464821.0,4.57,-3.2,-1.36,5.18
92,2024-06-19,荣旗科技,301360,43.12,42.47,43.7,42.09,11314,47895812.0,3.72,-1.89,-0.82,4.58
91,2024-06-18,荣旗科技,301360,42.2,43.29,43.4,41.91,14793,62901570.0,3.53,2.66,1.12,5.99
90,2024-06-17,荣旗科技,301360,41.6,42.17,42.86,40.9,13072,54567105.0,4.7,1.22,0.51,5.3
89,2024-06-14,荣旗科技,301360,42.02,41.66,42.5,40.95,13544,55694430.0,3.66,-1.63,-0.69,5.49
88,2024-06-13,荣旗科技,301360,41.3,42.35,43.25,41.3,24275,102092387.0,4.61,0.17,0.07,9.84
87,2024-06-12,荣旗科技,301360,40.13,42.28,46.62,40.13,26378,113708456.0,16.54,7.75,3.04,10.69
