,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,美好医疗,301363,32.64,32.81,33.15,32.41,11102,35859220.0,2.27,0.52,0.17,0.99
239,2025-01-24,美好医疗,301363,32.71,32.64,33.14,32.45,15794,51056386.0,2.1,-0.79,-0.26,1.41
238,2025-01-23,美好医疗,301363,33.63,32.9,33.81,32.89,19796,64837865.0,2.74,-2.14,-0.72,1.77
237,2025-01-22,美好医疗,301363,33.17,33.62,33.7,32.45,15872,51898454.0,3.75,0.81,0.27,1.42
236,2025-01-21,美好医疗,301363,32.94,33.35,33.47,32.42,15095,49116779.0,3.19,1.28,0.42,1.35
235,2025-01-20,美好医疗,301363,33.35,32.93,33.96,32.51,17682,57556727.0,4.36,-0.99,-0.33,1.58
234,2025-01-17,美好医疗,301363,32.71,33.26,33.51,32.31,13519,43904397.0,3.66,1.46,0.48,1.21
233,2025-01-16,美好医疗,301363,33.28,32.78,34.0,32.66,16264,53340509.0,4.04,-1.27,-0.42,1.45
232,2025-01-15,美好医疗,301363,33.75,33.2,33.88,32.96,14279,46864526.0,2.7,-2.41,-0.82,1.27
231,2025-01-14,美好医疗,301363,33.24,34.02,34.12,33.07,28320,93749781.0,3.16,2.32,0.77,2.53
230,2025-01-13,美好医疗,301363,31.46,33.25,33.3,31.02,29712,95526774.0,7.07,3.16,1.02,2.65
229,2025-01-10,美好医疗,301363,33.52,32.23,33.71,32.17,31105,100611896.0,4.63,-3.1,-1.03,2.77
228,2025-01-09,美好医疗,301363,33.99,33.26,34.31,33.13,33662,111181962.0,3.45,-2.63,-0.9,3.0
227,2025-01-08,美好医疗,301363,34.03,34.16,34.84,33.56,41083,138828106.0,3.71,-0.93,-0.32,3.66
226,2025-01-07,美好医疗,301363,34.59,34.48,34.59,33.39,51005,171165444.0,3.42,-1.82,-0.64,4.55
225,2025-01-06,美好医疗,301363,33.97,35.12,35.21,32.76,84491,284749320.0,7.29,4.49,1.51,7.53
224,2025-01-03,美好医疗,301363,32.14,33.61,34.26,31.87,51714,170052849.0,7.41,4.22,1.36,4.61
223,2025-01-02,美好医疗,301363,33.06,32.25,33.98,31.96,36494,118174656.0,6.13,-2.06,-0.68,3.25
222,2024-12-31,美好医疗,301363,31.87,32.93,33.41,31.53,43203,138446271.0,5.88,3.07,0.98,3.85
221,2024-12-30,美好医疗,301363,31.83,31.95,32.68,31.52,22115,70103600.0,3.62,-0.25,-0.08,1.97
220,2024-12-27,美好医疗,301363,31.83,32.03,33.01,30.81,38290,121118835.0,6.9,0.5,0.16,3.41
219,2024-12-26,美好医疗,301363,32.18,31.87,32.53,31.71,25886,81634377.0,2.51,-2.48,-0.81,2.31
218,2024-12-25,美好医疗,301363,33.09,32.68,33.76,32.19,23655,76500142.0,4.74,-1.3,-0.43,2.11
217,2024-12-24,美好医疗,301363,32.24,33.11,33.91,32.02,50805,166708457.0,5.84,2.25,0.73,4.53
216,2024-12-23,美好医疗,301363,32.22,32.38,32.54,31.73,22090,70075694.0,2.52,0.87,0.28,1.97
215,2024-12-20,美好医疗,301363,32.05,32.1,32.67,31.78,11209,35545180.0,2.77,-0.16,-0.05,1.0
214,2024-12-19,美好医疗,301363,32.3,32.15,32.62,31.6,13327,42034053.0,3.13,-1.26,-0.41,1.19
213,2024-12-18,美好医疗,301363,32.71,32.56,32.91,31.84,24983,79678123.0,3.27,-0.49,-0.16,2.23
212,2024-12-17,美好医疗,301363,32.39,32.72,33.79,32.19,30019,98029270.0,4.94,0.96,0.31,2.68
211,2024-12-16,美好医疗,301363,32.88,32.41,32.96,32.19,18766,59919715.0,2.33,-2.11,-0.7,1.67
210,2024-12-13,美好医疗,301363,33.31,33.11,33.37,32.51,30922,100481769.0,2.58,-0.78,-0.26,2.76
209,2024-12-12,美好医疗,301363,33.41,33.37,33.59,33.01,29093,95376731.0,1.73,-0.33,-0.11,2.59
208,2024-12-11,美好医疗,301363,32.3,33.48,33.82,32.04,38412,125309559.0,5.5,3.4,1.1,3.42
207,2024-12-10,美好医疗,301363,32.59,32.38,32.86,32.11,42321,135689250.0,2.37,2.24,0.71,3.77
206,2024-12-09,美好医疗,301363,31.11,31.67,32.26,31.01,32435,101560810.0,4.05,2.53,0.78,2.89
205,2024-12-06,美好医疗,301363,30.57,30.89,30.94,30.36,15428,46651705.0,1.9,1.01,0.31,1.38
204,2024-12-05,美好医疗,301363,30.29,30.58,30.66,30.29,14074,42239322.0,1.22,0.46,0.14,1.25
203,2024-12-04,美好医疗,301363,31.08,30.44,31.25,30.27,17900,53853518.0,3.14,-2.4,-0.75,1.6
202,2024-12-03,美好医疗,301363,31.39,31.19,31.56,31.01,14490,44519738.0,1.74,-1.17,-0.37,1.29
201,2024-12-02,美好医疗,301363,30.86,31.56,31.67,30.38,26861,82119592.0,4.14,1.28,0.4,2.39
200,2024-11-29,美好医疗,301363,30.77,31.16,31.39,30.63,16710,51073589.0,2.46,0.87,0.27,1.49
199,2024-11-28,美好医疗,301363,31.2,30.89,31.46,30.82,11516,35254916.0,2.05,-0.99,-0.31,1.03
198,2024-11-27,美好医疗,301363,30.0,31.2,31.22,29.75,18895,56694392.0,4.86,3.11,0.94,1.68
197,2024-11-26,美好医疗,301363,30.79,30.26,31.15,30.21,17502,52892835.0,3.05,-1.75,-0.54,1.56
196,2024-11-25,美好医疗,301363,29.88,30.8,30.85,29.48,23793,70821709.0,4.63,4.02,1.19,2.12
195,2024-11-22,美好医疗,301363,30.09,29.61,30.46,29.58,20669,61130247.0,2.91,-2.18,-0.66,1.84
194,2024-11-21,美好医疗,301363,30.59,30.27,31.08,29.93,24327,72623997.0,3.74,-1.59,-0.49,2.17
193,2024-11-20,美好医疗,301363,30.41,30.76,30.76,30.17,26107,78241649.0,1.94,1.22,0.37,2.33
192,2024-11-19,美好医疗,301363,30.21,30.39,30.55,29.74,15554,46126734.0,2.7,1.33,0.4,1.39
191,2024-11-18,美好医疗,301363,30.95,29.99,31.15,29.7,20125,60150998.0,4.68,-3.1,-0.96,1.79
190,2024-11-15,美好医疗,301363,31.26,30.95,31.74,30.86,16933,52161290.0,2.8,-1.46,-0.46,1.51
189,2024-11-14,美好医疗,301363,32.58,31.41,32.58,31.34,27016,84444304.0,3.81,-3.59,-1.17,2.41
188,2024-11-13,美好医疗,301363,32.81,32.58,33.25,32.04,25931,83353718.0,3.65,-1.6,-0.53,2.31
187,2024-11-12,美好医疗,301363,33.7,33.11,34.39,32.76,38625,128222180.0,4.86,-1.28,-0.43,3.44
186,2024-11-11,美好医疗,301363,33.01,33.54,33.6,32.82,29083,95225732.0,2.33,0.33,0.11,2.59
185,2024-11-08,美好医疗,301363,34.35,33.43,34.61,32.84,30367,100246648.0,5.2,-1.79,-0.61,2.71
184,2024-11-07,美好医疗,301363,33.0,34.04,34.35,32.96,19493,64918451.0,4.15,1.61,0.54,1.74
183,2024-11-06,美好医疗,301363,34.07,33.5,34.28,32.81,23634,78100157.0,4.34,-1.21,-0.41,2.11
182,2024-11-05,美好医疗,301363,33.51,33.91,34.31,32.85,24400,81257430.0,4.34,0.86,0.29,2.18
181,2024-11-04,美好医疗,301363,31.77,33.62,33.83,31.68,27829,90661538.0,6.8,6.33,2.0,2.48
180,2024-11-01,美好医疗,301363,32.78,31.62,32.9,31.6,17408,55112544.0,3.96,-3.71,-1.22,1.55
179,2024-10-31,美好医疗,301363,32.83,32.84,33.39,32.45,18028,58389458.0,2.86,0.09,0.03,1.61
178,2024-10-30,美好医疗,301363,33.6,32.81,34.32,32.41,21832,71128837.0,5.63,-3.27,-1.11,1.95
177,2024-10-29,美好医疗,301363,35.65,33.92,36.01,33.77,27007,91890704.0,6.32,-4.34,-1.54,2.41
176,2024-10-28,美好医疗,301363,34.37,35.46,36.01,33.72,42766,148336933.0,6.63,2.72,0.94,3.81
175,2024-10-25,美好医疗,301363,32.2,34.52,35.06,32.01,59928,201787525.0,9.42,6.58,2.13,5.34
174,2024-10-24,美好医疗,301363,31.51,32.39,32.74,31.47,27829,88316572.0,3.99,1.7,0.54,2.48
173,2024-10-23,美好医疗,301363,31.9,31.85,32.57,31.52,26698,84263004.0,3.29,-0.16,-0.05,2.38
172,2024-10-22,美好医疗,301363,32.38,31.9,32.67,31.71,29650,93583617.0,2.96,-1.48,-0.48,2.64
171,2024-10-21,美好医疗,301363,33.18,32.38,33.79,32.2,35806,115772255.0,4.77,-2.88,-0.96,3.19
170,2024-10-18,美好医疗,301363,32.31,33.34,34.29,31.74,30683,99436294.0,7.84,2.55,0.83,2.74
169,2024-10-17,美好医疗,301363,32.95,32.51,34.36,32.02,30953,101897487.0,7.15,-0.73,-0.24,2.76
168,2024-10-16,美好医疗,301363,31.42,32.75,33.26,31.11,21505,68863184.0,6.75,2.83,0.9,1.92
167,2024-10-15,美好医疗,301363,32.14,31.85,33.09,31.58,19295,61709285.0,4.62,-2.51,-0.82,1.72
166,2024-10-14,美好医疗,301363,31.66,32.67,33.11,30.41,25648,80254790.0,8.48,2.57,0.82,2.29
165,2024-10-11,美好医疗,301363,32.51,31.85,33.44,31.37,31895,100614423.0,6.1,-6.21,-2.11,2.84
164,2024-10-10,美好医疗,301363,33.38,33.96,37.01,33.38,56811,196634571.0,11.15,4.33,1.41,5.07
163,2024-10-09,美好医疗,301363,36.62,32.55,37.5,32.55,39959,138731824.0,12.83,-15.65,-6.04,3.56
162,2024-10-08,美好医疗,301363,41.8,38.59,41.8,35.3,47840,179627189.0,18.61,10.51,3.67,4.27
161,2024-09-30,美好医疗,301363,32.35,34.92,35.16,26.6,43425,142365454.0,27.94,13.97,4.28,3.87
160,2024-09-27,美好医疗,301363,29.01,30.64,31.1,28.81,34665,102499480.0,7.98,6.72,1.93,3.09
159,2024-09-26,美好医疗,301363,27.64,28.71,28.71,27.24,19865,54683273.0,5.3,3.53,0.98,1.77
158,2024-09-25,美好医疗,301363,27.51,27.73,28.08,27.35,18425,50204026.0,2.67,1.5,0.41,1.64
157,2024-09-24,美好医疗,301363,27.41,27.32,27.84,26.53,25590,68136264.0,4.78,-0.33,-0.09,2.28
156,2024-09-23,美好医疗,301363,27.65,27.41,27.65,27.02,5751,15455112.0,2.29,-0.51,-0.14,0.51
155,2024-09-20,美好医疗,301363,28.21,27.55,28.33,27.36,8955,24297125.0,3.43,-2.44,-0.69,0.8
154,2024-09-19,美好医疗,301363,28.15,28.24,28.33,27.42,17036,46712472.0,3.23,0.36,0.1,1.52
153,2024-09-18,美好医疗,301363,27.81,28.14,28.29,27.52,8651,23731413.0,2.77,1.15,0.32,0.77
152,2024-09-13,美好医疗,301363,28.12,27.82,28.62,27.81,6715,18484175.0,2.87,-1.52,-0.43,0.6
151,2024-09-12,美好医疗,301363,28.0,28.25,28.44,27.73,12422,34317838.0,2.56,1.8,0.5,1.11
150,2024-09-11,美好医疗,301363,27.61,27.75,28.21,27.21,7473,20400371.0,3.6,-0.18,-0.05,0.67
149,2024-09-10,美好医疗,301363,28.64,27.8,28.81,27.67,13044,35848264.0,3.98,-3.03,-0.87,1.16
148,2024-09-09,美好医疗,301363,28.54,28.67,28.99,28.42,7366,20736401.0,1.98,-0.28,-0.08,0.66
147,2024-09-06,美好医疗,301363,29.35,28.75,29.68,28.51,15022,42565979.0,3.97,-2.41,-0.71,1.34
146,2024-09-05,美好医疗,301363,29.44,29.46,30.11,29.22,9606,27831463.0,3.02,0.07,0.02,0.86
145,2024-09-04,美好医疗,301363,29.39,29.44,29.78,29.13,11356,32886149.0,2.19,-0.81,-0.24,1.01
144,2024-09-03,美好医疗,301363,29.08,29.68,29.79,28.94,11847,34244192.0,2.91,1.61,0.47,1.06
143,2024-09-02,美好医疗,301363,29.11,29.21,29.55,29.03,12309,35436042.0,1.76,-1.02,-0.3,1.1
142,2024-08-30,美好医疗,301363,29.37,29.51,29.96,29.02,19370,56264141.0,3.2,0.44,0.13,1.73
141,2024-08-29,美好医疗,301363,28.28,29.38,29.71,28.28,18833,54003566.0,5.0,2.73,0.78,1.68
140,2024-08-28,美好医疗,301363,27.62,28.6,28.66,27.59,14685,40681357.0,3.84,2.51,0.7,1.31
139,2024-08-27,美好医疗,301363,27.69,27.9,28.11,27.57,12342,33719094.0,1.95,0.65,0.18,1.1
138,2024-08-26,美好医疗,301363,27.63,27.72,28.62,27.34,12492,34568530.0,4.6,-0.47,-0.13,1.11
137,2024-08-23,美好医疗,301363,28.14,27.85,28.67,27.67,10954,30165802.0,3.52,-1.97,-0.56,0.98
