,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,协昌科技,301418,33.27,32.44,33.54,32.44,7744,25187544.0,3.35,-1.28,-0.42,2.63
239,2025-01-24,协昌科技,301418,32.56,32.86,32.99,32.37,8897,28738332.0,1.89,0.09,0.03,3.02
238,2025-01-23,协昌科技,301418,33.18,32.83,33.63,32.78,9687,31837521.0,2.6,0.31,0.1,3.29
237,2025-01-22,协昌科技,301418,33.0,32.73,33.28,32.49,7575,24663578.0,2.39,-1.12,-0.37,2.57
236,2025-01-21,协昌科技,301418,33.49,33.1,33.6,32.64,5486,17935641.0,2.88,-0.66,-0.22,1.86
235,2025-01-20,协昌科技,301418,33.44,33.32,33.53,32.95,6679,22011530.0,1.76,0.94,0.31,2.27
234,2025-01-17,协昌科技,301418,33.01,33.01,33.41,32.61,5893,19243952.0,2.42,0.0,0.0,2.0
233,2025-01-16,协昌科技,301418,33.01,33.01,33.56,32.84,7313,24031990.0,2.18,0.03,0.01,2.48
232,2025-01-15,协昌科技,301418,33.04,33.0,33.23,32.77,5912,19312129.0,1.39,-0.36,-0.12,2.01
231,2025-01-14,协昌科技,301418,31.75,33.12,33.13,31.75,7927,25632471.0,4.35,4.35,1.38,2.69
230,2025-01-13,协昌科技,301418,30.87,31.74,31.97,30.7,4996,15533607.0,4.05,1.18,0.37,1.7
229,2025-01-10,协昌科技,301418,32.44,31.37,32.81,31.34,7092,22590769.0,4.53,-3.3,-1.07,2.41
228,2025-01-09,协昌科技,301418,32.25,32.44,32.87,32.05,5869,18906283.0,2.54,0.59,0.19,1.99
227,2025-01-08,协昌科技,301418,31.89,32.25,32.81,31.48,7047,22421484.0,4.09,-0.77,-0.25,2.39
226,2025-01-07,协昌科技,301418,31.64,32.5,32.54,31.49,6780,21501115.0,3.34,3.27,1.03,2.3
225,2025-01-06,协昌科技,301418,31.45,31.47,31.84,30.49,6554,20345611.0,4.29,0.1,0.03,2.23
224,2025-01-03,协昌科技,301418,32.93,31.44,33.13,31.42,9763,31015358.0,5.22,-4.03,-1.32,3.32
223,2025-01-02,协昌科技,301418,33.7,32.76,34.0,32.63,9401,30900830.0,4.07,-2.76,-0.93,3.19
222,2024-12-31,协昌科技,301418,34.94,33.69,35.09,33.47,9714,32847156.0,4.64,-3.52,-1.23,3.3
221,2024-12-30,协昌科技,301418,35.36,34.92,35.54,34.36,8287,28713388.0,3.32,-1.88,-0.67,2.82
220,2024-12-27,协昌科技,301418,35.88,35.59,36.12,35.47,10014,35586485.0,1.81,-0.81,-0.29,3.4
219,2024-12-26,协昌科技,301418,35.18,35.88,36.14,34.97,9442,33406593.0,3.33,2.11,0.74,3.21
218,2024-12-25,协昌科技,301418,35.84,35.14,36.06,34.97,11030,38634021.0,3.03,-2.17,-0.78,3.75
217,2024-12-24,协昌科技,301418,35.72,35.92,36.04,34.83,8887,31247862.0,3.42,1.5,0.53,3.02
216,2024-12-23,协昌科技,301418,37.11,35.39,37.34,35.24,14628,52563896.0,5.66,-4.63,-1.72,4.97
215,2024-12-20,协昌科技,301418,36.34,37.11,37.71,35.96,13836,50908481.0,4.83,2.46,0.89,4.7
214,2024-12-19,协昌科技,301418,35.86,36.22,36.54,35.42,9836,35127000.0,3.11,0.47,0.17,3.34
213,2024-12-18,协昌科技,301418,35.84,36.05,36.43,34.94,8752,31091216.0,4.16,0.59,0.21,2.97
212,2024-12-17,协昌科技,301418,38.12,35.84,38.12,35.84,14987,54438893.0,6.02,-5.36,-2.03,5.09
211,2024-12-16,协昌科技,301418,38.12,37.87,38.43,37.54,9060,34113504.0,2.33,-0.79,-0.3,3.08
210,2024-12-13,协昌科技,301418,38.79,38.17,38.96,38.09,14298,54438651.0,2.23,-2.15,-0.84,4.86
209,2024-12-12,协昌科技,301418,38.73,39.01,39.06,38.56,13603,52371021.0,1.29,0.7,0.27,4.62
208,2024-12-11,协昌科技,301418,38.62,38.74,38.9,38.45,12481,47843942.0,1.17,0.31,0.12,4.24
207,2024-12-10,协昌科技,301418,39.35,38.62,39.54,38.52,23482,91038564.0,2.65,0.26,0.1,7.98
206,2024-12-09,协昌科技,301418,38.08,38.52,38.53,37.86,12979,49204007.0,1.76,1.16,0.44,4.41
205,2024-12-06,协昌科技,301418,38.16,38.08,38.23,37.31,15337,57442590.0,2.42,0.13,0.05,5.21
204,2024-12-05,协昌科技,301418,37.07,38.03,38.15,37.07,13105,49140608.0,2.87,1.04,0.39,4.45
203,2024-12-04,协昌科技,301418,38.34,37.64,39.04,37.49,21977,83708055.0,4.1,-0.34,-0.13,7.47
202,2024-12-03,协昌科技,301418,37.72,37.77,38.14,37.34,11213,41883066.0,2.12,0.16,0.06,3.81
201,2024-12-02,协昌科技,301418,37.04,37.71,37.83,36.79,12359,45874762.0,2.81,1.75,0.65,4.2
200,2024-11-29,协昌科技,301418,36.34,37.06,37.14,36.15,13764,50137374.0,2.71,1.42,0.52,4.68
199,2024-11-28,协昌科技,301418,36.89,36.54,37.04,36.52,11205,40850722.0,1.41,-0.87,-0.32,3.81
