,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,豪恩汽电,301488,54.55,55.42,55.54,54.1,8223,44279949.78,2.64,1.58,0.86,3.51
240,2025-01-23,豪恩汽电,301488,54.85,54.56,56.18,54.4,13596,73642193.0,3.29,0.79,0.43,5.81
239,2025-01-22,豪恩汽电,301488,55.37,54.13,55.37,53.8,9942,53094468.0,2.83,-2.27,-1.26,4.25
238,2025-01-21,豪恩汽电,301488,55.5,55.39,55.87,54.1,8040,43343116.0,3.21,0.42,0.23,3.43
237,2025-01-20,豪恩汽电,301488,55.15,55.16,55.8,54.88,6844,37139488.0,1.68,0.82,0.45,2.92
236,2025-01-17,豪恩汽电,301488,55.0,54.71,55.54,54.0,8669,46484467.0,2.79,-0.91,-0.5,3.7
235,2025-01-16,豪恩汽电,301488,54.88,55.21,56.24,54.54,13065,70934570.0,3.1,0.82,0.45,5.58
234,2025-01-15,豪恩汽电,301488,55.85,54.76,56.2,54.54,10662,57815090.0,2.97,-1.99,-1.11,4.55
233,2025-01-14,豪恩汽电,301488,53.48,55.87,55.9,53.47,15007,81557470.0,4.54,4.47,2.39,6.41
232,2025-01-13,豪恩汽电,301488,51.99,53.48,54.37,51.03,11222,58210790.0,6.44,3.12,1.62,4.79
231,2025-01-10,豪恩汽电,301488,52.85,51.86,54.17,51.67,8497,44367068.0,4.73,-1.84,-0.97,3.63
230,2025-01-09,豪恩汽电,301488,51.82,52.83,53.48,51.82,7043,36533832.0,3.17,0.92,0.48,3.01
229,2025-01-08,豪恩汽电,301488,52.43,52.35,52.78,50.7,9554,48493059.0,3.96,-0.44,-0.23,4.08
228,2025-01-07,豪恩汽电,301488,51.06,52.58,52.58,51.01,8773,44573723.0,3.07,2.98,1.52,3.75
227,2025-01-06,豪恩汽电,301488,51.12,51.06,52.0,50.06,7887,39508143.0,3.76,-0.93,-0.48,3.37
226,2025-01-03,豪恩汽电,301488,54.01,51.54,54.34,51.47,11038,57083313.0,5.33,-4.24,-2.28,4.71
225,2025-01-02,豪恩汽电,301488,56.02,53.82,56.58,53.3,10742,57933230.0,5.83,-4.39,-2.47,4.59
224,2024-12-31,豪恩汽电,301488,58.69,56.29,59.5,56.05,10850,61091309.0,5.88,-4.01,-2.35,4.63
223,2024-12-30,豪恩汽电,301488,60.01,58.64,60.09,58.52,12675,73803637.0,2.6,-2.72,-1.64,5.41
222,2024-12-27,豪恩汽电,301488,61.03,60.28,61.57,60.1,8948,53630348.0,2.4,-1.47,-0.9,3.82
221,2024-12-26,豪恩汽电,301488,59.48,61.18,61.57,59.48,8667,51989006.0,3.49,2.07,1.24,3.7
220,2024-12-25,豪恩汽电,301488,60.57,59.94,61.19,59.35,7247,42801367.0,3.02,-1.59,-0.97,3.1
