,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,思泉新材,301489,62.07,63.6,64.25,61.85,22073,138852554.04,3.86,2.27,1.41,6.49
240,2025-01-23,思泉新材,301489,63.25,62.19,64.05,62.13,19776,124521588.0,3.06,-0.8,-0.5,5.82
239,2025-01-22,思泉新材,301489,63.88,62.69,64.12,62.35,15455,97390159.0,2.75,-2.5,-1.61,4.55
238,2025-01-21,思泉新材,301489,63.96,64.3,64.55,63.11,16761,106584109.0,2.24,0.11,0.07,4.93
237,2025-01-20,思泉新材,301489,63.14,64.23,64.47,62.65,19652,124446799.0,2.9,2.31,1.45,5.78
236,2025-01-17,思泉新材,301489,62.86,62.78,63.45,62.21,17993,112290621.0,1.95,-1.37,-0.87,5.29
235,2025-01-16,思泉新材,301489,64.89,63.65,66.2,63.25,24558,158017899.0,4.72,1.81,1.13,7.22
234,2025-01-15,思泉新材,301489,63.74,62.52,64.91,62.16,18497,116409071.0,4.28,-2.69,-1.73,5.44
233,2025-01-14,思泉新材,301489,61.72,64.25,64.25,61.43,24452,153692481.0,4.57,4.12,2.54,7.19
232,2025-01-13,思泉新材,301489,61.8,61.71,62.65,60.76,19523,119577461.0,2.99,-2.31,-1.46,5.74
231,2025-01-10,思泉新材,301489,62.45,63.17,65.18,61.43,30978,195504277.0,6.05,1.84,1.14,9.11
230,2025-01-09,思泉新材,301489,61.64,62.03,63.33,61.54,17007,105796582.0,2.85,-1.21,-0.76,5.0
229,2025-01-08,思泉新材,301489,63.36,62.79,63.8,59.86,25062,154842227.0,6.16,-1.83,-1.17,7.37
228,2025-01-07,思泉新材,301489,61.5,63.96,63.96,61.3,23179,144821219.0,4.3,3.5,2.16,6.82
227,2025-01-06,思泉新材,301489,62.67,61.8,64.97,59.33,24719,153812655.0,8.92,-2.29,-1.45,7.27
226,2025-01-03,思泉新材,301489,67.88,63.25,68.75,63.13,32769,214107945.0,8.39,-5.58,-3.74,9.64
225,2025-01-02,思泉新材,301489,68.45,66.99,71.1,66.09,34735,238357892.0,7.31,-2.19,-1.5,10.22
224,2024-12-31,思泉新材,301489,70.13,68.49,71.53,68.16,32442,224998588.0,4.8,-2.44,-1.71,9.54
223,2024-12-30,思泉新材,301489,69.42,70.2,71.55,67.13,48433,337658016.0,6.37,1.12,0.78,14.24
222,2024-12-27,思泉新材,301489,67.75,69.42,70.99,66.76,43517,300833212.0,6.28,3.09,2.08,12.8
221,2024-12-26,思泉新材,301489,65.25,67.34,67.55,64.35,20195,134349094.0,4.91,3.3,2.15,5.94
220,2024-12-25,思泉新材,301489,65.54,65.19,66.56,63.26,16817,108893080.0,5.03,-0.7,-0.46,4.95
219,2024-12-24,思泉新材,301489,64.89,65.65,66.08,63.75,16739,108324959.0,3.57,0.69,0.45,4.92
218,2024-12-23,思泉新材,301489,67.98,65.2,69.24,64.25,22722,151232801.0,7.34,-4.13,-2.81,6.68
217,2024-12-20,思泉新材,301489,67.38,68.01,70.1,67.05,31299,214405823.0,4.51,0.55,0.37,9.21
216,2024-12-19,思泉新材,301489,63.13,67.64,68.66,62.85,30533,202819564.0,9.07,5.64,3.61,8.98
215,2024-12-18,思泉新材,301489,63.45,64.03,65.12,61.76,14276,90745341.0,5.35,1.89,1.19,4.2
214,2024-12-17,思泉新材,301489,65.09,62.84,65.38,62.45,15400,97599562.0,4.49,-3.77,-2.46,4.53
213,2024-12-16,思泉新材,301489,67.1,65.3,67.55,64.73,14407,94548335.0,4.21,-2.45,-1.64,4.24
212,2024-12-13,思泉新材,301489,68.57,66.94,69.54,66.91,20686,140161301.0,3.79,-3.49,-2.42,6.08
211,2024-12-12,思泉新材,301489,69.13,69.36,71.59,68.55,33320,232336133.0,4.44,1.3,0.89,9.8
210,2024-12-11,思泉新材,301489,67.16,68.47,68.55,65.85,24922,167444740.0,4.02,1.89,1.27,7.33
209,2024-12-10,思泉新材,301489,69.27,67.2,70.25,66.83,33672,229838255.0,5.02,-1.45,-0.99,9.9
208,2024-12-09,思泉新材,301489,65.45,68.19,68.23,64.84,30790,205891565.0,5.15,3.55,2.34,9.06
207,2024-12-06,思泉新材,301489,65.45,65.85,66.05,64.6,17205,112168847.0,2.2,0.06,0.04,5.06
206,2024-12-05,思泉新材,301489,64.12,65.81,66.34,63.55,20097,130607068.0,4.35,2.68,1.72,5.91
205,2024-12-04,思泉新材,301489,64.58,64.09,65.41,63.95,15748,101332256.0,2.26,-0.8,-0.52,4.63
