,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
119,2025-01-27,博实结,301608,72.82,69.37,73.08,69.37,17407,121807364.89,5.1,-4.67,-3.4,10.29
118,2025-01-24,博实结,301608,71.45,72.77,73.12,71.33,18075,129643890.0,2.48,0.89,0.64,10.69
117,2025-01-23,博实结,301608,72.63,72.13,75.21,71.83,26908,196292588.0,4.71,0.56,0.4,15.91
116,2025-01-22,博实结,301608,73.23,71.73,73.85,71.24,19396,139193943.0,3.53,-2.94,-2.17,11.47
115,2025-01-21,博实结,301608,74.08,73.9,74.23,71.93,22959,166765100.0,3.13,0.64,0.47,13.58
114,2025-01-20,博实结,301608,73.63,73.43,74.42,72.96,24416,177918337.0,2.0,0.38,0.28,14.44
113,2025-01-17,博实结,301608,77.39,73.15,78.38,73.03,44835,331782252.0,6.73,-8.0,-6.36,26.51
112,2025-01-16,博实结,301608,73.92,79.51,87.51,73.71,66027,523586508.0,18.74,7.99,5.88,39.05
111,2025-01-15,博实结,301608,74.85,73.63,76.62,73.35,34310,254633201.0,4.31,-3.02,-2.29,20.29
110,2025-01-14,博实结,301608,73.95,75.92,77.61,73.63,48856,365588173.0,5.37,2.41,1.79,28.89
109,2025-01-13,博实结,301608,63.31,74.13,76.63,62.23,45822,322013434.0,22.41,15.36,9.87,27.1
108,2025-01-10,博实结,301608,67.5,64.26,68.2,64.19,17399,114682889.0,5.88,-5.75,-3.92,10.29
107,2025-01-09,博实结,301608,65.84,68.18,68.92,65.73,19291,129843268.0,4.79,2.3,1.53,11.41
106,2025-01-08,博实结,301608,66.45,66.65,67.22,64.08,18096,117820062.0,4.69,-0.36,-0.24,10.7
105,2025-01-07,博实结,301608,62.63,66.89,67.83,62.53,24214,156709219.0,8.54,7.83,4.86,14.32
104,2025-01-06,博实结,301608,62.63,62.03,63.93,60.74,11250,69693671.0,5.1,-0.8,-0.5,6.65
103,2025-01-03,博实结,301608,67.03,62.53,67.29,62.41,16945,108342582.0,7.31,-6.31,-4.21,10.02
102,2025-01-02,博实结,301608,69.13,66.74,69.57,65.63,16973,113620229.0,5.71,-3.29,-2.27,10.04
101,2024-12-31,博实结,301608,71.86,69.01,72.61,68.42,21466,149907037.0,5.84,-3.79,-2.72,12.69
100,2024-12-30,博实结,301608,73.63,71.73,73.78,70.65,22501,161282662.0,4.2,-3.77,-2.81,13.31
99,2024-12-27,博实结,301608,75.42,74.54,79.08,74.53,36715,278981445.0,6.11,0.16,0.12,21.71
98,2024-12-26,博实结,301608,73.83,74.42,76.03,73.6,26654,197358591.0,3.27,0.16,0.12,15.76
97,2024-12-25,博实结,301608,74.67,74.3,74.99,72.48,25406,185369095.0,3.31,-2.02,-1.53,15.02
96,2024-12-24,博实结,301608,70.29,75.83,76.25,69.64,43298,318507868.0,9.44,8.28,5.8,25.6
95,2024-12-23,博实结,301608,72.53,70.03,72.61,69.16,20182,141114093.0,4.76,-3.42,-2.48,11.94
94,2024-12-20,博实结,301608,71.58,72.51,73.23,71.18,29610,212325510.0,2.84,0.42,0.3,17.51
93,2024-12-19,博实结,301608,68.27,72.21,72.99,67.78,33537,237729644.0,7.46,3.41,2.38,19.83
92,2024-12-18,博实结,301608,66.77,69.83,71.16,65.13,26993,184615044.0,9.01,4.38,2.93,15.96
91,2024-12-17,博实结,301608,69.73,66.9,70.03,66.19,19959,133921734.0,5.48,-4.61,-3.23,11.8
90,2024-12-16,博实结,301608,70.03,70.13,70.63,68.93,16666,115076602.0,2.42,-0.14,-0.1,9.86
89,2024-12-13,博实结,301608,70.63,70.23,72.27,69.89,26678,187385432.0,3.34,-1.54,-1.1,15.78
88,2024-12-12,博实结,301608,72.83,71.33,72.83,69.93,34478,242761072.0,3.95,-2.94,-2.16,20.39
87,2024-12-11,博实结,301608,75.35,73.49,75.48,72.12,41323,301020088.0,4.32,-5.61,-4.37,24.44
86,2024-12-10,博实结,301608,75.57,77.86,85.84,72.63,65635,515860468.0,17.82,5.0,3.71,38.81
85,2024-12-09,博实结,301608,67.83,74.15,80.83,66.93,58905,421985437.0,20.6,9.92,6.69,34.83
84,2024-12-06,博实结,301608,66.2,67.46,67.92,65.24,32118,212699841.0,4.08,2.82,1.85,18.99
83,2024-12-05,博实结,301608,61.51,65.61,67.27,61.31,29722,190978955.0,9.65,6.29,3.88,17.58
82,2024-12-04,博实结,301608,62.66,61.73,62.91,61.31,9792,60170985.0,2.55,-1.75,-1.1,5.79
81,2024-12-03,博实结,301608,63.34,62.83,63.34,61.92,10367,64299698.0,2.24,-0.81,-0.51,6.13
80,2024-12-02,博实结,301608,61.3,63.34,64.13,61.3,15299,95271300.0,4.62,3.34,2.05,9.05
79,2024-11-29,博实结,301608,59.69,61.29,62.33,59.13,13683,82468410.0,5.39,3.25,1.93,8.09
78,2024-11-28,博实结,301608,60.41,59.36,60.8,59.32,9345,55479321.0,2.44,-2.06,-1.25,5.53
77,2024-11-27,博实结,301608,58.82,60.61,60.61,57.51,10581,61586644.0,5.24,2.36,1.4,6.26
76,2024-11-26,博实结,301608,60.73,59.21,61.32,59.15,9408,56078490.0,3.56,-2.74,-1.67,5.56
75,2024-11-25,博实结,301608,59.86,60.88,60.88,58.93,11325,67330207.0,3.25,1.4,0.84,6.7
74,2024-11-22,博实结,301608,63.79,60.04,64.23,59.74,14804,91081239.0,7.02,-6.13,-3.92,8.75
73,2024-11-21,博实结,301608,64.52,63.96,64.81,62.93,13228,83863218.0,2.91,-0.98,-0.63,7.82
72,2024-11-20,博实结,301608,64.54,64.59,65.08,63.62,17282,110138852.0,2.25,-0.52,-0.34,10.22
71,2024-11-19,博实结,301608,62.61,64.93,65.02,62.27,12862,80831213.0,4.4,3.9,2.44,7.61
70,2024-11-18,博实结,301608,65.14,62.49,65.38,61.74,15525,96639129.0,5.62,-3.54,-2.29,9.18
69,2024-11-15,博实结,301608,66.96,64.78,68.09,64.78,16607,109794824.0,4.89,-4.21,-2.85,9.82
68,2024-11-14,博实结,301608,71.03,67.63,71.43,67.54,22986,157856550.0,5.48,-4.79,-3.4,13.59
67,2024-11-13,博实结,301608,68.93,71.03,71.05,68.03,28891,200609093.0,4.33,1.91,1.33,17.09
66,2024-11-12,博实结,301608,70.63,69.7,71.22,68.59,28097,194471572.0,3.7,-1.9,-1.35,16.62
65,2024-11-11,博实结,301608,69.86,71.05,71.23,69.39,27317,190742926.0,2.65,2.48,1.72,16.15
64,2024-11-08,博实结,301608,67.74,69.33,71.43,67.38,30976,213746641.0,6.02,3.0,2.02,18.32
63,2024-11-07,博实结,301608,65.83,67.31,68.13,65.66,16455,109305736.0,3.72,1.48,0.98,9.73
62,2024-11-06,博实结,301608,67.01,66.33,67.99,65.85,19014,126328078.0,3.2,-0.7,-0.47,11.24
61,2024-11-05,博实结,301608,64.13,66.8,67.06,63.51,18033,117235791.0,5.54,4.2,2.69,10.66
60,2024-11-04,博实结,301608,61.64,64.11,64.5,61.61,14215,89540114.0,4.67,3.57,2.21,8.41
59,2024-11-01,博实结,301608,65.63,61.9,65.98,61.59,23547,147521689.0,6.59,-7.02,-4.67,13.92
58,2024-10-31,博实结,301608,66.09,66.57,67.7,65.53,15539,102662244.0,3.28,0.71,0.47,9.19
57,2024-10-30,博实结,301608,67.14,66.1,68.33,65.11,21454,140985528.0,4.73,-2.98,-2.03,12.69
56,2024-10-29,博实结,301608,72.03,68.13,72.4,67.99,23019,159222501.0,6.16,-4.79,-3.43,13.61
55,2024-10-28,博实结,301608,70.63,71.56,71.6,69.05,17950,125664637.0,3.62,1.53,1.08,10.61
54,2024-10-25,博实结,301608,70.24,70.48,72.56,70.15,21933,154513758.0,3.41,-0.37,-0.26,12.97
53,2024-10-24,博实结,301608,69.55,70.74,72.38,69.55,18466,130147209.0,4.02,0.51,0.36,10.92
52,2024-10-23,博实结,301608,73.63,70.38,73.63,70.14,36010,256822524.0,4.71,-4.98,-3.69,21.3
51,2024-10-22,博实结,301608,73.14,74.07,75.63,71.98,24593,179856372.0,4.92,-0.22,-0.16,14.54
50,2024-10-21,博实结,301608,74.63,74.23,78.33,73.68,39160,296040423.0,6.16,-1.72,-1.3,23.16
49,2024-10-18,博实结,301608,66.63,75.53,77.63,66.36,43288,308841554.0,16.76,12.33,8.29,25.6
48,2024-10-17,博实结,301608,67.24,67.24,68.79,66.63,24005,160914484.0,3.23,0.52,0.35,14.2
47,2024-10-16,博实结,301608,65.63,66.89,68.09,65.16,22127,146195590.0,4.35,-0.58,-0.39,13.09
46,2024-10-15,博实结,301608,67.63,67.28,70.96,67.12,32159,219973300.0,5.57,-2.45,-1.69,19.02
45,2024-10-14,博实结,301608,66.63,68.97,69.26,64.96,30322,202519524.0,6.45,3.48,2.32,17.93
44,2024-10-11,博实结,301608,69.78,66.65,72.51,65.53,35148,238255394.0,9.84,-6.05,-4.29,20.79
43,2024-10-10,博实结,301608,80.32,70.94,80.63,70.66,50311,372735995.0,12.51,-10.96,-8.73,29.75
42,2024-10-09,博实结,301608,78.83,79.67,93.33,77.12,71456,583371993.0,19.31,-5.08,-4.26,42.26
41,2024-10-08,博实结,301608,83.13,83.93,83.93,73.53,74914,598539439.0,14.85,19.81,13.88,44.3
40,2024-09-30,博实结,301608,61.18,70.05,70.05,58.81,75176,476901667.0,19.22,19.78,11.57,44.46
39,2024-09-27,博实结,301608,53.53,58.48,59.52,53.03,54496,299735361.0,12.35,11.33,5.95,32.23
38,2024-09-26,博实结,301608,51.7,52.53,52.55,51.33,29286,150553025.0,2.35,1.14,0.59,17.32
37,2024-09-25,博实结,301608,51.78,51.94,53.75,51.4,38573,202685383.0,4.54,0.25,0.13,22.81
36,2024-09-24,博实结,301608,50.8,51.81,52.08,49.51,40938,208931173.0,5.01,0.99,0.51,24.21
35,2024-09-23,博实结,301608,49.2,51.3,52.37,48.5,46871,235977253.0,7.73,2.48,1.24,27.72
34,2024-09-20,博实结,301608,49.2,50.06,52.6,49.2,53789,274871346.0,7.15,5.32,2.53,31.81
33,2024-09-19,博实结,301608,47.25,47.53,48.2,46.71,18050,85770970.0,3.19,1.8,0.84,10.67
32,2024-09-18,博实结,301608,47.5,46.69,47.66,45.76,13659,63675480.0,4.02,-1.29,-0.61,8.08
31,2024-09-13,博实结,301608,48.72,47.3,48.87,47.3,18201,87186457.0,3.22,-2.91,-1.42,10.76
30,2024-09-12,博实结,301608,49.47,48.72,50.42,48.72,19229,95243185.0,3.44,-1.48,-0.73,11.37
29,2024-09-11,博实结,301608,50.85,49.45,50.85,49.2,19949,99101856.0,3.26,-2.27,-1.15,11.8
28,2024-09-10,博实结,301608,49.91,50.6,50.7,49.4,19152,95968792.0,2.61,1.65,0.82,11.33
27,2024-09-09,博实结,301608,50.06,49.78,50.81,49.2,23829,118421650.0,3.17,-2.1,-1.07,14.09
