,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,东风股份,600006,17.28,16.76,17.42,16.76,309871,210616354.0,3.83,-2.67,-0.46,1.55
239,2025-01-24,东风股份,600006,17.3,17.22,17.36,17.04,365997,251723404.0,1.85,-0.46,-0.08,1.83
238,2025-01-23,东风股份,600006,17.96,17.3,18.06,17.26,609059,433772728.0,4.47,-3.24,-0.58,3.05
237,2025-01-22,东风股份,600006,17.78,17.88,18.14,17.68,416564,300949524.0,2.56,-0.33,-0.06,2.08
236,2025-01-21,东风股份,600006,17.42,17.94,17.94,17.32,494742,349551636.0,3.58,3.46,0.6,2.47
235,2025-01-20,东风股份,600006,17.38,17.34,17.52,17.24,336230,234103299.0,1.61,-0.34,-0.06,1.68
234,2025-01-17,东风股份,600006,17.18,17.4,17.82,17.02,472165,328973663.0,4.63,0.81,0.14,2.36
233,2025-01-16,东风股份,600006,17.06,17.26,17.46,17.02,337313,232554777.0,2.59,1.53,0.26,1.69
232,2025-01-15,东风股份,600006,17.14,17.0,17.26,16.96,248959,169143575.0,1.75,-1.05,-0.18,1.24
231,2025-01-14,东风股份,600006,16.62,17.18,17.26,16.58,499456,338401280.0,4.1,3.62,0.6,2.5
230,2025-01-13,东风股份,600006,16.48,16.58,16.64,16.28,222631,145031707.0,2.17,-0.12,-0.02,1.11
229,2025-01-10,东风股份,600006,17.22,16.6,17.24,16.48,337372,227425796.0,4.44,-3.04,-0.52,1.69
228,2025-01-09,东风股份,600006,17.06,17.12,17.28,17.02,261420,179343680.0,1.51,-0.58,-0.1,1.31
227,2025-01-08,东风股份,600006,17.42,17.22,17.44,16.8,508737,347522915.0,3.65,-1.82,-0.32,2.54
226,2025-01-07,东风股份,600006,17.24,17.54,17.58,17.16,375968,261598916.0,2.45,2.21,0.38,1.88
225,2025-01-06,东风股份,600006,17.18,17.16,17.54,16.86,413016,283812561.0,3.94,-0.58,-0.1,2.07
224,2025-01-03,东风股份,600006,18.18,17.26,18.4,17.16,723302,515046817.0,6.76,-5.89,-1.08,3.62
223,2025-01-02,东风股份,600006,18.18,18.34,19.18,18.04,784200,589006457.0,6.26,0.77,0.14,3.92
222,2024-12-31,东风股份,600006,19.02,18.2,19.08,18.12,568742,428986316.0,5.04,-4.41,-0.84,2.84
221,2024-12-30,东风股份,600006,18.78,19.04,19.22,18.52,729000,564582635.0,3.7,0.63,0.12,3.65
220,2024-12-27,东风股份,600006,19.06,18.92,19.24,18.8,945469,733713952.0,2.3,-1.05,-0.2,4.73
219,2024-12-26,东风股份,600006,17.66,19.12,19.12,17.64,1141418,871703825.0,8.36,8.02,1.42,5.71
218,2024-12-25,东风股份,600006,18.04,17.7,18.04,17.5,357777,255303399.0,2.99,-1.88,-0.34,1.79
217,2024-12-24,东风股份,600006,18.04,18.04,18.18,17.88,373109,271486666.0,1.67,0.45,0.08,1.87
216,2024-12-23,东风股份,600006,18.76,17.96,18.76,17.9,577365,426585895.0,4.59,-4.06,-0.76,2.89
215,2024-12-20,东风股份,600006,18.92,18.72,18.96,18.64,502929,384926481.0,1.69,-1.16,-0.22,2.51
214,2024-12-19,东风股份,600006,19.08,18.94,19.26,18.76,671432,520032795.0,2.57,-2.77,-0.54,3.36
213,2024-12-18,东风股份,600006,19.3,19.48,19.92,19.06,741928,596029695.0,4.47,1.25,0.24,3.71
212,2024-12-17,东风股份,600006,19.64,19.24,20.02,19.16,804290,643305073.0,4.33,-3.02,-0.6,4.02
211,2024-12-16,东风股份,600006,19.7,19.84,20.36,19.62,1019771,842121948.0,3.72,-0.3,-0.06,5.1
210,2024-12-13,东风股份,600006,19.58,19.9,20.28,19.48,1314213,1083254384.0,4.04,0.61,0.12,6.57
