,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,中国国贸,600007,31.17,31.2,31.44,31.0,22726,55261388.0,1.41,-0.16,-0.05,0.23
240,2025-01-23,中国国贸,600007,32.02,31.25,32.02,31.16,22681,55439716.0,2.74,-0.41,-0.13,0.23
239,2025-01-22,中国国贸,600007,31.5,31.38,31.6,31.16,16784,41003105.0,1.4,-0.13,-0.04,0.17
238,2025-01-21,中国国贸,600007,31.92,31.42,31.92,30.96,28188,69094229.0,3.07,0.45,0.14,0.28
237,2025-01-20,中国国贸,600007,30.78,31.28,31.42,30.69,30790,74731516.0,2.37,1.62,0.5,0.31
236,2025-01-17,中国国贸,600007,30.49,30.78,30.8,30.3,16250,38430091.0,1.64,0.69,0.21,0.16
235,2025-01-16,中国国贸,600007,30.83,30.57,30.98,30.53,19016,45335314.0,1.46,-0.78,-0.24,0.19
234,2025-01-15,中国国贸,600007,30.3,30.81,31.12,30.18,26929,64266027.0,3.1,1.45,0.44,0.27
233,2025-01-14,中国国贸,600007,30.05,30.37,30.49,30.05,20750,48548690.0,1.46,0.6,0.18,0.21
232,2025-01-13,中国国贸,600007,30.07,30.19,30.4,29.87,18449,42921966.0,1.76,0.1,0.03,0.18
231,2025-01-10,中国国贸,600007,30.05,30.16,30.49,29.85,28141,65682573.0,2.14,0.73,0.22,0.28
230,2025-01-09,中国国贸,600007,30.3,29.94,30.35,29.87,18536,42889017.0,1.58,-1.42,-0.43,0.18
229,2025-01-08,中国国贸,600007,30.5,30.37,30.5,29.83,30512,70886734.0,2.2,-0.2,-0.06,0.3
228,2025-01-07,中国国贸,600007,30.87,30.43,30.96,30.37,26612,62919758.0,1.92,-1.14,-0.35,0.26
227,2025-01-06,中国国贸,600007,30.77,30.78,30.92,30.48,23397,55683112.0,1.43,0.03,0.01,0.23
226,2025-01-03,中国国贸,600007,31.11,30.77,31.47,30.69,27058,65296135.0,2.51,-1.09,-0.34,0.27
225,2025-01-02,中国国贸,600007,31.38,31.11,31.81,31.02,39254,96186246.0,2.52,-0.86,-0.27,0.39
224,2024-12-31,中国国贸,600007,31.08,31.38,31.51,31.08,30186,73803272.0,1.38,0.8,0.25,0.3
223,2024-12-30,中国国贸,600007,31.21,31.13,31.34,30.77,26862,64740729.0,1.82,-0.7,-0.22,0.27
222,2024-12-27,中国国贸,600007,31.2,31.35,31.6,31.17,25213,61545255.0,1.38,0.51,0.16,0.25
221,2024-12-26,中国国贸,600007,31.42,31.19,31.73,31.11,25052,61196492.0,1.97,-1.08,-0.34,0.25
220,2024-12-25,中国国贸,600007,31.35,31.53,31.68,31.21,28797,70763281.0,1.5,0.61,0.19,0.29
219,2024-12-24,中国国贸,600007,30.79,31.34,31.36,30.79,26911,65094703.0,1.85,1.59,0.49,0.27
218,2024-12-23,中国国贸,600007,30.72,30.85,30.97,30.53,27535,65730917.0,1.43,0.29,0.09,0.27
217,2024-12-20,中国国贸,600007,30.88,30.76,31.25,30.67,28704,68750318.0,1.88,-0.52,-0.16,0.28
216,2024-12-19,中国国贸,600007,31.34,30.92,31.48,30.88,34063,82246581.0,1.91,-1.78,-0.56,0.34
215,2024-12-18,中国国贸,600007,31.57,31.48,31.72,31.22,49067,120482730.0,1.59,0.03,0.01,0.49
214,2024-12-17,中国国贸,600007,31.01,31.47,31.76,30.96,81081,199110220.0,2.56,0.77,0.24,0.8
213,2024-12-16,中国国贸,600007,30.04,31.23,31.25,29.7,113556,269022044.0,5.11,2.9,0.88,1.13
212,2024-12-13,中国国贸,600007,30.84,30.35,31.48,30.03,162245,387246629.0,4.7,-1.65,-0.51,1.61
211,2024-12-12,中国国贸,600007,30.33,30.86,31.33,30.08,88726,212771544.0,4.13,1.88,0.57,0.88
210,2024-12-11,中国国贸,600007,29.74,30.29,30.5,29.71,61397,142817662.0,2.65,1.78,0.53,0.61
209,2024-12-10,中国国贸,600007,30.26,29.76,30.42,29.74,49619,114943304.0,2.29,0.13,0.04,0.49
208,2024-12-09,中国国贸,600007,29.71,29.72,29.77,29.48,40525,92119993.0,0.98,0.03,0.01,0.4
207,2024-12-06,中国国贸,600007,29.87,29.71,30.15,29.64,48088,110451571.0,1.7,-0.93,-0.28,0.48
206,2024-12-05,中国国贸,600007,30.32,29.99,30.41,29.87,40779,94204248.0,1.78,-1.28,-0.39,0.4
205,2024-12-04,中国国贸,600007,30.6,30.38,30.79,30.34,38056,89731300.0,1.47,-0.95,-0.29,0.38
204,2024-12-03,中国国贸,600007,30.28,30.67,30.8,30.22,64863,153675491.0,1.92,1.56,0.47,0.64
203,2024-12-02,中国国贸,600007,29.5,30.2,30.29,29.39,84899,196236540.0,3.06,2.79,0.82,0.84
202,2024-11-29,中国国贸,600007,29.4,29.38,29.68,29.35,41646,94139604.0,1.12,-0.41,-0.12,0.41
201,2024-11-28,中国国贸,600007,29.58,29.5,29.7,29.43,24528,55494192.0,0.91,-0.37,-0.11,0.24
200,2024-11-27,中国国贸,600007,29.17,29.61,29.62,29.17,35415,79910743.0,1.54,1.16,0.34,0.35
199,2024-11-26,中国国贸,600007,29.17,29.27,29.4,29.09,25314,56604657.0,1.06,0.24,0.07,0.25
198,2024-11-25,中国国贸,600007,28.87,29.2,29.38,28.84,45028,100157127.0,1.87,1.18,0.34,0.45
