,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,山东钢铁,600022,7.35,7.39,7.42,7.32,590797,83272723.0,1.36,0.54,0.04,0.55
239,2025-01-24,山东钢铁,600022,7.28,7.35,7.42,7.25,925501,129259971.0,2.34,1.38,0.1,0.87
238,2025-01-23,山东钢铁,600022,7.25,7.25,7.35,7.25,620278,85929322.0,1.39,0.42,0.03,0.58
237,2025-01-22,山东钢铁,600022,7.28,7.22,7.28,7.22,323523,44243734.0,0.82,-0.82,-0.06,0.3
236,2025-01-21,山东钢铁,600022,7.32,7.28,7.35,7.25,641601,88800854.0,1.37,-0.55,-0.04,0.6
235,2025-01-20,山东钢铁,600022,7.32,7.32,7.42,7.25,808993,112698757.0,2.34,0.55,0.04,0.76
234,2025-01-17,山东钢铁,600022,7.35,7.28,7.35,7.22,582754,80471990.0,1.77,-0.95,-0.07,0.54
233,2025-01-16,山东钢铁,600022,7.32,7.35,7.49,7.28,1072610,151512217.0,2.88,0.96,0.07,1.0
232,2025-01-15,山东钢铁,600022,7.28,7.28,7.35,7.25,694725,96137521.0,1.37,-0.55,-0.04,0.65
231,2025-01-14,山东钢铁,600022,7.12,7.32,7.32,7.08,1131050,153879412.0,3.37,2.81,0.2,1.06
230,2025-01-13,山东钢铁,600022,7.05,7.12,7.12,6.98,634634,83407951.0,1.97,0.0,0.0,0.59
229,2025-01-10,山东钢铁,600022,7.22,7.12,7.25,7.08,831879,111833324.0,2.34,-1.79,-0.13,0.78
228,2025-01-09,山东钢铁,600022,7.25,7.25,7.32,7.22,941298,129032151.0,1.37,-0.41,-0.03,0.88
227,2025-01-08,山东钢铁,600022,7.35,7.28,7.35,7.22,831610,114542694.0,1.77,-0.95,-0.07,0.78
226,2025-01-07,山东钢铁,600022,7.28,7.35,7.35,7.25,721341,99894164.0,1.37,0.96,0.07,0.67
225,2025-01-06,山东钢铁,600022,7.22,7.28,7.32,7.18,975268,133639270.0,1.93,0.41,0.03,0.91
224,2025-01-03,山东钢铁,600022,7.39,7.25,7.42,7.22,1308737,181559104.0,2.71,-1.89,-0.14,1.22
223,2025-01-02,山东钢铁,600022,7.52,7.39,7.55,7.32,1415201,202230856.0,3.06,-1.73,-0.13,1.32
222,2024-12-31,山东钢铁,600022,7.65,7.52,7.69,7.49,1257020,184504096.0,2.61,-1.7,-0.13,1.17
221,2024-12-30,山东钢铁,600022,7.72,7.65,7.72,7.62,856923,127778436.0,1.3,-0.91,-0.07,0.8
220,2024-12-27,山东钢铁,600022,7.65,7.72,7.79,7.62,1211021,182969718.0,2.22,0.92,0.07,1.13
219,2024-12-26,山东钢铁,600022,7.65,7.65,7.69,7.62,642392,95474776.0,0.92,0.0,0.0,0.6
218,2024-12-25,山东钢铁,600022,7.72,7.65,7.72,7.59,1016904,151693231.0,1.68,-0.91,-0.07,0.95
217,2024-12-24,山东钢铁,600022,7.69,7.72,7.76,7.62,1342541,201461967.0,1.82,0.39,0.03,1.25
