,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,中国石化,600028,14.45,14.49,14.52,14.45,1313628,797303240.0,0.48,0.35,0.05,0.14
239,2025-01-24,中国石化,600028,14.42,14.44,14.48,14.39,1075295,650074091.0,0.62,0.14,0.02,0.11
238,2025-01-23,中国石化,600028,14.41,14.42,14.49,14.4,1348147,814651125.0,0.63,0.21,0.03,0.14
237,2025-01-22,中国石化,600028,14.45,14.39,14.49,14.39,1268713,764092478.0,0.69,-0.62,-0.09,0.13
236,2025-01-21,中国石化,600028,14.62,14.48,14.63,14.46,1779529,1085654635.0,1.16,-0.89,-0.13,0.19
235,2025-01-20,中国石化,600028,14.7,14.61,14.71,14.59,1420354,878570797.0,0.82,-0.41,-0.06,0.15
234,2025-01-17,中国石化,600028,14.72,14.67,14.76,14.66,1083559,676244497.0,0.68,-0.54,-0.08,0.11
233,2025-01-16,中国石化,600028,14.78,14.75,14.83,14.71,1175984,739740895.0,0.82,0.2,0.03,0.12
232,2025-01-15,中国石化,600028,14.7,14.72,14.88,14.68,1373818,864286887.0,1.36,0.0,0.0,0.14
231,2025-01-14,中国石化,600028,14.66,14.72,14.74,14.61,1347198,839783498.0,0.89,0.41,0.06,0.14
230,2025-01-13,中国石化,600028,14.8,14.66,14.84,14.59,1567142,975742257.0,1.69,-0.68,-0.1,0.17
229,2025-01-10,中国石化,600028,14.93,14.76,14.97,14.76,1565838,993751803.0,1.41,-1.07,-0.16,0.17
228,2025-01-09,中国石化,600028,15.07,14.92,15.1,14.89,1728341,1113004055.0,1.39,-1.45,-0.22,0.18
227,2025-01-08,中国石化,600028,15.07,15.14,15.3,15.06,1592767,1051268802.0,1.59,0.46,0.07,0.17
226,2025-01-07,中国石化,600028,15.1,15.07,15.11,15.01,925315,602887577.0,0.66,-0.26,-0.04,0.1
225,2025-01-06,中国石化,600028,15.15,15.11,15.18,15.0,1294696,845595926.0,1.19,-0.13,-0.02,0.14
224,2025-01-03,中国石化,600028,15.14,15.13,15.23,15.09,1621873,1071128870.0,0.93,0.13,0.02,0.17
223,2025-01-02,中国石化,600028,15.26,15.11,15.33,15.06,1719787,1136783089.0,1.77,-1.05,-0.16,0.18
222,2024-12-31,中国石化,600028,15.3,15.27,15.4,15.24,1708796,1149845139.0,1.04,-0.33,-0.05,0.18
221,2024-12-30,中国石化,600028,15.19,15.32,15.35,15.19,1392516,931609742.0,1.05,0.59,0.09,0.15
220,2024-12-27,中国石化,600028,15.24,15.23,15.31,15.13,1320606,875399967.0,1.18,-0.2,-0.03,0.14
219,2024-12-26,中国石化,600028,15.35,15.26,15.37,15.19,1611223,1074428455.0,1.17,-0.72,-0.11,0.17
218,2024-12-25,中国石化,600028,15.18,15.37,15.37,15.18,2084357,1402001781.0,1.25,1.25,0.19,0.22
217,2024-12-24,中国石化,600028,15.04,15.18,15.23,15.02,1811701,1196544847.0,1.39,0.6,0.09,0.19
216,2024-12-23,中国石化,600028,14.89,15.09,15.11,14.89,2552757,1660000522.0,1.48,1.41,0.21,0.27
215,2024-12-20,中国石化,600028,15.0,14.88,15.01,14.88,1329524,851802301.0,0.87,-0.67,-0.1,0.14
214,2024-12-19,中国石化,600028,15.02,14.98,15.1,14.96,1231859,798862994.0,0.93,-0.47,-0.07,0.13
213,2024-12-18,中国石化,600028,14.98,15.05,15.11,14.98,1589834,1038145681.0,0.87,0.6,0.09,0.17
212,2024-12-17,中国石化,600028,14.94,14.96,15.06,14.93,1338203,865021899.0,0.87,-0.07,-0.01,0.14
211,2024-12-16,中国石化,600028,14.85,14.97,15.0,14.85,1661248,1069968270.0,1.01,0.81,0.12,0.18
210,2024-12-13,中国石化,600028,14.94,14.85,14.96,14.83,2200321,1405762249.0,0.87,-0.87,-0.13,0.23
209,2024-12-12,中国石化,600028,14.97,14.98,15.01,14.94,1260655,814091431.0,0.47,0.13,0.02,0.13
208,2024-12-11,中国石化,600028,14.96,14.96,15.0,14.93,1031051,664423900.0,0.47,0.0,0.0,0.11
207,2024-12-10,中国石化,600028,15.06,14.96,15.1,14.96,1646687,1068303214.0,0.93,-0.27,-0.04,0.17
206,2024-12-09,中国石化,600028,14.91,15.0,15.01,14.87,1312229,846446219.0,0.94,0.54,0.08,0.14
205,2024-12-06,中国石化,600028,14.87,14.92,14.97,14.87,1191781,765018733.0,0.67,0.2,0.03,0.13
204,2024-12-05,中国石化,600028,14.97,14.89,15.0,14.87,1264709,811626281.0,0.87,-0.8,-0.12,0.13
203,2024-12-04,中国石化,600028,14.84,15.01,15.04,14.81,2960817,1906257455.0,1.55,1.15,0.17,0.31
202,2024-12-03,中国石化,600028,14.79,14.84,14.84,14.75,1358056,858062745.0,0.61,0.34,0.05,0.14
201,2024-12-02,中国石化,600028,14.83,14.79,14.84,14.76,1601898,1010856864.0,0.54,-0.4,-0.06,0.17
200,2024-11-29,中国石化,600028,14.92,14.85,14.94,14.85,1278034,817165483.0,0.6,-0.4,-0.06,0.13
199,2024-11-28,中国石化,600028,14.87,14.91,14.93,14.84,1159044,740636674.0,0.6,0.2,0.03,0.12
198,2024-11-27,中国石化,600028,14.85,14.88,14.88,14.8,1266794,804768007.0,0.54,0.2,0.03,0.13
197,2024-11-26,中国石化,600028,14.76,14.85,14.87,14.67,1392899,879845481.0,1.35,0.27,0.04,0.15
196,2024-11-25,中国石化,600028,14.78,14.81,14.96,14.75,2094832,1334644725.0,1.42,0.47,0.07,0.22
195,2024-11-22,中国石化,600028,14.81,14.74,14.87,14.74,1372775,867142804.0,0.88,-0.47,-0.07,0.14
194,2024-11-21,中国石化,600028,14.81,14.81,14.87,14.79,931973,590705961.0,0.54,-0.13,-0.02,0.1
193,2024-11-20,中国石化,600028,14.74,14.83,14.87,14.72,1393591,881622992.0,1.02,0.47,0.07,0.15
192,2024-11-19,中国石化,600028,14.88,14.76,14.89,14.72,1780214,1121273287.0,1.14,-0.61,-0.09,0.19
191,2024-11-18,中国石化,600028,14.81,14.85,14.97,14.8,2169057,1388637173.0,1.15,0.34,0.05,0.23
190,2024-11-15,中国石化,600028,14.72,14.8,14.88,14.7,2046630,1293378082.0,1.22,0.41,0.06,0.22
189,2024-11-14,中国石化,600028,14.68,14.74,14.83,14.67,2004562,1261952228.0,1.09,0.27,0.04,0.21
188,2024-11-13,中国石化,600028,14.62,14.7,14.75,14.61,1389170,866175804.0,0.96,0.55,0.08,0.15
187,2024-11-12,中国石化,600028,14.65,14.62,14.72,14.62,1611398,1001109643.0,0.68,-0.41,-0.06,0.17
186,2024-11-11,中国石化,600028,14.75,14.68,14.76,14.66,1749820,1090977688.0,0.68,-0.88,-0.13,0.18
185,2024-11-08,中国石化,600028,14.91,14.81,14.94,14.8,1875194,1194404876.0,0.94,-0.47,-0.07,0.2
184,2024-11-07,中国石化,600028,14.75,14.88,14.89,14.71,1967046,1242560438.0,1.22,0.88,0.13,0.21
183,2024-11-06,中国石化,600028,14.74,14.75,14.85,14.71,2188848,1381191271.0,0.95,0.0,0.0,0.23
