,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,福建高速,600033,20.73,20.7,20.8,20.47,252489,95999200.0,1.59,-0.14,-0.03,0.92
240,2025-01-23,福建高速,600033,20.77,20.73,20.93,20.67,220705,85181430.0,1.26,0.14,0.03,0.8
239,2025-01-22,福建高速,600033,20.9,20.7,20.93,20.64,197510,75815463.0,1.39,-0.96,-0.2,0.72
238,2025-01-21,福建高速,600033,21.09,20.9,21.12,20.83,186020,72723605.0,1.38,-0.76,-0.16,0.68
237,2025-01-20,福建高速,600033,21.02,21.06,21.25,20.9,237942,94166874.0,1.67,0.48,0.1,0.87
236,2025-01-17,福建高速,600033,21.09,20.96,21.09,20.73,236786,92574300.0,1.71,-0.47,-0.1,0.86
235,2025-01-16,福建高速,600033,21.12,21.06,21.32,21.02,267654,106102870.0,1.42,-0.14,-0.03,0.98
234,2025-01-15,福建高速,600033,20.99,21.09,21.54,20.99,523799,209254021.0,2.63,0.91,0.19,1.91
233,2025-01-14,福建高速,600033,20.64,20.9,21.02,20.57,670405,258738264.0,2.17,0.82,0.17,2.44
232,2025-01-13,福建高速,600033,21.19,20.73,21.25,20.6,643389,248964026.0,3.06,-2.45,-0.52,2.34
231,2025-01-10,福建高速,600033,21.15,21.25,21.35,20.99,435677,173729807.0,1.7,0.14,0.03,1.59
230,2025-01-09,福建高速,600033,21.22,21.22,21.32,20.9,530076,209974503.0,1.97,-0.28,-0.06,1.93
229,2025-01-08,福建高速,600033,21.06,21.28,21.32,20.96,514305,203906015.0,1.7,0.76,0.16,1.87
228,2025-01-07,福建高速,600033,21.19,21.12,21.35,20.93,543257,215614056.0,1.98,-0.47,-0.1,1.98
227,2025-01-06,福建高速,600033,21.02,21.22,21.32,20.7,674813,266678955.0,2.95,0.95,0.2,2.46
226,2025-01-03,福建高速,600033,20.7,21.02,21.25,20.7,785209,307973650.0,2.65,1.4,0.29,2.86
225,2025-01-02,福建高速,600033,20.83,20.73,21.09,20.6,628865,243671508.0,2.35,-0.62,-0.13,2.29
224,2024-12-31,福建高速,600033,20.9,20.86,21.02,20.8,352792,137394762.0,1.05,0.0,0.0,1.29
223,2024-12-30,福建高速,600033,20.99,20.86,21.02,20.83,226049,88029833.0,0.91,-0.48,-0.1,0.82
222,2024-12-27,福建高速,600033,20.8,20.96,21.02,20.8,285485,111230340.0,1.06,0.62,0.13,1.04
221,2024-12-26,福建高速,600033,20.83,20.83,20.99,20.67,285537,110307066.0,1.53,-0.33,-0.07,1.04
220,2024-12-25,福建高速,600033,20.64,20.9,20.96,20.51,401925,154451081.0,2.18,1.26,0.26,1.46
219,2024-12-24,福建高速,600033,20.31,20.64,20.7,20.31,319900,120757227.0,1.92,1.62,0.33,1.17
218,2024-12-23,福建高速,600033,20.44,20.31,20.54,20.28,244190,91335420.0,1.27,-0.78,-0.16,0.89
217,2024-12-20,福建高速,600033,20.44,20.47,20.64,20.31,284488,106936158.0,1.62,0.64,0.13,1.04
216,2024-12-19,福建高速,600033,20.44,20.34,20.51,20.18,313690,117910759.0,1.61,-0.97,-0.2,1.14
215,2024-12-18,福建高速,600033,20.64,20.54,20.86,20.47,389901,150569850.0,1.89,-0.63,-0.13,1.42
214,2024-12-17,福建高速,600033,20.51,20.67,20.8,20.47,689562,266201744.0,1.61,0.78,0.16,2.51
213,2024-12-16,福建高速,600033,20.15,20.51,20.54,20.15,434234,164901773.0,1.93,1.64,0.33,1.58
212,2024-12-13,福建高速,600033,20.31,20.18,20.41,20.12,353057,132177401.0,1.42,-0.98,-0.2,1.29
211,2024-12-12,福建高速,600033,20.15,20.38,20.38,20.12,312476,117199314.0,1.29,1.14,0.23,1.14
210,2024-12-11,福建高速,600033,20.09,20.15,20.18,20.05,207919,77066661.0,0.65,0.3,0.06,0.76
209,2024-12-10,福建高速,600033,20.38,20.09,20.44,20.05,369949,138039388.0,1.93,-0.59,-0.12,1.35
208,2024-12-09,福建高速,600033,20.18,20.21,20.31,20.12,287150,107143201.0,0.94,0.15,0.03,1.05
207,2024-12-06,福建高速,600033,19.89,20.18,20.18,19.86,449485,165483577.0,1.61,1.46,0.29,1.64
206,2024-12-05,福建高速,600033,19.89,19.89,19.92,19.79,242030,87647852.0,0.65,0.0,0.0,0.88
205,2024-12-04,福建高速,600033,19.96,19.89,19.99,19.83,245619,89215928.0,0.8,-0.5,-0.1,0.89
204,2024-12-03,福建高速,600033,19.99,19.99,20.02,19.86,259433,94631935.0,0.8,0.15,0.03,0.95
203,2024-12-02,福建高速,600033,19.92,19.96,20.05,19.83,323839,117887670.0,1.1,0.2,0.04,1.18
202,2024-11-29,福建高速,600033,19.76,19.92,19.99,19.73,385533,140075729.0,1.32,0.81,0.16,1.4
201,2024-11-28,福建高速,600033,19.66,19.76,19.83,19.63,366874,131608031.0,1.01,0.15,0.03,1.34
