,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,云天化,600096,39.99,41.67,41.81,39.99,464483,1043624782.0,4.57,4.65,1.85,2.53
240,2025-01-23,云天化,600096,40.23,39.82,40.4,39.56,233060,505272791.0,2.1,-0.65,-0.26,1.27
239,2025-01-22,云天化,600096,40.09,40.08,40.21,39.72,113051,245462075.0,1.22,-0.32,-0.13,0.62
238,2025-01-21,云天化,600096,40.5,40.21,40.56,40.12,112809,246850321.0,1.09,-0.52,-0.21,0.61
237,2025-01-20,云天化,600096,40.62,40.42,40.75,40.3,167638,369227589.0,1.11,0.12,0.05,0.91
236,2025-01-17,云天化,600096,39.85,40.37,40.65,39.85,265641,581669695.0,2.02,2.05,0.81,1.45
235,2025-01-16,云天化,600096,39.86,39.56,40.11,39.4,155769,335496514.0,1.79,-0.4,-0.16,0.85
234,2025-01-15,云天化,600096,39.77,39.72,39.99,39.57,126352,272548805.0,1.05,-0.33,-0.13,0.69
233,2025-01-14,云天化,600096,39.21,39.85,39.92,39.06,184983,396421852.0,2.19,1.71,0.67,1.01
232,2025-01-13,云天化,600096,38.99,39.18,39.67,38.99,155511,330584504.0,1.73,-0.41,-0.16,0.85
231,2025-01-10,云天化,600096,39.5,39.34,39.75,38.92,205610,436460512.0,2.1,-0.48,-0.19,1.12
230,2025-01-09,云天化,600096,39.56,39.53,40.07,39.41,188643,406009797.0,1.66,-0.43,-0.17,1.03
229,2025-01-08,云天化,600096,40.28,39.7,40.36,38.9,332746,710411662.0,3.64,-0.97,-0.39,1.81
228,2025-01-07,云天化,600096,40.68,40.09,40.74,39.79,233630,510346841.0,2.34,-1.4,-0.57,1.27
227,2025-01-06,云天化,600096,40.47,40.66,41.07,40.24,218356,484629590.0,2.05,0.47,0.19,1.19
226,2025-01-03,云天化,600096,40.36,40.47,41.1,40.31,230240,509696735.0,1.96,0.27,0.11,1.26
225,2025-01-02,云天化,600096,40.87,40.36,41.16,40.08,226509,502065483.0,2.64,-1.25,-0.51,1.23
224,2024-12-31,云天化,600096,41.62,40.87,41.86,40.82,225497,508480259.0,2.5,-1.85,-0.77,1.23
223,2024-12-30,云天化,600096,41.64,41.64,42.08,41.55,201245,461353530.0,1.27,0.07,0.03,1.1
222,2024-12-27,云天化,600096,41.23,41.61,41.7,41.16,204065,464149524.0,1.31,1.09,0.45,1.11
221,2024-12-26,云天化,600096,41.43,41.16,41.74,41.06,169764,383611677.0,1.64,-0.72,-0.3,0.93
220,2024-12-25,云天化,600096,41.45,41.46,41.65,41.13,149452,339090199.0,1.25,0.0,0.0,0.81
219,2024-12-24,云天化,600096,41.16,41.46,41.81,41.01,236706,535352919.0,1.94,0.56,0.23,1.29
218,2024-12-23,云天化,600096,40.46,41.23,41.62,40.46,404212,911837173.0,2.87,1.98,0.8,2.2
217,2024-12-20,云天化,600096,40.87,40.43,41.01,40.43,204647,452163974.0,1.42,-1.17,-0.48,1.12
216,2024-12-19,云天化,600096,40.84,40.91,41.03,40.43,221590,492561479.0,1.46,-0.46,-0.19,1.21
215,2024-12-18,云天化,600096,41.39,41.1,41.7,40.97,249909,565146411.0,1.77,-0.39,-0.16,1.36
214,2024-12-17,云天化,600096,40.28,41.26,41.8,40.23,423299,951876331.0,3.88,2.08,0.84,2.31
213,2024-12-16,云天化,600096,40.74,40.42,40.84,39.96,176702,387673758.0,2.17,-0.49,-0.2,0.96
212,2024-12-13,云天化,600096,41.14,40.62,41.26,40.46,241656,536682234.0,1.95,-1.24,-0.51,1.32
211,2024-12-12,云天化,600096,40.81,41.13,41.27,40.69,224005,502632279.0,1.42,1.01,0.41,1.22
210,2024-12-11,云天化,600096,39.93,40.72,40.81,39.86,311496,688189066.0,2.37,1.77,0.71,1.7
209,2024-12-10,云天化,600096,40.59,40.01,40.81,39.96,319062,702548120.0,2.13,0.25,0.1,1.74
208,2024-12-09,云天化,600096,39.83,39.91,40.2,39.76,199677,432516227.0,1.1,0.2,0.08,1.09
207,2024-12-06,云天化,600096,39.66,39.83,40.02,39.56,187059,403440667.0,1.16,0.5,0.2,1.02
206,2024-12-05,云天化,600096,39.92,39.63,39.92,39.44,225551,483934168.0,1.2,-0.97,-0.39,1.23
205,2024-12-04,云天化,600096,40.43,40.02,40.47,39.85,285258,620001696.0,1.53,-1.04,-0.42,1.56
204,2024-12-03,云天化,600096,40.28,40.44,40.65,40.09,177643,389789652.0,1.39,0.12,0.05,0.97
203,2024-12-02,云天化,600096,40.33,40.39,40.56,40.15,264958,580919002.0,1.02,0.05,0.02,1.44
202,2024-11-29,云天化,600096,40.11,40.37,40.66,40.04,233591,513294026.0,1.55,0.87,0.35,1.27
201,2024-11-28,云天化,600096,40.49,40.02,40.49,39.82,232125,505253818.0,1.65,-1.16,-0.47,1.27
200,2024-11-27,云天化,600096,40.18,40.49,40.5,39.77,194135,423880599.0,1.81,0.52,0.21,1.06
199,2024-11-26,云天化,600096,40.62,40.28,40.62,40.14,180610,395876401.0,1.18,-0.98,-0.4,0.98
198,2024-11-25,云天化,600096,40.42,40.68,41.38,40.33,264344,586197355.0,2.59,0.32,0.13,1.44
197,2024-11-22,云天化,600096,41.89,40.55,41.91,40.5,303183,680678981.0,3.36,-3.25,-1.36,1.65
196,2024-11-21,云天化,600096,41.75,41.91,42.31,41.54,334958,769678606.0,1.85,0.62,0.26,1.83
195,2024-11-20,云天化,600096,40.59,41.65,41.86,40.58,366750,834259686.0,3.14,2.03,0.83,2.0
194,2024-11-19,云天化,600096,40.66,40.82,40.87,40.24,205565,454568771.0,1.56,0.94,0.38,1.12
193,2024-11-18,云天化,600096,41.1,40.44,41.25,40.26,292110,650580797.0,2.42,-1.25,-0.51,1.59
192,2024-11-15,云天化,600096,41.32,40.95,41.74,40.94,245134,553420583.0,1.94,-0.9,-0.37,1.34
191,2024-11-14,云天化,600096,41.62,41.32,42.25,41.32,325001,743408518.0,2.23,-1.01,-0.42,1.77
190,2024-11-13,云天化,600096,41.64,41.74,42.37,41.42,290739,665047212.0,2.27,-0.22,-0.09,1.58
189,2024-11-12,云天化,600096,41.91,41.83,42.69,41.64,458286,1065772399.0,2.51,-0.17,-0.07,2.5
188,2024-11-11,云天化,600096,42.22,41.9,42.24,41.43,464114,1063721732.0,1.91,-1.37,-0.58,2.53
187,2024-11-08,云天化,600096,42.98,42.48,43.39,42.08,514617,1208922050.0,3.05,-1.16,-0.5,2.81
186,2024-11-07,云天化,600096,42.31,42.98,43.53,42.05,484545,1147849044.0,3.48,1.2,0.51,2.64
185,2024-11-06,云天化,600096,42.5,42.47,43.07,42.32,391046,920080260.0,1.76,-0.31,-0.13,2.13
184,2024-11-05,云天化,600096,42.09,42.6,42.76,41.81,419573,976994489.0,2.25,0.69,0.29,2.29
183,2024-11-04,云天化,600096,42.51,42.31,42.54,41.89,335049,776714601.0,1.53,-0.21,-0.09,1.83
182,2024-11-01,云天化,600096,41.74,42.4,43.08,41.64,462591,1082265286.0,3.44,1.17,0.49,2.52
181,2024-10-31,云天化,600096,42.1,41.91,42.37,41.78,327311,754451019.0,1.39,-1.02,-0.43,1.78
180,2024-10-30,云天化,600096,42.47,42.34,43.2,42.09,259464,607965453.0,2.61,-0.4,-0.17,1.41
179,2024-10-29,云天化,600096,43.04,42.51,43.23,42.32,347141,818656575.0,2.11,-1.23,-0.53,1.89
178,2024-10-28,云天化,600096,43.6,43.04,43.71,42.1,464797,1098445408.0,3.71,-0.69,-0.3,2.53
177,2024-10-25,云天化,600096,42.16,43.34,43.47,41.97,597637,1417494432.0,3.56,2.9,1.22,3.26
176,2024-10-24,云天化,600096,42.4,42.12,42.83,41.96,272073,632352094.0,2.05,-0.66,-0.28,1.48
175,2024-10-23,云天化,600096,42.16,42.4,42.64,41.67,407524,946737992.0,2.3,0.64,0.27,2.22
174,2024-10-22,云天化,600096,41.89,42.13,42.22,41.49,346056,797097399.0,1.75,0.84,0.35,1.89
173,2024-10-21,云天化,600096,41.67,41.78,41.93,41.06,413737,942507002.0,2.1,0.65,0.27,2.26
172,2024-10-18,云天化,600096,41.08,41.51,42.21,40.94,404570,922083783.0,3.09,1.15,0.47,2.21
171,2024-10-17,云天化,600096,42.0,41.04,42.19,41.01,314734,716784383.0,2.83,-1.68,-0.7,1.72
170,2024-10-16,云天化,600096,41.36,41.74,42.64,41.32,434524,1003101830.0,3.16,-0.17,-0.07,2.37
169,2024-10-15,云天化,600096,42.47,41.81,43.08,41.73,740193,1724054076.0,3.26,0.92,0.38,4.04
168,2024-10-14,云天化,600096,40.87,41.43,41.49,40.43,420727,943351833.0,2.59,1.17,0.48,2.29
167,2024-10-11,云天化,600096,41.65,40.95,41.71,40.15,374105,833005366.0,3.76,-1.35,-0.56,2.04
166,2024-10-10,云天化,600096,41.01,41.51,42.35,40.81,510589,1164953852.0,3.8,2.42,0.98,2.78
165,2024-10-09,云天化,600096,41.42,40.53,42.22,40.14,642776,1445191594.0,4.94,-3.68,-1.55,3.5
164,2024-10-08,云天化,600096,44.51,42.08,44.64,40.87,947450,2232094616.0,9.12,1.77,0.73,5.17
