,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,亚盛集团,600108,30.69,30.93,31.17,30.57,128734,35416936.0,1.94,0.0,0.0,0.66
240,2025-01-23,亚盛集团,600108,30.69,30.93,31.53,30.57,230267,64084078.0,3.17,1.98,0.6,1.18
239,2025-01-22,亚盛集团,600108,30.57,30.33,30.57,30.21,101632,27538358.0,1.18,-0.79,-0.24,0.52
238,2025-01-21,亚盛集团,600108,31.17,30.57,31.17,30.33,143658,39305168.0,2.72,-1.16,-0.36,0.74
237,2025-01-20,亚盛集团,600108,31.17,30.93,31.29,30.57,184742,51137494.0,2.33,0.0,0.0,0.95
236,2025-01-17,亚盛集团,600108,30.81,30.93,31.05,30.45,153735,42294491.0,1.95,0.39,0.12,0.79
235,2025-01-16,亚盛集团,600108,30.81,30.81,31.29,30.45,176288,48629876.0,2.75,0.79,0.24,0.91
234,2025-01-15,亚盛集团,600108,30.93,30.57,30.93,30.45,146494,40068839.0,1.55,-1.55,-0.48,0.75
233,2025-01-14,亚盛集团,600108,29.97,31.05,31.05,29.97,214881,58812211.0,3.6,3.6,1.08,1.1
232,2025-01-13,亚盛集团,600108,29.13,29.97,30.09,29.13,120433,31949810.0,3.24,1.22,0.36,0.62
231,2025-01-10,亚盛集团,600108,30.45,29.61,30.57,29.61,170386,45817385.0,3.15,-2.76,-0.84,0.88
230,2025-01-09,亚盛集团,600108,30.57,30.45,30.93,30.21,139656,38095263.0,2.35,-0.78,-0.24,0.72
229,2025-01-08,亚盛集团,600108,30.93,30.69,31.17,30.09,240844,65921925.0,3.45,-1.92,-0.6,1.24
228,2025-01-07,亚盛集团,600108,30.69,31.29,31.41,30.69,176232,48790007.0,2.33,1.16,0.36,0.91
227,2025-01-06,亚盛集团,600108,30.81,30.93,31.65,30.21,215694,59602394.0,4.66,0.0,0.0,1.11
226,2025-01-03,亚盛集团,600108,32.25,30.93,32.49,30.69,324299,90870966.0,5.58,-4.09,-1.32,1.67
