,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
239,2025-01-24,西宁特钢,600117,3.84,3.88,3.93,3.8,101147,21434766.0,3.37,0.52,0.02,0.31
238,2025-01-23,西宁特钢,600117,3.91,3.86,4.02,3.86,93953,20208354.0,4.15,0.0,0.0,0.29
237,2025-01-22,西宁特钢,600117,3.93,3.86,3.93,3.84,84439,17971807.0,2.28,-2.28,-0.09,0.26
236,2025-01-21,西宁特钢,600117,4.06,3.95,4.08,3.93,97323,21179241.0,3.69,-2.71,-0.11,0.3
235,2025-01-20,西宁特钢,600117,3.99,4.06,4.13,3.84,122874,26959333.0,7.21,1.0,0.04,0.38
234,2025-01-17,西宁特钢,600117,4.04,4.02,4.1,3.97,81364,17837465.0,3.2,-0.99,-0.04,0.25
233,2025-01-16,西宁特钢,600117,4.04,4.06,4.17,4.04,106959,23798512.0,3.22,0.5,0.02,0.33
232,2025-01-15,西宁特钢,600117,4.08,4.04,4.1,3.99,86636,19055811.0,2.68,-1.46,-0.06,0.27
231,2025-01-14,西宁特钢,600117,3.97,4.1,4.1,3.97,130254,28761617.0,3.27,3.27,0.13,0.4
230,2025-01-13,西宁特钢,600117,3.84,3.97,4.02,3.77,94348,20229267.0,6.44,2.32,0.09,0.29
229,2025-01-10,西宁特钢,600117,3.97,3.88,4.02,3.86,67715,14570831.0,4.01,-2.76,-0.11,0.21
228,2025-01-09,西宁特钢,600117,4.02,3.99,4.04,3.97,62247,13611414.0,1.73,-1.24,-0.05,0.19
227,2025-01-08,西宁特钢,600117,4.08,4.04,4.1,3.93,108367,23700540.0,4.17,-0.98,-0.04,0.33
226,2025-01-07,西宁特钢,600117,3.97,4.08,4.08,3.93,103797,22721743.0,3.76,2.26,0.09,0.32
225,2025-01-06,西宁特钢,600117,3.91,3.99,4.02,3.82,108831,23471098.0,5.09,1.53,0.06,0.33
224,2025-01-03,西宁特钢,600117,4.06,3.93,4.08,3.91,138753,30180689.0,4.21,-2.72,-0.11,0.43
223,2025-01-02,西宁特钢,600117,4.15,4.04,4.21,3.99,151209,33859569.0,5.3,-2.65,-0.11,0.46
222,2024-12-31,西宁特钢,600117,4.26,4.15,4.3,4.1,128720,29250059.0,4.69,-2.58,-0.11,0.4
221,2024-12-30,西宁特钢,600117,4.39,4.26,4.39,4.21,117395,27089398.0,4.1,-2.96,-0.13,0.36
220,2024-12-27,西宁特钢,600117,4.32,4.39,4.43,4.3,127616,30163169.0,3.01,1.62,0.07,0.39
219,2024-12-26,西宁特钢,600117,4.32,4.32,4.39,4.3,100442,23462788.0,2.07,-0.69,-0.03,0.31
218,2024-12-25,西宁特钢,600117,4.52,4.35,4.52,4.3,120888,28426222.0,4.89,-3.33,-0.15,0.37
217,2024-12-24,西宁特钢,600117,4.43,4.5,4.52,4.41,128574,30797888.0,2.49,2.04,0.09,0.39
216,2024-12-23,西宁特钢,600117,4.65,4.41,4.65,4.39,237152,57107631.0,5.59,-5.16,-0.24,0.73
215,2024-12-20,西宁特钢,600117,4.68,4.65,4.7,4.59,150475,37159117.0,2.35,-0.64,-0.03,0.46
214,2024-12-19,西宁特钢,600117,4.79,4.68,4.83,4.65,280998,70355263.0,3.7,-3.9,-0.19,0.86
213,2024-12-18,西宁特钢,600117,4.87,4.87,4.98,4.85,118770,30873544.0,2.65,-0.61,-0.03,0.36
212,2024-12-17,西宁特钢,600117,5.12,4.9,5.14,4.83,214463,55846826.0,6.09,-3.73,-0.19,0.66
211,2024-12-16,西宁特钢,600117,5.16,5.09,5.25,5.05,152495,41010047.0,3.85,-2.12,-0.11,0.47
210,2024-12-13,西宁特钢,600117,5.38,5.2,5.47,5.18,249912,69315928.0,5.41,-2.99,-0.16,0.77
209,2024-12-12,西宁特钢,600117,5.45,5.36,5.49,5.29,251717,70578382.0,3.67,-1.65,-0.09,0.77
208,2024-12-11,西宁特钢,600117,5.27,5.45,5.47,5.2,442376,124672977.0,5.08,2.64,0.14,1.36
207,2024-12-10,西宁特钢,600117,5.51,5.31,5.51,5.16,281264,77646158.0,6.64,0.76,0.04,0.86
206,2024-12-09,西宁特钢,600117,5.36,5.27,5.49,5.2,189240,52819808.0,5.46,-0.75,-0.04,0.58
205,2024-12-06,西宁特钢,600117,5.14,5.31,5.38,5.14,234505,64816867.0,4.67,3.31,0.17,0.72
204,2024-12-05,西宁特钢,600117,5.03,5.14,5.14,5.01,109155,29218542.0,2.57,1.78,0.09,0.34
203,2024-12-04,西宁特钢,600117,5.01,5.05,5.14,5.01,127724,34019582.0,2.55,-0.79,-0.04,0.39
202,2024-12-03,西宁特钢,600117,5.2,5.09,5.2,5.01,89981,24050127.0,3.71,-0.59,-0.03,0.28
201,2024-12-02,西宁特钢,600117,4.98,5.12,5.16,4.96,162759,43617113.0,4.03,3.23,0.16,0.5
200,2024-11-29,西宁特钢,600117,4.94,4.96,5.01,4.9,73200,19166778.0,2.23,0.4,0.02,0.22
199,2024-11-28,西宁特钢,600117,4.9,4.94,5.01,4.85,90968,23760679.0,3.27,0.82,0.04,0.28
198,2024-11-27,西宁特钢,600117,4.83,4.9,4.9,4.7,80910,20573776.0,4.14,1.45,0.07,0.25
