,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,生益科技,600183,191.62,195.65,199.51,189.36,628208,1911216564.0,5.29,1.9,3.64,2.65
240,2025-01-23,生益科技,600183,200.06,192.01,201.38,189.25,593164,1789814266.0,6.17,-2.35,-4.63,2.5
239,2025-01-22,生益科技,600183,191.02,196.64,198.68,187.21,738233,2229706819.0,6.09,4.45,8.38,3.11
238,2025-01-21,生益科技,600183,187.54,188.26,189.36,185.72,544993,1589166864.0,1.95,0.65,1.21,2.3
237,2025-01-20,生益科技,600183,183.19,187.05,191.62,182.09,851708,2469503020.0,5.35,4.98,8.88,3.59
236,2025-01-17,生益科技,600183,162.51,178.17,178.17,162.46,757176,2032797026.0,9.56,8.38,13.78,3.19
235,2025-01-16,生益科技,600183,165.71,164.39,166.7,162.9,235370,587582103.0,2.31,0.0,0.0,0.99
234,2025-01-15,生益科技,600183,165.88,164.39,167.14,163.23,223974,560679904.0,2.34,-1.65,-2.75,0.94
233,2025-01-14,生益科技,600183,162.79,167.14,167.75,161.08,293382,737288066.0,4.1,2.67,4.35,1.24
232,2025-01-13,生益科技,600183,164.77,162.79,168.52,161.91,278215,696926106.0,3.96,-2.54,-4.24,1.17
231,2025-01-10,生益科技,600183,170.4,167.03,170.4,165.71,531710,1359052857.0,2.74,-2.42,-4.14,2.24
230,2025-01-09,生益科技,600183,163.12,171.17,174.04,162.9,841485,2217756202.0,6.93,6.56,10.53,3.55
229,2025-01-08,生益科技,600183,156.39,160.64,161.8,155.29,269052,645308007.0,4.14,2.21,3.48,1.13
228,2025-01-07,生益科技,600183,151.93,157.16,157.94,151.43,308889,723261946.0,4.29,3.59,5.45,1.3
227,2025-01-06,生益科技,600183,152.42,151.71,154.08,150.49,201108,455542616.0,2.35,-0.61,-0.93,0.85
226,2025-01-03,生益科技,600183,156.39,152.64,157.77,151.71,255867,593071691.0,3.88,-2.3,-3.59,1.08
225,2025-01-02,生益科技,600183,159.09,156.23,161.24,155.12,302340,718639702.0,3.84,-2.0,-3.19,1.27
224,2024-12-31,生益科技,600183,165.65,159.42,165.88,158.05,372159,900069306.0,4.74,-3.57,-5.9,1.57
223,2024-12-30,生益科技,600183,165.82,165.32,167.86,164.39,259830,653875175.0,2.08,-0.93,-1.55,1.1
222,2024-12-27,生益科技,600183,168.52,166.87,170.01,166.04,252505,645767933.0,2.35,-1.37,-2.31,1.06
221,2024-12-26,生益科技,600183,160.58,169.18,169.96,158.6,392998,993904481.0,7.05,5.0,8.05,1.66
220,2024-12-25,生益科技,600183,159.7,161.13,162.24,159.48,175776,428133273.0,1.72,0.69,1.1,0.74
219,2024-12-24,生益科技,600183,160.31,160.03,160.75,157.49,218895,524565671.0,2.04,0.21,0.33,0.92
218,2024-12-23,生益科技,600183,162.57,159.7,165.21,159.42,251028,611002511.0,3.55,-2.16,-3.53,1.06
217,2024-12-20,生益科技,600183,162.07,163.23,165.54,160.8,293270,726625246.0,2.91,0.17,0.28,1.24
216,2024-12-19,生益科技,600183,159.64,162.95,163.67,159.2,267383,654090802.0,2.77,0.82,1.32,1.13
215,2024-12-18,生益科技,600183,162.73,161.63,164.11,158.49,321707,785207429.0,3.47,-0.27,-0.44,1.36
214,2024-12-17,生益科技,600183,157.22,162.07,164.39,155.84,624297,1528048987.0,5.45,3.27,5.13,2.63
213,2024-12-16,生益科技,600183,150.33,156.94,158.05,149.89,551483,1291511581.0,5.45,4.82,7.22,2.33
212,2024-12-13,生益科技,600183,151.32,149.72,153.91,149.5,187059,422063994.0,2.9,-1.63,-2.48,0.79
211,2024-12-12,生益科技,600183,151.37,152.2,153.91,150.55,214900,489455202.0,2.22,0.58,0.88,0.91
210,2024-12-11,生益科技,600183,151.98,151.32,153.3,150.11,236024,532655779.0,2.09,-0.86,-1.32,1.0
209,2024-12-10,生益科技,600183,151.71,152.64,153.91,147.02,461706,1045402514.0,4.62,2.4,3.58,1.95
208,2024-12-09,生益科技,600183,150.71,149.06,152.97,147.79,282775,630385184.0,3.4,-2.13,-3.25,1.19
207,2024-12-06,生益科技,600183,147.24,152.31,153.52,147.24,652683,1469522396.0,4.38,6.31,9.04,2.75
206,2024-12-05,生益科技,600183,143.6,143.27,144.81,143.05,126350,268082249.0,1.22,-0.31,-0.44,0.53
205,2024-12-04,生益科技,600183,144.26,143.71,145.03,142.61,150103,317795470.0,1.68,-0.15,-0.22,0.63
204,2024-12-03,生益科技,600183,144.1,143.93,146.41,143.05,166807,356154317.0,2.33,-0.08,-0.11,0.7
203,2024-12-02,生益科技,600183,142.99,144.04,145.64,142.66,206766,440934327.0,2.08,0.77,1.1,0.87
202,2024-11-29,生益科技,600183,142.66,142.94,144.65,141.95,230064,485425339.0,1.89,0.0,0.0,0.97
201,2024-11-28,生益科技,600183,143.16,142.94,143.99,141.95,134895,283669328.0,1.42,-0.27,-0.38,0.57
200,2024-11-27,生益科技,600183,139.91,143.32,143.38,138.14,194092,402852951.0,3.74,2.2,3.08,0.82
199,2024-11-26,生益科技,600183,139.02,140.24,141.51,139.02,164719,339501111.0,1.79,0.67,0.94,0.69
198,2024-11-25,生益科技,600183,141.06,139.3,141.62,138.09,242832,495511224.0,2.5,-1.25,-1.76,1.02
197,2024-11-22,生益科技,600183,143.99,141.06,145.25,140.84,181117,381951705.0,3.06,-2.14,-3.09,0.76
196,2024-11-21,生益科技,600183,143.77,144.15,145.59,142.77,174408,372135619.0,1.96,0.26,0.38,0.74
195,2024-11-20,生益科技,600183,142.0,143.77,144.32,140.9,209613,442857460.0,2.41,1.25,1.77,0.88
194,2024-11-19,生益科技,600183,141.06,142.0,142.55,139.52,139127,288525299.0,2.15,0.7,0.99,0.59
193,2024-11-18,生益科技,600183,142.5,141.01,144.43,139.69,205448,428570550.0,3.34,-0.74,-1.05,0.87
192,2024-11-15,生益科技,600183,144.15,142.06,145.81,141.84,216664,460070349.0,2.75,-1.53,-2.2,0.91
191,2024-11-14,生益科技,600183,147.4,144.26,148.51,143.66,237980,513431169.0,3.25,-3.22,-4.8,1.0
190,2024-11-13,生益科技,600183,148.07,149.06,150.99,146.41,319256,703017705.0,3.06,-0.41,-0.61,1.35
189,2024-11-12,生益科技,600183,151.76,149.67,151.87,148.4,330732,737850673.0,2.29,-1.38,-2.09,1.39
188,2024-11-11,生益科技,600183,148.23,151.76,152.59,147.79,420118,944415807.0,3.23,2.0,2.98,1.77
187,2024-11-08,生益科技,600183,149.28,148.78,152.53,148.45,319698,715275991.0,2.73,-0.29,-0.44,1.35
186,2024-11-07,生益科技,600183,147.57,149.22,151.32,146.74,380522,842712317.0,3.1,1.15,1.7,1.6
185,2024-11-06,生益科技,600183,152.04,147.52,152.97,146.47,486256,1078106289.0,4.29,-2.69,-4.08,2.05
184,2024-11-05,生益科技,600183,144.26,151.6,152.81,143.32,684895,1531093827.0,6.58,5.09,7.34,2.89
183,2024-11-04,生益科技,600183,143.66,144.26,148.01,142.72,519851,1113420213.0,3.68,0.23,0.33,2.19
182,2024-11-01,生益科技,600183,139.19,143.93,145.31,138.69,755560,1595047507.0,4.72,2.68,3.75,3.19
181,2024-10-31,生益科技,600183,137.54,140.18,141.06,135.66,442399,900208994.0,3.91,1.59,2.2,1.87
180,2024-10-30,生益科技,600183,139.41,137.98,140.4,136.27,399433,807064718.0,2.97,-0.79,-1.1,1.68
179,2024-10-29,生益科技,600183,136.54,139.08,141.62,135.55,664262,1353180658.0,4.48,2.6,3.53,2.8
178,2024-10-28,生益科技,600183,136.98,135.55,137.04,133.12,321490,630305656.0,2.86,-1.01,-1.38,1.36
177,2024-10-25,生益科技,600183,136.54,136.93,137.7,135.44,264731,526694387.0,1.66,0.57,0.77,1.12
176,2024-10-24,生益科技,600183,136.05,136.16,138.03,135.44,245587,487764419.0,1.89,-0.64,-0.88,1.04
175,2024-10-23,生益科技,600183,136.21,137.04,139.74,134.83,412210,829036010.0,3.6,0.57,0.77,1.74
174,2024-10-22,生益科技,600183,136.87,136.27,137.48,133.84,319056,629873513.0,2.68,0.24,0.33,1.35
173,2024-10-21,生益科技,600183,136.16,135.94,138.69,133.01,571764,1130336193.0,4.23,1.15,1.55,2.41
172,2024-10-18,生益科技,600183,129.21,134.39,136.65,129.21,497501,960064450.0,5.73,3.48,4.52,2.1
171,2024-10-17,生益科技,600183,131.03,129.87,132.24,129.49,217058,409389616.0,2.11,-0.13,-0.17,0.92
170,2024-10-16,生益科技,600183,130.86,130.04,132.13,128.99,265098,497182625.0,2.37,-1.79,-2.37,1.12
169,2024-10-15,生益科技,600183,134.83,132.41,135.99,132.13,369887,721891441.0,2.85,-2.08,-2.81,1.56
168,2024-10-14,生益科技,600183,131.69,135.22,135.33,129.82,307520,592060648.0,4.16,2.12,2.81,1.3
167,2024-10-11,生益科技,600183,137.65,132.41,137.65,130.75,333561,641760131.0,5.02,-3.69,-5.07,1.41
166,2024-10-10,生益科技,600183,139.8,137.48,142.55,136.21,400420,813440439.0,4.55,-1.23,-1.71,1.69
165,2024-10-09,生益科技,600183,145.36,139.19,146.63,138.64,554275,1168801637.0,5.32,-7.24,-10.86,2.34
164,2024-10-08,生益科技,600183,153.19,150.05,153.19,142.61,755272,1659341006.0,7.46,5.87,8.32,3.19
163,2024-09-30,生益科技,600183,137.09,141.73,142.33,134.72,527175,1073032893.0,5.74,6.86,9.1,2.22
162,2024-09-27,生益科技,600183,127.72,132.63,132.68,127.61,204464,384194025.0,4.01,4.89,6.18,0.86
161,2024-09-26,生益科技,600183,123.26,126.45,126.45,121.93,338139,595406775.0,3.66,2.36,2.92,1.43
160,2024-09-25,生益科技,600183,124.41,123.53,127.0,123.26,361731,645193017.0,3.02,-0.09,-0.11,1.53
159,2024-09-24,生益科技,600183,118.84,123.64,124.25,118.84,272121,470869353.0,4.54,3.85,4.58,1.15
158,2024-09-23,生益科技,600183,119.45,119.06,121.71,118.4,162402,274466303.0,2.76,-0.69,-0.83,0.68
157,2024-09-20,生益科技,600183,118.35,119.89,120.39,117.63,238638,398899381.0,2.33,1.11,1.32,1.01
156,2024-09-19,生益科技,600183,120.0,118.57,120.39,117.74,201503,336086008.0,2.22,-0.5,-0.6,0.85
155,2024-09-18,生益科技,600183,120.55,119.17,120.94,118.57,124804,209582175.0,1.96,-1.5,-1.82,0.53
154,2024-09-13,生益科技,600183,120.17,120.99,123.2,119.78,139625,240487498.0,2.85,0.73,0.88,0.59
153,2024-09-12,生益科技,600183,123.26,120.11,123.92,120.11,146889,251929253.0,3.13,-1.18,-1.44,0.62
152,2024-09-11,生益科技,600183,122.65,121.55,123.42,120.99,103263,178004528.0,1.98,-1.03,-1.26,0.44
