,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,西藏药业,600211,111.85,111.85,112.53,111.25,15820,56460935.0,1.14,-0.13,-0.14,0.49
240,2025-01-23,西藏药业,600211,113.1,111.99,113.57,111.96,19006,68477775.0,1.43,-0.27,-0.3,0.59
239,2025-01-22,西藏药业,600211,112.7,112.29,113.16,111.96,13376,48036060.0,1.06,-0.48,-0.54,0.41
238,2025-01-21,西藏药业,600211,112.61,112.83,113.02,111.12,16021,57384360.0,1.7,0.66,0.74,0.5
237,2025-01-20,西藏药业,600211,112.45,112.09,113.51,111.98,18556,67278499.0,1.37,0.07,0.08,0.58
236,2025-01-17,西藏药业,600211,110.32,112.01,112.34,110.32,16221,58237091.0,1.82,1.13,1.25,0.5
235,2025-01-16,西藏药业,600211,110.84,110.76,112.25,110.22,19357,69281773.0,1.83,-0.07,-0.08,0.6
234,2025-01-15,西藏药业,600211,111.22,110.84,111.49,110.57,13954,49688312.0,0.83,-0.54,-0.6,0.43
233,2025-01-14,西藏药业,600211,108.94,111.44,111.58,108.91,23949,84965381.0,2.45,2.32,2.53,0.74
232,2025-01-13,西藏药业,600211,108.26,108.91,109.51,108.26,14738,51406850.0,1.15,-0.15,-0.16,0.46
231,2025-01-10,西藏药业,600211,109.89,109.07,110.87,108.97,17519,61782439.0,1.72,-1.16,-1.28,0.54
230,2025-01-09,西藏药业,600211,110.13,110.35,110.95,109.24,17310,61326077.0,1.54,-0.42,-0.46,0.54
229,2025-01-08,西藏药业,600211,111.49,110.81,112.34,108.97,28604,101684895.0,3.01,-1.17,-1.31,0.89
228,2025-01-07,西藏药业,600211,113.29,112.12,113.4,110.98,25189,90711794.0,2.14,-1.01,-1.14,0.78
227,2025-01-06,西藏药业,600211,111.44,113.26,114.89,111.41,34929,127558867.0,3.13,1.86,2.07,1.08
226,2025-01-03,西藏药业,600211,110.81,111.19,113.75,110.81,29150,105336570.0,2.65,0.09,0.1,0.9
225,2025-01-02,西藏药业,600211,113.89,111.09,114.57,110.62,33482,121654529.0,3.45,-2.94,-3.37,1.04
224,2024-12-31,西藏药业,600211,116.52,114.46,117.12,114.46,27230,101798086.0,2.28,-1.82,-2.12,0.84
223,2024-12-30,西藏药业,600211,116.25,116.58,117.2,115.76,25498,96237558.0,1.24,0.28,0.33,0.79
222,2024-12-27,西藏药业,600211,115.52,116.25,116.55,114.86,22716,85145291.0,1.46,0.63,0.73,0.7
221,2024-12-26,西藏药业,600211,115.16,115.52,115.76,115.11,17599,65643227.0,0.56,0.05,0.06,0.55
220,2024-12-25,西藏药业,600211,116.06,115.46,116.58,114.81,19833,73969107.0,1.53,-0.22,-0.25,0.62
219,2024-12-24,西藏药业,600211,114.13,115.71,115.84,113.83,21393,79772919.0,1.76,1.26,1.44,0.66
218,2024-12-23,西藏药业,600211,115.41,114.27,116.2,114.08,23831,88688051.0,1.84,-0.87,-1.0,0.74
217,2024-12-20,西藏药业,600211,114.62,115.27,115.93,114.38,17586,65565634.0,1.35,0.28,0.32,0.55
216,2024-12-19,西藏药业,600211,114.1,114.95,115.16,113.7,20631,76107502.0,1.27,0.22,0.25,0.64
215,2024-12-18,西藏药业,600211,114.97,114.7,115.3,114.1,19406,71875189.0,1.05,0.26,0.3,0.6
214,2024-12-17,西藏药业,600211,114.51,114.4,115.71,113.83,23628,87477524.0,1.64,-0.1,-0.11,0.73
213,2024-12-16,西藏药业,600211,115.71,114.51,116.22,114.38,28622,106402596.0,1.59,-1.22,-1.42,0.89
212,2024-12-13,西藏药业,600211,118.7,115.93,118.7,115.82,39395,149309106.0,2.42,-2.58,-3.07,1.22
211,2024-12-12,西藏药业,600211,117.75,119.0,119.19,117.12,41558,159708036.0,1.76,1.04,1.23,1.29
210,2024-12-11,西藏药业,600211,116.63,117.77,117.91,116.28,33657,127835341.0,1.4,1.0,1.17,1.04
209,2024-12-10,西藏药业,600211,117.2,116.6,118.02,116.39,41510,157272969.0,1.41,1.13,1.3,1.29
208,2024-12-09,西藏药业,600211,116.36,115.3,116.96,115.14,27599,103476562.0,1.57,-0.63,-0.73,0.86
207,2024-12-06,西藏药业,600211,114.59,116.03,116.14,114.32,28798,107470048.0,1.59,1.23,1.41,0.89
206,2024-12-05,西藏药业,600211,114.29,114.62,115.03,113.86,18137,67006510.0,1.02,0.12,0.14,0.56
205,2024-12-04,西藏药业,600211,115.46,114.48,116.22,114.21,28136,104798372.0,1.74,-0.97,-1.12,0.87
204,2024-12-03,西藏药业,600211,115.54,115.6,116.79,114.86,26997,100794136.0,1.66,-0.28,-0.33,0.84
203,2024-12-02,西藏药业,600211,114.65,115.93,115.98,114.54,33187,123723554.0,1.25,0.71,0.82,1.03
202,2024-11-29,西藏药业,600211,112.85,115.11,115.84,112.85,37241,137956858.0,2.64,1.58,1.79,1.16
201,2024-11-28,西藏药业,600211,114.86,113.32,115.03,113.26,29455,108437644.0,1.54,-1.32,-1.52,0.91
200,2024-11-27,西藏药业,600211,112.96,114.84,114.84,111.66,30891,112810547.0,2.82,1.69,1.91,0.96
199,2024-11-26,西藏药业,600211,112.55,112.93,114.16,112.17,25059,91459682.0,1.76,-0.03,-0.03,0.78
198,2024-11-25,西藏药业,600211,112.69,112.96,113.53,111.71,33038,119934070.0,1.61,0.21,0.24,1.03
197,2024-11-22,西藏药业,600211,117.34,112.72,117.34,112.69,66725,247413280.0,3.96,-3.98,-4.67,2.07
196,2024-11-21,西藏药业,600211,118.97,117.39,119.16,116.52,44787,170978469.0,2.22,-1.49,-1.77,1.39
195,2024-11-20,西藏药业,600211,118.43,119.16,119.73,118.02,34659,133933066.0,1.44,0.41,0.49,1.08
194,2024-11-19,西藏药业,600211,117.69,118.67,118.83,116.82,29684,113356128.0,1.72,1.25,1.47,0.92
193,2024-11-18,西藏药业,600211,118.24,117.2,119.6,116.79,36137,138487881.0,2.38,-0.83,-0.98,1.12
192,2024-11-15,西藏药业,600211,119.84,118.18,120.95,118.15,40422,157083958.0,2.34,-1.43,-1.71,1.25
191,2024-11-14,西藏药业,600211,122.78,119.89,123.48,119.79,42720,169242375.0,2.99,-2.69,-3.32,1.33
190,2024-11-13,西藏药业,600211,124.14,123.21,125.63,121.8,55389,222687872.0,3.07,-1.2,-1.5,1.72
189,2024-11-12,西藏药业,600211,124.14,124.71,127.89,123.65,93998,386944373.0,3.43,0.93,1.15,2.92
188,2024-11-11,西藏药业,600211,122.59,123.56,124.0,121.47,60847,243754606.0,2.05,0.32,0.4,1.89
187,2024-11-08,西藏药业,600211,126.07,123.16,127.07,122.94,71509,289880441.0,3.35,-0.13,-0.16,2.22
186,2024-11-07,西藏药业,600211,119.65,123.32,123.59,119.32,80603,321388338.0,3.55,2.6,3.13,2.5
185,2024-11-06,西藏药业,600211,120.06,120.19,122.18,119.3,62786,246390543.0,2.4,0.02,0.02,1.95
184,2024-11-05,西藏药业,600211,118.83,120.17,120.38,117.8,56665,220077997.0,2.17,0.85,1.01,1.76
183,2024-11-04,西藏药业,600211,116.55,119.16,119.38,116.55,46376,177907487.0,2.42,1.91,2.23,1.44
182,2024-11-01,西藏药业,600211,115.6,116.93,118.53,115.46,54772,207794145.0,2.63,0.28,0.33,1.7
181,2024-10-31,西藏药业,600211,117.34,116.6,118.05,116.06,49666,188060082.0,1.7,-0.21,-0.25,1.54
180,2024-10-30,西藏药业,600211,118.45,116.85,118.67,115.3,74395,280269129.0,2.82,-2.27,-2.72,2.31
179,2024-10-29,西藏药业,600211,122.53,119.57,122.86,119.51,61280,240389107.0,2.74,-2.18,-2.66,1.9
178,2024-10-28,西藏药业,600211,123.81,122.23,123.81,121.2,45936,182560399.0,2.12,-0.67,-0.82,1.43
177,2024-10-25,西藏药业,600211,122.23,123.05,123.27,121.06,47400,188571631.0,1.81,0.62,0.76,1.47
176,2024-10-24,西藏药业,600211,121.09,122.29,123.46,120.87,55764,221754215.0,2.13,0.68,0.82,1.73
175,2024-10-23,西藏药业,600211,121.69,121.47,122.29,120.33,45579,179969815.0,1.61,-0.09,-0.11,1.41
174,2024-10-22,西藏药业,600211,121.42,121.58,122.31,120.27,46727,184290716.0,1.68,0.38,0.46,1.45
173,2024-10-21,西藏药业,600211,119.7,121.12,122.1,118.51,63961,250145970.0,3.01,1.53,1.82,1.98
172,2024-10-18,西藏药业,600211,115.44,119.3,121.44,114.89,74793,286313542.0,5.64,2.77,3.21,2.32
171,2024-10-17,西藏药业,600211,118.4,116.09,118.7,116.09,34549,131295955.0,2.22,-1.17,-1.38,1.07
170,2024-10-16,西藏药业,600211,117.34,117.47,119.68,117.01,37576,143867146.0,2.24,-1.39,-1.66,1.17
169,2024-10-15,西藏药业,600211,121.17,119.13,122.42,119.0,40301,158012963.0,2.81,-2.19,-2.67,1.25
168,2024-10-14,西藏药业,600211,120.63,121.8,122.23,117.99,55162,215606107.0,3.52,1.0,1.2,1.71
167,2024-10-11,西藏药业,600211,125.49,120.6,125.79,119.24,69754,276419904.0,5.23,-3.69,-4.62,2.16
166,2024-10-10,西藏药业,600211,126.58,125.22,132.67,125.14,97808,410115171.0,5.92,-1.48,-1.88,3.03
165,2024-10-09,西藏药业,600211,134.03,127.1,136.7,126.85,122297,528885366.0,7.29,-5.94,-8.02,3.79
164,2024-10-08,西藏药业,600211,135.12,135.12,135.12,128.62,154917,680689843.0,5.24,8.87,11.01,4.81
163,2024-09-30,西藏药业,600211,118.15,124.11,124.11,118.1,122371,485867442.0,5.27,8.77,10.01,3.8
162,2024-09-27,西藏药业,600211,111.06,114.1,114.32,110.3,49499,179137557.0,3.67,4.12,4.51,1.54
161,2024-09-26,西藏药业,600211,106.33,109.59,109.62,105.57,38365,132212371.0,3.81,3.23,3.43,1.19
160,2024-09-25,西藏药业,600211,104.83,106.16,108.23,104.83,41774,142749511.0,3.25,1.53,1.6,1.3
159,2024-09-24,西藏药业,600211,101.14,104.56,104.64,100.67,38055,124557932.0,3.94,3.72,3.75,1.18
158,2024-09-23,西藏药业,600211,100.7,100.81,101.87,100.48,14530,46493284.0,1.38,0.16,0.16,0.45
157,2024-09-20,西藏药业,600211,101.54,100.65,101.79,100.1,17946,57145693.0,1.66,-0.86,-0.87,0.56
156,2024-09-19,西藏药业,600211,100.75,101.52,102.85,100.16,23302,74939188.0,2.67,0.86,0.87,0.72
155,2024-09-18,西藏药业,600211,100.92,100.65,100.94,99.12,15056,47587292.0,1.81,0.11,0.11,0.47
154,2024-09-13,西藏药业,600211,102.52,100.54,102.52,100.29,13532,43360310.0,2.19,-1.25,-1.27,0.42
153,2024-09-12,西藏药业,600211,103.69,101.81,104.78,101.79,18492,60598070.0,2.88,-1.87,-1.94,0.57
152,2024-09-11,西藏药业,600211,102.85,103.75,103.91,102.2,11241,36923225.0,1.66,0.56,0.58,0.35
151,2024-09-10,西藏药业,600211,103.47,103.17,103.85,101.33,19788,64301665.0,2.43,-0.35,-0.36,0.61
150,2024-09-09,西藏药业,600211,103.91,103.53,104.75,103.42,18608,61468447.0,1.27,-0.76,-0.79,0.58
149,2024-09-06,西藏药业,600211,106.44,104.32,106.57,104.29,19492,65386504.0,2.15,-1.79,-1.9,0.6
148,2024-09-05,西藏药业,600211,105.89,106.22,106.87,105.65,13648,46375819.0,1.16,0.62,0.65,0.42
147,2024-09-04,西藏药业,600211,105.78,105.57,106.82,105.16,18274,61774230.0,1.57,-0.46,-0.49,0.57
146,2024-09-03,西藏药业,600211,105.97,106.06,107.71,105.13,20039,68223853.0,2.44,0.18,0.19,0.62
145,2024-09-02,西藏药业,600211,108.34,105.87,109.64,105.76,29076,99370781.0,3.58,-2.35,-2.55,0.9
144,2024-08-30,西藏药业,600211,108.42,108.42,109.89,107.69,34883,121747326.0,2.03,0.03,0.03,1.08
143,2024-08-29,西藏药业,600211,106.74,108.39,108.58,105.4,29329,100947390.0,2.97,1.08,1.16,0.91
142,2024-08-28,西藏药业,600211,107.78,107.23,107.78,106.31,22028,77469503.0,1.37,-0.33,-0.36,0.68
141,2024-08-27,西藏药业,600211,107.1,107.59,107.91,106.42,24876,87813512.0,1.39,0.46,0.49,0.77
140,2024-08-26,西藏药业,600211,106.74,107.1,107.91,105.74,27413,96167673.0,2.04,0.49,0.52,0.85
139,2024-08-23,西藏药业,600211,106.99,106.58,108.27,105.85,22751,79961889.0,2.26,-0.38,-0.41,0.71
138,2024-08-22,西藏药业,600211,107.37,106.99,108.18,106.85,22225,78447659.0,1.24,-0.35,-0.38,0.69
137,2024-08-21,西藏药业,600211,108.48,107.37,109.68,107.15,29997,106616030.0,2.33,-1.22,-1.33,0.93
136,2024-08-20,西藏药业,600211,109.22,108.7,110.09,108.05,29996,107604155.0,1.87,-0.48,-0.52,0.93
135,2024-08-19,西藏药业,600211,108.81,109.22,110.58,108.18,44808,161643719.0,2.21,0.38,0.41,1.39
