,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,广晟有色,600259,30.26,30.68,30.71,30.1,47759,138250650.0,2.01,1.15,0.35,1.45
240,2025-01-23,广晟有色,600259,30.41,30.33,31.15,30.19,70379,205666362.0,3.17,0.3,0.09,2.14
239,2025-01-22,广晟有色,600259,30.5,30.24,30.8,30.11,45635,132163272.0,2.25,-1.59,-0.49,1.39
238,2025-01-21,广晟有色,600259,30.9,30.73,31.02,29.84,81780,236240913.0,3.82,-0.61,-0.19,2.48
237,2025-01-20,广晟有色,600259,31.41,30.92,31.41,30.67,75733,222636651.0,2.33,-2.46,-0.78,2.3
236,2025-01-17,广晟有色,600259,31.6,31.7,31.95,31.09,77690,232563116.0,2.7,-0.35,-0.11,2.36
235,2025-01-16,广晟有色,600259,32.08,31.81,32.28,31.44,93557,283689483.0,2.62,-0.84,-0.27,2.84
234,2025-01-15,广晟有色,600259,32.54,32.08,32.83,31.34,139170,423156576.0,4.54,-2.2,-0.72,4.22
233,2025-01-14,广晟有色,600259,32.37,32.8,32.84,31.89,150173,464183392.0,2.94,1.36,0.44,4.56
232,2025-01-13,广晟有色,600259,30.99,32.36,33.38,30.86,179407,554434576.0,8.04,3.22,1.01,5.44
231,2025-01-10,广晟有色,600259,31.1,31.35,31.65,30.42,124313,368735431.0,3.96,0.97,0.3,3.77
230,2025-01-09,广晟有色,600259,30.94,31.05,31.65,30.87,99152,294727091.0,2.51,-0.03,-0.01,3.01
229,2025-01-08,广晟有色,600259,31.07,31.06,31.73,30.2,113695,333303367.0,4.85,-1.46,-0.46,3.45
228,2025-01-07,广晟有色,600259,31.02,31.52,31.98,30.66,185577,553000934.0,4.26,1.61,0.5,5.63
227,2025-01-06,广晟有色,600259,28.21,31.02,31.02,28.16,173372,505500133.0,10.14,10.0,2.82,5.26
226,2025-01-03,广晟有色,600259,28.63,28.2,29.16,28.13,37395,102018158.0,3.62,-0.91,-0.26,1.13
225,2025-01-02,广晟有色,600259,29.26,28.46,29.43,28.23,33460,91964860.0,4.11,-2.6,-0.76,1.02
224,2024-12-31,广晟有色,600259,30.17,29.22,30.24,29.21,29514,82991473.0,3.42,-2.99,-0.9,0.9
223,2024-12-30,广晟有色,600259,30.0,30.12,30.22,29.73,23073,65847618.0,1.63,0.3,0.09,0.7
222,2024-12-27,广晟有色,600259,29.94,30.03,30.41,29.94,24019,68949477.0,1.57,0.43,0.13,0.73
221,2024-12-26,广晟有色,600259,29.66,29.9,30.17,29.61,18028,51384212.0,1.89,0.81,0.24,0.55
220,2024-12-25,广晟有色,600259,30.12,29.66,30.13,29.47,24432,69075118.0,2.2,-1.23,-0.37,0.74
219,2024-12-24,广晟有色,600259,29.7,30.03,30.25,29.7,24016,68657481.0,1.85,1.08,0.32,0.73
218,2024-12-23,广晟有色,600259,30.46,29.71,30.57,29.65,37018,105750440.0,3.02,-2.46,-0.75,1.12
217,2024-12-20,广晟有色,600259,30.47,30.46,30.67,30.35,25688,74575192.0,1.05,-0.16,-0.05,0.78
216,2024-12-19,广晟有色,600259,30.24,30.51,30.64,30.0,31017,89478038.0,2.1,0.3,0.09,0.94
215,2024-12-18,广晟有色,600259,30.45,30.42,30.68,30.39,25924,75305425.0,0.95,0.03,0.01,0.79
214,2024-12-17,广晟有色,600259,30.54,30.41,30.84,30.34,32515,94555210.0,1.64,-0.43,-0.13,0.99
213,2024-12-16,广晟有色,600259,31.01,30.54,31.1,30.44,35597,103740377.0,2.13,-1.55,-0.48,1.08
212,2024-12-13,广晟有色,600259,31.66,31.02,31.68,31.01,46567,138408141.0,2.1,-2.73,-0.87,1.41
211,2024-12-12,广晟有色,600259,31.94,31.89,32.08,31.55,34413,104017221.0,1.66,-0.22,-0.07,1.04
210,2024-12-11,广晟有色,600259,31.66,31.96,32.12,31.61,34607,104967385.0,1.61,0.92,0.29,1.05
209,2024-12-10,广晟有色,600259,32.53,31.67,32.55,31.6,53339,162964094.0,3.01,0.44,0.14,1.62
208,2024-12-09,广晟有色,600259,31.93,31.53,32.27,31.33,44715,135233356.0,2.93,-1.87,-0.6,1.36
207,2024-12-06,广晟有色,600259,32.25,32.13,32.38,31.58,45778,139502966.0,2.48,-0.46,-0.15,1.39
206,2024-12-05,广晟有色,600259,32.15,32.28,32.49,31.94,46799,143462485.0,1.7,-0.43,-0.14,1.42
205,2024-12-04,广晟有色,600259,33.47,32.42,33.61,32.21,77145,240205218.0,4.29,-0.58,-0.19,2.34
204,2024-12-03,广晟有色,600259,32.88,32.61,33.2,32.35,69972,218163953.0,2.59,-0.79,-0.26,2.12
203,2024-12-02,广晟有色,600259,31.45,32.87,33.53,31.31,103331,321236937.0,7.06,4.55,1.43,3.14
202,2024-11-29,广晟有色,600259,31.08,31.44,31.68,30.72,45706,136143610.0,3.09,1.26,0.39,1.39
201,2024-11-28,广晟有色,600259,31.62,31.05,31.79,30.98,39475,117753755.0,2.56,-1.99,-0.63,1.2
200,2024-11-27,广晟有色,600259,31.31,31.68,31.7,30.41,54233,159684174.0,4.09,0.51,0.16,1.65
199,2024-11-26,广晟有色,600259,32.18,31.52,32.83,31.47,59044,179768138.0,4.22,-2.14,-0.69,1.79
198,2024-11-25,广晟有色,600259,32.07,32.21,32.94,31.71,79212,243261969.0,3.84,0.44,0.14,2.4
197,2024-11-22,广晟有色,600259,32.78,32.07,33.72,31.74,126760,394812981.0,6.03,-2.31,-0.76,3.85
196,2024-11-21,广晟有色,600259,32.88,32.83,33.62,31.94,80398,252109611.0,5.14,0.52,0.17,2.44
195,2024-11-20,广晟有色,600259,31.94,32.66,33.07,31.66,73134,225915183.0,4.42,2.32,0.74,2.22
194,2024-11-19,广晟有色,600259,31.2,31.92,31.98,30.97,62339,186999646.0,3.25,2.87,0.89,1.89
193,2024-11-18,广晟有色,600259,32.04,31.03,32.56,30.93,68273,205227875.0,5.09,-3.03,-0.97,2.07
192,2024-11-15,广晟有色,600259,32.78,32.0,33.18,31.98,63127,195727013.0,3.64,-3.03,-1.0,1.92
191,2024-11-14,广晟有色,600259,33.7,33.0,34.23,32.84,90700,288909729.0,4.04,-4.07,-1.4,2.75
190,2024-11-13,广晟有色,600259,34.35,34.4,35.93,33.98,96035,317931753.0,5.68,0.17,0.06,2.91
189,2024-11-12,广晟有色,600259,35.33,34.34,35.7,33.95,98968,328556865.0,4.96,-2.72,-0.96,3.0
188,2024-11-11,广晟有色,600259,34.25,35.3,35.37,34.05,112033,372993945.0,3.83,2.44,0.84,3.4
187,2024-11-08,广晟有色,600259,35.69,34.46,36.03,34.4,158695,530826926.0,4.6,-2.82,-1.0,4.82
186,2024-11-07,广晟有色,600259,36.14,35.46,36.62,34.68,174723,592346091.0,5.37,-1.88,-0.68,5.3
185,2024-11-06,广晟有色,600259,35.19,36.14,36.98,34.68,270008,918904779.0,6.54,2.73,0.96,8.19
184,2024-11-05,广晟有色,600259,32.78,35.18,36.53,32.78,263755,864061768.0,11.15,4.64,1.56,8.0
183,2024-11-04,广晟有色,600259,36.58,33.62,36.77,32.83,340028,1110949376.0,11.29,-3.67,-1.28,10.32
182,2024-11-01,广晟有色,600259,32.36,34.9,34.9,32.36,199455,653684889.0,8.01,9.99,3.17,6.05
181,2024-10-31,广晟有色,600259,30.49,31.73,32.23,30.44,116742,350111668.0,5.84,3.46,1.06,3.54
180,2024-10-30,广晟有色,600259,31.36,30.67,31.52,30.48,63178,185649781.0,3.33,-1.67,-0.52,1.92
179,2024-10-29,广晟有色,600259,31.6,31.19,32.16,30.9,87850,262742341.0,3.97,-1.7,-0.54,2.67
178,2024-10-28,广晟有色,600259,31.1,31.73,32.04,30.78,88315,265582731.0,4.02,1.28,0.4,2.68
177,2024-10-25,广晟有色,600259,30.1,31.33,32.23,30.1,132402,393830107.0,7.03,3.33,1.01,4.02
176,2024-10-24,广晟有色,600259,30.73,30.32,31.2,30.14,63489,184267104.0,3.41,-2.32,-0.72,1.93
175,2024-10-23,广晟有色,600259,30.01,31.04,31.09,29.73,121218,354119588.0,4.53,3.5,1.05,3.68
174,2024-10-22,广晟有色,600259,29.58,29.99,30.59,29.42,75944,217186051.0,3.96,1.39,0.41,2.3
173,2024-10-21,广晟有色,600259,29.36,29.58,30.32,29.09,78859,222875611.0,4.24,2.0,0.58,2.39
172,2024-10-18,广晟有色,600259,28.16,29.0,29.63,28.02,64400,176451946.0,5.71,2.87,0.81,1.95
171,2024-10-17,广晟有色,600259,29.06,28.19,29.06,28.17,36978,100446213.0,3.1,-1.85,-0.53,1.12
170,2024-10-16,广晟有色,600259,28.58,28.72,29.15,28.38,34879,95728744.0,2.67,-0.24,-0.07,1.06
169,2024-10-15,广晟有色,600259,29.52,28.79,29.71,28.79,44995,125007092.0,3.1,-3.03,-0.9,1.37
168,2024-10-14,广晟有色,600259,29.16,29.69,29.79,28.68,41247,114961753.0,3.81,1.85,0.54,1.25
167,2024-10-11,广晟有色,600259,30.28,29.15,30.5,28.86,52770,148609476.0,5.41,-3.8,-1.15,1.6
166,2024-10-10,广晟有色,600259,30.15,30.3,31.47,29.64,71029,207044460.0,6.07,0.43,0.13,2.16
165,2024-10-09,广晟有色,600259,32.04,30.17,32.15,30.13,102650,303881794.0,6.11,-8.77,-2.9,3.12
164,2024-10-08,广晟有色,600259,34.65,33.07,34.65,31.51,166428,525062844.0,9.97,4.95,1.56,5.05
163,2024-09-30,广晟有色,600259,30.05,31.51,31.52,29.58,129445,378206642.0,6.77,9.94,2.85,3.93
162,2024-09-27,广晟有色,600259,27.72,28.66,28.67,27.6,73759,198572006.0,3.93,5.37,1.46,2.24
161,2024-09-26,广晟有色,600259,26.05,27.2,27.27,25.95,47474,120599080.0,5.06,4.29,1.12,1.44
160,2024-09-25,广晟有色,600259,26.6,26.08,26.9,25.95,52650,132927860.0,3.62,-0.57,-0.15,1.6
