,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,阳光照明,600261,70.51,70.91,71.32,70.11,121280,39009405.0,1.71,0.37,0.26,0.91
240,2025-01-23,阳光照明,600261,71.18,70.65,71.58,70.65,152745,49578411.0,1.32,0.0,0.0,1.14
239,2025-01-22,阳光照明,600261,70.65,70.65,72.25,69.45,171206,55603350.0,3.94,-0.56,-0.4,1.28
238,2025-01-21,阳光照明,600261,70.11,71.05,71.85,69.98,178758,57766325.0,2.67,1.34,0.94,1.34
237,2025-01-20,阳光照明,600261,70.25,70.11,70.51,69.45,114431,36283534.0,1.52,0.37,0.26,0.86
236,2025-01-17,阳光照明,600261,70.25,69.85,70.25,69.45,97172,30577798.0,1.14,-0.57,-0.4,0.73
235,2025-01-16,阳光照明,600261,69.05,70.25,70.78,69.05,179208,56939517.0,2.51,1.74,1.2,1.34
234,2025-01-15,阳光照明,600261,69.05,69.05,69.45,68.65,155526,48055534.0,1.16,0.0,0.0,1.16
233,2025-01-14,阳光照明,600261,67.71,69.05,69.18,67.58,155167,47234064.0,2.36,1.98,1.34,1.16
232,2025-01-13,阳光照明,600261,67.58,67.71,67.71,66.24,172133,50731953.0,2.18,0.19,0.13,1.29
231,2025-01-10,阳光照明,600261,69.85,67.58,69.85,67.44,182502,55654197.0,3.48,-2.31,-1.6,1.37
230,2025-01-09,阳光照明,600261,69.05,69.18,70.25,68.51,204351,64036463.0,2.52,0.0,0.0,1.53
229,2025-01-08,阳光照明,600261,70.38,69.18,70.38,67.98,296128,91158367.0,3.41,-1.71,-1.2,2.22
228,2025-01-07,阳光照明,600261,70.78,70.38,70.91,69.18,292542,91947000.0,2.46,0.19,0.13,2.19
227,2025-01-06,阳光照明,600261,70.65,70.25,71.85,68.51,482323,154298691.0,4.67,-1.86,-1.33,3.61
226,2025-01-03,阳光照明,600261,72.92,71.58,73.85,71.32,872989,290807913.0,3.39,-4.11,-3.07,6.54
225,2025-01-02,阳光照明,600261,71.58,74.65,75.85,71.32,940844,333979758.0,6.34,4.48,3.2,7.05
224,2024-12-31,阳光照明,600261,72.52,71.45,73.58,71.32,167098,55569188.0,3.12,-1.48,-1.07,1.25
223,2024-12-30,阳光照明,600261,75.19,72.52,75.19,72.38,232691,79292170.0,3.86,-0.36,-0.26,1.74
222,2024-12-27,阳光照明,600261,72.25,72.78,72.92,71.85,124798,41948966.0,1.48,0.73,0.53,0.93
221,2024-12-26,阳光照明,600261,72.12,72.25,72.78,71.85,85721,28610644.0,1.29,0.0,0.0,0.64
220,2024-12-25,阳光照明,600261,72.38,72.25,72.65,71.05,151725,50077862.0,2.21,-0.37,-0.27,1.14
219,2024-12-24,阳光照明,600261,71.58,72.52,72.78,71.58,135212,45120108.0,1.67,1.12,0.8,1.01
218,2024-12-23,阳光照明,600261,73.32,71.72,73.58,71.58,151370,50465577.0,2.72,-2.36,-1.73,1.13
217,2024-12-20,阳光照明,600261,73.18,73.45,73.98,73.05,101945,34996435.0,1.27,0.37,0.27,0.76
216,2024-12-19,阳光照明,600261,73.58,73.18,73.72,72.12,142165,47941216.0,2.17,-0.54,-0.4,1.06
215,2024-12-18,阳光照明,600261,73.18,73.58,74.12,72.92,116859,40078517.0,1.64,0.73,0.53,0.88
214,2024-12-17,阳光照明,600261,74.79,73.05,75.05,72.92,173410,59367456.0,2.84,-2.66,-2.0,1.3
213,2024-12-16,阳光照明,600261,74.92,75.05,75.59,74.52,144736,51319121.0,1.44,0.9,0.67,1.08
212,2024-12-13,阳光照明,600261,75.05,74.38,75.72,74.38,152411,53736176.0,1.78,-1.42,-1.07,1.14
211,2024-12-12,阳光照明,600261,74.92,75.45,75.59,74.65,185699,66015095.0,1.25,0.71,0.53,1.39
210,2024-12-11,阳光照明,600261,73.98,74.92,75.05,73.58,159674,56073746.0,1.99,1.27,0.94,1.2
209,2024-12-10,阳光照明,600261,75.05,73.98,75.59,73.85,137822,48166891.0,2.35,-0.19,-0.14,1.03
208,2024-12-09,阳光照明,600261,74.12,74.12,74.52,73.45,137266,47548048.0,1.45,0.19,0.14,1.03
207,2024-12-06,阳光照明,600261,73.18,73.98,74.12,72.92,168562,57918254.0,1.64,1.27,0.93,1.26
206,2024-12-05,阳光照明,600261,72.65,73.05,73.05,72.52,92210,31120211.0,0.73,0.55,0.4,0.69
205,2024-12-04,阳光照明,600261,73.72,72.65,73.72,72.52,104933,35575515.0,1.63,-1.45,-1.07,0.79
204,2024-12-03,阳光照明,600261,73.58,73.72,73.85,73.18,146301,50121849.0,0.91,0.19,0.14,1.1
203,2024-12-02,阳光照明,600261,72.78,73.58,73.58,72.52,176767,60107632.0,1.46,1.28,0.93,1.32
202,2024-11-29,阳光照明,600261,71.98,72.65,72.78,71.98,127837,42775717.0,1.11,0.73,0.53,0.96
201,2024-11-28,阳光照明,600261,71.32,72.12,72.52,71.32,164379,54491432.0,1.68,1.12,0.8,1.23
200,2024-11-27,阳光照明,600261,70.65,71.32,71.32,69.71,131237,41926976.0,2.27,0.58,0.41,0.98
199,2024-11-26,阳光照明,600261,70.65,70.91,71.45,70.65,83685,27114320.0,1.13,0.18,0.13,0.63
198,2024-11-25,阳光照明,600261,70.38,70.78,71.18,69.98,109028,34987406.0,1.71,0.75,0.53,0.82
197,2024-11-22,阳光照明,600261,71.32,70.25,71.98,70.11,155341,50666495.0,2.62,-1.68,-1.2,1.16
196,2024-11-21,阳光照明,600261,71.32,71.45,71.45,70.91,104104,33886156.0,0.76,0.18,0.13,0.78
195,2024-11-20,阳光照明,600261,71.32,71.32,71.72,71.05,87020,28377368.0,0.94,-0.18,-0.13,0.65
194,2024-11-19,阳光照明,600261,71.18,71.45,71.58,70.11,147590,47582770.0,2.07,0.56,0.4,1.11
193,2024-11-18,阳光照明,600261,70.91,71.05,71.98,70.65,124698,40611799.0,1.88,0.2,0.14,0.93
192,2024-11-15,阳光照明,600261,71.58,70.91,72.25,70.91,129592,42519268.0,1.87,-0.94,-0.67,0.97
191,2024-11-14,阳光照明,600261,73.05,71.58,73.32,71.58,192900,64094218.0,2.38,-2.01,-1.47,1.44
190,2024-11-13,阳光照明,600261,71.45,73.05,73.58,70.51,349145,115801045.0,4.3,2.43,1.73,2.62
189,2024-11-12,阳光照明,600261,71.85,71.32,71.98,71.05,169098,55251311.0,1.3,-0.56,-0.4,1.27
188,2024-11-11,阳光照明,600261,71.05,71.72,71.72,70.65,188386,61263495.0,1.51,0.94,0.67,1.41
187,2024-11-08,阳光照明,600261,71.32,71.05,71.72,70.65,157305,50974228.0,1.5,-0.18,-0.13,1.18
186,2024-11-07,阳光照明,600261,69.58,71.18,71.18,69.58,195967,62989953.0,2.29,1.9,1.33,1.47
185,2024-11-06,阳光照明,600261,69.85,69.85,70.11,69.31,168421,52934839.0,1.15,0.0,0.0,1.26
184,2024-11-05,阳光照明,600261,69.05,69.85,69.85,68.91,185842,58031024.0,1.36,1.16,0.8,1.39
183,2024-11-04,阳光照明,600261,68.91,69.05,69.31,68.65,134259,41288477.0,0.96,0.2,0.14,1.01
182,2024-11-01,阳光照明,600261,69.45,68.91,69.58,68.38,230824,71459632.0,1.73,-0.58,-0.4,1.73
181,2024-10-31,阳光照明,600261,68.65,69.31,69.71,68.65,285958,88880122.0,1.53,0.19,0.13,2.14
180,2024-10-30,阳光照明,600261,67.98,69.18,70.38,67.84,421392,130960121.0,3.77,2.58,1.74,3.16
179,2024-10-29,阳光照明,600261,68.65,67.44,68.78,67.18,136620,40971262.0,2.33,-1.76,-1.21,1.02
178,2024-10-28,阳光照明,600261,67.18,68.65,68.65,67.18,138563,41745100.0,2.19,2.19,1.47,1.04
177,2024-10-25,阳光照明,600261,66.78,67.18,67.31,66.64,107445,31604541.0,1.0,0.6,0.4,0.8
176,2024-10-24,阳光照明,600261,66.64,66.78,66.91,66.38,71313,20728323.0,0.79,-0.19,-0.13,0.53
175,2024-10-23,阳光照明,600261,66.51,66.91,67.31,66.38,137718,40366888.0,1.4,0.6,0.4,1.03
174,2024-10-22,阳光照明,600261,66.38,66.51,66.64,66.24,94137,27239950.0,0.6,0.0,0.0,0.71
