,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,鄂尔多斯,600295,53.98,54.45,55.04,53.95,128441,124183716.0,2.02,1.0,0.54,0.65
239,2025-01-24,鄂尔多斯,600295,53.47,53.91,54.49,53.36,95310,90618549.0,2.11,0.67,0.36,0.48
238,2025-01-23,鄂尔多斯,600295,53.12,53.55,53.98,53.0,102958,96604778.0,1.86,1.4,0.74,0.52
237,2025-01-22,鄂尔多斯,600295,53.12,52.81,53.12,52.46,71632,65898521.0,1.24,-0.51,-0.27,0.36
236,2025-01-21,鄂尔多斯,600295,53.59,53.08,53.67,52.85,97551,90746639.0,1.54,-0.45,-0.24,0.49
235,2025-01-20,鄂尔多斯,600295,54.22,53.32,54.45,53.32,117650,111434324.0,2.09,-1.51,-0.82,0.6
234,2025-01-17,鄂尔多斯,600295,55.32,54.14,55.4,54.06,153516,148626563.0,2.42,-2.13,-1.18,0.78
233,2025-01-16,鄂尔多斯,600295,53.16,55.32,55.71,53.16,236620,230516603.0,4.8,4.06,2.16,1.2
232,2025-01-15,鄂尔多斯,600295,52.61,53.16,53.2,52.22,98292,90834978.0,1.86,0.82,0.43,0.5
231,2025-01-14,鄂尔多斯,600295,52.38,52.73,52.81,51.91,108766,99146263.0,1.72,0.67,0.35,0.55
230,2025-01-13,鄂尔多斯,600295,52.02,52.38,52.65,51.59,65566,59577918.0,2.04,0.69,0.36,0.33
229,2025-01-10,鄂尔多斯,600295,52.65,52.02,53.08,52.02,76174,69481478.0,2.01,-1.35,-0.71,0.39
228,2025-01-09,鄂尔多斯,600295,52.89,52.73,53.28,52.3,67609,62643416.0,1.85,-0.58,-0.31,0.34
227,2025-01-08,鄂尔多斯,600295,53.91,53.04,54.1,52.81,122833,114898655.0,2.38,-1.96,-1.06,0.62
226,2025-01-07,鄂尔多斯,600295,54.34,54.1,55.08,53.75,132230,126999879.0,2.44,-0.72,-0.39,0.67
225,2025-01-06,鄂尔多斯,600295,54.3,54.49,54.81,53.75,130839,125943412.0,1.95,0.5,0.27,0.66
224,2025-01-03,鄂尔多斯,600295,54.49,54.22,55.67,54.14,142942,139049675.0,2.82,-0.15,-0.08,0.72
223,2025-01-02,鄂尔多斯,600295,54.85,54.3,55.63,53.95,148863,145087754.0,3.06,-1.15,-0.63,0.75
222,2024-12-31,鄂尔多斯,600295,55.91,54.93,56.1,54.89,122064,120876029.0,2.17,-1.68,-0.94,0.62
221,2024-12-30,鄂尔多斯,600295,55.08,55.87,55.87,54.96,145996,145212683.0,1.65,1.29,0.71,0.74
220,2024-12-27,鄂尔多斯,600295,54.38,55.16,55.28,54.26,125508,122685970.0,1.88,1.43,0.78,0.64
219,2024-12-26,鄂尔多斯,600295,53.91,54.38,54.45,53.87,87193,83597752.0,1.07,0.74,0.4,0.44
218,2024-12-25,鄂尔多斯,600295,54.22,53.98,54.26,53.75,63208,60059437.0,0.94,-0.44,-0.24,0.32
217,2024-12-24,鄂尔多斯,600295,53.71,54.22,54.3,53.71,78192,74626710.0,1.1,0.95,0.51,0.4
216,2024-12-23,鄂尔多斯,600295,53.67,53.71,54.34,53.67,95177,90589495.0,1.25,0.07,0.04,0.48
215,2024-12-20,鄂尔多斯,600295,54.42,53.67,54.65,53.67,126799,120788989.0,1.8,-1.5,-0.82,0.64
214,2024-12-19,鄂尔多斯,600295,54.85,54.49,54.89,54.3,105694,102151044.0,1.07,-0.93,-0.51,0.54
213,2024-12-18,鄂尔多斯,600295,54.89,55.0,55.36,54.89,103292,101343660.0,0.86,0.2,0.11,0.52
212,2024-12-17,鄂尔多斯,600295,54.81,54.89,55.43,54.61,163857,159941442.0,1.49,-0.13,-0.07,0.83
211,2024-12-16,鄂尔多斯,600295,54.69,54.96,55.83,54.69,247087,243911406.0,2.07,-0.43,-0.24,1.25
210,2024-12-13,鄂尔多斯,600295,55.87,55.2,55.94,54.61,363452,356865606.0,2.38,-1.2,-0.67,1.84
209,2024-12-12,鄂尔多斯,600295,56.49,55.87,56.73,55.63,191288,191666932.0,1.94,-1.38,-0.78,0.97
208,2024-12-11,鄂尔多斯,600295,56.06,56.65,56.85,56.06,153582,156403697.0,1.41,0.91,0.51,0.78
207,2024-12-10,鄂尔多斯,600295,57.75,56.14,58.14,56.02,236666,242727818.0,3.73,-1.25,-0.71,1.2
206,2024-12-09,鄂尔多斯,600295,55.59,56.85,57.67,55.55,263855,270497588.0,3.82,2.49,1.38,1.34
205,2024-12-06,鄂尔多斯,600295,54.65,55.47,55.55,54.65,169265,166619729.0,1.65,1.43,0.78,0.86
204,2024-12-05,鄂尔多斯,600295,54.65,54.69,54.85,54.38,84838,82107061.0,0.86,-0.07,-0.04,0.43
203,2024-12-04,鄂尔多斯,600295,55.0,54.73,55.2,54.53,99856,97147134.0,1.22,-0.71,-0.39,0.51
202,2024-12-03,鄂尔多斯,600295,55.43,55.12,55.51,54.81,119499,117021202.0,1.26,-0.56,-0.31,0.6
201,2024-12-02,鄂尔多斯,600295,54.81,55.43,55.51,54.65,159751,157014873.0,1.57,1.13,0.62,0.81
200,2024-11-29,鄂尔多斯,600295,54.49,54.81,55.12,54.34,106602,103697099.0,1.43,0.59,0.32,0.54
199,2024-11-28,鄂尔多斯,600295,54.73,54.49,54.81,54.22,79745,77013262.0,1.08,-0.44,-0.24,0.4
198,2024-11-27,鄂尔多斯,600295,53.95,54.73,54.77,53.2,101397,96757626.0,2.91,1.52,0.82,0.51
197,2024-11-26,鄂尔多斯,600295,54.3,53.91,54.65,53.79,71921,68788270.0,1.58,-0.86,-0.47,0.36
196,2024-11-25,鄂尔多斯,600295,53.71,54.38,54.69,53.67,95753,91728935.0,1.9,1.17,0.63,0.48
195,2024-11-22,鄂尔多斯,600295,55.4,53.75,55.55,53.75,141401,136571889.0,3.25,-2.98,-1.65,0.72
194,2024-11-21,鄂尔多斯,600295,55.12,55.4,55.71,55.08,101826,100581882.0,1.14,0.22,0.12,0.52
193,2024-11-20,鄂尔多斯,600295,55.04,55.28,55.36,54.73,118217,115900335.0,1.14,0.29,0.16,0.6
192,2024-11-19,鄂尔多斯,600295,54.42,55.12,55.16,54.18,132137,128261927.0,1.8,1.36,0.74,0.67
191,2024-11-18,鄂尔多斯,600295,54.1,54.38,55.0,54.1,141683,137233214.0,1.67,0.67,0.36,0.72
190,2024-11-15,鄂尔多斯,600295,53.95,54.02,54.49,53.79,82614,79094316.0,1.29,-0.15,-0.08,0.42
189,2024-11-14,鄂尔多斯,600295,55.12,54.1,55.16,53.95,121871,117648922.0,2.2,-1.71,-0.94,0.62
188,2024-11-13,鄂尔多斯,600295,54.69,55.04,55.2,54.53,118017,114960796.0,1.22,0.27,0.15,0.6
187,2024-11-12,鄂尔多斯,600295,54.81,54.89,55.43,54.61,147240,144098420.0,1.49,0.07,0.04,0.75
186,2024-11-11,鄂尔多斯,600295,54.93,54.85,54.93,54.42,111800,108137422.0,0.93,-0.15,-0.08,0.57
185,2024-11-08,鄂尔多斯,600295,55.47,54.93,55.63,54.65,165701,162496015.0,1.77,-0.7,-0.39,0.84
184,2024-11-07,鄂尔多斯,600295,55.08,55.32,55.4,54.57,168406,165007635.0,1.51,0.78,0.43,0.85
183,2024-11-06,鄂尔多斯,600295,55.24,54.89,55.43,54.69,137174,134169425.0,1.34,-0.56,-0.31,0.69
182,2024-11-05,鄂尔多斯,600295,54.3,55.2,55.28,53.98,153472,149349566.0,2.39,1.58,0.86,0.78
181,2024-11-04,鄂尔多斯,600295,54.53,54.34,54.65,53.91,119271,114201817.0,1.36,-0.28,-0.15,0.6
180,2024-11-01,鄂尔多斯,600295,53.98,54.49,55.04,53.79,142575,137539538.0,2.32,0.94,0.51,0.72
179,2024-10-31,鄂尔多斯,600295,54.02,53.98,54.3,53.36,104467,99175403.0,1.73,-0.37,-0.2,0.53
178,2024-10-30,鄂尔多斯,600295,53.75,54.18,54.57,53.36,115537,110029070.0,2.23,-0.07,-0.04,0.58
177,2024-10-29,鄂尔多斯,600295,55.67,54.22,55.79,54.1,148348,143834450.0,3.04,-2.53,-1.41,0.75
176,2024-10-28,鄂尔多斯,600295,54.69,55.63,55.87,54.57,167726,165461920.0,2.38,1.72,0.94,0.85
175,2024-10-25,鄂尔多斯,600295,53.95,54.69,54.73,53.91,87988,84844159.0,1.52,1.32,0.71,0.45
174,2024-10-24,鄂尔多斯,600295,54.14,53.98,54.3,53.71,63712,60557593.0,1.08,-0.74,-0.4,0.32
173,2024-10-23,鄂尔多斯,600295,53.83,54.38,54.57,53.59,106532,101865914.0,1.82,0.95,0.51,0.54
172,2024-10-22,鄂尔多斯,600295,53.44,53.87,53.95,53.32,83943,79196775.0,1.17,0.15,0.08,0.42
171,2024-10-21,鄂尔多斯,600295,54.1,53.79,54.42,53.51,127566,121117732.0,1.68,-0.65,-0.35,0.65
170,2024-10-18,鄂尔多斯,600295,53.51,54.14,54.61,53.32,126773,120665044.0,2.42,1.39,0.74,0.64
169,2024-10-17,鄂尔多斯,600295,54.1,53.4,54.42,53.4,78148,74053663.0,1.89,-1.15,-0.62,0.4
168,2024-10-16,鄂尔多斯,600295,53.2,54.02,54.34,53.16,86548,82310496.0,2.2,0.8,0.43,0.44
167,2024-10-15,鄂尔多斯,600295,54.45,53.59,54.61,53.59,111821,106549354.0,1.87,-2.01,-1.1,0.57
166,2024-10-14,鄂尔多斯,600295,53.08,54.69,54.69,53.04,152309,145489032.0,3.1,2.88,1.53,0.77
165,2024-10-11,鄂尔多斯,600295,54.22,53.16,54.22,52.85,153571,144184935.0,2.55,-1.24,-0.67,0.78
164,2024-10-10,鄂尔多斯,600295,52.53,53.83,55.24,52.53,218524,208703186.0,5.08,0.88,0.47,1.11
163,2024-10-09,鄂尔多斯,600295,56.26,53.36,56.45,53.36,296037,285770033.0,5.38,-7.09,-4.07,1.5
162,2024-10-08,鄂尔多斯,600295,60.92,57.43,60.92,56.65,332658,352420499.0,7.5,0.9,0.51,1.68
161,2024-09-30,鄂尔多斯,600295,55.63,56.92,57.55,54.89,319912,324127822.0,4.87,4.23,2.31,1.62
160,2024-09-27,鄂尔多斯,600295,53.83,54.61,54.69,53.63,107542,102926235.0,1.97,1.45,0.78,0.54
159,2024-09-26,鄂尔多斯,600295,52.14,53.83,53.83,51.91,140490,130053206.0,3.68,3.24,1.69,0.71
158,2024-09-25,鄂尔多斯,600295,51.75,52.14,52.85,51.75,142259,129571354.0,2.13,1.07,0.55,0.72
157,2024-09-24,鄂尔多斯,600295,49.28,51.59,51.59,49.28,135362,118118058.0,4.66,4.12,2.04,0.69
156,2024-09-23,鄂尔多斯,600295,49.4,49.55,50.06,49.2,49225,41425143.0,1.74,0.06,0.03,0.25
155,2024-09-20,鄂尔多斯,600295,49.83,49.52,49.91,48.89,69350,57807376.0,2.04,-0.78,-0.39,0.35
154,2024-09-19,鄂尔多斯,600295,48.97,49.91,50.3,48.81,91792,77308116.0,3.05,2.0,0.98,0.46
153,2024-09-18,鄂尔多斯,600295,48.61,48.93,49.01,48.22,86167,70127072.0,1.62,0.08,0.04,0.44
152,2024-09-13,鄂尔多斯,600295,48.81,48.89,49.4,48.57,161196,133084349.0,1.7,0.25,0.12,0.82
151,2024-09-12,鄂尔多斯,600295,50.1,48.77,50.1,47.91,185084,150954180.0,4.39,-2.21,-1.1,0.94
150,2024-09-11,鄂尔多斯,600295,50.53,49.87,50.61,49.75,79588,67962889.0,1.71,-0.93,-0.47,0.4
149,2024-09-10,鄂尔多斯,600295,50.81,50.34,51.08,49.91,65909,56568020.0,2.31,-0.77,-0.39,0.33
148,2024-09-09,鄂尔多斯,600295,51.12,50.73,51.4,50.65,68701,60055524.0,1.46,-1.38,-0.71,0.35
147,2024-09-06,鄂尔多斯,600295,52.02,51.44,52.42,51.36,63621,56967229.0,2.04,-1.06,-0.55,0.32
146,2024-09-05,鄂尔多斯,600295,51.67,51.99,52.65,51.67,72519,65701043.0,1.89,0.31,0.16,0.37
145,2024-09-04,鄂尔多斯,600295,51.79,51.83,52.1,51.44,95768,85840327.0,1.27,-0.08,-0.04,0.48
144,2024-09-03,鄂尔多斯,600295,50.85,51.87,51.95,50.85,107762,96364927.0,2.16,1.63,0.83,0.55
143,2024-09-02,鄂尔多斯,600295,50.5,51.04,51.55,50.06,139670,122432142.0,2.95,1.07,0.54,0.71
142,2024-08-30,鄂尔多斯,600295,49.16,50.5,51.12,48.77,199601,170566426.0,4.8,3.12,1.53,1.01
141,2024-08-29,鄂尔多斯,600295,48.22,48.97,49.08,48.14,82406,67334467.0,1.94,1.14,0.55,0.42
140,2024-08-28,鄂尔多斯,600295,48.3,48.42,48.65,48.18,47563,38496665.0,0.97,-0.16,-0.08,0.24
139,2024-08-27,鄂尔多斯,600295,48.61,48.5,48.61,48.14,32480,26273729.0,0.97,0.08,0.04,0.16
138,2024-08-26,鄂尔多斯,600295,48.5,48.46,48.65,48.14,36113,29248379.0,1.06,0.25,0.12,0.18
137,2024-08-23,鄂尔多斯,600295,48.22,48.34,48.73,48.22,38074,30842321.0,1.05,-0.17,-0.08,0.19
136,2024-08-22,鄂尔多斯,600295,48.46,48.42,48.69,48.3,40319,32711600.0,0.8,-0.39,-0.19,0.2
135,2024-08-21,鄂尔多斯,600295,48.46,48.61,48.73,48.26,38679,31393825.0,0.97,0.08,0.04,0.2
134,2024-08-20,鄂尔多斯,600295,49.2,48.57,49.24,48.34,58101,47312187.0,1.84,-0.82,-0.4,0.29
133,2024-08-19,鄂尔多斯,600295,48.57,48.97,49.24,48.54,46122,38039382.0,1.44,0.82,0.4,0.23
132,2024-08-16,鄂尔多斯,600295,49.28,48.57,49.48,48.54,54916,45007937.0,1.91,-1.36,-0.67,0.28
131,2024-08-15,鄂尔多斯,600295,48.93,49.24,49.63,48.77,60829,50464595.0,1.76,0.63,0.31,0.31
130,2024-08-14,鄂尔多斯,600295,49.48,48.93,49.79,48.89,58634,48712496.0,1.81,-1.41,-0.7,0.3
129,2024-08-13,鄂尔多斯,600295,49.4,49.63,49.79,49.4,44379,37276662.0,0.79,0.22,0.11,0.22
128,2024-08-12,鄂尔多斯,600295,49.67,49.52,49.75,49.36,43023,36068623.0,0.79,-0.06,-0.03,0.22
127,2024-08-09,鄂尔多斯,600295,49.63,49.55,49.95,49.52,44883,37858020.0,0.87,-0.24,-0.12,0.23
126,2024-08-08,鄂尔多斯,600295,49.32,49.67,49.71,49.12,54170,45394796.0,1.19,0.47,0.23,0.27
125,2024-08-07,鄂尔多斯,600295,49.24,49.44,49.59,49.01,55235,46077817.0,1.17,0.0,0.0,0.28
124,2024-08-06,鄂尔多斯,600295,49.2,49.44,49.48,49.05,58250,48397753.0,0.88,1.12,0.55,0.29
123,2024-08-05,鄂尔多斯,600295,49.32,48.89,49.79,48.81,77118,64276189.0,1.99,-0.79,-0.39,0.39
122,2024-08-02,鄂尔多斯,600295,49.16,49.28,49.59,48.73,54772,45563353.0,1.75,0.08,0.04,0.28
121,2024-08-01,鄂尔多斯,600295,49.91,49.24,50.26,49.12,99425,83141064.0,2.28,-1.34,-0.67,0.5
120,2024-07-31,鄂尔多斯,600295,48.93,49.91,49.95,48.77,103327,86611968.0,2.42,2.17,1.06,0.52
119,2024-07-30,鄂尔多斯,600295,49.16,48.85,49.36,48.61,61856,50804100.0,1.52,-0.79,-0.39,0.31
118,2024-07-29,鄂尔多斯,600295,50.14,49.24,50.14,49.16,65864,54982222.0,1.96,-1.64,-0.82,0.33
117,2024-07-26,鄂尔多斯,600295,49.99,50.06,50.73,49.95,61206,52472641.0,1.56,0.22,0.11,0.31
116,2024-07-25,鄂尔多斯,600295,49.59,49.95,50.26,49.48,60545,51344849.0,1.56,0.0,0.0,0.31
115,2024-07-24,鄂尔多斯,600295,50.22,49.95,50.22,49.44,62999,53298718.0,1.55,-0.62,-0.31,0.32
114,2024-07-23,鄂尔多斯,600295,51.44,50.26,51.48,50.22,75666,65521971.0,2.46,-2.07,-1.06,0.38
