,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
231,2025-01-27,恒丰纸业,600356,12.31,12.45,12.55,12.31,50743,39364968.0,1.95,1.3,0.16,1.7
230,2025-01-24,恒丰纸业,600356,12.3,12.29,12.31,12.18,42085,31787850.0,1.06,-0.16,-0.02,1.41
229,2025-01-23,恒丰纸业,600356,12.24,12.31,12.43,12.24,51798,39573405.0,1.56,0.98,0.12,1.73
228,2025-01-22,恒丰纸业,600356,12.32,12.19,12.33,12.17,31059,23470890.0,1.3,-1.06,-0.13,1.04
227,2025-01-21,恒丰纸业,600356,12.45,12.32,12.47,12.25,30613,23320656.0,1.77,-0.81,-0.1,1.02
226,2025-01-20,恒丰纸业,600356,12.48,12.42,12.5,12.25,57916,44701356.0,2.01,0.0,0.0,1.94
225,2025-01-17,恒丰纸业,600356,12.33,12.42,12.42,12.27,29229,22339183.0,1.21,0.49,0.06,0.98
224,2025-01-16,恒丰纸业,600356,12.35,12.36,12.42,12.26,35689,27278750.0,1.3,0.57,0.07,1.19
223,2025-01-15,恒丰纸业,600356,12.2,12.29,12.3,12.14,35204,26561694.0,1.31,0.74,0.09,1.18
222,2025-01-14,恒丰纸业,600356,11.95,12.2,12.2,11.95,51239,38225789.0,2.09,2.18,0.26,1.72
221,2025-01-13,恒丰纸业,600356,11.93,11.94,11.99,11.75,27632,20039062.0,2.01,0.0,0.0,0.92
220,2025-01-10,恒丰纸业,600356,12.15,11.94,12.21,11.94,33154,24594046.0,2.22,-1.73,-0.21,1.11
219,2025-01-09,恒丰纸业,600356,12.07,12.15,12.15,12.05,31595,23542477.0,0.83,0.25,0.03,1.06
218,2025-01-08,恒丰纸业,600356,12.11,12.12,12.17,11.93,37919,28097898.0,1.98,0.08,0.01,1.27
217,2025-01-07,恒丰纸业,600356,11.97,12.11,12.12,11.93,41555,30657887.0,1.59,1.17,0.14,1.39
216,2025-01-06,恒丰纸业,600356,11.82,11.97,12.05,11.61,64999,47356589.0,3.71,1.01,0.12,2.18
215,2025-01-03,恒丰纸业,600356,12.29,11.85,12.35,11.82,72270,53355720.0,4.32,-3.34,-0.41,2.42
214,2025-01-02,恒丰纸业,600356,12.33,12.26,12.49,12.18,64902,49652972.0,2.51,-0.57,-0.07,2.17
213,2024-12-31,恒丰纸业,600356,12.42,12.33,12.54,12.3,51643,39764934.0,1.93,-0.88,-0.11,1.73
212,2024-12-30,恒丰纸业,600356,12.44,12.44,12.54,12.36,45925,35486697.0,1.44,-0.72,-0.09,1.54
211,2024-12-27,恒丰纸业,600356,12.45,12.53,12.56,12.41,75534,58663576.0,1.2,0.64,0.08,2.53
210,2024-12-26,恒丰纸业,600356,12.25,12.45,12.54,12.25,63941,49369840.0,2.36,1.3,0.16,2.14
209,2024-12-25,恒丰纸业,600356,12.38,12.29,12.44,12.13,68945,52097884.0,2.49,-1.29,-0.16,2.31
208,2024-12-24,恒丰纸业,600356,12.41,12.45,12.47,12.3,56263,43296070.0,1.38,0.97,0.12,1.88
207,2024-12-23,恒丰纸业,600356,12.66,12.33,12.72,12.2,92158,71017561.0,4.1,-2.76,-0.35,3.08
206,2024-12-20,恒丰纸业,600356,12.6,12.68,12.78,12.6,64454,51081210.0,1.42,0.16,0.02,2.16
205,2024-12-19,恒丰纸业,600356,12.66,12.66,12.73,12.55,77810,61254662.0,1.41,-0.71,-0.09,2.6
204,2024-12-18,恒丰纸业,600356,12.73,12.75,12.9,12.63,111743,89338816.0,2.12,0.08,0.01,3.74
203,2024-12-17,恒丰纸业,600356,13.35,12.74,13.38,12.72,189413,154614850.0,4.94,-4.57,-0.61,6.34
202,2024-12-16,恒丰纸业,600356,13.26,13.35,13.41,13.23,133322,112690656.0,1.36,1.06,0.14,4.46
201,2024-12-13,恒丰纸业,600356,13.37,13.21,13.38,13.14,123773,103827250.0,1.8,-1.2,-0.16,4.14
200,2024-12-12,恒丰纸业,600356,13.19,13.37,13.43,13.16,159203,134355338.0,2.05,1.36,0.18,5.33
199,2024-12-11,恒丰纸业,600356,13.14,13.19,13.21,13.1,116272,96732181.0,0.84,0.61,0.08,3.89
198,2024-12-10,恒丰纸业,600356,13.34,13.11,13.39,13.09,169277,140908168.0,2.28,-0.23,-0.03,5.67
197,2024-12-09,恒丰纸业,600356,13.22,13.14,13.43,13.09,187081,156337347.0,2.56,-0.9,-0.12,6.26
196,2024-12-06,恒丰纸业,600356,13.15,13.26,13.47,13.09,234750,197784420.0,2.87,0.08,0.01,7.86
195,2024-12-05,恒丰纸业,600356,13.14,13.25,13.45,13.14,347502,292256991.0,2.22,-5.29,-0.74,11.63
194,2024-12-04,恒丰纸业,600356,14.59,13.99,15.0,13.99,412765,377656295.0,6.65,-7.9,-1.2,13.82
193,2024-12-03,恒丰纸业,600356,15.19,15.19,15.19,14.39,735187,726421066.0,5.67,7.73,1.09,24.61
192,2024-12-02,恒丰纸业,600356,14.1,14.1,14.1,14.1,35362,32179529.0,0.0,7.63,1.0,1.18
191,2024-11-29,恒丰纸业,600356,13.1,13.1,13.1,13.1,13914,11506646.0,0.0,7.38,0.9,0.47
190,2024-11-15,恒丰纸业,600356,12.26,12.2,12.41,12.19,42056,32029918.0,1.79,-0.49,-0.06,1.41
189,2024-11-14,恒丰纸业,600356,12.49,12.26,12.5,12.26,39469,30194056.0,1.92,-1.76,-0.22,1.32
188,2024-11-13,恒丰纸业,600356,12.45,12.48,12.5,12.23,37385,28756527.0,2.17,0.48,0.06,1.25
187,2024-11-12,恒丰纸业,600356,12.48,12.42,12.6,12.37,62669,48798722.0,1.84,-0.48,-0.06,2.1
186,2024-11-11,恒丰纸业,600356,12.35,12.48,12.48,12.35,42408,32739704.0,1.05,0.56,0.07,1.42
185,2024-11-08,恒丰纸业,600356,12.49,12.41,12.54,12.33,52792,40650439.0,1.69,-0.32,-0.04,1.77
184,2024-11-07,恒丰纸业,600356,12.21,12.45,12.47,12.19,57352,44050747.0,2.27,1.06,0.13,1.92
183,2024-11-06,恒丰纸业,600356,12.23,12.32,12.42,12.21,59750,45421158.0,1.71,0.49,0.06,2.0
182,2024-11-05,恒丰纸业,600356,12.23,12.26,12.3,12.14,55177,41522103.0,1.31,0.66,0.08,1.85
181,2024-11-04,恒丰纸业,600356,12.18,12.18,12.25,12.01,59480,44269120.0,1.96,-0.65,-0.08,1.99
180,2024-11-01,恒丰纸业,600356,12.3,12.26,12.51,12.15,90728,69296153.0,2.93,-0.08,-0.01,3.04
179,2024-10-31,恒丰纸业,600356,12.11,12.27,12.35,12.06,88568,67065078.0,2.39,1.32,0.16,2.96
178,2024-10-30,恒丰纸业,600356,12.14,12.11,12.45,12.05,85866,64612489.0,3.33,0.83,0.1,2.87
177,2024-10-29,恒丰纸业,600356,12.53,12.01,12.63,11.99,134631,101797925.0,5.35,0.33,0.04,4.51
176,2024-10-28,恒丰纸业,600356,11.7,11.97,11.97,11.7,50469,36481802.0,2.31,2.31,0.27,1.69
175,2024-10-25,恒丰纸业,600356,11.6,11.7,11.76,11.58,33597,23805030.0,1.55,1.04,0.12,1.12
174,2024-10-24,恒丰纸业,600356,11.53,11.58,11.58,11.51,18298,12762865.0,0.6,-0.09,-0.01,0.61
173,2024-10-23,恒丰纸业,600356,11.57,11.59,11.61,11.51,27626,19325207.0,0.87,0.43,0.05,0.92
172,2024-10-22,恒丰纸业,600356,11.49,11.54,11.6,11.47,24803,17256538.0,1.13,0.26,0.03,0.83
171,2024-10-21,恒丰纸业,600356,11.48,11.51,11.53,11.42,34550,23904303.0,0.96,0.79,0.09,1.16
170,2024-10-18,恒丰纸业,600356,11.18,11.42,11.51,11.18,53540,36588173.0,2.94,1.6,0.18,1.79
169,2024-10-17,恒丰纸业,600356,11.31,11.24,11.39,11.22,24467,16594123.0,1.5,-0.62,-0.07,0.82
168,2024-10-16,恒丰纸业,600356,11.23,11.31,11.34,11.19,27594,18631433.0,1.33,0.27,0.03,0.92
167,2024-10-15,恒丰纸业,600356,11.37,11.28,11.43,11.25,32030,21770440.0,1.58,-1.14,-0.13,1.07
166,2024-10-14,恒丰纸业,600356,11.3,11.41,11.42,11.22,39626,27000566.0,1.77,0.97,0.11,1.33
165,2024-10-11,恒丰纸业,600356,11.46,11.3,11.51,11.19,51927,35313414.0,2.79,-1.65,-0.19,1.74
164,2024-10-10,恒丰纸业,600356,11.46,11.49,11.63,11.33,54674,37913606.0,2.63,0.7,0.08,1.83
163,2024-10-09,恒丰纸业,600356,11.9,11.41,11.94,11.37,77740,54762360.0,4.73,-5.31,-0.64,2.6
162,2024-10-08,恒丰纸业,600356,12.65,12.05,12.65,11.87,131014,98269906.0,6.6,1.95,0.23,4.39
161,2024-09-30,恒丰纸业,600356,11.58,11.82,11.88,11.3,122143,85676492.0,5.16,5.07,0.57,4.09
160,2024-09-27,恒丰纸业,600356,11.15,11.25,11.28,11.05,28147,18708638.0,2.08,1.81,0.2,0.94
159,2024-09-26,恒丰纸业,600356,10.89,11.05,11.05,10.87,26424,17193566.0,1.65,1.47,0.16,0.88
158,2024-09-25,恒丰纸业,600356,10.95,10.89,11.06,10.88,35223,22893753.0,1.66,0.18,0.02,1.18
157,2024-09-24,恒丰纸业,600356,10.75,10.87,10.89,10.68,30758,19576969.0,1.96,1.59,0.17,1.03
156,2024-09-23,恒丰纸业,600356,10.67,10.7,10.73,10.62,19036,11894179.0,1.03,0.28,0.03,0.64
155,2024-09-20,恒丰纸业,600356,10.64,10.67,10.68,10.61,15690,9754213.0,0.66,-0.09,-0.01,0.53
154,2024-09-19,恒丰纸业,600356,10.5,10.68,10.69,10.46,25646,15911129.0,2.2,2.3,0.24,0.86
153,2024-09-18,恒丰纸业,600356,10.49,10.44,10.5,10.33,19008,11461560.0,1.62,-0.67,-0.07,0.64
152,2024-09-13,恒丰纸业,600356,10.56,10.51,10.61,10.51,9461,5814327.0,0.95,-0.66,-0.07,0.32
151,2024-09-12,恒丰纸业,600356,10.51,10.58,10.64,10.51,15772,9760961.0,1.24,0.57,0.06,0.53
150,2024-09-11,恒丰纸业,600356,10.58,10.52,10.59,10.49,14123,8657942.0,0.95,-0.57,-0.06,0.47
149,2024-09-10,恒丰纸业,600356,10.59,10.58,10.59,10.44,13920,8518432.0,1.42,0.19,0.02,0.47
148,2024-09-09,恒丰纸业,600356,10.56,10.56,10.63,10.5,14994,9232278.0,1.23,-0.09,-0.01,0.5
147,2024-09-06,恒丰纸业,600356,10.69,10.57,10.71,10.55,25189,15654188.0,1.5,-1.12,-0.12,0.84
146,2024-09-05,恒丰纸业,600356,10.57,10.69,10.69,10.57,16674,10373056.0,1.13,1.04,0.11,0.56
145,2024-09-04,恒丰纸业,600356,10.57,10.58,10.68,10.55,29895,18559945.0,1.23,0.0,0.0,1.0
144,2024-09-03,恒丰纸业,600356,10.56,10.58,10.68,10.53,25961,16090353.0,1.42,0.09,0.01,0.87
143,2024-09-02,恒丰纸业,600356,10.64,10.57,10.68,10.56,26675,16560185.0,1.13,-0.56,-0.06,0.89
142,2024-08-30,恒丰纸业,600356,10.57,10.63,10.7,10.53,35468,22045850.0,1.61,0.47,0.05,1.19
141,2024-08-29,恒丰纸业,600356,10.52,10.58,10.59,10.51,21845,13453859.0,0.76,0.09,0.01,0.73
140,2024-08-28,恒丰纸业,600356,10.47,10.57,10.62,10.43,17223,10567596.0,1.82,1.05,0.11,0.58
139,2024-08-27,恒丰纸业,600356,10.55,10.46,10.58,10.44,17139,10456015.0,1.33,-0.95,-0.1,0.57
138,2024-08-26,恒丰纸业,600356,10.32,10.56,10.56,10.32,23824,14518379.0,2.32,2.03,0.21,0.8
137,2024-08-23,恒丰纸业,600356,10.33,10.35,10.41,10.29,19104,11420489.0,1.16,0.29,0.03,0.64
136,2024-08-22,恒丰纸业,600356,10.47,10.32,10.51,10.32,18472,11144466.0,1.81,-1.43,-0.15,0.62
135,2024-08-21,恒丰纸业,600356,10.49,10.47,10.52,10.41,28403,17248032.0,1.05,0.19,0.02,0.95
134,2024-08-20,恒丰纸业,600356,10.56,10.45,10.58,10.4,20909,12677562.0,1.71,-0.95,-0.1,0.7
133,2024-08-19,恒丰纸业,600356,10.52,10.55,10.57,10.47,15138,9286977.0,0.95,0.38,0.04,0.51
132,2024-08-16,恒丰纸业,600356,10.56,10.51,10.58,10.47,16458,10084826.0,1.04,-0.47,-0.05,0.55
131,2024-08-15,恒丰纸业,600356,10.51,10.56,10.59,10.44,22514,13809694.0,1.43,0.57,0.06,0.75
130,2024-08-14,恒丰纸业,600356,10.56,10.5,10.57,10.46,13028,7965633.0,1.04,-0.47,-0.05,0.44
129,2024-08-13,恒丰纸业,600356,10.5,10.55,10.55,10.43,18309,11151951.0,1.14,0.48,0.05,0.61
128,2024-08-12,恒丰纸业,600356,10.55,10.5,10.56,10.44,21269,12975171.0,1.14,-0.28,-0.03,0.71
127,2024-08-09,恒丰纸业,600356,10.59,10.53,10.61,10.53,16635,10250076.0,0.76,-0.19,-0.02,0.56
126,2024-08-08,恒丰纸业,600356,10.52,10.55,10.57,10.45,17903,10958121.0,1.14,0.29,0.03,0.6
125,2024-08-07,恒丰纸业,600356,10.52,10.52,10.56,10.49,13100,8022186.0,0.66,-0.28,-0.03,0.44
124,2024-08-06,恒丰纸业,600356,10.5,10.55,10.55,10.46,16582,10122317.0,0.86,1.15,0.12,0.56
123,2024-08-05,恒丰纸业,600356,10.52,10.43,10.59,10.41,22466,13725706.0,1.72,-0.29,-0.03,0.75
122,2024-08-02,恒丰纸业,600356,10.53,10.46,10.57,10.44,17813,10874318.0,1.23,-0.85,-0.09,0.6
121,2024-08-01,恒丰纸业,600356,10.59,10.55,10.61,10.55,18064,11132046.0,0.57,-0.28,-0.03,0.6
120,2024-07-31,恒丰纸业,600356,10.43,10.58,10.58,10.43,25444,15585794.0,1.44,1.63,0.17,0.85
119,2024-07-30,恒丰纸业,600356,10.41,10.41,10.43,10.34,12630,7597325.0,0.87,0.39,0.04,0.42
118,2024-07-29,恒丰纸业,600356,10.37,10.37,10.44,10.33,20249,12159582.0,1.06,0.29,0.03,0.68
117,2024-07-26,恒丰纸业,600356,10.25,10.34,10.37,10.21,13640,8121448.0,1.57,1.27,0.13,0.46
116,2024-07-25,恒丰纸业,600356,10.11,10.21,10.25,10.08,13371,7795510.0,1.67,0.59,0.06,0.45
115,2024-07-24,恒丰纸业,600356,10.25,10.15,10.26,10.14,18212,10631934.0,1.17,-0.98,-0.1,0.61
114,2024-07-23,恒丰纸业,600356,10.41,10.25,10.46,10.22,36090,21526321.0,2.3,-1.91,-0.2,1.21
113,2024-07-22,恒丰纸业,600356,10.2,10.45,10.71,10.19,42905,25875750.0,5.08,2.15,0.22,1.44
112,2024-07-19,恒丰纸业,600356,10.21,10.23,10.28,10.14,10200,5990239.0,1.37,0.2,0.02,0.34
111,2024-07-18,恒丰纸业,600356,10.2,10.21,10.21,10.08,13295,7711638.0,1.27,0.1,0.01,0.45
110,2024-07-17,恒丰纸业,600356,10.22,10.2,10.26,10.16,9184,5374886.0,0.98,-0.29,-0.03,0.31
109,2024-07-16,恒丰纸业,600356,10.25,10.23,10.26,10.19,13011,7636848.0,0.68,-0.39,-0.04,0.44
108,2024-07-15,恒丰纸业,600356,10.35,10.27,10.37,10.23,14789,8727714.0,1.35,-0.77,-0.08,0.5
107,2024-07-12,恒丰纸业,600356,10.38,10.35,10.45,10.32,18760,11262395.0,1.25,-0.29,-0.03,0.63
106,2024-07-11,恒丰纸业,600356,10.25,10.38,10.38,10.22,23708,14111082.0,1.57,1.86,0.19,0.79
105,2024-07-10,恒丰纸业,600356,10.25,10.19,10.25,10.15,15081,8825888.0,0.97,-0.78,-0.08,0.5
104,2024-07-09,恒丰纸业,600356,10.17,10.27,10.28,10.02,23384,13605294.0,2.56,0.98,0.1,0.78
103,2024-07-08,恒丰纸业,600356,10.39,10.17,10.39,10.16,13437,7879929.0,2.22,-1.93,-0.2,0.45
102,2024-07-05,恒丰纸业,600356,10.28,10.37,10.37,10.2,14789,8774050.0,1.66,1.07,0.11,0.5
101,2024-07-04,恒丰纸业,600356,10.51,10.26,10.51,10.26,22973,13747478.0,2.39,-2.01,-0.21,0.77
100,2024-07-03,恒丰纸业,600356,10.5,10.47,10.53,10.44,13471,8214755.0,0.86,0.0,0.0,0.45
99,2024-07-02,恒丰纸业,600356,10.37,10.47,10.51,10.33,18552,11255416.0,1.73,0.87,0.09,0.62
98,2024-07-01,恒丰纸业,600356,10.28,10.38,10.38,10.22,17704,10512064.0,1.56,0.97,0.1,0.59
97,2024-06-28,恒丰纸业,600356,10.23,10.28,10.37,10.22,18511,11006849.0,1.47,0.49,0.05,0.62
96,2024-06-27,恒丰纸业,600356,10.31,10.23,10.43,10.23,17871,10633565.0,1.94,-0.97,-0.1,0.6
95,2024-06-26,恒丰纸业,600356,10.2,10.33,10.33,10.15,17728,10449103.0,1.77,1.57,0.16,0.59
94,2024-06-25,恒丰纸业,600356,10.05,10.17,10.26,10.05,17489,10199367.0,2.09,0.99,0.1,0.59
93,2024-06-24,恒丰纸业,600356,10.33,10.07,10.33,10.05,22716,13160952.0,2.71,-2.52,-0.26,0.76
92,2024-06-21,恒丰纸业,600356,10.29,10.33,10.35,10.22,10911,6482129.0,1.26,0.39,0.04,0.37
91,2024-06-20,恒丰纸业,600356,10.43,10.29,10.43,10.26,20450,12171294.0,1.63,-1.34,-0.14,0.68
90,2024-06-19,恒丰纸业,600356,10.44,10.43,10.46,10.39,14068,8500539.0,0.67,0.0,0.0,0.47
89,2024-06-18,恒丰纸业,600356,10.37,10.43,10.44,10.34,15046,9072782.0,0.96,0.58,0.06,0.5
88,2024-06-17,恒丰纸业,600356,10.44,10.37,10.45,10.34,17138,10294578.0,1.05,-0.77,-0.08,0.57
87,2024-06-14,恒丰纸业,600356,10.39,10.45,10.5,10.34,16966,10252934.0,1.54,0.58,0.06,0.57
86,2024-06-13,恒丰纸业,600356,10.51,10.39,10.55,10.37,25634,15505589.0,1.71,-1.14,-0.12,0.86
85,2024-06-12,恒丰纸业,600356,10.44,10.51,10.53,10.41,21012,12811802.0,1.15,0.67,0.07,0.7
84,2024-06-11,恒丰纸业,600356,10.65,10.44,10.67,10.41,34573,21031754.0,2.43,-2.34,-0.25,1.16
83,2024-06-07,恒丰纸业,600356,10.33,10.69,10.71,10.28,45784,28033027.0,4.2,4.29,0.44,1.53
82,2024-06-06,恒丰纸业,600356,10.53,10.25,10.55,10.19,50682,30198934.0,3.43,-2.38,-0.25,1.7
81,2024-06-05,恒丰纸业,600356,10.62,10.5,10.62,10.5,26785,16452536.0,1.13,-1.04,-0.11,0.9
80,2024-06-04,恒丰纸业,600356,10.7,10.61,10.71,10.53,30675,18976263.0,1.68,-1.21,-0.13,1.03
79,2024-06-03,恒丰纸业,600356,10.91,10.74,10.93,10.69,32094,20425624.0,2.2,-1.65,-0.18,1.07
78,2024-05-31,恒丰纸业,600356,10.91,10.92,10.95,10.86,20639,13315033.0,0.82,0.09,0.01,0.69
77,2024-05-30,恒丰纸业,600356,10.98,10.91,11.03,10.88,19536,12635058.0,1.37,-0.55,-0.06,0.65
76,2024-05-29,恒丰纸业,600356,10.97,10.97,11.06,10.92,22306,14519515.0,1.28,0.27,0.03,0.75
75,2024-05-28,恒丰纸业,600356,11.07,10.94,11.07,10.94,22621,14758725.0,1.18,-1.08,-0.12,0.76
74,2024-05-27,恒丰纸业,600356,11.09,11.06,11.1,10.95,26332,17164898.0,1.36,0.18,0.02,0.88
73,2024-05-24,恒丰纸业,600356,11.05,11.04,11.15,11.03,22495,14806162.0,1.08,-0.45,-0.05,0.75
72,2024-05-23,恒丰纸业,600356,11.28,11.09,11.28,11.04,34174,22573876.0,2.13,-1.68,-0.19,1.14
71,2024-05-22,恒丰纸业,600356,11.33,11.28,11.36,11.21,25587,17289870.0,1.33,0.0,0.0,0.86
70,2024-05-21,恒丰纸业,600356,11.4,11.28,11.44,11.26,33255,22985394.0,1.57,-1.48,-0.17,1.11
69,2024-05-20,恒丰纸业,600356,11.44,11.45,11.47,11.41,34134,23972528.0,0.52,0.17,0.02,1.14
68,2024-05-17,恒丰纸业,600356,11.37,11.43,11.46,11.33,29204,20375448.0,1.14,0.53,0.06,0.98
67,2024-05-16,恒丰纸业,600356,11.38,11.37,11.46,11.33,30591,21380498.0,1.15,0.26,0.03,1.02
66,2024-05-15,恒丰纸业,600356,11.31,11.34,11.49,11.28,32047,22356364.0,1.85,0.09,0.01,1.07
