,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,西南证券,600369,22.63,22.79,22.91,22.55,369508,165078579.0,1.59,0.71,0.16,0.59
240,2025-01-23,西南证券,600369,22.75,22.63,23.19,22.63,571163,257019964.0,2.49,0.53,0.12,0.9
239,2025-01-22,西南证券,600369,22.59,22.51,22.59,22.31,272949,119754626.0,1.24,-0.35,-0.08,0.43
238,2025-01-21,西南证券,600369,22.71,22.59,22.75,22.43,264959,117091330.0,1.41,-0.18,-0.04,0.42
237,2025-01-20,西南证券,600369,22.63,22.63,22.79,22.51,359467,159663013.0,1.24,0.53,0.12,0.57
236,2025-01-17,西南证券,600369,22.47,22.51,22.67,22.39,317013,139805694.0,1.24,-0.18,-0.04,0.5
235,2025-01-16,西南证券,600369,22.59,22.55,22.91,22.39,418065,185451825.0,2.31,0.18,0.04,0.66
234,2025-01-15,西南证券,600369,22.59,22.51,22.63,22.39,341227,150130078.0,1.06,-0.53,-0.12,0.54
233,2025-01-14,西南证券,600369,22.03,22.63,22.71,22.03,579932,254246181.0,3.09,2.72,0.6,0.92
232,2025-01-13,西南证券,600369,21.71,22.03,22.07,21.67,307805,130910624.0,1.83,0.73,0.16,0.49
231,2025-01-10,西南证券,600369,22.23,21.87,22.31,21.83,312525,134419310.0,2.16,-1.44,-0.32,0.49
230,2025-01-09,西南证券,600369,22.15,22.19,22.35,22.15,321764,139517669.0,0.9,-0.18,-0.04,0.51
229,2025-01-08,西南证券,600369,22.39,22.23,22.43,21.83,511933,220492295.0,2.67,-1.07,-0.24,0.81
228,2025-01-07,西南证券,600369,22.35,22.47,22.55,22.15,355472,155046421.0,1.8,0.9,0.2,0.56
227,2025-01-06,西南证券,600369,22.31,22.27,22.43,22.07,386873,167821330.0,1.61,-0.54,-0.12,0.61
226,2025-01-03,西南证券,600369,22.83,22.39,22.87,22.23,523812,230365058.0,2.81,-1.76,-0.4,0.83
225,2025-01-02,西南证券,600369,23.55,22.79,23.55,22.59,735993,335773512.0,4.07,-3.39,-0.8,1.17
224,2024-12-31,西南证券,600369,24.67,23.59,24.75,23.55,946335,453302473.0,4.86,-4.38,-1.08,1.5
223,2024-12-30,西南证券,600369,24.63,24.67,24.71,24.47,434518,213761837.0,0.97,0.0,0.0,0.69
222,2024-12-27,西南证券,600369,24.59,24.67,25.03,24.55,699435,347063841.0,1.95,0.33,0.08,1.11
221,2024-12-26,西南证券,600369,24.59,24.59,24.75,24.47,438587,216261182.0,1.14,0.0,0.0,0.69
220,2024-12-25,西南证券,600369,24.83,24.59,24.83,24.31,473322,232066048.0,2.1,-0.81,-0.2,0.75
219,2024-12-24,西南证券,600369,24.47,24.79,24.83,24.39,505036,249186774.0,1.8,1.31,0.32,0.8
218,2024-12-23,西南证券,600369,24.71,24.47,24.87,24.39,525895,258873081.0,1.94,-1.29,-0.32,0.83
217,2024-12-20,西南证券,600369,24.67,24.79,24.91,24.59,466880,231753635.0,1.3,0.32,0.08,0.74
216,2024-12-19,西南证券,600369,24.59,24.71,24.75,24.35,523576,256990513.0,1.62,-0.16,-0.04,0.83
215,2024-12-18,西南证券,600369,24.95,24.75,25.07,24.63,623878,310916820.0,1.76,-0.8,-0.2,0.99
214,2024-12-17,西南证券,600369,25.03,24.95,25.23,24.79,777359,389615899.0,1.76,-0.32,-0.08,1.23
213,2024-12-16,西南证券,600369,25.35,25.03,25.51,24.95,759765,384268739.0,2.2,-1.57,-0.4,1.2
212,2024-12-13,西南证券,600369,25.67,25.43,25.79,25.35,1523201,785215245.0,1.69,-2.6,-0.68,2.41
211,2024-12-12,西南证券,600369,25.23,26.11,27.03,25.15,2435445,1285235041.0,7.5,4.15,1.04,3.86
210,2024-12-11,西南证券,600369,24.87,25.07,25.19,24.83,589363,296942886.0,1.44,0.32,0.08,0.93
209,2024-12-10,西南证券,600369,26.11,24.99,26.11,24.95,1272647,652906257.0,4.65,0.16,0.04,2.02
208,2024-12-09,西南证券,600369,25.07,24.95,25.31,24.67,1105545,554991971.0,2.53,-1.42,-0.36,1.75
207,2024-12-06,西南证券,600369,24.39,25.31,26.39,24.35,1982153,1014924482.0,8.35,3.6,0.88,3.14
206,2024-12-05,西南证券,600369,24.15,24.43,24.51,24.15,440559,214596216.0,1.49,0.83,0.2,0.7
205,2024-12-04,西南证券,600369,24.47,24.23,24.55,24.11,401641,195503850.0,1.8,-1.14,-0.28,0.64
204,2024-12-03,西南证券,600369,24.51,24.51,24.67,24.19,552353,269575115.0,1.96,-0.16,-0.04,0.87
