,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,龙净环保,600388,74.81,75.51,76.21,74.66,101368,125694558.0,2.08,1.14,0.85,0.8
239,2025-01-24,龙净环保,600388,73.81,74.66,74.76,73.71,71546,87022340.0,1.42,0.95,0.7,0.56
238,2025-01-23,龙净环保,600388,75.21,73.96,75.51,73.71,87899,107163839.0,2.4,-1.27,-0.95,0.69
237,2025-01-22,龙净环保,600388,74.91,74.91,75.96,74.31,82402,101140937.0,2.2,0.0,0.0,0.65
236,2025-01-21,龙净环保,600388,73.56,74.91,75.01,73.26,121836,147973129.0,2.39,2.46,1.8,0.96
235,2025-01-20,龙净环保,600388,74.21,73.11,74.96,72.91,169034,203254506.0,2.77,-1.15,-0.85,1.33
234,2025-01-17,龙净环保,600388,74.31,73.96,74.71,73.86,99400,120537002.0,1.14,-0.67,-0.5,0.78
233,2025-01-16,龙净环保,600388,74.36,74.46,75.51,74.26,92283,112958191.0,1.69,0.4,0.3,0.73
232,2025-01-15,龙净环保,600388,75.61,74.16,76.11,74.01,126859,155345027.0,2.78,-1.92,-1.45,1.0
231,2025-01-14,龙净环保,600388,74.66,75.61,75.86,74.01,157093,192700851.0,2.49,1.68,1.25,1.24
230,2025-01-13,龙净环保,600388,75.31,74.36,75.36,73.56,120214,145727800.0,2.39,-1.2,-0.9,0.95
229,2025-01-10,龙净环保,600388,73.91,75.26,75.91,73.91,90317,110727172.0,2.71,1.83,1.35,0.71
228,2025-01-09,龙净环保,600388,74.36,73.91,75.16,73.86,68268,83040565.0,1.74,-1.0,-0.75,0.54
227,2025-01-08,龙净环保,600388,75.66,74.66,75.81,73.71,117144,142243828.0,2.78,-1.06,-0.8,0.92
226,2025-01-07,龙净环保,600388,75.41,75.46,75.96,74.86,56025,69203138.0,1.46,0.0,0.0,0.44
225,2025-01-06,龙净环保,600388,75.71,75.46,76.06,74.66,78593,97128150.0,1.85,-0.26,-0.2,0.62
224,2025-01-03,龙净环保,600388,76.66,75.66,77.46,75.51,119303,149925589.0,2.55,-1.11,-0.85,0.94
223,2025-01-02,龙净环保,600388,76.66,76.51,77.66,75.96,108639,136979227.0,2.21,-0.46,-0.35,0.86
222,2024-12-31,龙净环保,600388,78.06,76.86,79.01,76.86,70949,91119277.0,2.75,-1.6,-1.25,0.56
221,2024-12-30,龙净环保,600388,77.31,78.11,78.86,77.11,87433,112831126.0,2.25,0.58,0.45,0.69
220,2024-12-27,龙净环保,600388,77.01,77.66,78.41,76.06,109389,139077808.0,3.06,0.98,0.75,0.86
219,2024-12-26,龙净环保,600388,77.81,76.91,78.31,76.91,61369,78286990.0,1.8,-1.09,-0.85,0.48
218,2024-12-25,龙净环保,600388,78.36,77.76,78.61,77.21,58173,74632679.0,1.78,-1.08,-0.85,0.46
217,2024-12-24,龙净环保,600388,77.06,78.61,78.71,76.81,95927,123853396.0,2.46,1.95,1.5,0.76
216,2024-12-23,龙净环保,600388,77.66,77.11,78.36,76.86,95537,121857813.0,1.92,-1.09,-0.85,0.75
215,2024-12-20,龙净环保,600388,79.76,77.96,79.76,77.86,113436,147295147.0,2.38,-2.44,-1.95,0.89
214,2024-12-19,龙净环保,600388,78.61,79.91,80.06,78.06,121925,160404094.0,2.53,1.27,1.0,0.96
213,2024-12-18,龙净环保,600388,78.86,78.91,79.51,78.61,121989,159637381.0,1.14,0.25,0.2,0.96
212,2024-12-17,龙净环保,600388,79.41,78.71,80.11,78.56,133868,175227469.0,1.94,-1.25,-1.0,1.05
211,2024-12-16,龙净环保,600388,79.81,79.71,81.11,78.96,160270,212723633.0,2.68,-0.62,-0.5,1.31
210,2024-12-13,龙净环保,600388,80.01,80.21,80.76,79.06,278114,369788613.0,2.12,0.25,0.2,2.28
209,2024-12-12,龙净环保,600388,79.21,80.01,80.61,78.61,158579,209773372.0,2.53,1.33,1.05,1.3
208,2024-12-11,龙净环保,600388,78.26,78.96,79.11,77.91,135081,176187074.0,1.53,0.89,0.7,1.11
207,2024-12-10,龙净环保,600388,79.41,78.26,79.96,78.16,165797,215672550.0,2.3,-0.19,-0.15,1.36
206,2024-12-09,龙净环保,600388,76.11,78.41,79.06,75.91,325318,418356677.0,4.13,2.82,2.15,2.67
205,2024-12-06,龙净环保,600388,74.66,76.26,77.86,74.66,235822,295722509.0,4.3,2.49,1.85,1.93
204,2024-12-05,龙净环保,600388,75.11,74.41,75.36,74.36,113959,139287256.0,1.33,-1.13,-0.85,0.93
203,2024-12-04,龙净环保,600388,75.06,75.26,75.91,74.96,97419,120336072.0,1.26,-0.2,-0.15,0.8
202,2024-12-03,龙净环保,600388,76.41,75.41,76.61,75.01,144957,179487430.0,2.09,-1.31,-1.0,1.19
201,2024-12-02,龙净环保,600388,76.41,76.41,77.56,76.11,174352,220013807.0,1.9,0.07,0.05,1.43
200,2024-11-29,龙净环保,600388,75.76,76.36,76.61,75.01,153279,190302982.0,2.11,0.59,0.45,1.26
199,2024-11-28,龙净环保,600388,74.91,75.91,78.01,74.61,239026,299820951.0,4.53,1.13,0.85,1.99
198,2024-11-27,龙净环保,600388,74.21,75.06,75.11,73.41,170406,207279878.0,2.29,1.15,0.85,1.42
197,2024-11-26,龙净环保,600388,74.16,74.21,74.61,73.56,196548,237539435.0,1.42,0.54,0.4,1.63
196,2024-11-25,龙净环保,600388,73.21,73.81,74.11,72.66,175826,209970699.0,1.98,0.75,0.55,1.46
195,2024-11-22,龙净环保,600388,73.76,73.26,74.36,73.21,174826,209854844.0,1.56,-0.68,-0.5,1.45
194,2024-11-21,龙净环保,600388,73.76,73.76,74.26,73.56,124864,150250587.0,0.95,0.0,0.0,1.04
193,2024-11-20,龙净环保,600388,73.61,73.76,74.01,73.36,131742,158155560.0,0.88,-0.47,-0.35,1.1
192,2024-11-19,龙净环保,600388,73.21,74.11,74.21,72.26,285246,338250358.0,2.66,1.02,0.75,2.42
191,2024-11-18,龙净环保,600388,72.66,73.36,74.26,71.66,212877,253402472.0,3.6,1.66,1.2,1.81
190,2024-11-15,龙净环保,600388,72.81,72.16,73.41,72.16,159227,188058234.0,1.72,-0.89,-0.65,1.35
189,2024-11-14,龙净环保,600388,74.51,72.81,74.76,72.66,200499,240502925.0,2.82,-2.28,-1.7,1.7
188,2024-11-13,龙净环保,600388,73.51,74.51,74.81,73.21,282100,342042436.0,2.18,1.36,1.0,2.42
187,2024-11-12,龙净环保,600388,73.41,73.51,74.66,73.01,378277,455997658.0,2.23,-0.54,-0.4,3.25
186,2024-11-11,龙净环保,600388,74.41,73.91,74.86,73.11,446127,537602039.0,2.28,-3.52,-2.7,3.87
185,2024-11-08,龙净环保,600388,80.61,76.61,80.66,76.26,330315,423844469.0,5.52,-3.95,-3.15,3.06
184,2024-11-07,龙净环保,600388,78.61,79.76,79.81,78.11,88094,115645556.0,2.15,1.01,0.8,0.81
183,2024-11-06,龙净环保,600388,79.26,78.96,79.61,78.41,111687,145739574.0,1.51,-0.38,-0.3,1.03
182,2024-11-05,龙净环保,600388,78.81,79.26,79.31,77.66,133923,173976318.0,2.09,0.57,0.45,1.24
181,2024-11-04,龙净环保,600388,79.11,78.81,79.61,78.56,56250,73529212.0,1.32,-0.57,-0.45,0.52
180,2024-11-01,龙净环保,600388,81.86,79.26,81.86,79.11,97146,129163856.0,3.4,-1.98,-1.6,0.9
179,2024-10-31,龙净环保,600388,81.61,80.86,81.76,80.51,88939,119828799.0,1.53,-0.98,-0.8,0.82
178,2024-10-30,龙净环保,600388,81.46,81.66,82.31,80.21,141414,191262411.0,2.55,-0.85,-0.7,1.31
177,2024-10-29,龙净环保,600388,81.76,82.36,82.66,80.51,138589,188422288.0,2.63,0.92,0.75,1.28
176,2024-10-28,龙净环保,600388,78.91,81.61,81.86,77.76,174612,232285709.0,5.2,3.42,2.7,1.62
175,2024-10-25,龙净环保,600388,78.66,78.91,79.36,77.71,97895,127094563.0,2.09,0.06,0.05,0.91
174,2024-10-24,龙净环保,600388,78.66,78.86,79.41,78.51,67678,88143278.0,1.14,-0.32,-0.25,0.63
