,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,盛和资源,600392,80.36,78.81,81.07,78.6,189855,204217671.0,3.07,-2.01,-1.62,1.08
239,2025-01-24,盛和资源,600392,79.3,80.43,80.65,79.16,201700,218525532.0,1.88,1.34,1.06,1.15
238,2025-01-23,盛和资源,600392,79.94,79.37,82.2,79.37,308109,337241574.0,3.57,0.09,0.07,1.76
237,2025-01-22,盛和资源,600392,79.37,79.3,80.15,79.02,162003,174218935.0,1.42,-0.45,-0.36,0.92
236,2025-01-21,盛和资源,600392,80.86,79.66,81.21,78.81,230923,248452945.0,2.98,-1.23,-0.99,1.32
235,2025-01-20,盛和资源,600392,81.92,80.65,82.27,80.36,274964,301407249.0,2.33,-1.63,-1.34,1.57
234,2025-01-17,盛和资源,600392,82.63,81.99,82.63,80.65,344020,380633478.0,2.4,-0.51,-0.42,1.96
233,2025-01-16,盛和资源,600392,82.06,82.41,84.39,81.42,491616,551753482.0,3.65,1.22,0.99,2.8
232,2025-01-15,盛和资源,600392,81.21,81.42,83.62,79.87,445205,489968954.0,4.59,-0.27,-0.22,2.54
231,2025-01-14,盛和资源,600392,76.97,81.64,81.85,76.19,586382,630575791.0,7.33,5.78,4.46,3.35
230,2025-01-13,盛和资源,600392,75.77,77.18,78.6,75.2,388637,404776719.0,4.45,1.01,0.77,2.22
229,2025-01-10,盛和资源,600392,76.62,76.41,78.53,75.84,299882,311370156.0,3.53,0.38,0.29,1.71
228,2025-01-09,盛和资源,600392,74.71,76.12,77.18,74.43,238362,245663137.0,3.66,1.41,1.06,1.36
227,2025-01-08,盛和资源,600392,76.33,75.06,76.83,73.44,284211,287119559.0,4.4,-2.57,-1.98,1.62
226,2025-01-07,盛和资源,600392,76.19,77.04,79.09,74.92,316170,329729388.0,5.47,1.12,0.85,1.8
225,2025-01-06,盛和资源,600392,73.79,76.19,77.96,73.51,388131,399096467.0,6.02,3.06,2.26,2.21
224,2025-01-03,盛和资源,600392,74.85,73.93,76.62,73.79,268624,272381889.0,3.79,-0.95,-0.71,1.53
223,2025-01-02,盛和资源,600392,76.26,74.64,76.83,73.93,203057,206884657.0,3.81,-1.94,-1.48,1.16
222,2024-12-31,盛和资源,600392,78.88,76.12,79.23,76.12,169033,176346812.0,3.95,-3.41,-2.69,0.96
221,2024-12-30,盛和资源,600392,78.67,78.81,79.23,78.1,126216,134393872.0,1.43,0.0,0.0,0.72
220,2024-12-27,盛和资源,600392,77.96,78.81,80.15,77.96,210316,225490227.0,2.8,0.73,0.57,1.2
219,2024-12-26,盛和资源,600392,77.75,78.24,79.16,77.75,111754,118644167.0,1.81,0.27,0.21,0.64
218,2024-12-25,盛和资源,600392,79.66,78.03,79.66,77.61,144893,153447410.0,2.57,-2.13,-1.7,0.83
217,2024-12-24,盛和资源,600392,78.6,79.73,80.01,78.53,163348,175594709.0,1.89,1.62,1.27,0.93
216,2024-12-23,盛和资源,600392,80.36,78.46,80.65,77.89,174106,186364741.0,3.45,-2.02,-1.62,0.99
215,2024-12-20,盛和资源,600392,80.01,80.08,80.65,79.37,143230,155306172.0,1.6,0.0,0.0,0.82
214,2024-12-19,盛和资源,600392,79.16,80.08,80.36,78.38,193634,207868765.0,2.48,0.18,0.14,1.1
213,2024-12-18,盛和资源,600392,80.51,79.94,81.07,79.8,162856,177321866.0,1.58,-0.61,-0.49,0.93
212,2024-12-17,盛和资源,600392,80.72,80.43,82.06,80.08,196941,215914007.0,2.45,-0.53,-0.43,1.12
211,2024-12-16,盛和资源,600392,81.92,80.86,82.27,80.51,219332,241168014.0,2.14,-1.46,-1.2,1.25
210,2024-12-13,盛和资源,600392,83.76,82.06,83.76,81.92,303939,339700983.0,2.18,-2.6,-2.19,1.73
209,2024-12-12,盛和资源,600392,84.32,84.25,84.61,83.19,255802,291017449.0,1.68,-0.51,-0.43,1.46
208,2024-12-11,盛和资源,600392,83.47,84.68,84.82,83.47,201059,229869249.0,1.61,1.01,0.85,1.15
207,2024-12-10,盛和资源,600392,85.81,83.83,86.16,83.76,305699,352905015.0,2.87,0.08,0.07,1.74
206,2024-12-09,盛和资源,600392,84.96,83.76,85.81,82.7,222141,253847711.0,3.65,-1.57,-1.34,1.27
205,2024-12-06,盛和资源,600392,84.53,85.1,85.52,83.33,259674,297805613.0,2.59,0.58,0.49,1.48
204,2024-12-05,盛和资源,600392,85.31,84.61,85.74,84.04,316477,364105348.0,1.97,-1.72,-1.48,1.81
203,2024-12-04,盛和资源,600392,87.79,86.09,88.14,85.31,468887,550635223.0,3.3,0.24,0.21,2.68
202,2024-12-03,盛和资源,600392,86.02,85.88,87.5,84.89,427141,500751921.0,3.03,-0.16,-0.14,2.44
201,2024-12-02,盛和资源,600392,84.46,86.02,86.58,84.04,373146,433858094.0,3.0,1.76,1.49,2.13
200,2024-11-29,盛和资源,600392,82.48,84.53,85.1,81.35,420221,476604279.0,4.53,2.21,1.83,2.4
199,2024-11-28,盛和资源,600392,83.47,82.7,84.39,82.34,255127,288583234.0,2.45,-1.27,-1.06,1.46
198,2024-11-27,盛和资源,600392,81.92,83.76,83.76,79.73,454138,502295026.0,4.85,0.77,0.64,2.59
197,2024-11-26,盛和资源,600392,84.53,83.12,86.58,82.98,356911,409488786.0,4.26,-1.67,-1.41,2.04
196,2024-11-25,盛和资源,600392,84.39,84.53,86.66,83.12,528191,608769259.0,4.15,-0.83,-0.71,3.01
195,2024-11-22,盛和资源,600392,85.31,85.24,89.34,83.26,871010,1020198598.0,7.11,-0.33,-0.28,4.97
194,2024-11-21,盛和资源,600392,86.02,85.52,87.08,84.61,370918,433403745.0,2.87,-0.58,-0.5,2.12
193,2024-11-20,盛和资源,600392,85.03,86.02,86.73,84.68,408635,477314651.0,2.41,1.0,0.85,2.33
192,2024-11-19,盛和资源,600392,83.54,85.17,85.38,82.48,386077,440121243.0,3.47,1.95,1.63,2.2
191,2024-11-18,盛和资源,600392,86.37,83.54,86.94,82.91,428305,493095688.0,4.74,-1.75,-1.49,2.44
190,2024-11-15,盛和资源,600392,88.21,85.03,89.2,84.96,509553,604523983.0,4.78,-4.15,-3.68,2.91
189,2024-11-14,盛和资源,600392,93.09,88.71,93.37,88.42,670072,828650680.0,5.26,-5.71,-5.37,3.82
188,2024-11-13,盛和资源,600392,93.09,94.08,97.26,92.95,657440,852028107.0,4.61,0.68,0.64,3.75
187,2024-11-12,盛和资源,600392,95.21,93.44,96.62,92.52,687406,888445899.0,4.29,-2.15,-2.05,3.92
186,2024-11-11,盛和资源,600392,91.25,95.49,95.56,90.9,872400,1122299350.0,5.03,2.98,2.76,4.98
185,2024-11-08,盛和资源,600392,96.62,92.73,97.97,92.38,1278384,1658560599.0,5.8,-3.75,-3.61,7.29
184,2024-11-07,盛和资源,600392,96.62,96.34,101.5,94.85,1415672,1882540930.0,6.69,-3.13,-3.11,8.08
183,2024-11-06,盛和资源,600392,96.34,99.45,104.4,93.79,2427116,3263690166.0,10.71,0.35,0.35,13.85
182,2024-11-05,盛和资源,600392,88.14,99.1,102.14,88.14,2648769,3446794149.0,15.02,6.3,5.87,15.11
181,2024-11-04,盛和资源,600392,100.16,93.23,100.16,88.99,3053949,3956419799.0,12.23,2.09,1.91,17.42
180,2024-11-01,盛和资源,600392,85.31,91.32,91.32,83.54,1035587,1254602221.0,9.34,9.59,7.99,5.91
179,2024-10-31,盛和资源,600392,76.69,83.33,83.33,76.12,1729101,1914957327.0,9.48,9.57,7.28,9.86
178,2024-10-30,盛和资源,600392,78.03,76.05,78.03,75.06,599588,618818279.0,3.8,-2.62,-2.05,3.42
177,2024-10-29,盛和资源,600392,75.49,78.1,82.48,75.13,970058,1029981989.0,9.7,3.08,2.33,5.53
176,2024-10-28,盛和资源,600392,73.72,75.77,75.98,73.72,376403,383425125.0,3.03,1.7,1.27,2.15
175,2024-10-25,盛和资源,600392,71.81,74.5,76.55,71.74,547804,549743319.0,6.69,3.54,2.55,3.13
174,2024-10-24,盛和资源,600392,72.66,71.95,73.58,71.6,229250,223282298.0,2.71,-1.64,-1.2,1.31
173,2024-10-23,盛和资源,600392,72.45,73.15,74.0,71.67,426222,420272250.0,3.22,0.97,0.7,2.43
