,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,国电南瑞,600406,868.18,886.52,895.01,866.82,364663,848911748.0,3.24,1.87,16.3,0.46
240,2025-01-23,国电南瑞,600406,895.69,870.22,899.77,866.82,415259,959316720.0,3.69,-2.62,-23.44,0.52
239,2025-01-22,国电南瑞,600406,899.43,893.66,903.51,878.37,270150,633602531.0,2.82,0.42,3.74,0.34
238,2025-01-21,国电南瑞,600406,877.35,889.92,896.03,873.28,298859,698953510.0,2.61,2.14,18.68,0.37
237,2025-01-20,国电南瑞,600406,883.47,871.24,893.32,869.2,328232,756503286.0,2.76,-0.39,-3.4,0.41
236,2025-01-17,国电南瑞,600406,872.26,874.64,884.82,864.11,232028,534804646.0,2.37,0.27,2.38,0.29
235,2025-01-16,国电南瑞,600406,884.82,872.26,893.66,867.5,285364,657614211.0,2.96,-1.31,-11.55,0.36
234,2025-01-15,国电南瑞,600406,896.03,883.81,901.47,883.13,187975,440302926.0,2.04,-1.74,-15.62,0.24
233,2025-01-14,国电南瑞,600406,882.45,899.43,905.2,871.92,220539,517716696.0,3.77,1.92,16.98,0.28
232,2025-01-13,国电南瑞,600406,887.2,882.45,896.71,878.37,164636,383323308.0,2.06,-0.95,-8.49,0.21
231,2025-01-10,国电南瑞,600406,904.52,890.94,904.52,890.94,127945,301761915.0,1.51,-0.98,-8.83,0.16
230,2025-01-09,国电南瑞,600406,894.34,899.77,911.66,887.54,195129,462090963.0,2.69,0.42,3.74,0.24
229,2025-01-08,国电南瑞,600406,901.47,896.03,904.86,885.5,187876,442158899.0,2.15,-0.57,-5.1,0.24
228,2025-01-07,国电南瑞,600406,902.15,901.13,914.71,897.05,171627,409531928.0,1.96,-0.15,-1.36,0.21
227,2025-01-06,国电南瑞,600406,911.32,902.49,914.71,897.05,193497,461225193.0,1.95,-0.26,-2.37,0.24
226,2025-01-03,国电南瑞,600406,914.71,904.86,924.56,902.15,200125,481907684.0,2.44,-1.33,-12.23,0.25
225,2025-01-02,国电南瑞,600406,950.38,917.09,952.08,912.0,349585,853884318.0,4.21,-3.57,-33.97,0.44
224,2024-12-31,国电南瑞,600406,944.6,951.06,957.85,940.19,306032,771014965.0,1.86,0.43,4.08,0.38
223,2024-12-30,国电南瑞,600406,944.6,946.98,959.89,943.59,173392,436942157.0,1.72,0.11,1.02,0.22
222,2024-12-27,国电南瑞,600406,940.53,945.96,949.7,937.13,145783,364592137.0,1.33,0.04,0.34,0.18
221,2024-12-26,国电南瑞,600406,943.92,945.62,950.04,936.11,124647,311953724.0,1.48,0.22,2.03,0.16
220,2024-12-25,国电南瑞,600406,951.74,943.59,958.53,940.19,147309,370013802.0,1.93,-0.86,-8.15,0.18
219,2024-12-24,国电南瑞,600406,938.49,951.74,952.42,934.41,264970,665479057.0,1.93,1.89,17.67,0.33
218,2024-12-23,国电南瑞,600406,935.77,934.07,947.32,933.4,195180,485882348.0,1.48,-0.47,-4.42,0.24
217,2024-12-20,国电南瑞,600406,946.64,938.49,949.7,930.34,219649,546846510.0,2.05,-0.83,-7.81,0.28
216,2024-12-19,国电南瑞,600406,927.62,946.3,948.34,920.83,271771,677753455.0,2.96,1.94,18.0,0.34
215,2024-12-18,国电南瑞,600406,931.7,928.3,936.11,924.9,152643,375709038.0,1.21,0.15,1.36,0.19
214,2024-12-17,国电南瑞,600406,909.96,926.94,935.09,907.92,254857,623101417.0,2.98,1.6,14.6,0.32
213,2024-12-16,国电南瑞,600406,925.58,912.34,937.81,909.62,314574,762753729.0,3.05,-1.39,-12.9,0.39
212,2024-12-13,国电南瑞,600406,937.13,925.24,942.57,924.22,315228,777731598.0,1.94,-2.12,-20.04,0.39
211,2024-12-12,国电南瑞,600406,938.83,945.28,945.62,935.09,196441,489399896.0,1.12,0.36,3.39,0.25
210,2024-12-11,国电南瑞,600406,944.6,941.89,944.6,933.74,228525,567817360.0,1.15,0.14,1.36,0.29
209,2024-12-10,国电南瑞,600406,953.77,940.53,958.53,937.47,280056,703479883.0,2.24,-0.04,-0.34,0.35
208,2024-12-09,国电南瑞,600406,938.83,940.87,946.3,934.07,177841,442730750.0,1.3,0.22,2.04,0.22
207,2024-12-06,国电南瑞,600406,930.0,938.83,943.59,927.62,207406,515148484.0,1.72,1.02,9.51,0.26
206,2024-12-05,国电南瑞,600406,936.79,929.32,937.47,927.62,197157,485284633.0,1.05,-1.12,-10.53,0.25
205,2024-12-04,国电南瑞,600406,943.59,939.85,946.3,930.68,196171,487426843.0,1.65,-0.47,-4.41,0.25
204,2024-12-03,国电南瑞,600406,932.38,944.26,948.0,927.96,349342,870902307.0,2.15,1.39,12.9,0.44
203,2024-12-02,国电南瑞,600406,937.13,931.36,937.13,924.22,273313,672658995.0,1.38,-0.15,-1.36,0.34
202,2024-11-29,国电南瑞,600406,936.11,932.72,942.91,926.94,193222,478498822.0,1.72,0.26,2.38,0.24
201,2024-11-28,国电南瑞,600406,944.26,930.34,944.26,926.94,231294,571502018.0,1.84,-1.4,-13.25,0.29
200,2024-11-27,国电南瑞,600406,941.21,943.59,944.6,929.66,206784,514014993.0,1.59,0.25,2.38,0.26
199,2024-11-26,国电南瑞,600406,943.59,941.21,951.74,937.13,196877,492067723.0,1.54,-0.5,-4.75,0.25
198,2024-11-25,国电南瑞,600406,970.76,945.96,974.49,944.6,330958,840011410.0,3.08,-2.59,-25.14,0.41
197,2024-11-22,国电南瑞,600406,1006.08,971.1,1006.42,970.76,279375,732106669.0,3.56,-3.18,-31.92,0.35
196,2024-11-21,国电南瑞,600406,996.23,1003.02,1004.38,991.14,227609,606479029.0,1.33,0.96,9.51,0.29
195,2024-11-20,国电南瑞,600406,991.48,993.51,996.23,981.63,153580,404856900.0,1.47,0.27,2.71,0.19
194,2024-11-19,国电南瑞,600406,988.76,990.8,1002.69,981.63,159739,420957200.0,2.13,0.24,2.38,0.2
193,2024-11-18,国电南瑞,600406,984.68,988.42,999.97,981.97,202661,536038664.0,1.83,0.38,3.74,0.25
192,2024-11-15,国电南瑞,600406,984.68,984.68,1004.38,974.49,260460,686194822.0,3.01,-0.72,-7.14,0.33
191,2024-11-14,国电南瑞,600406,1000.31,991.82,1016.61,989.78,230133,615278575.0,2.66,-1.62,-16.3,0.29
190,2024-11-13,国电南瑞,600406,985.7,1008.12,1011.18,984.68,344273,920221522.0,2.69,2.27,22.42,0.43
189,2024-11-12,国电南瑞,600406,1000.31,985.7,1029.18,984.0,477526,1270720619.0,4.46,-2.62,-26.5,0.6
188,2024-11-11,国电南瑞,600406,1006.42,1012.2,1020.69,1006.08,283076,764767835.0,1.43,-0.93,-9.51,0.35
187,2024-11-08,国电南瑞,600406,1024.76,1021.71,1041.41,1018.65,332136,911629369.0,2.23,0.13,1.36,0.42
186,2024-11-07,国电南瑞,600406,1006.08,1020.35,1024.08,1006.08,230552,625979635.0,1.79,1.45,14.61,0.29
185,2024-11-06,国电南瑞,600406,1009.82,1005.74,1023.74,1001.67,240345,649222920.0,2.18,-0.57,-5.78,0.3
184,2024-11-05,国电南瑞,600406,994.53,1011.52,1012.54,990.46,264406,709545803.0,2.21,1.22,12.23,0.33
183,2024-11-04,国电南瑞,600406,997.93,999.29,1012.54,991.82,219313,584415578.0,2.08,0.34,3.4,0.27
