,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,青松建化,600425,16.21,16.13,16.25,16.01,105594,39131395.0,1.48,-0.49,-0.08,0.77
240,2025-01-23,青松建化,600425,16.21,16.21,16.44,16.17,92390,34693632.0,1.67,0.5,0.08,0.67
239,2025-01-22,青松建化,600425,16.29,16.13,16.29,16.09,65310,24312479.0,1.23,-0.74,-0.12,0.47
238,2025-01-21,青松建化,600425,16.44,16.25,16.44,16.21,78243,29336429.0,1.41,-0.73,-0.12,0.57
237,2025-01-20,青松建化,600425,16.4,16.37,16.52,16.21,99590,37633340.0,1.89,0.0,0.0,0.72
236,2025-01-17,青松建化,600425,16.48,16.37,16.48,16.21,86939,32793870.0,1.64,-0.43,-0.07,0.63
235,2025-01-16,青松建化,600425,16.37,16.44,16.56,16.29,97500,36938775.0,1.66,0.92,0.15,0.71
234,2025-01-15,青松建化,600425,16.29,16.29,16.4,16.13,87670,32840891.0,1.66,0.0,0.0,0.64
233,2025-01-14,青松建化,600425,15.94,16.29,16.33,15.94,127317,47337149.0,2.45,2.45,0.39,0.92
232,2025-01-13,青松建化,600425,15.74,15.9,16.01,15.62,90992,33103218.0,2.45,0.0,0.0,0.66
231,2025-01-10,青松建化,600425,16.25,15.9,16.25,15.9,93849,34582067.0,2.17,-1.43,-0.23,0.68
230,2025-01-09,青松建化,600425,16.17,16.13,16.33,16.09,91545,34102503.0,1.47,-1.22,-0.2,0.66
229,2025-01-08,青松建化,600425,16.33,16.33,16.4,16.05,111584,41724038.0,2.13,-0.43,-0.07,0.81
228,2025-01-07,青松建化,600425,16.4,16.4,16.52,16.13,143095,53744593.0,2.37,-0.24,-0.04,1.04
227,2025-01-06,青松建化,600425,16.01,16.44,16.44,15.82,216171,80753548.0,3.86,2.43,0.39,1.57
226,2025-01-03,青松建化,600425,16.64,16.05,16.64,16.05,209125,78568617.0,3.57,-2.85,-0.47,1.52
225,2025-01-02,青松建化,600425,16.95,16.52,17.11,16.48,237223,92091936.0,3.72,-2.54,-0.43,1.72
224,2024-12-31,青松建化,600425,17.54,16.95,17.61,16.79,292193,116152623.0,4.67,-3.53,-0.62,2.12
223,2024-12-30,青松建化,600425,17.57,17.57,17.77,17.42,188642,76927916.0,1.98,-0.45,-0.08,1.37
222,2024-12-27,青松建化,600425,17.5,17.65,17.69,17.38,178952,73068948.0,1.78,1.09,0.19,1.3
221,2024-12-26,青松建化,600425,17.46,17.46,17.61,17.34,136661,55336526.0,1.54,-0.23,-0.04,0.99
220,2024-12-25,青松建化,600425,18.04,17.5,18.08,17.34,299359,122176986.0,4.08,-3.42,-0.62,2.17
219,2024-12-24,青松建化,600425,17.26,18.12,18.28,17.18,505770,209069482.0,6.39,5.23,0.9,3.67
218,2024-12-23,青松建化,600425,17.57,17.22,17.93,16.95,352477,142767667.0,5.66,-0.46,-0.08,2.56
217,2024-12-20,青松建化,600425,17.18,17.3,17.46,17.11,181842,73012032.0,2.04,0.87,0.15,1.32
216,2024-12-19,青松建化,600425,16.99,17.15,17.26,16.91,164501,65046812.0,2.03,-0.41,-0.07,1.19
215,2024-12-18,青松建化,600425,17.34,17.22,17.54,17.15,209784,84385723.0,2.25,-0.46,-0.08,1.52
214,2024-12-17,青松建化,600425,18.04,17.3,18.08,17.22,384756,156538222.0,4.77,-4.1,-0.74,2.79
213,2024-12-16,青松建化,600425,18.39,18.04,18.51,17.96,262266,111101504.0,3.0,-1.53,-0.28,1.9
212,2024-12-13,青松建化,600425,18.71,18.32,18.94,18.24,375394,162541728.0,3.74,-2.08,-0.39,2.72
211,2024-12-12,青松建化,600425,18.67,18.71,18.98,18.55,442973,193577631.0,2.3,0.21,0.04,3.21
210,2024-12-11,青松建化,600425,18.12,18.67,18.78,18.12,816295,352001133.0,3.54,0.0,0.0,5.92
209,2024-12-10,青松建化,600425,18.04,18.67,19.29,17.77,1630172,718119778.0,8.59,5.54,0.98,11.82
208,2024-12-09,青松建化,600425,17.81,17.69,18.0,17.57,236597,97642697.0,2.41,-0.67,-0.12,1.72
207,2024-12-06,青松建化,600425,17.54,17.81,17.85,17.46,331443,136358435.0,2.22,1.37,0.24,2.4
206,2024-12-05,青松建化,600425,17.5,17.57,17.61,17.46,184818,75164118.0,0.86,0.17,0.03,1.34
205,2024-12-04,青松建化,600425,17.85,17.54,17.85,17.42,199972,81839045.0,2.4,-2.18,-0.39,1.45
204,2024-12-03,青松建化,600425,18.0,17.93,18.12,17.69,234189,97399675.0,2.41,0.45,0.08,1.7
203,2024-12-02,青松建化,600425,17.46,17.85,18.0,17.42,311422,128610392.0,3.31,2.0,0.35,2.26
202,2024-11-29,青松建化,600425,17.46,17.5,17.54,17.18,220736,89247821.0,2.06,0.23,0.04,1.6
201,2024-11-28,青松建化,600425,17.5,17.46,17.69,17.3,222800,90596914.0,2.23,-0.23,-0.04,1.62
200,2024-11-27,青松建化,600425,18.0,17.5,18.0,17.11,449849,181659811.0,4.99,-1.96,-0.35,3.26
199,2024-11-26,青松建化,600425,18.43,17.85,18.43,17.77,374090,157346767.0,3.58,-3.15,-0.58,2.71
198,2024-11-25,青松建化,600425,17.54,18.43,18.43,17.18,738896,309871157.0,7.07,4.18,0.74,5.36
197,2024-11-22,青松建化,600425,17.54,17.69,18.43,17.38,878866,368246728.0,6.01,1.32,0.23,6.37
196,2024-11-21,青松建化,600425,17.38,17.46,17.57,17.26,199046,80378224.0,1.78,0.46,0.08,1.44
195,2024-11-20,青松建化,600425,16.87,17.38,17.38,16.79,314915,125188145.0,3.47,2.3,0.39,2.28
194,2024-11-19,青松建化,600425,17.11,16.99,17.26,16.72,282594,110685148.0,3.14,-1.11,-0.19,2.05
193,2024-11-18,青松建化,600425,17.73,17.18,17.89,17.07,406991,163432539.0,4.76,-0.23,-0.04,2.95
192,2024-11-15,青松建化,600425,16.91,17.22,17.34,16.83,418416,166435161.0,3.0,1.35,0.23,3.03
191,2024-11-14,青松建化,600425,17.11,16.99,17.38,16.83,315058,124586356.0,3.21,-0.7,-0.12,2.29
190,2024-11-13,青松建化,600425,16.91,17.11,17.18,16.87,240301,94706510.0,1.84,1.42,0.24,1.74
189,2024-11-12,青松建化,600425,16.99,16.87,17.15,16.79,292977,115386201.0,2.11,-0.94,-0.16,2.12
188,2024-11-11,青松建化,600425,17.03,17.03,17.26,16.72,371341,145126119.0,3.16,-0.47,-0.08,2.69
187,2024-11-08,青松建化,600425,17.65,17.11,17.73,16.99,523976,209431234.0,4.21,-2.62,-0.46,3.8
186,2024-11-07,青松建化,600425,17.07,17.57,17.81,16.95,683436,277014239.0,5.03,2.69,0.46,4.96
185,2024-11-06,青松建化,600425,16.83,17.11,17.18,16.64,469787,185035693.0,3.22,1.91,0.32,3.41
184,2024-11-05,青松建化,600425,16.48,16.79,16.83,16.44,310746,119791317.0,2.36,1.63,0.27,2.25
183,2024-11-04,青松建化,600425,16.64,16.52,16.72,16.33,246603,93677556.0,2.34,-0.72,-0.12,1.79
182,2024-11-01,青松建化,600425,16.83,16.64,16.87,16.4,337090,129917161.0,2.8,-0.72,-0.12,2.44
181,2024-10-31,青松建化,600425,16.6,16.76,17.22,16.52,580978,225030420.0,4.26,1.95,0.32,4.21
180,2024-10-30,青松建化,600425,16.01,16.44,16.6,15.98,470578,177410129.0,3.88,2.88,0.46,3.41
179,2024-10-29,青松建化,600425,16.33,15.98,16.4,15.94,257323,95404849.0,2.82,-2.14,-0.35,1.87
178,2024-10-28,青松建化,600425,15.9,16.33,16.33,15.82,400141,148850667.0,3.21,2.7,0.43,2.9
177,2024-10-25,青松建化,600425,15.78,15.9,15.9,15.7,208410,75736201.0,1.27,0.76,0.12,1.51
176,2024-10-24,青松建化,600425,15.82,15.78,15.9,15.7,130878,47369988.0,1.26,-0.75,-0.12,0.95
175,2024-10-23,青松建化,600425,15.86,15.9,16.09,15.82,170472,62440981.0,1.7,0.0,0.0,1.24
174,2024-10-22,青松建化,600425,15.74,15.9,15.9,15.74,153682,55870286.0,1.01,0.25,0.04,1.11
173,2024-10-21,青松建化,600425,15.94,15.86,16.01,15.74,229584,83478086.0,1.69,-0.94,-0.15,1.67
172,2024-10-18,青松建化,600425,15.82,16.01,16.05,15.62,311855,113757338.0,2.71,0.95,0.15,2.26
171,2024-10-17,青松建化,600425,16.25,15.86,16.44,15.82,297987,110027383.0,3.81,-2.64,-0.43,2.16
170,2024-10-16,青松建化,600425,15.78,16.29,16.48,15.7,410640,153249673.0,4.92,2.71,0.43,2.98
169,2024-10-15,青松建化,600425,16.05,15.86,16.05,15.82,203571,74531482.0,1.43,-1.18,-0.19,1.48
168,2024-10-14,青松建化,600425,15.82,16.05,16.13,15.59,277004,101366813.0,3.44,2.23,0.35,2.01
167,2024-10-11,青松建化,600425,15.9,15.7,15.94,15.62,208661,75472380.0,2.01,-1.26,-0.2,1.51
166,2024-10-10,青松建化,600425,15.51,15.9,16.21,15.43,384933,140231199.0,5.03,2.51,0.39,2.79
165,2024-10-09,青松建化,600425,16.37,15.51,16.37,15.43,477963,174367537.0,5.62,-7.24,-1.21,3.47
164,2024-10-08,青松建化,600425,17.73,16.72,17.73,16.21,898477,351021299.0,9.33,2.64,0.43,6.52
163,2024-09-30,青松建化,600425,15.86,16.29,16.44,15.62,708683,261729222.0,5.36,6.4,0.98,5.14
162,2024-09-27,青松建化,600425,15.04,15.31,15.31,14.84,185563,63783739.0,3.17,3.17,0.47,1.35
161,2024-09-26,青松建化,600425,14.38,14.84,14.84,14.34,215964,71781778.0,3.47,2.91,0.42,1.57
160,2024-09-25,青松建化,600425,14.38,14.42,14.65,14.34,295081,97090008.0,2.18,1.41,0.2,2.14
159,2024-09-24,青松建化,600425,13.91,14.22,14.22,13.87,229891,73305217.0,2.52,2.52,0.35,1.67
158,2024-09-23,青松建化,600425,13.83,13.87,13.87,13.79,54037,16877875.0,0.58,0.0,0.0,0.39
157,2024-09-20,青松建化,600425,13.83,13.87,13.91,13.79,70303,21966893.0,0.87,0.29,0.04,0.51
156,2024-09-19,青松建化,600425,13.67,13.83,13.91,13.6,88502,27537414.0,2.27,1.39,0.19,0.64
155,2024-09-18,青松建化,600425,13.56,13.64,13.67,13.44,47163,14379908.0,1.69,0.29,0.04,0.34
154,2024-09-13,青松建化,600425,13.56,13.6,13.64,13.52,46811,14299090.0,0.88,0.29,0.04,0.34
153,2024-09-12,青松建化,600425,13.6,13.56,13.67,13.52,32224,9853971.0,1.11,0.0,0.0,0.23
152,2024-09-11,青松建化,600425,13.64,13.56,13.64,13.48,44161,13483441.0,1.17,-0.59,-0.08,0.32
151,2024-09-10,青松建化,600425,13.64,13.64,13.71,13.48,51107,15631699.0,1.68,-0.22,-0.03,0.37
150,2024-09-09,青松建化,600425,13.6,13.67,13.75,13.56,45587,13999066.0,1.39,0.0,0.0,0.33
149,2024-09-06,青松建化,600425,13.75,13.67,13.91,13.64,58790,18216035.0,1.96,-0.87,-0.12,0.43
148,2024-09-05,青松建化,600425,13.71,13.79,13.79,13.67,70916,21949310.0,0.88,0.58,0.08,0.51
147,2024-09-04,青松建化,600425,13.87,13.71,13.95,13.67,86577,26932457.0,2.01,-1.72,-0.24,0.63
146,2024-09-03,青松建化,600425,13.83,13.95,13.95,13.71,92129,28810391.0,1.74,0.87,0.12,0.67
145,2024-09-02,青松建化,600425,13.91,13.83,14.1,13.83,142685,44979365.0,1.95,-0.29,-0.04,1.03
144,2024-08-30,青松建化,600425,13.67,13.87,14.03,13.6,135635,42375608.0,3.13,0.87,0.12,0.98
143,2024-08-29,青松建化,600425,13.71,13.75,13.83,13.6,98282,30362470.0,1.68,0.29,0.04,0.71
142,2024-08-28,青松建化,600425,14.03,13.71,14.06,13.64,154307,47950716.0,2.99,-2.28,-0.32,1.12
141,2024-08-27,青松建化,600425,14.1,14.03,14.26,13.99,259479,82743893.0,1.9,-1.34,-0.19,1.88
140,2024-08-26,青松建化,600425,14.42,14.22,14.42,13.91,402755,130017752.0,3.58,-0.28,-0.04,2.92
139,2024-08-23,青松建化,600425,13.36,14.26,14.53,13.17,333154,104519874.0,10.18,6.74,0.9,2.42
138,2024-08-22,青松建化,600425,13.44,13.36,13.52,13.32,45519,13701392.0,1.48,-0.89,-0.12,0.33
137,2024-08-21,青松建化,600425,13.52,13.48,13.56,13.4,39299,11908562.0,1.18,-0.59,-0.08,0.29
136,2024-08-20,青松建化,600425,13.75,13.56,13.75,13.48,67577,20661825.0,1.96,-1.67,-0.23,0.49
135,2024-08-19,青松建化,600425,13.75,13.79,13.87,13.71,41577,12930791.0,1.16,-0.29,-0.04,0.3
134,2024-08-16,青松建化,600425,13.91,13.83,13.91,13.75,58849,18363959.0,1.15,-0.29,-0.04,0.43
133,2024-08-15,青松建化,600425,13.87,13.87,13.99,13.71,165015,51487099.0,2.0,-1.14,-0.16,1.2
