,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,华鲁恒升,600426,180.47,183.21,184.77,180.47,144526,303327211.0,2.38,1.56,2.82,0.68
239,2025-01-24,华鲁恒升,600426,180.09,180.39,182.47,179.65,137062,282981156.0,1.56,-0.2,-0.37,0.65
238,2025-01-23,华鲁恒升,600426,180.91,180.76,181.87,180.24,115427,238681156.0,0.91,0.37,0.67,0.55
237,2025-01-22,华鲁恒升,600426,180.24,180.09,180.84,178.24,85887,176075175.0,1.44,-0.41,-0.75,0.41
236,2025-01-21,华鲁恒升,600426,182.39,180.84,182.54,178.91,104806,216153422.0,2.0,-0.49,-0.89,0.5
235,2025-01-20,华鲁恒升,600426,182.62,181.73,185.28,181.36,126502,264927222.0,2.15,-0.36,-0.66,0.6
234,2025-01-17,华鲁恒升,600426,181.95,182.39,183.21,181.5,104134,217394084.0,0.94,0.16,0.29,0.49
233,2025-01-16,华鲁恒升,600426,182.62,182.1,185.14,180.91,136096,285322856.0,2.32,-0.12,-0.22,0.64
232,2025-01-15,华鲁恒升,600426,180.39,182.32,183.88,179.8,160507,334266524.0,2.26,0.82,1.48,0.76
231,2025-01-14,华鲁恒升,600426,179.65,180.84,180.91,178.91,188473,387682805.0,1.11,0.46,0.82,0.89
230,2025-01-13,华鲁恒升,600426,174.46,180.02,181.13,173.94,281587,574840539.0,4.11,2.84,4.97,1.33
229,2025-01-10,华鲁恒升,600426,177.43,175.05,178.54,174.31,232946,463879162.0,2.38,-1.55,-2.75,1.1
228,2025-01-09,华鲁恒升,600426,177.43,177.8,178.91,176.46,126403,255724345.0,1.37,-0.54,-0.96,0.6
227,2025-01-08,华鲁恒升,600426,180.98,178.76,181.13,176.91,197695,401794531.0,2.33,-1.47,-2.67,0.93
226,2025-01-07,华鲁恒升,600426,181.5,181.43,182.32,179.06,161480,333491930.0,1.79,-0.32,-0.59,0.76
225,2025-01-06,华鲁恒升,600426,182.02,182.02,183.95,180.76,175447,364737513.0,1.74,-0.53,-0.97,0.83
224,2025-01-03,华鲁恒升,600426,184.1,182.99,186.55,182.1,169741,359066583.0,2.42,-0.6,-1.11,0.8
223,2025-01-02,华鲁恒升,600426,187.66,184.1,188.1,182.76,183558,390840195.0,2.84,-2.01,-3.78,0.87
222,2024-12-31,华鲁恒升,600426,190.7,187.88,190.99,187.06,166746,362895649.0,2.07,-1.25,-2.37,0.79
221,2024-12-30,华鲁恒升,600426,189.29,190.25,192.11,188.7,178652,392493049.0,1.8,0.19,0.37,0.84
220,2024-12-27,华鲁恒升,600426,190.55,189.88,191.74,187.14,262660,571870058.0,2.41,-0.54,-1.04,1.24
219,2024-12-26,华鲁恒升,600426,189.59,190.92,191.29,188.99,138416,303690947.0,1.21,0.58,1.11,0.65
218,2024-12-25,华鲁恒升,600426,194.85,189.81,195.52,189.29,281144,616906692.0,3.19,-2.96,-5.78,1.33
217,2024-12-24,华鲁恒升,600426,194.03,195.59,195.89,193.52,116186,262044747.0,1.22,0.95,1.85,0.55
216,2024-12-23,华鲁恒升,600426,191.51,193.74,195.81,191.51,133660,301190052.0,2.24,0.85,1.63,0.63
215,2024-12-20,华鲁恒升,600426,193.0,192.11,194.41,190.48,189122,420175083.0,2.03,-0.76,-1.48,0.89
214,2024-12-19,华鲁恒升,600426,193.52,193.59,195.07,192.33,109356,244305444.0,1.4,-0.76,-1.48,0.52
213,2024-12-18,华鲁恒升,600426,195.37,195.07,196.93,194.78,89178,202398791.0,1.1,-0.08,-0.15,0.42
212,2024-12-17,华鲁恒升,600426,194.33,195.22,196.56,193.81,129620,292819821.0,1.41,0.23,0.44,0.61
211,2024-12-16,华鲁恒升,600426,194.92,194.78,196.48,192.18,191854,431480698.0,2.21,-0.07,-0.14,0.91
210,2024-12-13,华鲁恒升,600426,200.78,194.92,200.86,194.48,247295,563212812.0,3.17,-3.28,-6.6,1.17
209,2024-12-12,华鲁恒升,600426,197.89,201.52,202.64,196.63,239375,557992578.0,3.04,2.03,4.0,1.13
208,2024-12-11,华鲁恒升,600426,196.7,197.52,199.97,196.48,148610,340884442.0,1.77,0.11,0.22,0.7
207,2024-12-10,华鲁恒升,600426,199.67,197.3,201.89,197.15,299048,692276034.0,2.43,1.26,2.45,1.41
206,2024-12-09,华鲁恒升,600426,195.22,194.85,198.78,194.41,188689,429528792.0,2.24,-0.34,-0.67,0.89
205,2024-12-06,华鲁恒升,600426,190.4,195.52,196.63,189.88,204784,460259071.0,3.55,2.81,5.34,0.97
204,2024-12-05,华鲁恒升,600426,191.66,190.18,191.81,189.73,95388,209352740.0,1.08,-1.04,-2.0,0.45
203,2024-12-04,华鲁恒升,600426,189.66,192.18,193.59,189.21,161182,357186254.0,2.3,0.82,1.56,0.76
202,2024-12-03,华鲁恒升,600426,191.59,190.62,191.59,188.1,153134,335284474.0,1.82,-0.51,-0.97,0.72
201,2024-12-02,华鲁恒升,600426,190.77,191.59,191.81,189.66,148795,327295250.0,1.13,0.27,0.52,0.7
200,2024-11-29,华鲁恒升,600426,187.81,191.07,191.59,186.92,166047,363817544.0,2.5,2.26,4.23,0.78
199,2024-11-28,华鲁恒升,600426,188.77,186.84,189.88,186.47,163131,352554065.0,1.8,-1.18,-2.23,0.77
198,2024-11-27,华鲁恒升,600426,186.62,189.07,189.21,186.03,120743,261293215.0,1.7,1.03,1.93,0.57
197,2024-11-26,华鲁恒升,600426,189.66,187.14,190.33,186.55,133162,288069888.0,1.99,-1.37,-2.59,0.63
196,2024-11-25,华鲁恒升,600426,190.77,189.73,191.59,187.88,165075,360597647.0,1.95,-0.43,-0.82,0.78
195,2024-11-22,华鲁恒升,600426,197.45,190.55,197.89,190.55,232114,519825242.0,3.72,-3.53,-6.97,1.1
194,2024-11-21,华鲁恒升,600426,197.52,197.52,199.6,196.63,132525,304199987.0,1.5,-0.15,-0.3,0.63
193,2024-11-20,华鲁恒升,600426,195.74,197.82,198.56,194.11,185310,422627942.0,2.27,0.95,1.86,0.88
192,2024-11-19,华鲁恒升,600426,195.81,195.96,197.96,193.44,161460,366203712.0,2.31,0.0,0.0,0.76
191,2024-11-18,华鲁恒升,600426,195.59,195.96,199.08,195.07,163720,373462694.0,2.05,0.23,0.44,0.77
190,2024-11-15,华鲁恒升,600426,197.0,195.52,198.56,195.44,163606,373284163.0,1.58,-0.72,-1.41,0.77
189,2024-11-14,华鲁恒升,600426,198.04,196.93,199.82,196.85,183425,427332295.0,1.5,-0.6,-1.18,0.87
188,2024-11-13,华鲁恒升,600426,199.6,198.11,200.93,196.56,246883,573741490.0,2.18,-0.96,-1.93,1.17
