,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,士兰微,600460,270.72,274.15,274.99,270.72,278782,718525927.0,1.56,0.38,1.04,1.68
240,2025-01-23,士兰微,600460,275.61,273.11,284.03,272.49,522987,1368589077.0,4.31,1.9,5.09,3.14
239,2025-01-22,士兰微,600460,268.43,268.02,271.03,266.56,170780,431965784.0,1.66,-0.69,-1.87,1.03
238,2025-01-21,士兰微,600460,270.51,269.89,272.39,266.87,220751,560538868.0,2.05,0.04,0.1,1.33
237,2025-01-20,士兰微,600460,271.55,269.79,273.01,268.54,210413,536696088.0,1.66,-0.04,-0.1,1.26
236,2025-01-17,士兰微,600460,266.35,269.89,274.15,264.79,293562,746518079.0,3.51,1.25,3.33,1.76
235,2025-01-16,士兰微,600460,268.54,266.56,272.59,263.55,244649,616998687.0,3.38,-0.35,-0.94,1.47
234,2025-01-15,士兰微,600460,269.47,267.5,270.51,266.15,232897,588837375.0,1.62,-0.77,-2.08,1.4
233,2025-01-14,士兰微,600460,261.36,269.58,269.58,258.14,370346,927335803.0,4.42,4.14,10.71,2.23
232,2025-01-13,士兰微,600460,253.35,258.87,261.47,251.69,215175,520485675.0,3.8,0.65,1.67,1.29
231,2025-01-10,士兰微,600460,259.59,257.2,266.77,257.2,284006,701909940.0,3.65,-1.79,-4.68,1.71
230,2025-01-09,士兰微,600460,261.67,261.88,265.73,260.22,273892,678708366.0,2.1,-0.04,-0.11,1.65
229,2025-01-08,士兰微,600460,261.26,261.99,265.21,254.91,296284,727608710.0,3.89,-1.06,-2.8,1.78
228,2025-01-07,士兰微,600460,255.95,264.79,264.9,255.95,317533,780051763.0,3.5,3.49,8.94,1.91
227,2025-01-06,士兰微,600460,254.91,255.85,258.35,252.83,234519,563999899.0,2.17,0.37,0.94,1.41
226,2025-01-03,士兰微,600460,262.09,254.91,263.86,253.98,331306,807405241.0,3.77,-2.78,-7.28,1.99
225,2025-01-02,士兰微,600460,273.74,262.19,274.15,258.66,455938,1142532364.0,5.61,-4.98,-13.73,2.74
224,2024-12-31,士兰微,600460,289.75,275.92,291.31,275.82,420275,1118367761.0,5.34,-4.81,-13.94,2.53
223,2024-12-30,士兰微,600460,295.47,289.86,296.41,289.75,399206,1102778704.0,2.23,-2.79,-8.32,2.4
222,2024-12-27,士兰微,600460,301.71,298.18,304.73,297.24,399765,1137880849.0,2.48,-1.24,-3.74,2.4
221,2024-12-26,士兰微,600460,297.66,301.92,302.96,295.68,347253,986329684.0,2.45,1.43,4.26,2.09
