,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
240,2025-01-27,百利电气,600468,39.92,39.23,41.14,39.23,347280,149136249.0,4.41,-9.44,-4.09,3.19
239,2025-01-24,百利电气,600468,43.75,43.32,43.75,42.97,118274,55861033.0,1.79,-0.6,-0.26,1.09
238,2025-01-23,百利电气,600468,44.02,43.58,44.63,43.49,154797,74460201.0,2.6,-0.8,-0.35,1.42
237,2025-01-22,百利电气,600468,43.32,43.93,44.71,43.23,188102,90487000.0,3.39,0.6,0.26,1.73
236,2025-01-21,百利电气,600468,42.97,43.67,44.28,42.88,155340,73683022.0,3.26,1.63,0.7,1.43
235,2025-01-20,百利电气,600468,42.36,42.97,43.32,42.27,148960,69631862.0,2.5,2.29,0.96,1.37
234,2025-01-17,百利电气,600468,42.97,42.01,43.93,41.84,171526,79221985.0,4.94,-0.62,-0.26,1.58
233,2025-01-16,百利电气,600468,41.93,42.27,42.97,41.84,102001,47082527.0,2.7,1.03,0.43,0.94
232,2025-01-15,百利电气,600468,42.27,41.84,42.62,41.66,110170,50276236.0,2.26,-1.44,-0.61,1.01
231,2025-01-14,百利电气,600468,40.79,42.45,42.54,40.53,145984,66421571.0,4.96,4.74,1.92,1.34
230,2025-01-13,百利电气,600468,40.01,40.53,40.62,39.05,112393,48778644.0,3.89,0.42,0.17,1.03
229,2025-01-10,百利电气,600468,41.75,40.36,41.93,40.36,114522,51200760.0,3.76,-3.33,-1.39,1.05
228,2025-01-09,百利电气,600468,41.49,41.75,42.54,41.4,112583,51478028.0,2.72,-0.22,-0.09,1.04
227,2025-01-08,百利电气,600468,42.1,41.84,42.27,40.44,171684,77388188.0,4.29,-1.83,-0.78,1.58
226,2025-01-07,百利电气,600468,40.97,42.62,42.62,40.79,179786,81495390.0,4.46,3.82,1.57,1.65
225,2025-01-06,百利电气,600468,40.18,41.05,41.23,39.31,141027,62215977.0,4.75,1.51,0.61,1.3
224,2025-01-03,百利电气,600468,42.01,40.44,42.54,40.36,172130,77146585.0,5.16,-4.33,-1.83,1.58
223,2025-01-02,百利电气,600468,43.06,42.27,43.67,41.84,154883,72026531.0,4.24,-2.02,-0.87,1.42
