,日期,股票名称,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
241,2025-01-24,华丽家族,600503,8.24,8.15,8.27,8.1,380171,92435705.0,2.06,-1.09,-0.09,2.37
240,2025-01-23,华丽家族,600503,8.3,8.24,8.5,8.24,444659,111230222.0,3.16,0.0,0.0,2.78
239,2025-01-22,华丽家族,600503,8.36,8.24,8.42,8.18,512625,126465674.0,2.84,-2.49,-0.21,3.2
238,2025-01-21,华丽家族,600503,8.45,8.45,8.77,8.42,849981,217870410.0,4.14,0.0,0.0,5.3
237,2025-01-20,华丽家族,600503,8.47,8.45,8.56,8.18,537386,135586317.0,4.5,0.0,0.0,3.35
236,2025-01-17,华丽家族,600503,8.3,8.45,8.5,8.18,548454,137239102.0,3.79,0.0,0.0,3.42
235,2025-01-16,华丽家族,600503,8.42,8.45,8.68,8.33,567115,144305829.0,4.19,1.08,0.09,3.54
234,2025-01-15,华丽家族,600503,8.42,8.36,8.45,8.21,465109,115797375.0,2.84,-1.07,-0.09,2.9
233,2025-01-14,华丽家族,600503,8.04,8.45,8.45,8.04,571893,141528150.0,5.12,5.49,0.44,3.57
232,2025-01-13,华丽家族,600503,7.98,8.01,8.07,7.75,421418,99439008.0,3.95,-1.11,-0.09,2.63
231,2025-01-10,华丽家族,600503,8.45,8.1,8.56,8.07,486970,119919093.0,5.8,-4.14,-0.35,3.04
230,2025-01-09,华丽家族,600503,8.36,8.45,8.5,8.3,457932,115807672.0,2.38,0.36,0.03,2.86
229,2025-01-08,华丽家族,600503,8.36,8.42,8.47,8.1,563343,139791183.0,4.43,0.72,0.06,3.52
228,2025-01-07,华丽家族,600503,8.12,8.36,8.36,8.04,479069,117155703.0,3.93,2.58,0.21,2.99
227,2025-01-06,华丽家族,600503,8.18,8.15,8.3,7.98,542145,131513798.0,3.86,-1.81,-0.15,3.38
226,2025-01-03,华丽家族,600503,8.91,8.3,8.91,8.27,801338,202667583.0,7.27,-5.68,-0.5,5.0
225,2025-01-02,华丽家族,600503,8.74,8.8,9.09,8.62,924568,247660587.0,5.43,1.73,0.15,5.77
224,2024-12-31,华丽家族,600503,8.8,8.65,8.91,8.62,498981,131535419.0,3.3,-1.7,-0.15,3.11
223,2024-12-30,华丽家族,600503,9.0,8.8,9.06,8.68,591213,156332369.0,4.18,-3.19,-0.29,3.69
222,2024-12-27,华丽家族,600503,8.97,9.09,9.32,8.82,781070,215926945.0,5.56,1.0,0.09,4.87
221,2024-12-26,华丽家族,600503,8.56,9.0,9.12,8.56,925558,250731565.0,6.24,0.33,0.03,5.78
220,2024-12-25,华丽家族,600503,9.12,8.97,9.15,8.74,747125,200518662.0,4.48,-1.97,-0.18,4.66
219,2024-12-24,华丽家族,600503,9.32,9.15,9.5,8.97,804267,222353155.0,5.69,-1.82,-0.17,5.02
218,2024-12-23,华丽家族,600503,10.02,9.32,10.05,9.26,1090861,315744734.0,7.93,-6.43,-0.64,6.81
217,2024-12-20,华丽家族,600503,9.9,9.96,10.08,9.9,792359,242672570.0,1.8,-0.3,-0.03,4.95
216,2024-12-19,华丽家族,600503,10.2,9.99,10.49,9.9,1197869,369153758.0,5.66,-4.22,-0.44,7.48
215,2024-12-18,华丽家族,600503,10.31,10.43,10.81,10.31,1366348,439522921.0,4.61,-3.78,-0.41,8.53
214,2024-12-17,华丽家族,600503,11.71,10.84,11.71,10.84,2250052,764950479.0,7.3,-9.06,-1.08,14.04
213,2024-12-16,华丽家族,600503,10.75,11.92,11.92,10.54,3476406,1251402394.0,12.64,9.16,1.0,21.7
212,2024-12-13,华丽家族,600503,11.13,10.92,11.54,10.87,2924719,1010383452.0,5.61,-8.54,-1.02,18.25
211,2024-12-12,华丽家族,600503,12.73,11.94,13.37,11.57,4778054,1873064094.0,14.67,-2.69,-0.33,29.82
210,2024-12-11,华丽家族,600503,11.77,12.27,12.27,11.42,2030799,763974018.0,7.56,9.16,1.03,12.67
209,2024-12-10,华丽家族,600503,11.24,11.24,11.24,10.84,1845741,643062101.0,3.88,9.02,0.93,11.52
208,2024-12-09,华丽家族,600503,12.0,10.31,12.03,10.22,3843375,1340489230.0,16.13,-8.11,-0.91,23.99
207,2024-12-06,华丽家族,600503,11.22,11.22,11.22,11.22,153106,53281003.0,0.0,9.14,0.94,0.96
